,N,dovar,obsvar,target,endovarsize,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,3,0,-1,1,2,1234,CCVE,458.362,30.758,0.8940217391304348,0.8940217391304348,0.10597826086956519,0.10597826086956519
1,3,0,-1,1,2,1234,CCALPeps,549.864,496.91,0.893736663037503,0.8938944131159062,0.10610558688409377,0.10626333696249701
2,3,0,-1,1,2,2468,CCVE,453.767,32.977,0.27027027027027023,0.27027027027027023,0.7297297297297298,0.7297297297297298
3,3,0,-1,1,2,2468,CCALPeps,571.849,518.163,0.2703321009623059,0.27033210096230614,0.7296678990376939,0.7296678990376941
4,3,0,-1,1,2,3702,CCVE,434.452,29.684,0.023668639053254437,0.023668639053254437,0.9763313609467456,0.9763313609467456
5,3,0,-1,1,2,3702,CCALPeps,526.833,471.55,0.024118100506001532,0.024118100506001567,0.9758818994939984,0.9758818994939985
6,3,0,-1,,2,1234,CCVE,459.929,31.776,0.8940217391304348,0.8940217391304348,0.10597826086956519,0.10597826086956519
7,3,0,-1,,2,1234,CCALPeps,532.102,479.91,0.893736663037503,0.8938944131159062,0.10610558688409377,0.10626333696249701
8,3,0,-1,,2,2468,CCVE,439.493,29.846,0.27027027027027023,0.27027027027027023,0.7297297297297298,0.7297297297297298
9,3,0,-1,,2,2468,CCALPeps,603.799,548.077,0.2703321009623059,0.27033210096230614,0.7296678990376939,0.7296678990376941
10,3,0,-1,,2,3702,CCVE,440.049,28.974,0.023668639053254437,0.023668639053254437,0.9763313609467456,0.9763313609467456
11,3,0,-1,,2,3702,CCALPeps,502.576,449.316,0.024118100506001532,0.024118100506001567,0.9758818994939984,0.9758818994939985
12,5,0,-1,1,2,1234,CCVE,497.144,48.847,0.9340150491993054,0.9340150491993054,0.06598495080069457,0.06598495080069457
13,5,0,-1,1,2,1234,CCALPeps,865.016,807.795,0.933826226021155,0.9339288619960224,0.06607113800397757,0.06617377397884505
14,5,0,-1,1,2,2468,CCVE,522.579,49.931,0.25000000000000006,0.25000000000000006,0.7500000000000002,0.7500000000000002
15,5,0,-1,1,2,2468,CCALPeps,991.546,935.554,0.2500639908011997,0.25006399080120006,0.7499360091987999,0.7499360091988003
16,5,0,-1,1,2,3702,CCVE,517.332,54.865,0.004890535253475402,0.004890535253475402,0.9951094647465245,0.9951094647465245
17,5,0,-1,1,2,3702,CCALPeps,951.345,896.199,0.004990174084024147,0.004990174084024151,0.9950098259159759,0.9950098259159759
18,5,0,-1,,2,1234,CCVE,489.383,48.979,0.4938838510515146,0.4938838510515146,0.5061161489484854,0.5061161489484854
19,5,0,-1,,2,1234,CCALPeps,892.387,832.712,0.49388018081276436,0.493905400184682,0.506094599815318,0.5061198191872356
20,5,0,-1,,2,2468,CCVE,548.352,47.845,0.3681567546278062,0.3681567546278062,0.6318432453721938,0.6318432453721938
21,5,0,-1,,2,2468,CCALPeps,961.495,906.129,0.3681874459661882,0.36820683808776206,0.6317931619122379,0.6318125540338118
22,5,0,-1,,2,3702,CCVE,521.966,50.589,0.3641263631066345,0.3641263631066345,0.6358736368933655,0.6358736368933655
23,5,0,-1,,2,3702,CCALPeps,1036.941,976.444,0.364092340338614,0.3640923403386143,0.6359076596613857,0.635907659661386
24,7,0,-1,1,2,1234,CCVE,556.853,74.09,0.9456567989787855,0.9456567989787855,0.05434320102121451,0.05434320102121451
25,7,0,-1,1,2,1234,CCALPeps,1389.479,1331.629,0.9454908959564651,0.9455766145109532,0.0544233854890468,0.054509104043534914
26,7,0,-1,1,2,2468,CCVE,555.989,74.731,0.25,0.25,0.7499999999999999,0.7499999999999999
27,7,0,-1,1,2,2468,CCALPeps,1368.57,1306.633,0.2500639908011998,0.2500639908012,0.7499360091988,0.7499360091988002
28,7,0,-1,1,2,3702,CCVE,583.977,81.492,0.009704227022894727,0.009704227022894727,0.9902957729771054,0.9902957729771054
29,7,0,-1,1,2,3702,CCALPeps,1553.324,1489.354,0.009893767065846982,0.00989376706584699,0.990106232934153,0.990106232934153
30,7,0,-1,,2,1234,CCVE,585.199,82.101,0.292960914230138,0.292960914230138,0.707039085769862,0.707039085769862
31,7,0,-1,,2,1234,CCALPeps,1351.35,1293.337,0.2930786223050381,0.29309389728054785,0.7069061027194521,0.7069213776949619
32,7,0,-1,,2,2468,CCVE,587.26,95.245,0.9699999999999999,0.9699999999999999,0.03,0.03
33,7,0,-1,,2,2468,CCALPeps,1396.088,1333.155,0.969846037393061,0.9699059994020596,0.03009400059794043,0.030153962606939
34,7,0,-1,,2,3702,CCVE,555.88,73.427,0.33691955871304485,0.33691955871304485,0.6630804412869552,0.6630804412869552
35,7,0,-1,,2,3702,CCALPeps,1471.587,1412.684,0.3370720841472925,0.33707208414729284,0.6629279158527072,0.6629279158527075
