,N,dovar,obsvar,target,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,20,0,-1,,1234,6,CVE,16927.2122,16926.3796,0.10287412267443945,0.10287412267443945,0.09712587732556056,0.09712587732556056
1,20,0,-1,,1234,6,CCALPeps,6422.834,6416.6746,0.10285488725472343,0.10285499388191807,0.09714500611808193,0.09714511274527657
2,20,0,-1,,2468,6,CVE,17550.417599999997,17549.659200000002,0.03379999999999999,0.03379999999999999,0.16620000000000001,0.16620000000000001
3,20,0,-1,,2468,6,CCALPeps,6565.2538,6558.7991999999995,0.03381447850409437,0.03381605711459971,0.16618394288540028,0.16618552149590562
4,20,0,-1,,3702,6,CVE,18433.3044,18432.4604,0.11712328576000001,0.11712328576000001,0.08287671423999998,0.08287671423999998
5,20,0,-1,,3702,6,CCALPeps,7074.031,7067.753599999999,0.11710625207450913,0.1171179557526191,0.08288204424738091,0.08289374792549087
6,20,0,-1,,4936,6,CVE,17152.7276,17151.963,0.11697280000000002,0.11697280000000002,0.0830272,0.0830272
7,20,0,-1,,4936,6,CCALPeps,7040.103,7033.497,0.11697838144842801,0.1169790514333553,0.08302094856664471,0.083021618551572
8,20,0,-1,,6170,6,CVE,16756.1822,16755.431800000002,0.037797272555496406,0.037797272555496406,0.1622027274445036,0.1622027274445036
9,20,0,-1,,6170,6,CCALPeps,6901.042600000001,6894.9014,0.03780630595143948,0.03780692186267166,0.16219307813732836,0.16219369404856052
10,20,0,-1,,7404,6,CVE,16074.561599999997,16073.8086,0.16209687728365685,0.16209687728365685,0.03790312271634316,0.03790312271634316
11,20,0,-1,,7404,6,CCALPeps,7663.7184,7656.7598,0.16207956718904876,0.1620802619449214,0.03791973805507861,0.037920432810951255
12,20,0,-1,,8638,6,CVE,18287.5936,18286.8326,0.170368,0.170368,0.029632000000000012,0.029632000000000012
13,20,0,-1,,8638,6,CCALPeps,7109.5055999999995,7103.534400000001,0.1703390714096722,0.17033946307941278,0.02966053692058724,0.0296609285903278
14,20,0,-1,,9872,6,CVE,15681.244999999999,15680.5286,0.1568935900660902,0.1568935900660902,0.04310640993390983,0.04310640993390983
15,20,0,-1,,9872,6,CCALPeps,6500.634,6494.415999999999,0.15686839035176164,0.15686839072402953,0.04313160927597047,0.04313160964823837
16,20,0,-1,,11106,6,CVE,16369.9366,16369.045999999998,0.023226032608000012,0.023226032608000012,0.176773967392,0.176773967392
17,20,0,-1,,11106,6,CCALPeps,6772.6124,6765.933599999999,0.023240879054068096,0.02336521988122968,0.17663478011877032,0.1767591209459319
18,20,0,-1,,12340,6,CVE,16108.133000000002,16107.412800000002,0.09439004194471431,0.09439004194471431,0.1056099580552857,0.1056099580552857
19,20,0,-1,,12340,6,CCALPeps,8083.6226,8077.219800000001,0.09439338964312649,0.09439706071227633,0.10560293928772366,0.1056066103568735
20,20,0,-1,1,1234,6,CVE,19149.783000000003,19148.9852,0.030000003969323404,0.030000003969323404,0.1699999960306766,0.1699999960306766
21,20,0,-1,1,1234,6,CCALPeps,6390.9922,6384.4196,0.030028004357700595,0.0300309954605749,0.1699690045394251,0.16997199564229942
22,20,0,-1,1,2468,6,CVE,18378.037,18377.2968,0.178,0.178,0.021999999999999985,0.021999999999999985
23,20,0,-1,1,2468,6,CCALPeps,7203.0383999999995,7196.8974,0.1779692081184842,0.1779767998406639,0.022023200159336127,0.0220307918815158
24,20,0,-1,1,3702,6,CVE,16917.783799999997,16917.0072,0.188,0.188,0.012,0.012
25,20,0,-1,1,3702,6,CCALPeps,6827.537000000001,6821.4334,0.002078180463125559,0.19594001415776832,0.004059985842231693,0.19792181953687443
26,20,0,-1,1,4936,6,CVE,16224.227399999998,16223.516399999999,0.022,0.022,0.178,0.178
