,N,dovar,obsvar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,3,0,-1,1234,6,CVE,2.2132,1.7384,0.1951715374841169,0.1951715374841169,0.0048284625158831005,0.0048284625158831005
1,3,0,-1,1234,6,CCVE,99.6492,4.651,0.1951715374841169,0.1951715374841169,0.0048284625158831005,0.0048284625158831005
2,3,0,-1,1234,6,CCALPeps,378.0896,375.3598,0.19515966731328047,0.1951596673132805,0.004840332686719516,0.004840332686719526
3,3,0,-1,2468,6,CVE,2.3812,1.8840000000000001,0.013193403298350823,0.013193403298350823,0.1868065967016492,0.1868065967016492
4,3,0,-1,2468,6,CCVE,93.586,3.8052,0.013193403298350826,0.013193403298350826,0.1868065967016492,0.1868065967016492
5,3,0,-1,2468,6,CCALPeps,369.1874,366.7196,0.013214107360021836,0.013214107360021848,0.18678589263997816,0.18678589263997816
6,3,0,-1,3702,6,CVE,2.2822000000000005,1.7976,0.016441528367425705,0.016441528367425705,0.1835584716325743,0.1835584716325743
7,3,0,-1,3702,6,CCVE,98.36200000000001,4.377599999999998,0.01644152836742571,0.01644152836742571,0.1835584716325743,0.1835584716325743
8,3,0,-1,3702,6,CCALPeps,362.0462,359.54400000000004,0.016488577662965968,0.016488577662965995,0.183511422337034,0.18351142233703405
9,3,0,-1,4936,6,CVE,2.2588,1.7878,0.09894736842105263,0.09894736842105263,0.10105263157894737,0.10105263157894737
10,3,0,-1,4936,6,CCVE,98.507,4.3362,0.09894736842105263,0.09894736842105263,0.10105263157894737,0.10105263157894737
11,3,0,-1,4936,6,CCALPeps,354.91219999999987,352.4708,0.09897214873396214,0.09897214873396223,0.10102785126603778,0.10102785126603786
12,3,0,-1,6170,6,CVE,2.15,1.7681999999999998,0.13960703205791108,0.13960703205791108,0.06039296794208894,0.06039296794208894
13,3,0,-1,6170,6,CCVE,98.144,4.9216,0.13960703205791106,0.13960703205791106,0.06039296794208894,0.06039296794208894
14,3,0,-1,6170,6,CCALPeps,405.2678,402.8264,0.13959602507130042,0.13959602507130048,0.060403974928699526,0.060403974928699575
15,3,0,-1,7404,6,CVE,2.201,1.719,0.011005053340819764,0.011005053340819764,0.18899494665918026,0.18899494665918026
16,3,0,-1,7404,6,CCVE,105.70839999999998,4.3134,0.011005053340819764,0.011005053340819764,0.18899494665918026,0.18899494665918026
17,3,0,-1,7404,6,CCALPeps,408.54780000000005,405.9922,0.01110703831976932,0.011107038319769358,0.18889296168023065,0.18889296168023068
18,3,0,-1,8638,6,CVE,2.3132,1.8444,0.17328094302554026,0.17328094302554026,0.02671905697445972,0.02671905697445972
19,3,0,-1,8638,6,CCVE,99.6156,4.950799999999999,0.17328094302554026,0.17328094302554026,0.02671905697445973,0.02671905697445973
20,3,0,-1,8638,6,CCALPeps,323.7016,321.02740000000006,0.1731770458435846,0.1731770458435848,0.026822954156415214,0.0268229541564154
21,3,0,-1,9872,6,CVE,2.1830000000000003,1.7626000000000002,0.2,0.2,0.0,0.0
22,3,0,-1,9872,6,CCVE,104.8558,4.6726,0.2,0.2,0.0,0.0
23,3,0,-1,9872,6,CCALPeps,349.45899999999995,346.9442,0.1998132521265233,0.1998132521265233,0.0001867478734766745,0.0001867478734766781
24,3,0,-1,11106,6,CVE,2.2622,1.754,0.013494809688581315,0.013494809688581315,0.18650519031141868,0.18650519031141868
25,3,0,-1,11106,6,CCVE,99.92,4.3746,0.013494809688581312,0.013494809688581312,0.18650519031141868,0.18650519031141868
26,3,0,-1,11106,6,CCALPeps,425.6328,423.0728,0.013513581848205208,0.01351358184820522,0.1864864181517948,0.1864864181517948
27,3,0,-1,12340,6,CVE,2.139,1.7374000000000005,0.006779661016949152,0.006779661016949152,0.19322033898305085,0.19322033898305085
28,3,0,-1,12340,6,CCVE,101.4648,5.4306,0.006779661016949152,0.006779661016949152,0.19322033898305085,0.19322033898305085
29,3,0,-1,12340,6,CCALPeps,392.9646,390.3424,0.006803936709604975,0.006803936709604982,0.193196063290395,0.193196063290395
60,4,0,-1,1234,6,CVE,2.7988,2.3614,0.19929600648281798,0.19929600648281798,0.0007039935171819999,0.0007039935171819999
61,4,0,-1,1234,6,CCVE,122.671,10.4796,0.19929600648281798,0.19929600648281798,0.0007039935171819999,0.0007039935171819999
62,4,0,-1,1234,6,CCALPeps,776.8400000000001,773.5550000000002,0.19929322768336102,0.19929322768336102,0.0007067723166389944,0.0007067723166390039
63,4,0,-1,2468,6,CVE,2.8626,2.3602,0.1808899439749312,0.1808899439749312,0.019110056025068847,0.019110056025068847
64,4,0,-1,2468,6,CCVE,119.745,6.9368,0.18088994397493116,0.18088994397493116,0.019110056025068847,0.019110056025068847
65,4,0,-1,2468,6,CCALPeps,725.9212,722.7447999999998,0.1808483791586475,0.18084837915864752,0.019151620841352492,0.019151620841352503
66,4,0,-1,3702,6,CVE,2.8352000000000004,2.3616,0.025928093299889703,0.025928093299889703,0.1740719067001103,0.1740719067001103
67,4,0,-1,3702,6,CCVE,124.816,7.983999999999999,0.0259280932998897,0.0259280932998897,0.1740719067001103,0.1740719067001103
68,4,0,-1,3702,6,CCALPeps,727.5939999999999,724.1286,0.02594115458505626,0.025941154585056303,0.1740588454149437,0.17405884541494376
69,4,0,-1,4936,6,CVE,2.8366,2.3194000000000004,0.00711200691045206,0.00711200691045206,0.19288799308954796,0.19288799308954796
70,4,0,-1,4936,6,CCVE,126.6668,9.2274,0.00711200691045206,0.00711200691045206,0.19288799308954796,0.19288799308954796
71,4,0,-1,4936,6,CCALPeps,668.8912,665.4832,0.007131017937629816,0.00713101793762983,0.1928689820623702,0.1928689820623702
72,4,0,-1,6170,6,CVE,2.8334,2.3506,0.0,0.0,0.2,0.2
73,4,0,-1,6170,6,CCVE,137.2706,8.1968,0.0,0.0,0.2,0.2
74,4,0,-1,6170,6,CCALPeps,737.2976000000001,734.1039999999998,0.00025159074887261225,0.0002515907488726125,0.19974840925112736,0.19974840925112736
75,4,0,-1,7404,6,CVE,2.8360000000000003,2.3632,0.022036283774378645,0.022036283774378645,0.17796371622562135,0.17796371622562135
76,4,0,-1,7404,6,CCVE,129.5908,8.579199999999998,0.02203628377437864,0.02203628377437864,0.17796371622562135,0.17796371622562135
77,4,0,-1,7404,6,CCALPeps,659.6659999999998,656.8602000000002,0.022057589444957254,0.0220575894449573,0.1779424105550427,0.17794241055504273
78,4,0,-1,8638,6,CVE,2.91,2.4332,0.0036232178811852985,0.0036232178811852985,0.19637678211881468,0.19637678211881468
79,4,0,-1,8638,6,CCVE,134.05,8.6388,0.0036232178811853,0.0036232178811853,0.19637678211881468,0.19637678211881468
80,4,0,-1,8638,6,CCALPeps,714.1847999999999,709.1116,0.0036309029386006365,0.0036309029386006404,0.19636909706139932,0.19636909706139932
81,4,0,-1,9872,6,CVE,2.9724,2.4558,0.011182439428453095,0.011182439428453095,0.1888175605715469,0.1888175605715469
82,4,0,-1,9872,6,CCVE,136.3234,8.222000000000001,0.011182439428453098,0.011182439428453098,0.1888175605715469,0.1888175605715469
83,4,0,-1,9872,6,CCALPeps,737.4556,734.0952000000002,0.011208336482820502,0.011208336482820512,0.1887916635171795,0.1887916635171795
84,4,0,-1,11106,6,CVE,2.7526,2.3166,0.1852385988526744,0.1852385988526744,0.014761401147325581,0.014761401147325581
85,4,0,-1,11106,6,CCVE,123.7028,7.9034,0.1852385988526744,0.1852385988526744,0.014761401147325581,0.014761401147325581
86,4,0,-1,11106,6,CCALPeps,643.0930000000001,640.2706000000002,0.1852084915211502,0.18520849152115024,0.014791508478849759,0.014791508478849781
87,4,0,-1,12340,6,CVE,2.7050000000000005,2.2332,0.0084682664274501,0.0084682664274501,0.19153173357254988,0.19153173357254988
88,4,0,-1,12340,6,CCVE,123.021,8.5104,0.008468266427450098,0.008468266427450098,0.19153173357254988,0.19153173357254988
89,4,0,-1,12340,6,CCALPeps,768.5114,765.3676,0.008492333987534562,0.008492333987534576,0.19150766601246544,0.19150766601246544
120,5,0,-1,1234,6,CVE,4.0722000000000005,3.6082000000000014,0.18507433763328549,0.18507433763328549,0.014925662366714509,0.014925662366714509
121,5,0,-1,1234,6,CCVE,171.0844,33.5198,0.1850743376332855,0.1850743376332855,0.014925662366714504,0.014925662366714504
122,5,0,-1,1234,6,CCALPeps,1013.2542,1009.8654,0.18504282912822476,0.18504282912822476,0.014957170871775269,0.014957170871775284
123,5,0,-1,2468,6,CVE,4.1868,3.6174,0.18360956444790374,0.18360956444790374,0.016390435552096218,0.016390435552096218
124,5,0,-1,2468,6,CCVE,161.4978,31.2854,0.18360956444790374,0.18360956444790374,0.016390435552096218,0.016390435552096218
125,5,0,-1,2468,6,CCALPeps,917.1036,913.0186,0.1835759417738756,0.18357594177387565,0.016424058226124368,0.016424058226124392
126,5,0,-1,3702,6,CVE,4.3564,3.8824,0.06352863886810636,0.06352863886810636,0.13647136113189362,0.13647136113189362
127,5,0,-1,3702,6,CCVE,174.73139999999995,30.8094,0.06352863886810636,0.06352863886810636,0.13647136113189362,0.13647136113189362
128,5,0,-1,3702,6,CCALPeps,1076.3586,1072.7452,0.06353882959152374,0.06353882959152382,0.1364611704084762,0.13646117040847625
129,5,0,-1,4936,6,CVE,4.1036,3.6076,0.008892538404300753,0.008892538404300753,0.19110746159569925,0.19110746159569925
130,5,0,-1,4936,6,CCVE,164.2584,30.4076,0.008892538404300755,0.008892538404300755,0.19110746159569925,0.19110746159569925
131,5,0,-1,4936,6,CCALPeps,1017.7537999999997,1014.183,0.008919231791513795,0.008919231791513816,0.19108076820848616,0.1910807682084862
132,5,0,-1,6170,6,CVE,4.2976,3.7954,0.07735999999999997,0.07735999999999997,0.12264000000000001,0.12264000000000001
133,5,0,-1,6170,6,CCVE,173.85740000000004,28.3672,0.07736,0.07736,0.12264000000000001,0.12264000000000001
134,5,0,-1,6170,6,CCALPeps,987.0822,983.5632000000003,0.07737326072536257,0.07737326072536266,0.12262673927463735,0.12262673927463745
135,5,0,-1,7404,6,CVE,4.7208,4.2492,0.036839907092920655,0.036839907092920655,0.16316009290707936,0.16316009290707936
136,5,0,-1,7404,6,CCVE,163.167,28.0024,0.036839907092920635,0.036839907092920635,0.16316009290707933,0.16316009290707933
137,5,0,-1,7404,6,CCALPeps,991.2130000000001,987.72,0.036869567843191536,0.036869567843191606,0.1631304321568084,0.16313043215680847
138,5,0,-1,8638,6,CVE,4.2248,3.6666,0.020504352786462184,0.020504352786462184,0.1794956472135378,0.1794956472135378
139,5,0,-1,8638,6,CCVE,166.97500000000005,29.3082,0.020504352786462184,0.020504352786462184,0.1794956472135378,0.1794956472135378
140,5,0,-1,8638,6,CCALPeps,1077.1662,1073.5908,0.02053303558357079,0.020533035583570843,0.17946696441642915,0.1794669644164292
141,5,0,-1,9872,6,CVE,4.2166,3.6574,0.011245759605107578,0.011245759605107578,0.1887542403948924,0.1887542403948924
142,5,0,-1,9872,6,CCVE,172.4148,31.97,0.011245759605107578,0.011245759605107578,0.1887542403948924,0.1887542403948924
143,5,0,-1,9872,6,CCALPeps,926.8568,923.3316,0.011271988278157064,0.011271988278157079,0.18872801172184286,0.18872801172184286
144,5,0,-1,11106,6,CVE,4.535,3.9792,0.18500946742026667,0.18500946742026667,0.01499053257973332,0.01499053257973332
145,5,0,-1,11106,6,CCVE,167.93900000000002,31.9454,0.1850094674202667,0.1850094674202667,0.01499053257973332,0.01499053257973332
146,5,0,-1,11106,6,CCALPeps,1011.8276,1008.2954,0.1849789389562088,0.1849789389562088,0.015021061043791181,0.015021061043791197
147,5,0,-1,12340,6,CVE,4.180999999999999,3.6289999999999996,0.005877196883360999,0.005877196883360999,0.194122803116639,0.194122803116639
148,5,0,-1,12340,6,CCVE,168.22899999999996,29.610000000000007,0.005877196883360999,0.005877196883360999,0.194122803116639,0.194122803116639
149,5,0,-1,12340,6,CCALPeps,1031.5902,1027.5922,0.005895758735966029,0.0058957587359660365,0.194104241264034,0.194104241264034
180,6,0,-1,1234,6,CVE,5.9002,5.2706,0.19023752335804872,0.19023752335804872,0.00976247664195128,0.00976247664195128
181,6,0,-1,1234,6,CCVE,278.392,119.35700000000001,0.19023752335804872,0.19023752335804872,0.009762476641951278,0.009762476641951278
182,6,0,-1,1234,6,CCALPeps,1323.0877999999998,1319.4602,0.19019834414776388,0.19019834414776388,0.009801655852236113,0.009801655852236113
183,6,0,-1,2468,6,CVE,6.6046,5.9152000000000005,0.1037290002678336,0.1037290002678336,0.0962709997321664,0.0962709997321664
184,6,0,-1,2468,6,CCVE,242.3328,92.1986,0.10372900026783358,0.10372900026783358,0.09627099973216642,0.09627099973216642
185,6,0,-1,2468,6,CCALPeps,1198.7668,1195.0392,0.10373603521281746,0.10373603521281756,0.09626396478718242,0.09626396478718252
186,6,0,-1,3702,6,CVE,6.215000000000002,5.5966000000000005,0.09193579999999997,0.09193579999999997,0.1080642,0.1080642
187,6,0,-1,3702,6,CCVE,250.1134,91.3882,0.09193580000000004,0.09193580000000004,0.10806419999999996,0.10806419999999996
188,6,0,-1,3702,6,CCALPeps,1378.7426,1375.0074,0.09193349603474693,0.09193349603474704,0.10806650396525294,0.10806650396525308
