,N,dovar,obsvar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
0,3,0,-1,1234,6,CVE,2.0198,1.6724,0.029000653167864144,0.029000653167864144,0.17099934683213586,0.17099934683213586
1,3,0,-1,1234,6,CCVE,65.7938,3.5858000000000003,0.02900065316786415,0.02900065316786415,0.17099934683213586,0.17099934683213586
2,3,0,-1,1234,6,CCALPeps,351.6086,349.34600000000006,0.02902801074283328,0.02903091924907959,0.1709690807509204,0.17097198925716672
3,3,0,-1,2468,6,CVE,2.0726,1.6808,0.191929746554024,0.191929746554024,0.008070253445975988,0.008070253445975988
4,3,0,-1,2468,6,CCVE,64.84440000000001,3.6546,0.191929746554024,0.191929746554024,0.008070253445975988,0.008070253445975988
5,3,0,-1,2468,6,CCALPeps,335.353,333.1102,0.19191601524164376,0.191919019175092,0.008080980824908001,0.008083984758356248
6,3,0,-1,3702,6,CVE,2.3112,1.8854,0.1894829097283085,0.1894829097283085,0.010517090271691495,0.010517090271691495
7,3,0,-1,3702,6,CCVE,83.2996,18.7812,0.002296555167249126,0.196512641673932,0.003487358326068003,0.19770344483275087
8,3,0,-1,3702,6,CCALPeps,335.31140000000005,333.0624,0.002386034632197845,0.19645997810496751,0.0035400218950324873,0.19761396536780207
9,3,0,-1,4936,6,CVE,2.142,1.7114,0.04011976047904192,0.04011976047904192,0.1598802395209581,0.1598802395209581
10,3,0,-1,4936,6,CCVE,65.329,4.0306,0.04011976047904192,0.04011976047904192,0.1598802395209581,0.1598802395209581
11,3,0,-1,4936,6,CCALPeps,325.3802,323.0864,0.040141033401260295,0.04016427218325088,0.15983572781674912,0.15985896659873972
12,3,0,-1,6170,6,CVE,2.1264000000000003,1.6809999999999998,0.010589754627636677,0.010589754627636677,0.1894102453723633,0.1894102453723633
13,3,0,-1,6170,6,CCVE,65.01320000000001,4.1438000000000015,0.010589754627636677,0.010589754627636677,0.1894102453723633,0.1894102453723633
14,3,0,-1,6170,6,CCALPeps,344.412,342.29,0.010597277624831028,0.010598414345572505,0.1894015856544275,0.18940272237516892
15,3,0,-1,7404,6,CVE,1.9552,1.6058,0.19896467722289893,0.19896467722289893,0.0010353227771010963,0.0010353227771010963
16,3,0,-1,7404,6,CCVE,92.9154,36.62560000000001,0.19472049689441,0.2,0.0,0.0052795031055900615
17,3,0,-1,7404,6,CCALPeps,340.8236,338.56900000000013,0.19471026496729585,0.1999788728819327,2.1127118067298945e-05,0.005289735032704157
18,3,0,-1,8638,6,CVE,2.1732,1.754,0.0008714054525084027,0.0008714054525084027,0.1991285945474916,0.1991285945474916
19,3,0,-1,8638,6,CCVE,64.42679999999999,3.8584000000000014,0.0008714054525084033,0.0008714054525084033,0.1991285945474916,0.1991285945474916
20,3,0,-1,8638,6,CCALPeps,355.914,353.5682,0.0008741881533313443,0.00087460176530406,0.19912539823469594,0.19912581184666867
21,3,0,-1,9872,6,CVE,2.1202,1.7522000000000002,0.013807165744247013,0.013807165744247013,0.186192834255753,0.186192834255753
22,3,0,-1,9872,6,CCVE,65.86760000000001,7.1514,0.006936923752378164,0.04936097699517182,0.15063902300482818,0.1930630762476218
23,3,0,-1,9872,6,CCALPeps,331.403,329.069,0.006985100171694503,0.049364114617092204,0.1506358853829078,0.1930148998283055
24,3,0,-1,11106,6,CVE,2.1766,1.7686,0.011606991345664348,0.011606991345664348,0.18839300865433567,0.18839300865433567
25,3,0,-1,11106,6,CCVE,79.62299999999998,18.2836,0.010277214334009466,0.16408243375858686,0.03591756624141315,0.18972278566599046
26,3,0,-1,11106,6,CCALPeps,375.1014,372.698,0.01031208999575585,0.1640061454956797,0.035993854504320286,0.18968791000424412
27,3,0,-1,12340,6,CVE,2.3044,1.8846,0.013129102844638954,0.013129102844638954,0.18687089715536104,0.18687089715536104
28,3,0,-1,12340,6,CCVE,73.398,10.6538,0.008995502248875563,0.0263516583371195,0.1736483416628805,0.19100449775112446
29,3,0,-1,12340,6,CCALPeps,356.2258,353.9980000000001,0.009012893595132628,0.02636112327653925,0.17363887672346073,0.19098710640486732
60,4,0,-1,1234,6,CVE,2.4376,1.9672,0.0,0.0,0.2,0.2
61,4,0,-1,1234,6,CCVE,64.71979999999999,4.870199999999999,0.0,0.0,0.2,0.2
62,4,0,-1,1234,6,CCALPeps,526.659,523.8556000000002,0.00028417864618986063,0.0002845097421958487,0.19971549025780416,0.19971582135381014
63,4,0,-1,2468,6,CVE,2.325,1.8902,0.2,0.2,0.0,0.0
64,4,0,-1,2468,6,CCVE,64.2146,5.0928,0.2,0.2,0.0,0.0
65,4,0,-1,2468,6,CCALPeps,466.2896,463.6652,0.1999956036545036,0.19999560458105967,4.3954189403311695e-06,4.396345496467711e-06
66,4,0,-1,3702,6,CVE,2.3192,1.8662,0.007060590886329494,0.007060590886329494,0.19293940911367047,0.19293940911367047
67,4,0,-1,3702,6,CCVE,67.00519999999999,4.3662,7.690335811330429e-05,0.007353676838419211,0.1926463231615808,0.1999230966418867
68,4,0,-1,3702,6,CCALPeps,475.57440000000014,473.1344,8.579582983138471e-05,0.007356307052954314,0.1926436929470457,0.1999142041701686
69,4,0,-1,4936,6,CVE,2.3602,1.8726,0.07561859405735584,0.07561859405735584,0.12438140594264414,0.12438140594264414
70,4,0,-1,4936,6,CCVE,64.53560000000002,4.7932,0.07561859405735584,0.07561859405735584,0.12438140594264414,0.12438140594264414
71,4,0,-1,4936,6,CCALPeps,544.4395999999998,541.673,0.07563267453407553,0.07563909768295649,0.12436090231704353,0.12436732546592448
72,4,0,-1,6170,6,CVE,2.5308,2.045,0.18182897862232772,0.18182897862232772,0.01817102137767221,0.01817102137767221
73,4,0,-1,6170,6,CCVE,66.748,4.481,0.18182897862232772,0.18182897862232772,0.01817102137767221,0.01817102137767221
74,4,0,-1,6170,6,CCALPeps,508.4108,505.7688,0.18179554657708372,0.18180832488590198,0.01819167511409803,0.018204453422916232
75,4,0,-1,7404,6,CVE,2.3216,1.873,0.06585708550782818,0.06585708550782818,0.1341429144921718,0.1341429144921718
76,4,0,-1,7404,6,CCVE,78.2504,18.7232,0.06375190645653281,0.06750125187781672,0.13249874812218326,0.13624809354346726
77,4,0,-1,7404,6,CCALPeps,469.017,466.4526,0.06527565917112296,0.0659989574641292,0.1340010425358708,0.13472434082887702
78,4,0,-1,8638,6,CVE,2.6662,2.1296,0.12545655783065854,0.12545655783065854,0.07454344216934146,0.07454344216934146
79,4,0,-1,8638,6,CCVE,63.0472,4.8976000000000015,0.12545655783065854,0.12545655783065854,0.07454344216934146,0.07454344216934146
80,4,0,-1,8638,6,CCALPeps,414.4352,411.6277999999999,0.12544605357324973,0.1254519951701109,0.0745480048298891,0.07455394642675027
81,4,0,-1,9872,6,CVE,2.4038000000000004,1.9042,0.13489096573208725,0.13489096573208725,0.06510903426791277,0.06510903426791277
82,4,0,-1,9872,6,CCVE,62.79280000000002,4.4778,0.11874455100261552,0.1489706799750468,0.05102932002495321,0.08125544899738449
83,4,0,-1,9872,6,CCALPeps,351.2174,348.569,0.13409488751177392,0.13815339995632184,0.061846600043678174,0.06590511248822609
84,4,0,-1,11106,6,CVE,2.7638,2.2416,0.16634322151372333,0.16634322151372333,0.033656778486276684,0.033656778486276684
85,4,0,-1,11106,6,CCVE,63.8556,5.044199999999999,0.10445682451253482,0.18382352941176472,0.016176470588235296,0.09554317548746516
86,4,0,-1,11106,6,CCALPeps,471.421,468.9018,0.11063099452967966,0.16735910991589092,0.03264089008410909,0.08936900547032034
87,4,0,-1,12340,6,CVE,2.6686,2.1852,0.1736880573015641,0.1736880573015641,0.026311942698435897,0.026311942698435897
88,4,0,-1,12340,6,CCVE,75.3214,5.7766,0.16605054696341004,0.176221928665786,0.023778071334214,0.03394945303658997
89,4,0,-1,12340,6,CCALPeps,524.6074000000001,522.1647999999999,0.16604486068584634,0.17621125616358094,0.023788743836419046,0.033955139314153636
120,5,0,-1,1234,6,CVE,3.2252,2.7588,0.15818755513873098,0.15818755513873098,0.04181244486126896,0.04181244486126896
121,5,0,-1,1234,6,CCVE,93.9212,11.5814,0.15818755513873106,0.15818755513873106,0.04181244486126896,0.04181244486126896
122,5,0,-1,1234,6,CCALPeps,772.5294000000001,769.3914,0.15817583365854282,0.15818202992089064,0.04181797007910936,0.04182416634145718
123,5,0,-1,2468,6,CVE,3.0622,2.6430000000000002,0.1994639214890595,0.1994639214890595,0.0005360785109404867,0.0005360785109404867
124,5,0,-1,2468,6,CCVE,94.5396,11.2008,0.1994639214890595,0.1994639214890595,0.0005360785109404868,0.0005360785109404868
125,5,0,-1,2468,6,CCALPeps,771.0003999999999,767.613,0.1994533194334029,0.1994534713534206,0.0005465286465794055,0.0005466805665971441
126,5,0,-1,3702,6,CVE,3.0504,2.5469999999999997,0.1913415608976234,0.1913415608976234,0.008658439102376634,0.008658439102376634
127,5,0,-1,3702,6,CCVE,107.5006,24.8956,0.17562520720769156,0.19207976984950195,0.007920230150498071,0.02437479279230845
128,5,0,-1,3702,6,CCALPeps,795.9381999999997,792.1694,0.17550335427827687,0.1919147682676248,0.008085231732375209,0.02449664572172312
129,5,0,-1,4936,6,CVE,3.0476,2.636,0.07475741978350066,0.07475741978350066,0.12524258021649934,0.12524258021649934
130,5,0,-1,4936,6,CCVE,100.5914,11.2868,0.07475741978350067,0.07475741978350067,0.1252425802164993,0.1252425802164993
131,5,0,-1,4936,6,CCALPeps,800.0204000000001,796.938,0.0747698962965319,0.07477566365372679,0.12522433634627322,0.1252301037034681
132,5,0,-1,6170,6,CVE,3.3854,2.8748000000000005,0.1858680486346422,0.1858680486346422,0.01413195136535778,0.01413195136535778
133,5,0,-1,6170,6,CCVE,101.7114,11.9708,0.1858680486346422,0.1858680486346422,0.014131951365357784,0.014131951365357784
134,5,0,-1,6170,6,CCALPeps,827.35,824.2434,0.18584188884822664,0.1858433773299029,0.014156622670097076,0.01415811115177337
135,5,0,-1,7404,6,CVE,2.9874,2.511,0.0656967218293397,0.0656967218293397,0.1343032781706603,0.1343032781706603
136,5,0,-1,7404,6,CCVE,inf,inf,,,,
137,5,0,-1,7404,6,CCALPeps,837.7094000000003,834.4415999999999,0.06448568529615656,0.0660001197327585,0.1339998802672415,0.13551431470384342
138,5,0,-1,8638,6,CVE,2.9096,2.4854,0.18058252427184468,0.18058252427184468,0.019417475728155338,0.019417475728155338
139,5,0,-1,8638,6,CCVE,104.76699999999998,9.7306,0.18058252427184465,0.18058252427184465,0.019417475728155338,0.019417475728155338
140,5,0,-1,8638,6,CCALPeps,778.8969999999998,775.8456,0.18053491259885107,0.1805411145340884,0.01945888546591164,0.019465087401148905
141,5,0,-1,9872,6,CVE,3.154,2.6866,0.13753853819563389,0.13753853819563389,0.0624614618043661,0.0624614618043661
142,5,0,-1,9872,6,CCVE,106.0412,24.2064,0.13480416727715788,0.1432951351006984,0.05670486489930161,0.06519583272284214
143,5,0,-1,9872,6,CCALPeps,614.3848,611.1732,0.13687996315980788,0.14112007701031992,0.058879922989680075,0.06312003684019211
144,5,0,-1,11106,6,CVE,2.888,2.4726000000000004,0.133793692125467,0.133793692125467,0.06620630787453304,0.06620630787453304
