,N,dovar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,obsvar,target
0,3,0,1234,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
1,3,0,1234,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
2,3,0,1234,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
3,3,0,2468,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
4,3,0,2468,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
5,3,0,2468,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
6,3,0,3702,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
7,3,0,3702,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
8,3,0,3702,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
9,3,0,4936,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
10,3,0,4936,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
11,3,0,4936,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
12,3,0,6170,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
13,3,0,6170,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
14,3,0,6170,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
15,3,0,7404,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
16,3,0,7404,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
17,3,0,7404,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
18,3,0,8638,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
19,3,0,8638,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
20,3,0,8638,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
21,3,0,9872,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
22,3,0,9872,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
23,3,0,9872,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
24,3,0,11106,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
25,3,0,11106,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
26,3,0,11106,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
27,3,0,12340,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
28,3,0,12340,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
29,3,0,12340,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
30,4,0,1234,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
31,4,0,1234,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
32,4,0,1234,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
33,4,0,2468,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
34,4,0,2468,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
35,4,0,2468,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
36,4,0,3702,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
37,4,0,3702,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
38,4,0,3702,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
39,4,0,4936,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
40,4,0,4936,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
41,4,0,4936,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
42,4,0,6170,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
43,4,0,6170,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
44,4,0,6170,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
45,4,0,7404,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
46,4,0,7404,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
47,4,0,7404,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
48,4,0,8638,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
49,4,0,8638,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
50,4,0,8638,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
51,4,0,9872,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
52,4,0,9872,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
53,4,0,9872,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
54,4,0,11106,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
55,4,0,11106,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
56,4,0,11106,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
57,4,0,12340,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
58,4,0,12340,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
59,4,0,12340,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
60,5,0,1234,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
61,5,0,1234,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
62,5,0,1234,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
63,5,0,2468,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
64,5,0,2468,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
65,5,0,2468,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
66,5,0,3702,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
67,5,0,3702,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
68,5,0,3702,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
69,5,0,4936,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
70,5,0,4936,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
71,5,0,4936,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
72,5,0,6170,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
73,5,0,6170,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
74,5,0,6170,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
75,5,0,7404,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
76,5,0,7404,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
77,5,0,7404,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
78,5,0,8638,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
79,5,0,8638,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
80,5,0,8638,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
81,5,0,9872,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
82,5,0,9872,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
83,5,0,9872,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
84,5,0,11106,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
85,5,0,11106,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
86,5,0,11106,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
87,5,0,12340,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
88,5,0,12340,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
89,5,0,12340,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0
90,6,0,1234,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
91,6,0,1234,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
92,6,0,1234,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
93,6,0,2468,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
94,6,0,2468,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
95,6,0,2468,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
96,6,0,3702,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
97,6,0,3702,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
98,6,0,3702,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
99,6,0,4936,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
100,6,0,4936,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
101,6,0,4936,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
102,6,0,6170,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
103,6,0,6170,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
104,6,0,6170,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
105,6,0,7404,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
106,6,0,7404,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
107,6,0,7404,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
108,6,0,8638,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
109,6,0,8638,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
110,6,0,8638,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
111,6,0,9872,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
112,6,0,9872,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
113,6,0,9872,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
114,6,0,11106,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
115,6,0,11106,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
116,6,0,11106,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
117,6,0,12340,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
118,6,0,12340,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
119,6,0,12340,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0
120,7,0,1234,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
121,7,0,1234,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
122,7,0,1234,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
123,7,0,2468,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
124,7,0,2468,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
125,7,0,2468,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
126,7,0,3702,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
127,7,0,3702,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
128,7,0,3702,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
129,7,0,4936,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
130,7,0,4936,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
131,7,0,4936,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
132,7,0,6170,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
133,7,0,6170,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
134,7,0,6170,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
135,7,0,7404,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
136,7,0,7404,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
137,7,0,7404,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
138,7,0,8638,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
139,7,0,8638,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
140,7,0,8638,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
141,7,0,9872,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
142,7,0,9872,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
143,7,0,9872,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
144,7,0,11106,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
145,7,0,11106,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
146,7,0,11106,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
147,7,0,12340,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
148,7,0,12340,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
149,7,0,12340,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0
150,8,0,1234,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
151,8,0,1234,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
152,8,0,1234,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
153,8,0,2468,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
154,8,0,2468,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
155,8,0,2468,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
156,8,0,3702,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
157,8,0,3702,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
158,8,0,3702,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
159,8,0,4936,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
160,8,0,4936,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
161,8,0,4936,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
162,8,0,6170,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
163,8,0,6170,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
164,8,0,6170,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
165,8,0,7404,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
166,8,0,7404,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
167,8,0,7404,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
168,8,0,8638,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
169,8,0,8638,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
170,8,0,8638,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
171,8,0,9872,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
172,8,0,9872,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
173,8,0,9872,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
174,8,0,11106,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
175,8,0,11106,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
176,8,0,11106,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
177,8,0,12340,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
178,8,0,12340,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
179,8,0,12340,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0
180,9,0,1234,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
181,9,0,1234,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
182,9,0,1234,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
183,9,0,2468,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
184,9,0,2468,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
185,9,0,2468,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
186,9,0,3702,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
187,9,0,3702,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
188,9,0,3702,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
189,9,0,4936,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
190,9,0,4936,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
191,9,0,4936,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
192,9,0,6170,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
193,9,0,6170,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
194,9,0,6170,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
195,9,0,7404,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
196,9,0,7404,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
197,9,0,7404,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
198,9,0,8638,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
199,9,0,8638,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
200,9,0,8638,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
201,9,0,9872,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
202,9,0,9872,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
203,9,0,9872,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
204,9,0,11106,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
205,9,0,11106,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
206,9,0,11106,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
207,9,0,12340,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
208,9,0,12340,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
209,9,0,12340,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0
210,10,0,1234,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0
211,10,0,1234,6,CCVE,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0
212,10,0,1234,6,CCALPeps,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0
213,10,0,2468,6,CVE,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0
