,N,dovar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,obsvar,target
0,3,0,1234,6,CVE,2.8522,2.4338,0.15258984170624867,0.15258984170624867,0.8474101582937513,0.8474101582937513,5.0,2.0
1,3,0,1234,6,CCVE,157.9664,10.68,0.1525898417062487,0.1525898417062487,0.8474101582937513,0.8474101582937513,5.0,2.0
2,3,0,1234,6,CCALPeps,670.5885999999999,666.7772,0.15273068354055813,0.15274585073116312,0.8472541492688369,0.8472693164594418,5.0,2.0
3,3,0,2468,6,CVE,3.1434,2.6276,0.8899999999999999,0.8899999999999999,0.11000000000000001,0.11000000000000001,5.0,2.0
4,3,0,2468,6,CCVE,143.80720000000002,10.427600000000002,0.89,0.89,0.11,0.11,5.0,2.0
5,3,0,2468,6,CCALPeps,659.4998,655.5276,0.889846040592421,0.8898839992033194,0.11011600079668064,0.11015395940757898,5.0,2.0
6,3,0,3702,6,CVE,3.2110000000000007,2.6994,0.9408990215232194,0.9408990215232194,0.05910097847678058,0.05910097847678058,5.0,2.0
7,3,0,3702,6,CCVE,594.88,464.81000000000006,0.010160181547384448,0.980312226842359,0.01968777315764106,0.9898398184526155,5.0,2.0
8,3,0,3702,6,CCALPeps,813.4914000000001,809.8134,0.010557205476604034,0.9800167473143176,0.019983252685682386,0.989442794523396,5.0,2.0
9,3,0,4936,6,CVE,2.8010000000000006,2.3764,0.14316119332693317,0.14316119332693317,0.8568388066730669,0.8568388066730669,5.0,2.0
10,3,0,4936,6,CCVE,137.57639999999998,9.586599999999999,0.14316119332693317,0.14316119332693317,0.8568388066730668,0.8568388066730668,5.0,2.0
11,3,0,4936,6,CCALPeps,661.5314000000001,657.936,0.14324640875005418,0.14333530338652345,0.8566646966134766,0.8567535912499459,5.0,2.0
12,3,0,6170,6,CVE,3.0294,2.554,0.14591536797737228,0.14591536797737228,0.8540846320226276,0.8540846320226276,5.0,2.0
13,3,0,6170,6,CCVE,146.96380000000002,11.4622,0.14591536797737226,0.14591536797737226,0.8540846320226275,0.8540846320226275,5.0,2.0
14,3,0,6170,6,CCALPeps,672.2536,667.9766,0.14597880465756266,0.1459929253869161,0.8540070746130839,0.8540211953424374,5.0,2.0
15,3,0,7404,6,CVE,3.4113999999999995,2.8784,0.9899660607307228,0.9899660607307228,0.010033939269277248,0.010033939269277248,5.0,2.0
16,3,0,7404,6,CCVE,20917.669199999997,20782.932800000002,0.9498371823985603,1.0,0.0,0.05016281760143964,5.0,2.0
17,3,0,7404,6,CCALPeps,657.5745999999999,654.1121999999999,0.9497560163404241,0.9997943192015433,0.0002056807984567573,0.050243983659575935,5.0,2.0
18,3,0,8638,6,CVE,3.0504000000000002,2.5793999999999997,0.13618677042801558,0.13618677042801558,0.8638132295719845,0.8638132295719845,5.0,2.0
19,3,0,8638,6,CCVE,141.676,11.012400000000001,0.1361867704280156,0.1361867704280156,0.8638132295719845,0.8638132295719845,5.0,2.0
20,3,0,8638,6,CCALPeps,666.8958,663.1756,0.1361580221602232,0.1362139130420661,0.8637860869579339,0.8638419778397768,5.0,2.0
21,3,0,9872,6,CVE,2.9257999999999997,2.4861999999999997,0.04231974921630093,0.04231974921630093,0.9576802507836991,0.9576802507836991,5.0,2.0
22,3,0,9872,6,CCVE,411.60159999999996,279.9144,0.020962732919254656,0.16336633663366332,0.8366336633663367,0.9790372670807453,5.0,2.0
23,3,0,9872,6,CCALPeps,595.6967999999999,592.1054,0.02111679518899417,0.16342015957257722,0.8365798404274227,0.9788832048110059,5.0,2.0
24,3,0,11106,6,CVE,2.9859999999999998,2.4968,0.0819100009523116,0.0819100009523116,0.9180899990476885,0.9180899990476885,5.0,2.0
25,3,0,11106,6,CCVE,22474.2016,22355.621399999996,0.07273704082317914,0.8686860503738749,0.13131394962612508,0.9272629591768208,5.0,2.0
26,3,0,11106,6,CCALPeps,642.7185999999999,638.6153999999999,0.07297434585519563,0.8683840143912132,0.13161598560878687,0.9270256541448043,5.0,2.0
27,3,0,12340,6,CVE,2.8674,2.4137999999999997,0.712411215038952,0.712411215038952,0.28758878496104806,0.28758878496104806,5.0,2.0
28,3,0,12340,6,CCVE,12489.333600000002,12357.321,0.6241353206818242,0.8425346393173111,0.15746536068268893,0.3758646793181759,5.0,2.0
29,3,0,12340,6,CCALPeps,705.007,701.4366,0.6242310681002231,0.8423752718119142,0.15762472818808582,0.3757689318997769,5.0,2.0
30,4,0,1234,6,CVE,3.3047999999999993,2.7734,0.3982300884955753,0.3982300884955753,0.6017699115044247,0.6017699115044247,7.0,2.0
31,4,0,1234,6,CCVE,162.2522,9.43,0.3982300884955753,0.3982300884955753,0.6017699115044247,0.6017699115044247,7.0,2.0
32,4,0,1234,6,CCALPeps,747.1922000000001,742.5057999999999,0.3952796159945794,0.39559048284636494,0.604409517153635,0.6047203840054206,7.0,2.0
33,4,0,2468,6,CVE,3.0759999999999996,2.5662,0.8875614287271085,0.8875614287271085,0.11243857127289145,0.11243857127289145,7.0,2.0
34,4,0,2468,6,CCVE,161.3458,10.8176,0.8875614287271085,0.8875614287271085,0.11243857127289145,0.11243857127289145,7.0,2.0
35,4,0,2468,6,CCALPeps,796.7824,792.786,0.8874057884426446,0.8874444815900792,0.11255551840992084,0.11259421155735538,7.0,2.0
36,4,0,3702,6,CVE,2.9932000000000003,2.4988,0.9397409901157984,0.9397409901157984,0.060259009884201506,0.060259009884201506,7.0,2.0
37,4,0,3702,6,CCVE,372.8418,230.0054,0.009954728847959985,0.9799099729353486,0.020090027064651298,0.99004527115204,7.0,2.0
38,4,0,3702,6,CCALPeps,776.4008,771.9914,0.01034390847320002,0.9796087773010455,0.020391222698954548,0.9896560915268,7.0,2.0
