,N,dovar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,obsvar,target
0,3,0,1234,6,CCVE,629.819,58.239,0.1525898417062487,0.1525898417062487,0.8474101582937513,0.8474101582937513,5.0,2.0
1,3,0,1234,6,CCALPeps,1037.448,976.268,0.15273068354055813,0.15274585073116312,0.8472541492688369,0.8472693164594419,5.0,2.0
2,3,0,1851,6,CCVE,954.61,349.938,0.019950828514444123,0.9498805557301817,0.05011944426981832,0.9800491714855558,5.0,2.0
3,3,0,1851,6,CCALPeps,967.559,904.375,0.020146342009409457,0.9496000148026166,0.05039998519738347,0.9798536579905905,5.0,2.0
4,3,0,2468,6,CCVE,640.345,61.383,0.89,0.89,0.10999999999999997,0.10999999999999997,5.0,2.0
5,3,0,2468,6,CCALPeps,1032.081,966.995,0.889846040592421,0.8898839992033194,0.11011600079668064,0.11015395940757897,5.0,2.0
6,3,0,3085,6,CCVE,645.273,60.44,0.6331829284209347,0.6331829284209347,0.36681707157906523,0.36681707157906523,5.0,2.0
7,3,0,3085,6,CCALPeps,1109.743,1046.096,0.6328916934672296,0.6329913103215467,0.36700868967845335,0.3671083065327704,5.0,2.0
8,3,0,3702,6,CCVE,1233.473,648.48,0.010160181547384448,0.980312226842359,0.019687773157641062,0.9898398184526155,5.0,2.0
9,3,0,3702,6,CCALPeps,1165.686,1103.559,0.010557205476604034,0.9800167473143176,0.019983252685682386,0.989442794523396,5.0,2.0
10,3,0,4319,6,CCVE,663.817,56.603,0.1375970413092532,0.1375970413092532,0.8624029586907468,0.8624029586907468,5.0,2.0
11,3,0,4319,6,CCALPeps,1051.339,989.219,0.13775174503781723,0.13775174503781737,0.8622482549621826,0.8622482549621827,5.0,2.0
12,3,0,4936,6,CCVE,685.921,96.789,0.14316119332693317,0.14316119332693317,0.8568388066730668,0.8568388066730668,5.0,2.0
13,3,0,4936,6,CCALPeps,1164.072,1098.182,0.14324640875005418,0.14333530338652345,0.8566646966134766,0.8567535912499458,5.0,2.0
14,3,0,5553,6,CCVE,624.115,63.243,0.19245682058512514,0.19245682058512514,0.8075431794148749,0.8075431794148749,5.0,2.0
15,3,0,5553,6,CCALPeps,1024.477,962.053,0.19316898722668527,0.19316898722668552,0.8068310127733145,0.8068310127733147,5.0,2.0
16,3,0,6170,6,CCVE,629.651,72.653,0.14591536797737226,0.14591536797737226,0.8540846320226275,0.8540846320226275,5.0,2.0
17,3,0,6170,6,CCALPeps,1106.262,1045.301,0.14597880465756266,0.14599292538691616,0.8540070746130839,0.8540211953424374,5.0,2.0
18,3,0,6787,6,CCVE,182803.086,182236.46,0.0,0.9775060458058704,0.02249395419412964,1.0,5.0,2.0
19,3,0,6787,6,CCALPeps,1246.292,1183.521,0.0020552951953514923,0.9773854912144592,0.022614508785540832,0.9979447048046485,5.0,2.0
20,3,0,7404,6,CCVE,23814.014,23247.544,0.9498371823985603,1.0,0.0,0.05016281760143965,5.0,2.0
21,3,0,7404,6,CCALPeps,1068.045,1002.64,0.9497560163404241,0.9997943192015433,0.0002056807984567573,0.05024398365957593,5.0,2.0
22,3,0,8021,6,CCVE,661.846,62.594,0.9798593089130123,0.9798593089130123,0.020140691086987735,0.020140691086987735,5.0,2.0
23,3,0,8021,6,CCALPeps,1025.119,962.991,0.9796660787766661,0.9797606674515984,0.0202393325484016,0.020333921223333884,5.0,2.0
24,3,0,8638,6,CCVE,661.337,66.783,0.1361867704280156,0.1361867704280156,0.8638132295719845,0.8638132295719845,5.0,2.0
25,3,0,8638,6,CCALPeps,1035.641,970.297,0.1361580221602232,0.13621391304206612,0.8637860869579339,0.8638419778397768,5.0,2.0
26,3,0,9255,6,CCVE,inf,inf,,,,,5.0,2.0
27,3,0,9255,6,CCALPeps,1042.604,975.989,0.8888637621800585,0.9853921539871268,0.014607846012873238,0.11113623781994149,5.0,2.0
28,3,0,9872,6,CCVE,996.793,404.766,0.020962732919254656,0.16336633663366332,0.8366336633663367,0.9790372670807453,5.0,2.0
29,3,0,9872,6,CCALPeps,963.028,898.589,0.02111679518899417,0.16342015957257722,0.8365798404274228,0.9788832048110059,5.0,2.0
30,3,0,10489,6,CCVE,633.357,64.92,0.05113787596486559,0.05113787596486559,0.9488621240351345,0.9488621240351345,5.0,2.0
31,3,0,10489,6,CCALPeps,1098.935,1031.353,0.051229446810293795,0.05122944681029387,0.9487705531897062,0.9487705531897062,5.0,2.0
32,3,0,11106,6,CCVE,26268.117,25704.224,0.07273704082317914,0.8686860503738749,0.13131394962612508,0.9272629591768208,5.0,2.0
33,3,0,11106,6,CCALPeps,1047.437,987.451,0.07297434585519563,0.8683840143912133,0.13161598560878673,0.9270256541448043,5.0,2.0
34,3,0,11723,6,CCVE,668.327,60.8,0.7993482523935863,0.7993482523935863,0.2006517476064137,0.2006517476064137,5.0,2.0
35,3,0,11723,6,CCALPeps,1053.709,992.944,0.7992709585800781,0.7993073708029412,0.2006926291970588,0.20072904141992187,5.0,2.0
36,3,0,12340,6,CCVE,15948.515,15304.837,0.6241353206818241,0.8425346393173111,0.1574653606826889,0.37586467931817596,5.0,2.0
37,3,0,12340,6,CCALPeps,1115.201,1052.817,0.6242310681002232,0.8423752718119142,0.15762472818808582,0.3757689318997768,5.0,2.0
38,3,0,12957,6,CCVE,38900.378,38329.073,0.7383770914622049,0.7823219876107375,0.21767801238926263,0.2616229085377952,5.0,2.0
39,3,0,12957,6,CCALPeps,1040.818,977.942,0.7383834118004501,0.7821737208543986,0.2178262791456014,0.2616165881995499,5.0,2.0
40,3,0,13574,6,CCVE,699.677,57.577,0.28959931220163354,0.28959931220163354,0.7104006877983665,0.7104006877983665,5.0,2.0
41,3,0,13574,6,CCALPeps,1030.001,968.786,0.28962425096667166,0.28968849747141323,0.7103115025285868,0.7103757490333283,5.0,2.0
42,3,0,14191,6,CCVE,1073.824,498.41,0.08430095716303153,0.33314623559347406,0.666853764406526,0.9156990428369685,5.0,2.0
43,3,0,14191,6,CCALPeps,1027.458,966.017,0.08451512854749087,0.33311828658524645,0.6668817134147536,0.9154848714525091,5.0,2.0
44,3,0,14808,6,CCVE,3778.666,3186.35,0.6979851136826191,0.9798114373673531,0.020188562632646876,0.30201488631738094,5.0,2.0
45,3,0,14808,6,CCALPeps,1249.55,1187.018,0.6980059327967805,0.979611710664919,0.020388289335080915,0.3019940672032195,5.0,2.0
