,N,dovar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,obsvar,target
0,20,0,1234,6,CVE,,,,,,,39.0,18.0
1,20,0,1234,6,CCVE,,,,,,,39.0,18.0
2,20,0,1234,6,CCALPeps,7314.3938,7293.4422,0.4746021756533495,0.47650388662273657,0.5253978243466505,0.5254503641290861,39.0,18.0
3,20,0,2468,6,CVE,,,,,,,39.0,18.0
4,20,0,2468,6,CCVE,,,,,,,39.0,18.0
5,20,0,2468,6,CCALPeps,7092.448200000001,7074.3106,0.6086187477186431,0.6105204586880305,0.3913812522813569,0.3914203904065855,39.0,18.0
6,20,0,3702,6,CVE,,,,,,,39.0,18.0
7,20,0,3702,6,CCVE,,,,,,,39.0,18.0
8,20,0,3702,6,CCALPeps,7114.619000000001,7096.536,0.6720914736848803,0.6739931846542673,0.3279085263151197,0.3279413171677518,39.0,18.0
9,20,0,4936,6,CVE,,,,,,,39.0,18.0
10,20,0,4936,6,CCVE,,,,,,,39.0,18.0
11,20,0,4936,6,CCALPeps,7512.037599999999,7493.185,0.5246785743015537,0.5265802799035758,0.47532142569844626,0.475368963208918,39.0,18.0
12,20,0,6170,6,CVE,,,,,,,39.0,18.0
13,20,0,6170,6,CCVE,,,,,,,39.0,18.0
14,20,0,6170,6,CCALPeps,8024.9468,8005.819600000001,0.7550030341993861,0.7568877588764995,0.24499696580061395,0.24503845348809708,39.0,18.0
15,20,0,7404,6,CVE,,,,,,,39.0,18.0
16,20,0,7404,6,CCVE,,,,,,,39.0,18.0
17,20,0,7404,6,CCALPeps,7351.2806,7332.7062000000005,0.6013398227388309,0.6032415337082178,0.39866017726116915,0.3987000432788959,39.0,18.0
18,20,0,8638,6,CVE,,,,,,,39.0,18.0
19,20,0,8638,6,CCVE,,,,,,,39.0,18.0
20,20,0,8638,6,CCALPeps,7288.026000000001,7270.7734,0.9300594194995535,0.9319611304610231,0.0699405805004465,0.06994757456641494,39.0,18.0
21,20,0,9872,6,CVE,,,,,,,39.0,18.0
22,20,0,9872,6,CCVE,,,,,,,39.0,18.0
23,20,0,9872,6,CCALPeps,6917.685800000001,6900.323600000001,0.8049762317755053,0.8068779427448927,0.19502376822449474,0.1950432706013174,39.0,18.0
24,20,0,11106,6,CVE,,,,,,,39.0,18.0
25,20,0,11106,6,CCVE,,,,,,,39.0,18.0
26,20,0,11106,6,CCALPeps,7306.8754,7288.535000000001,0.01709530173986329,0.018997012709250045,0.9829046982601367,0.9830029887299642,39.0,18.0
27,20,0,12340,6,CVE,,,,,,,39.0,18.0
28,20,0,12340,6,CCVE,,,,,,,39.0,18.0
29,20,0,12340,6,CCALPeps,7413.8742,7396.2668,0.37306357525365297,0.37496528613358926,0.626936424746347,0.6269991184782826,39.0,18.0
30,21,0,1234,6,CVE,,,,,,,41.0,20.0
31,21,0,1234,6,CCVE,,,,,,,41.0,20.0
32,21,0,1234,6,CCALPeps,8523.7314,8504.9224,0.8007549407117347,0.802857042042333,0.19924505928826525,0.19926498379419436,41.0,20.0
33,21,0,2468,6,CVE,,,,,,,41.0,20.0
34,21,0,2468,6,CCVE,,,,,,,41.0,20.0
35,21,0,2468,6,CCALPeps,8062.7326,8044.2024,0.7328582147284317,0.7349603160508879,0.26714178527156823,0.2671684994582386,41.0,20.0
36,21,0,3702,6,CVE,,,,,,,41.0,20.0
37,21,0,3702,6,CCVE,,,,,,,41.0,20.0
38,21,0,3702,6,CCALPeps,8860.126,8840.078,0.7701006489538376,0.7722027502844362,0.22989935104616244,0.22992234098126738,41.0,20.0
39,21,0,4936,6,CVE,,,,,,,41.0,20.0
40,21,0,4936,6,CCVE,,,,,,,41.0,20.0
41,21,0,4936,6,CCALPeps,8295.637599999998,8275.285200000002,0.568408703696415,0.5705108050270132,0.43159129630358495,0.43163445543321577,41.0,20.0
42,21,0,6170,6,CVE,,,,,,,41.0,20.0
43,21,0,6170,6,CCVE,,,,,,,41.0,20.0
44,21,0,6170,6,CCALPeps,9456.583799999999,9433.962,0.49697764813694933,0.4988863332745316,0.5030223518630507,0.5032660896328729,41.0,20.0
45,21,0,7404,6,CVE,,,,,,,41.0,20.0
46,21,0,7404,6,CCVE,,,,,,,41.0,20.0
47,21,0,7404,6,CCALPeps,8632.0908,8611.0324,0.6981959792098777,0.700298080540476,0.30180402079012225,0.3018342011922016,41.0,20.0
48,21,0,8638,6,CVE,,,,,,,41.0,20.0
49,21,0,8638,6,CCVE,,,,,,,41.0,20.0
50,21,0,8638,6,CCALPeps,8226.7316,8207.2318,0.4286579330694912,0.43076003440008914,0.5713420669305088,0.5713992011372024,41.0,20.0
51,21,0,9872,6,CVE,,,,,,,41.0,20.0
52,21,0,9872,6,CCVE,,,,,,,41.0,20.0
53,21,0,9872,6,CCALPeps,8408.938400000001,8389.2944,0.1964421800165772,0.19854428134717533,0.8035578199834228,0.8036381757654221,41.0,20.0
54,21,0,11106,6,CVE,,,,,,,41.0,20.0
55,21,0,11106,6,CCVE,,,,,,,41.0,20.0
56,21,0,11106,6,CCALPeps,8174.435,8155.477800000001,0.07426506304166669,0.07636716341208769,0.9257349369583333,0.9258275114123039,41.0,20.0
57,21,0,12340,6,CVE,,,,,,,41.0,20.0
58,21,0,12340,6,CCVE,,,,,,,41.0,20.0
59,21,0,12340,6,CCALPeps,8287.0668,8266.889200000001,0.43446449169723034,0.4365665930278284,0.5655355083027697,0.5655920618536007,41.0,20.0
60,22,0,1234,6,CVE,,,,,,,43.0,20.0
61,22,0,1234,6,CCVE,,,,,,,43.0,20.0
62,22,0,1234,6,CCALPeps,9093.451400000002,9071.582400000001,0.4707243743019516,0.4728227099667837,0.5292756256980484,0.5293323193029517,43.0,20.0
63,22,0,2468,6,CVE,,,,,,,43.0,20.0
64,22,0,2468,6,CCVE,,,,,,,43.0,20.0
65,22,0,2468,6,CCALPeps,8319.8318,8298.981600000001,0.42831718700392196,0.4304192883345202,0.571682812996078,0.5717399812773785,43.0,20.0
66,22,0,3702,6,CVE,,,,,,,43.0,20.0
67,22,0,3702,6,CCVE,,,,,,,43.0,20.0
68,22,0,3702,6,CCALPeps,8573.386199999999,8552.545800000002,0.4507492997587844,0.4528514010893832,0.5492507002412156,0.5493056253112408,43.0,20.0
69,22,0,4936,6,CVE,,,,,,,43.0,20.0
70,22,0,4936,6,CCVE,,,,,,,43.0,20.0
71,22,0,4936,6,CCALPeps,8352.1338,8332.3096,0.15474757853749677,0.15684967986809534,0.8452524214625032,0.8453369467046506,43.0,20.0
72,22,0,6170,6,CVE,,,,,,,43.0,20.0
73,22,0,6170,6,CCVE,,,,,,,43.0,20.0
74,22,0,6170,6,CCALPeps,8537.473800000002,8515.5718,0.407456666193715,0.409558767524313,0.592543333806285,0.5926025881396664,43.0,20.0
75,22,0,7404,6,CVE,,,,,,,43.0,20.0
76,22,0,7404,6,CCVE,,,,,,,43.0,20.0
77,22,0,7404,6,CCALPeps,8013.8902,7991.5772,0.9253995092929914,0.9275016106235896,0.07460049070700861,0.0746079507560794,43.0,20.0
78,22,0,8638,6,CVE,,,,,,,43.0,20.0
79,22,0,8638,6,CCVE,,,,,,,43.0,20.0
80,22,0,8638,6,CCALPeps,8407.304,8385.6918,0.5950350813469978,0.5971155217321935,0.4049649186530022,0.40502707825636514,43.0,20.0
81,22,0,9872,6,CVE,,,,,,,43.0,20.0
82,22,0,9872,6,CCVE,,,,,,,43.0,20.0
83,22,0,9872,6,CCALPeps,8557.506599999999,8536.18,0.6356825685374317,0.6377846698680301,0.3643174314625684,0.36435386320571517,43.0,20.0
84,22,0,11106,6,CVE,,,,,,,43.0,20.0
85,22,0,11106,6,CCVE,,,,,,,43.0,20.0
