,N,dovar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,obsvar,target
0,3,0,1234,6,CCVE,2300.97,542.233,0.5162224745420247,0.5162224745420247,0.48377752545797525,0.48377752545797525,5.0,2.0
1,3,0,1234,6,CCALPeps,4008.819,3865.333,0.5160364962038373,0.5160638274485072,0.48393617255149285,0.4839635037961627,5.0,2.0
2,3,0,2468,6,CCVE,1344.35,256.508,0.8852551914401819,0.8852551914401819,0.11474480855981808,0.11474480855981808,5.0,2.0
3,3,0,2468,6,CCALPeps,3360.013,3242.827,0.8849464650740939,0.885066233188477,0.11493376681152301,0.11505353492590609,5.0,2.0
4,3,0,3702,6,CCVE,inf,inf,,,,,5.0,2.0
5,3,0,3702,6,CCALPeps,3465.992,3342.933,0.00831034188488381,0.9746942805541974,0.02530571944580262,0.9916896581151162,5.0,2.0
6,3,0,4936,6,CCVE,1244.64,240.243,0.1319930293975565,0.1319930293975565,0.8680069706024436,0.8680069706024436,5.0,2.0
7,3,0,4936,6,CCALPeps,3753.744,3609.952,0.1320704975564959,0.1321296200544015,0.8678703799455986,0.8679295024435041,5.0,2.0
8,3,0,6170,6,CCVE,1259.865,263.83,0.1315733733849383,0.1315733733849383,0.8684266266150618,0.8684266266150618,5.0,2.0
9,3,0,6170,6,CCALPeps,3878.512,3749.922,0.13163670013709441,0.131650232558131,0.868349767441869,0.8683632998629056,5.0,2.0
10,3,0,7404,6,CCVE,inf,inf,,,,,5.0,2.0
11,3,0,7404,6,CCALPeps,3724.309,3566.797,0.948195718427611,0.9997887417053615,0.00021125829463852774,0.05180428157238903,5.0,2.0
12,3,0,8638,6,CCVE,1472.206,306.666,0.08092658383741756,0.08092658383741756,0.9190734161625825,0.9190734161625825,5.0,2.0
13,3,0,8638,6,CCALPeps,4153.159,4031.949,0.08101368710440045,0.08103519402790461,0.9189648059720954,0.9189863128955995,5.0,2.0
14,3,0,9872,6,CCVE,inf,inf,,,,,5.0,2.0
15,3,0,9872,6,CCALPeps,3661.802,3495.062,0.05957235582240299,0.364515937943882,0.635484062056118,0.940427644177597,5.0,2.0
16,3,0,11106,6,CCVE,inf,inf,,,,,5.0,2.0
17,3,0,11106,6,CCALPeps,3696.075,3565.285,0.08802537790823309,0.8899751525674264,0.11002484743257357,0.9119746220917669,5.0,2.0
18,3,0,12340,6,CCVE,inf,inf,,,,,5.0,2.0
19,3,0,12340,6,CCALPeps,3383.022,3274.352,0.30635943264204146,0.5869249191117951,0.4130750808882049,0.6936405673579585,5.0,2.0
20,3,0,13574,6,CCVE,1265.255,239.706,0.4035286373245627,0.4035286373245627,0.5964713626754373,0.5964713626754373,5.0,2.0
21,3,0,13574,6,CCALPeps,3821.663,3706.793,0.40346565392343103,0.4035491277602812,0.5964508722397188,0.596534346076569,5.0,2.0
22,3,0,14808,6,CCVE,inf,inf,,,,,5.0,2.0
23,3,0,14808,6,CCALPeps,3525.75,3337.774,0.7443407455824665,0.9837459381508166,0.016254061849183432,0.25565925441753345,5.0,2.0
24,3,0,16042,6,CCVE,inf,inf,,,,,5.0,2.0
25,3,0,16042,6,CCALPeps,3439.565,3302.195,0.9289140488209066,0.9929515293820596,0.007048470617940485,0.07108595117909342,5.0,2.0
26,3,0,17276,6,CCVE,1493.035,332.19,0.6912436912436912,0.6912436912436912,0.30875630875630866,0.30875630875630866,5.0,2.0
27,3,0,17276,6,CCALPeps,3976.268,3833.904,0.6911228769432394,0.6911521290384681,0.3088478709615319,0.30887712305676057,5.0,2.0
28,3,0,18510,6,CCVE,1321.164,311.562,1.0,1.0,0.0,0.0,5.0,2.0
29,3,0,18510,6,CCALPeps,4257.445,4118.164,0.999839575687627,0.9998497852287894,0.00015021477121059858,0.00016042431237292635,5.0,2.0
30,3,0,19744,6,CCVE,1488.401,364.019,1.0,1.0,0.0,0.0,5.0,2.0
31,3,0,19744,6,CCALPeps,4145.721,3991.348,0.9998477762770701,0.9998912394157923,0.00010876058420772328,0.00015222372292988847,5.0,2.0
32,3,0,20978,6,CCVE,42614.877,41450.762,0.07076814864831764,0.8100603612107633,0.1899396387892367,0.9292318513516824,5.0,2.0
33,3,0,20978,6,CCALPeps,3768.773,3628.31,0.07118289591595477,0.8099348903596371,0.19006510964036294,0.9288171040840453,5.0,2.0
34,3,0,22212,6,CCVE,1485.979,299.67,0.9420038627530462,0.9420038627530462,0.057996137246953905,0.057996137246953905,5.0,2.0
35,3,0,22212,6,CCALPeps,4065.558,3927.598,0.94180285151552,0.9419040378399076,0.05809596216009242,0.058197148484479974,5.0,2.0
36,3,0,23446,6,CCVE,inf,inf,,,,,5.0,2.0
37,3,0,23446,6,CCALPeps,3538.415,3403.882,0.05623722801213528,0.9348209392351172,0.06517906076488282,0.9437627719878647,5.0,2.0
38,3,0,24680,6,CCVE,1512.774,346.003,0.9202123519161138,0.9202123519161138,0.07978764808388616,0.07978764808388616,5.0,2.0
39,3,0,24680,6,CCALPeps,3422.564,3281.193,0.9201059969596153,0.9201133578097862,0.07988664219021385,0.07989400304038474,5.0,2.0
40,3,0,25914,6,CCVE,1506.951,309.691,0.49880605416978935,0.49880605416978935,0.5011939458302106,0.5011939458302106,5.0,2.0
41,3,0,25914,6,CCALPeps,3574.284,3410.242,0.49881652136911503,0.49885788586371366,0.5011421141362864,0.501183478630885,5.0,2.0
42,3,0,27148,6,CCVE,inf,inf,,,,,5.0,2.0
43,3,0,27148,6,CCALPeps,3469.834,3353.826,0.02480065363820987,0.9271871068707103,0.07281289312928974,0.9751993463617902,5.0,2.0
44,3,0,28382,6,CCVE,inf,inf,,,,,5.0,2.0
45,3,0,28382,6,CCALPeps,3453.583,3330.953,0.03468847206197443,0.09077528932212263,0.9092247106778774,0.9653115279380255,5.0,2.0
46,3,0,29616,6,CCVE,inf,inf,,,,,5.0,2.0
47,3,0,29616,6,CCALPeps,4184.832,4050.965,0.9259784531650935,0.9948107743554636,0.00518922564453644,0.07402154683490647,5.0,2.0
48,3,0,30850,6,CCVE,1490.507,317.232,0.7156004864568257,0.7156004864568257,0.2843995135431743,0.2843995135431743,5.0,2.0
49,3,0,30850,6,CCALPeps,3743.754,3607.029,0.7155163526432312,0.7155462880141332,0.2844537119858668,0.2844836473567688,5.0,2.0
50,3,0,32084,6,CCVE,inf,inf,,,,,5.0,2.0
51,3,0,32084,6,CCALPeps,3077.585,2976.269,0.3568442552674259,0.7625497114846664,0.23745028851533362,0.6431557447325741,5.0,2.0
52,3,0,33318,6,CCVE,inf,inf,,,,,5.0,2.0
53,3,0,33318,6,CCALPeps,3429.161,3293.314,0.06450537259849741,0.20016251377951322,0.7998374862204868,0.9354946274015026,5.0,2.0
54,3,0,34552,6,CCVE,1385.851,298.021,0.9657912420252663,0.9657912420252663,0.03420875797473364,0.03420875797473364,5.0,2.0
55,3,0,34552,6,CCALPeps,3542.925,3408.722,0.9655825846948027,0.9655825846948027,0.03441741530519724,0.03441741530519726,5.0,2.0
56,3,0,35786,6,CCVE,inf,inf,,,,,5.0,2.0
57,3,0,35786,6,CCALPeps,3766.014,3660.874,0.1463748740040015,0.734255708536351,0.265744291463649,0.8536251259959985,5.0,2.0
58,3,0,37020,6,CCVE,inf,inf,,,,,5.0,2.0
