,N,dovar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,obsvar,target
0,23,0,1234,6,CCALPeps,inf,inf,,,,,45.0,22.0
1,23,0,2468,6,CCALPeps,inf,inf,,,,,45.0,22.0
2,23,0,3702,6,CCALPeps,inf,inf,,,,,45.0,22.0
3,23,0,4936,6,CCALPeps,inf,inf,,,,,45.0,22.0
4,23,0,6170,6,CCALPeps,inf,inf,,,,,45.0,22.0
5,23,0,7404,6,CCALPeps,inf,inf,,,,,45.0,22.0
6,23,0,8638,6,CCALPeps,inf,inf,,,,,45.0,22.0
7,23,0,9872,6,CCALPeps,inf,inf,,,,,45.0,22.0
8,23,0,11106,6,CCALPeps,inf,inf,,,,,45.0,22.0
9,23,0,12340,6,CCALPeps,inf,inf,,,,,45.0,22.0
