,N,dovar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,obsvar,target
0,3,0,1234,6,CCVE,687.971,93.662,0.45746409650015196,0.45746409650015196,0.542535903499848,0.542535903499848,4.0,2.0
1,3,0,1234,6,CCALPeps,2083.896,2018.45,0.4574312376913952,0.45745920643605514,0.5425407935639448,0.5425687623086048,4.0,2.0
2,3,0,2468,6,CCVE,697.894,89.507,0.9866070985592904,0.9866070985592904,0.013392901440709563,0.013392901440709563,4.0,2.0
3,3,0,2468,6,CCALPeps,2041.331,1968.797,0.9865583346809595,0.9865583346809595,0.013441665319040452,0.013441665319040475,4.0,2.0
4,3,0,3702,6,CCVE,834.413,128.559,0.04198913974948058,0.04198913974948058,0.9580108602505194,0.9580108602505194,4.0,2.0
5,3,0,3702,6,CCALPeps,2067.999,2003.846,0.042124009334780214,0.04212400933478027,0.9578759906652198,0.9578759906652198,4.0,2.0
6,3,0,4936,6,CCVE,inf,inf,,,,,4.0,2.0
7,3,0,4936,6,CCALPeps,2271.622,2204.982,0.5008131434199619,0.6008051441351372,0.3991948558648628,0.49918685658003814,4.0,2.0
8,3,0,6170,6,CCVE,763.772,115.341,0.13052537830094352,0.13052537830094352,0.8694746216990564,0.8694746216990564,4.0,2.0
9,3,0,6170,6,CCALPeps,2072.195,2005.649,0.130630215188455,0.13064381851009443,0.8693561814899056,0.869369784811545,4.0,2.0
10,3,0,7404,6,CCVE,745.426,91.112,0.7526553376205217,0.7526553376205217,0.24734466237947828,0.24734466237947828,4.0,2.0
11,3,0,7404,6,CCALPeps,1948.879,1871.097,0.7525483262258107,0.752548326225811,0.247451673774189,0.2474516737741893,4.0,2.0
12,3,0,8638,6,CCVE,731.045,100.476,0.9286668528090386,0.9286668528090386,0.07133314719096127,0.07133314719096127,4.0,2.0
13,3,0,8638,6,CCALPeps,2070.116,1999.416,0.928543170395794,0.9285431703957943,0.0714568296042058,0.07145682960420591,4.0,2.0
14,3,0,9872,6,CCVE,745.339,98.065,0.19532756757670575,0.19532756757670575,0.8046724324232943,0.8046724324232943,4.0,2.0
15,3,0,9872,6,CCALPeps,2207.847,2133.213,0.1954094583738223,0.19540945837382256,0.8045905416261775,0.8045905416261777,4.0,2.0
16,3,0,11106,6,CCVE,725.665,93.466,0.08828222612518326,0.08828222612518326,0.9117177738748167,0.9117177738748167,4.0,2.0
17,3,0,11106,6,CCALPeps,2037.874,1970.274,0.08843361143098495,0.08843361143098512,0.9115663885690148,0.9115663885690151,4.0,2.0
18,3,0,12340,6,CCVE,754.191,96.201,0.6372730753569106,0.6372730753569106,0.3627269246430894,0.3627269246430894,4.0,2.0
19,3,0,12340,6,CCALPeps,2054.532,1981.27,0.6371500917178641,0.6371897732980785,0.36281022670192153,0.3628499082821359,4.0,2.0
20,3,0,13574,6,CCVE,749.067,93.602,0.11705790297339592,0.11705790297339592,0.8829420970266041,0.8829420970266041,4.0,2.0
21,3,0,13574,6,CCALPeps,2362.985,2290.917,0.11711256387747537,0.11711256387747548,0.8828874361225245,0.8828874361225246,4.0,2.0
22,3,0,14808,6,CCVE,738.217,83.236,0.5002549351396877,0.5002549351396877,0.49974506486031234,0.49974506486031234,4.0,2.0
23,3,0,14808,6,CCALPeps,1847.121,1773.889,0.5002382465657484,0.500238246565749,0.499761753434251,0.4997617534342515,4.0,2.0
24,3,0,16042,6,CCVE,746.135,102.825,0.01739998320317549,0.01739998320317549,0.9826000167968245,0.9826000167968245,4.0,2.0
25,3,0,16042,6,CCALPeps,2442.887,2367.532,0.01747256683639195,0.017472566836391965,0.982527433163608,0.982527433163608,4.0,2.0
26,3,0,17276,6,CCVE,780.901,109.456,0.027600206249197325,0.027600206249197325,0.9723997937508025,0.9723997937508025,4.0,2.0
27,3,0,17276,6,CCALPeps,2600.728,2531.102,0.02763419265544691,0.027652246991992462,0.9723477530080076,0.9723658073445531,4.0,2.0
28,3,0,18510,6,CCVE,764.518,96.337,0.03440820308177375,0.03440820308177375,0.9655917969182263,0.9655917969182263,4.0,2.0
29,3,0,18510,6,CCALPeps,2321.09,2246.454,0.03462308970059388,0.034623089700593926,0.9653769102994061,0.9653769102994061,4.0,2.0
30,3,0,19744,6,CCVE,757.051,119.492,0.31304843474664995,0.31304843474664995,0.6869515652533501,0.6869515652533501,4.0,2.0
31,3,0,19744,6,CCALPeps,2046.212,1970.821,0.31320098664333185,0.3132009866433322,0.6867990133566678,0.6867990133566682,4.0,2.0
32,3,0,20978,6,CCVE,730.499,90.472,0.40151546949217487,0.40151546949217487,0.598484530507825,0.598484530507825,4.0,2.0
33,3,0,20978,6,CCALPeps,2158.155,2088.519,0.40152815208000303,0.40152815208000336,0.5984718479199966,0.598471847919997,4.0,2.0
34,3,0,22212,6,CCVE,717.375,99.525,0.30711431005980366,0.30711431005980366,0.6928856899401964,0.6928856899401964,4.0,2.0
35,3,0,22212,6,CCALPeps,2335.099,2265.694,0.3071278912429352,0.30714749621353515,0.6928525037864648,0.6928721087570648,4.0,2.0
36,3,0,23446,6,CCVE,747.007,99.773,0.15980603247040234,0.15980603247040234,0.8401939675295975,0.8401939675295975,4.0,2.0
37,3,0,23446,6,CCALPeps,2132.35,2065.797,0.15990368906174152,0.15995298766592597,0.840047012334074,0.8400963109382584,4.0,2.0
38,3,0,24680,6,CCVE,735.544,111.041,0.7177551074345219,0.7177551074345219,0.28224489256547813,0.28224489256547813,4.0,2.0
39,3,0,24680,6,CCALPeps,2449.078,2372.365,0.71740538835273,0.7174053883527305,0.28259461164726957,0.28259461164726996,4.0,2.0
40,3,0,25914,6,CCVE,780.72,101.468,0.9954102421659677,0.9954102421659677,0.004589757834032376,0.004589757834032376,4.0,2.0
41,3,0,25914,6,CCALPeps,2001.44,1926.009,0.995384562749016,0.995384562749016,0.004615437250984011,0.004615437250984034,4.0,2.0
42,3,0,27148,6,CCVE,inf,inf,,,,,4.0,2.0
43,3,0,27148,6,CCALPeps,2491.633,2417.931,0.10108919151512172,0.38011233698422014,0.6198876630157798,0.8989108084848783,4.0,2.0
44,3,0,28382,6,CCVE,inf,inf,,,,,4.0,2.0
45,3,0,28382,6,CCALPeps,2410.87,2334.692,0.06924258878366013,0.09142053184068326,0.9085794681593168,0.9307574112163399,4.0,2.0
46,3,0,29616,6,CCVE,769.871,94.032,0.9617168048039848,0.9617168048039848,0.03828319519601516,0.03828319519601516,4.0,2.0
47,3,0,29616,6,CCALPeps,2030.613,1941.997,0.9616532524505018,0.9616532524505019,0.038346747549498114,0.038346747549498184,4.0,2.0
48,3,0,30850,6,CCVE,806.592,128.507,0.30991739571941884,0.30991739571941884,0.6900826042805812,0.6900826042805812,4.0,2.0
49,3,0,30850,6,CCALPeps,2326.433,2252.391,0.3101903249126573,0.310190324912658,0.6898096750873419,0.6898096750873427,4.0,2.0
50,3,0,32084,6,CCVE,840.952,105.914,0.9123118461784631,0.9123118461784631,0.08768815382153686,0.08768815382153686,4.0,2.0
51,3,0,32084,6,CCALPeps,2213.567,2140.598,0.9122229325987155,0.9122229325987156,0.08777706740128444,0.08777706740128453,4.0,2.0
52,3,0,33318,6,CCVE,857.986,120.648,0.6341468922670582,0.6341468922670582,0.36585310773294183,0.36585310773294183,4.0,2.0
53,3,0,33318,6,CCALPeps,2122.059,2055.1,0.6340795198318927,0.6340795198318936,0.3659204801681064,0.36592048016810724,4.0,2.0
54,3,0,34552,6,CCVE,783.876,101.171,0.16018221937504448,0.16018221937504448,0.8398177806249555,0.8398177806249555,4.0,2.0
55,3,0,34552,6,CCALPeps,2155.908,2080.52,0.16090488006562326,0.16090488006562342,0.8390951199343766,0.8390951199343768,4.0,2.0
56,3,0,35786,6,CCVE,817.029,97.586,0.738935323441406,0.738935323441406,0.261064676558594,0.261064676558594,4.0,2.0
57,3,0,35786,6,CCALPeps,2394.064,2322.703,0.7388827742032018,0.7388827742032023,0.26111722579679775,0.2611172257967982,4.0,2.0
58,3,0,37020,6,CCVE,885.96,134.749,0.13485137785789267,0.13485137785789267,0.8651486221421073,0.8651486221421073,4.0,2.0
59,3,0,37020,6,CCALPeps,2484.111,2407.622,0.13497971983073345,0.13497971983073365,0.8650202801692664,0.8650202801692666,4.0,2.0
60,3,0,38254,6,CCVE,inf,inf,,,,,4.0,2.0
61,3,0,38254,6,CCALPeps,2492.243,2411.742,0.3364953874657045,0.5473225269573914,0.4526774730426087,0.6635046125342955,4.0,2.0
62,3,0,39488,6,CCVE,850.595,101.051,0.9545502281240155,0.9545502281240155,0.045449771875984556,0.045449771875984556,4.0,2.0
63,3,0,39488,6,CCALPeps,2481.154,2390.394,0.9544359125074405,0.9544359125074406,0.04556408749255938,0.04556408749255947,4.0,2.0
64,3,0,40722,6,CCVE,933.475,119.515,0.7380235749861254,0.7380235749861254,0.2619764250138747,0.2619764250138747,4.0,2.0
65,3,0,40722,6,CCALPeps,2388.098,2309.672,0.7379153559224683,0.7379153559224687,0.2620846440775313,0.26208464407753174,4.0,2.0
66,3,0,41956,6,CCVE,888.13,124.392,0.32294136858696737,0.32294136858696737,0.6770586314130327,0.6770586314130327,4.0,2.0
67,3,0,41956,6,CCALPeps,2337.489,2254.661,0.3230012693993928,0.32300126939939333,0.6769987306006067,0.6769987306006072,4.0,2.0
68,3,0,43190,6,CCVE,inf,inf,,,,,4.0,2.0
69,3,0,43190,6,CCALPeps,2684.858,2598.522,0.9635468175288773,0.9884525215169575,0.0115474784830425,0.03645318247112271,4.0,2.0
70,3,0,44424,6,CCVE,895.233,120.509,0.11061936129251443,0.11061936129251443,0.8893806387074856,0.8893806387074856,4.0,2.0
71,3,0,44424,6,CCALPeps,2372.742,2288.241,0.11070560204868084,0.11070560204868099,0.889294397951319,0.8892943979513191,4.0,2.0
72,3,0,45658,6,CCVE,inf,inf,,,,,4.0,2.0
73,3,0,45658,6,CCALPeps,2619.394,2530.498,0.6048613499178622,0.6445901130577978,0.3554098869422022,0.3951386500821378,4.0,2.0
74,3,0,46892,6,CCVE,1109.105,153.816,0.05667282824997456,0.05667282824997456,0.9433271717500255,0.9433271717500255,4.0,2.0
75,3,0,46892,6,CCALPeps,2368.37,2281.504,0.05672628325095664,0.0567262832509567,0.9432737167490433,0.9432737167490434,4.0,2.0
76,3,0,48126,6,CCVE,1024.616,108.163,0.9511016823833195,0.9511016823833195,0.0488983176166805,0.0488983176166805,4.0,2.0
77,3,0,48126,6,CCALPeps,2221.098,2130.093,0.9508346737433779,0.9508346737433779,0.049165326256622066,0.049165326256622066,4.0,2.0
78,3,0,49360,6,CCVE,1020.003,117.126,0.9099963508713934,0.9099963508713934,0.09000364912860655,0.09000364912860655,4.0,2.0
79,3,0,49360,6,CCALPeps,2399.967,2305.307,0.9099045729508766,0.9099045729508767,0.09009542704912343,0.09009542704912343,4.0,2.0
