,4,3,2,1,0
0,0,0,0,1,0
1,1,1,0,1,0
2,1,0,0,1,0
3,0,0,0,1,0
4,0,1,0,1,0
5,0,0,1,1,0
6,0,1,0,1,0
7,0,1,1,0,1
8,1,0,1,0,0
9,1,0,0,1,0
10,1,0,1,0,0
11,0,0,0,1,0
12,1,0,0,1,0
13,0,1,0,1,0
14,1,1,0,1,0
15,1,0,1,1,0
16,0,1,1,1,0
17,0,1,0,1,0
18,1,1,0,1,0
19,1,1,0,1,0
20,1,0,1,1,0
21,1,1,0,0,1
22,1,1,0,1,0
23,1,0,1,0,1
24,0,1,0,1,0
25,1,0,1,0,1
26,1,0,1,0,1
27,0,1,0,1,0
28,1,0,1,1,0
29,0,1,0,1,0
30,0,0,0,1,0
31,0,0,0,1,0
32,0,0,1,0,1
33,1,0,0,1,0
34,1,0,1,1,0
35,1,0,1,1,0
36,1,0,0,1,0
37,0,0,0,1,0
38,1,0,0,1,0
39,1,0,0,0,0
40,0,0,0,1,1
41,1,1,0,1,0
42,0,0,0,1,0
43,0,0,1,1,0
44,0,1,0,1,0
45,1,1,0,1,1
46,0,0,1,1,0
47,0,1,0,1,0
48,1,0,0,1,0
49,0,0,0,1,0
50,1,0,1,1,0
51,1,0,0,1,0
52,0,0,0,1,0
53,1,1,0,1,0
54,0,1,0,1,0
55,1,0,1,1,0
56,1,0,0,1,0
57,1,1,1,1,0
58,0,0,0,1,0
59,1,0,1,1,0
60,0,0,0,1,0
61,1,0,1,1,1
62,1,1,0,1,0
63,1,0,1,0,1
64,1,0,1,1,0
65,0,0,0,1,0
66,1,0,1,1,0
67,0,1,0,1,0
68,0,0,0,1,0
69,0,0,1,0,0
70,1,0,1,0,0
71,1,0,0,1,0
72,1,0,0,1,0
73,1,0,0,1,1
74,0,0,1,0,0
75,0,1,1,0,1
76,1,1,0,1,0
77,1,0,0,1,0
78,1,1,0,0,0
79,1,0,0,1,0
80,0,0,0,1,0
81,1,1,0,1,0
82,1,0,1,1,0
83,1,0,0,0,1
84,1,0,1,1,0
85,0,1,0,1,0
86,1,1,0,1,0
87,0,1,0,1,0
88,1,0,1,1,0
89,0,0,0,1,0
90,1,0,0,1,0
91,0,0,0,1,0
92,1,0,0,1,0
93,1,0,0,1,0
94,0,1,1,1,0
95,1,1,0,1,0
96,1,1,0,1,0
97,0,1,0,1,0
98,0,0,0,1,0
99,1,0,1,1,0
100,0,0,1,0,1
101,1,0,0,0,0
102,1,0,0,1,0
103,1,0,1,0,1
104,0,0,1,1,0
105,0,0,1,0,1
106,1,0,0,1,0
107,0,1,0,1,0
108,0,1,0,1,0
109,0,1,0,1,0
110,1,1,0,0,0
111,1,0,1,1,0
112,0,1,0,1,0
113,1,1,0,1,0
114,1,0,1,1,0
115,1,0,0,1,0
116,0,0,1,1,0
117,1,0,0,1,0
118,0,1,0,1,0
119,0,1,0,1,0
120,1,0,1,1,0
121,0,0,0,1,0
122,1,1,0,1,0
123,1,1,0,1,0
124,0,0,0,1,0
125,1,0,0,1,0
126,0,0,0,1,0
127,0,0,1,1,0
128,0,0,0,1,0
129,1,0,0,1,0
130,0,0,0,1,0
131,1,1,0,1,0
132,0,1,1,1,0
133,1,1,0,1,0
134,1,0,1,0,0
135,1,0,0,0,1
136,1,1,0,1,1
137,1,0,0,1,0
138,0,0,1,1,0
139,0,1,0,1,0
140,1,0,1,0,1
141,1,0,0,1,0
142,1,1,0,1,0
143,0,0,0,1,0
144,0,0,1,1,1
145,0,1,0,1,0
146,1,1,0,1,0
147,1,1,0,0,0
148,0,1,0,1,0
149,0,0,1,1,0
150,1,1,1,0,1
151,1,0,0,1,1
152,1,0,1,0,0
153,1,0,1,0,0
154,0,1,0,1,0
155,1,0,0,1,0
156,0,1,0,1,0
157,1,1,0,1,0
158,1,0,0,1,0
159,0,0,1,1,0
160,0,1,0,1,0
161,1,1,0,1,0
162,0,0,0,1,0
163,1,0,0,1,0
164,0,0,0,1,0
165,1,0,0,1,0
166,1,1,0,1,0
167,1,1,0,1,0
168,0,0,1,1,0
169,0,0,1,1,0
170,0,1,0,1,0
171,0,0,0,1,0
172,0,1,0,1,0
173,0,0,0,1,0
174,1,0,0,1,0
175,1,0,1,1,0
176,0,0,0,1,1
177,1,0,0,1,0
178,1,0,0,1,1
179,0,1,0,1,0
180,1,0,1,1,0
181,0,1,0,1,0
182,1,0,0,1,0
183,0,0,0,1,0
184,1,0,0,1,0
185,0,1,0,1,0
186,1,1,0,1,0
187,1,1,0,1,0
188,0,1,0,1,0
189,0,0,1,1,0
190,0,1,0,1,0
191,1,1,1,1,0
192,0,1,0,1,0
193,0,1,0,1,0
194,0,1,0,1,0
195,1,0,0,1,0
196,1,0,0,1,1
197,1,0,0,1,0
198,1,0,0,1,0
199,1,0,1,1,0
200,0,1,0,1,0
201,0,1,0,1,0
202,1,0,0,1,0
203,0,0,0,1,0
204,1,0,0,1,0
205,0,1,0,1,0
206,1,0,0,1,0
207,0,1,0,1,0
208,1,0,0,1,0
209,1,0,1,1,0
210,0,1,0,1,0
211,1,1,0,1,0
212,1,0,1,1,0
213,1,1,0,1,0
214,1,0,1,1,0
215,1,0,0,1,0
216,0,0,1,1,0
217,1,0,0,0,0
218,0,0,0,1,0
219,0,1,0,1,0
220,0,1,1,1,0
221,1,1,0,1,0
222,1,0,1,1,0
223,0,0,1,1,0
224,0,1,0,1,0
225,1,0,0,1,0
226,1,0,0,0,0
227,1,0,1,1,0
228,1,0,0,1,0
229,1,1,0,1,0
230,0,1,0,1,0
231,0,1,0,1,0
232,0,0,0,1,0
233,1,0,0,1,0
234,0,1,0,1,0
235,1,0,0,1,0
236,1,0,0,1,0
237,0,0,0,1,0
238,1,0,0,1,0
239,0,0,0,1,0
240,1,0,1,1,0
241,0,1,0,1,0
242,0,1,0,1,0
243,1,0,0,1,0
244,0,1,0,1,0
245,1,0,1,0,0
246,1,0,1,1,0
247,0,0,0,1,0
248,0,1,0,1,0
249,1,1,0,1,0
250,1,0,0,0,1
251,0,1,0,0,0
252,1,1,0,1,0
253,0,0,0,1,0
254,1,0,1,1,0
255,0,0,0,1,0
256,0,1,0,1,0
257,1,1,0,1,0
258,1,0,0,1,0
259,1,1,0,1,0
260,1,0,0,1,0
261,0,1,1,1,0
262,0,0,0,1,0
263,0,0,0,1,0
264,0,1,0,1,0
265,1,1,0,1,0
266,1,0,1,0,1
267,1,0,1,1,0
268,0,0,1,1,0
269,0,1,0,1,0
270,1,0,0,1,0
271,0,1,0,1,1
272,1,1,0,1,0
273,1,1,0,1,0
274,1,0,1,1,0
275,1,1,0,1,0
276,1,0,1,1,0
277,0,1,0,1,0
278,0,0,0,1,0
279,0,0,1,0,1
280,1,1,0,1,0
281,0,1,0,1,0
282,0,0,1,1,0
283,1,0,1,1,0
284,0,0,0,1,0
285,0,0,1,1,0
286,0,1,0,1,0
287,0,1,0,1,0
288,0,1,0,1,0
289,1,0,0,1,0
290,1,0,0,1,0
291,1,0,0,1,0
292,0,0,1,1,0
293,0,0,0,1,0
294,1,0,1,1,0
295,0,0,0,1,0
296,1,1,0,1,0
297,0,0,1,1,0
298,1,1,0,1,0
299,0,0,0,1,0
300,1,0,0,1,0
301,1,1,0,1,0
302,0,0,0,1,0
303,1,0,1,0,1
304,1,0,1,1,0
305,1,0,0,0,0
306,0,1,0,1,0
307,0,1,0,1,0
308,1,0,0,1,0
309,1,0,0,1,0
310,1,0,1,1,1
311,0,1,0,1,0
312,0,1,0,1,0
313,1,0,1,1,0
314,1,1,0,1,0
315,1,0,1,0,0
316,1,0,0,1,0
317,0,0,0,1,0
318,0,0,0,0,0
319,0,0,1,1,0
320,0,0,0,1,0
321,0,0,0,1,0
322,0,1,0,1,0
323,1,0,1,0,1
324,0,1,0,1,0
325,1,0,0,1,0
326,0,0,1,1,0
327,0,0,0,1,0
328,1,0,0,0,0
329,0,1,0,1,0
330,1,0,0,1,0
331,1,0,0,1,0
332,1,0,1,0,1
333,0,0,1,1,0
334,0,0,1,1,0
335,0,1,1,1,0
336,1,0,0,1,0
337,0,1,0,1,0
338,0,0,0,1,0
339,0,0,1,1,0
340,0,0,0,1,0
341,1,0,0,1,0
342,0,0,1,1,0
343,0,0,1,1,0
344,1,0,0,1,0
345,0,0,1,0,0
346,0,1,0,1,0
347,1,1,0,1,0
348,1,0,0,1,0
349,0,0,0,0,1
350,0,1,1,1,0
351,0,1,1,0,1
352,0,0,0,1,0
353,1,0,0,1,0
354,0,0,1,1,0
355,1,0,0,1,0
356,0,0,1,1,0
357,0,1,0,1,1
358,1,1,0,1,0
359,1,0,1,0,0
360,1,0,0,1,0
361,1,0,1,1,0
362,0,0,0,1,0
363,0,1,0,1,0
364,1,0,0,1,0
365,0,1,0,1,0
366,0,0,0,1,0
367,1,0,0,1,0
368,1,1,0,1,0
369,1,0,0,1,0
370,1,0,1,1,0
371,1,0,0,1,0
372,1,0,1,0,1
373,1,0,0,1,1
374,0,1,0,1,0
375,0,0,0,1,0
376,0,0,0,1,0
377,0,1,0,1,0
378,1,0,0,1,1
379,1,0,1,1,0
380,1,0,0,1,0
381,0,1,0,1,0
382,1,1,0,1,0
383,0,1,0,1,0
384,0,1,1,1,0
385,1,0,1,1,0
386,0,1,0,1,0
387,1,1,0,1,0
388,0,0,0,1,0
389,1,0,0,1,0
390,1,0,1,1,0
391,1,1,0,1,0
392,0,1,0,1,0
393,1,0,0,1,0
394,1,0,1,0,0
395,1,1,0,1,0
396,1,0,0,1,0
397,1,0,0,1,0
398,1,0,0,1,0
399,1,0,0,1,1
400,1,0,1,0,1
401,0,1,0,1,0
402,1,0,1,1,0
403,1,0,1,0,0
404,1,0,1,1,0
405,1,0,1,1,0
406,1,0,1,1,0
407,1,0,1,1,0
408,1,1,0,1,0
