,4,3,2,1,0
0,1,1,0,0,1
1,0,1,0,0,1
2,0,1,0,1,1
3,0,1,0,1,1
4,0,1,0,1,1
5,0,1,0,1,1
6,1,1,0,1,1
7,0,1,0,1,1
8,0,1,0,1,1
9,0,1,1,0,0
10,0,0,1,1,1
11,1,0,1,1,1
12,0,1,1,0,0
13,0,1,0,1,1
14,0,1,0,1,1
15,0,1,1,0,1
16,0,1,0,1,1
17,1,1,0,1,1
18,1,1,0,0,0
19,0,1,0,0,1
20,0,1,0,1,1
21,1,1,0,1,1
22,0,1,0,1,1
23,0,1,1,0,1
24,0,1,0,1,1
25,0,1,0,1,1
26,0,0,1,1,1
27,0,1,0,1,1
28,0,1,0,1,1
29,0,1,1,0,1
30,0,1,0,0,0
31,0,1,0,0,1
32,0,1,1,0,1
33,0,1,0,1,1
34,1,1,1,0,1
35,0,1,0,1,1
36,0,1,0,1,1
37,1,1,1,0,1
38,0,1,1,0,0
39,0,1,0,1,1
40,0,1,0,1,1
41,0,1,0,1,1
42,0,1,1,0,1
43,0,1,0,1,1
44,1,0,1,1,1
45,0,1,1,0,0
46,0,1,0,1,1
47,1,1,0,1,1
48,0,1,0,1,1
49,0,1,0,1,1
50,0,1,0,1,1
51,0,1,0,1,1
52,0,1,0,0,0
53,1,0,1,1,1
54,1,0,1,1,1
55,0,1,1,0,1
56,0,1,1,0,1
57,1,0,1,1,1
58,0,1,0,1,1
59,0,1,0,1,1
60,0,1,0,1,1
61,0,1,1,0,1
62,1,1,0,1,1
63,0,1,1,0,1
64,0,1,0,0,1
65,1,0,1,1,1
66,0,1,0,1,1
67,0,1,0,1,1
68,0,1,0,1,1
69,1,1,0,1,1
70,0,1,1,0,1
71,1,0,1,1,1
72,0,1,0,1,1
73,0,1,0,1,1
74,0,1,1,0,0
75,0,1,1,0,1
76,0,1,0,0,1
77,0,1,0,0,0
78,0,1,0,1,1
79,0,1,1,0,0
80,0,1,0,1,1
81,0,1,0,1,1
82,1,0,1,1,1
83,0,1,1,0,1
84,0,1,0,1,1
85,0,1,1,0,1
86,0,1,0,1,1
87,0,1,1,0,1
88,0,1,0,1,1
89,1,1,1,0,1
90,0,1,0,1,1
91,1,0,1,1,1
92,0,1,0,0,0
93,1,1,0,1,1
94,0,1,0,1,1
95,0,1,0,0,0
96,0,1,0,1,1
97,0,1,0,1,1
98,0,1,0,1,1
99,0,1,0,1,1
100,0,1,0,0,0
101,0,1,0,1,1
102,0,1,0,1,1
103,1,1,0,1,1
104,0,1,0,1,1
105,0,1,0,1,1
106,0,1,1,0,0
107,1,0,1,1,1
108,0,1,1,0,1
109,0,1,0,0,0
110,0,1,0,1,1
111,0,1,1,0,0
112,1,0,1,1,1
113,0,1,0,1,1
114,0,1,0,1,1
115,0,1,0,0,0
116,0,1,0,1,1
117,0,1,1,0,1
118,0,1,0,1,1
119,0,1,1,0,1
