,2,1,0
0,0,1,0
1,0,1,1
2,0,1,1
3,1,0,1
4,1,0,0
5,0,1,1
6,1,0,1
7,1,0,0
8,0,1,1
9,1,0,1
10,0,1,1
11,0,1,1
12,0,1,1
13,1,0,0
14,1,0,0
15,0,1,1
16,0,1,1
17,0,1,1
18,0,0,1
19,0,1,1
20,0,1,1
21,0,1,0
22,1,0,0
23,1,0,1
24,1,0,1
25,0,1,1
26,1,0,0
27,0,1,1
28,0,1,1
29,0,0,1
30,1,0,0
31,0,1,1
32,1,0,1
33,0,1,0
34,0,1,1
35,0,1,1
36,1,0,0
37,0,1,1
38,1,0,1
39,0,1,1
40,1,0,1
41,0,1,1
42,1,0,1
43,1,0,1
44,0,1,1
45,0,1,0
46,0,0,1
47,0,0,1
48,0,1,1
49,0,1,1
50,0,1,0
51,0,1,1
52,1,1,0
53,1,0,0
54,0,1,0
55,1,1,0
56,1,0,0
57,0,1,1
58,0,1,1
59,1,0,1
60,0,1,1
61,0,1,1
62,0,1,1
63,1,0,0
64,1,0,1
65,0,0,1
66,0,1,1
67,0,1,1
68,0,1,0
69,0,1,0
70,1,0,1
71,0,1,0
72,0,1,1
73,0,1,1
74,0,1,0
75,1,0,1
76,1,0,1
77,1,0,0
78,1,0,1
79,0,1,0
80,0,1,1
81,0,0,1
82,0,1,1
83,0,0,1
84,0,1,1
85,0,1,1
86,0,1,0
87,0,1,1
88,0,1,1
89,0,1,0
90,1,0,0
91,0,1,1
92,0,0,1
93,1,0,1
94,0,1,1
95,1,0,0
96,0,0,0
97,0,1,1
98,0,1,1
99,0,1,0
100,0,1,0
101,0,1,1
102,1,1,0
103,1,0,0
104,0,1,1
105,0,1,0
106,0,1,1
107,0,1,1
108,1,0,0
109,0,1,1
110,0,1,1
111,0,1,0
112,1,0,1
113,1,1,0
114,1,0,1
115,0,1,1
116,0,1,0
117,1,0,0
118,0,1,1
119,0,1,0
120,1,0,0
121,0,1,1
122,0,1,1
123,0,1,1
124,0,1,0
125,0,1,0
126,0,1,1
127,0,1,0
128,1,0,1
129,0,1,1
130,1,0,0
131,1,0,1
132,1,1,0
133,0,1,0
134,0,1,1
135,1,0,0
136,0,1,1
137,0,1,1
138,0,1,0
139,0,1,0
140,0,1,1
141,0,1,1
142,1,1,0
143,0,1,0
144,0,1,1
145,0,1,1
146,0,1,1
147,1,0,1
148,0,0,1
149,1,0,1
150,1,0,1
151,0,1,1
152,0,1,1
153,0,1,1
154,0,1,0
155,1,0,1
156,0,1,0
157,0,1,1
158,1,0,0
159,1,0,1
160,0,1,1
161,0,1,0
162,0,1,1
163,0,1,1
164,0,0,1
165,0,1,1
166,1,0,1
167,0,1,1
168,0,1,1
169,1,0,0
170,1,0,0
171,1,0,1
172,0,1,1
173,0,1,1
174,0,0,1
175,0,1,1
176,0,1,1
177,1,0,0
178,1,0,0
179,1,0,0
180,0,1,0
181,0,1,1
182,0,1,1
183,1,0,0
184,0,1,0
185,0,1,0
186,0,1,1
187,0,1,1
188,0,1,1
189,0,1,1
190,1,0,1
191,1,1,0
192,1,0,1
193,0,1,1
194,0,1,1
195,0,1,1
196,0,1,1
197,0,1,1
198,0,1,1
199,1,0,1
200,0,1,0
201,0,1,0
202,1,0,0
203,0,1,0
204,0,1,0
205,1,0,1
206,1,0,0
207,0,1,0
208,0,1,1
209,0,1,0
210,0,1,1
211,0,1,0
212,1,0,0
213,0,1,0
214,0,1,1
215,0,1,1
216,0,1,0
217,0,1,1
218,0,1,1
219,0,1,0
220,0,1,1
221,0,1,1
222,1,0,1
223,0,1,1
224,0,1,0
225,0,1,1
226,0,0,1
227,0,1,1
228,0,1,0
229,0,1,1
230,0,0,1
231,0,1,0
232,1,0,0
233,1,0,1
234,0,1,1
235,1,0,0
236,0,1,0
237,0,1,0
238,0,1,1
239,1,1,0
240,0,1,1
241,1,0,1
242,0,1,0
243,1,0,1
244,1,0,1
245,0,1,1
246,0,1,1
247,0,0,1
248,0,1,1
249,0,1,1
250,0,1,1
251,1,0,1
252,1,0,0
253,1,0,1
254,0,1,1
255,0,1,0
256,0,0,1
257,0,1,1
258,0,1,1
259,0,1,0
260,0,1,1
