,4,3,2,1,0
0,0,1,1,1,0
1,1,1,0,0,0
2,1,1,0,1,0
3,0,0,1,1,0
4,1,0,1,0,0
5,1,0,0,1,0
6,1,1,1,1,0
7,1,0,0,0,0
8,1,0,0,1,0
9,0,1,1,0,0
10,0,1,1,1,0
11,1,1,1,1,0
12,1,1,1,0,0
13,1,0,0,1,0
14,0,0,0,1,0
15,1,0,0,0,0
16,1,0,0,0,0
17,1,0,0,1,0
18,1,0,1,1,0
19,1,0,0,1,1
20,1,0,0,1,0
21,1,0,0,0,0
22,1,0,0,0,0
23,1,1,1,0,0
24,1,1,1,1,0
25,0,0,0,0,0
26,1,0,0,0,0
27,1,1,1,1,0
28,1,0,0,1,0
29,1,0,0,1,0
30,1,0,1,0,0
31,1,0,0,1,0
32,1,0,0,1,0
33,1,1,1,1,0
34,1,0,1,1,0
35,1,0,1,1,0
36,1,0,0,1,0
37,1,0,1,1,0
38,1,0,1,1,0
39,1,0,0,0,0
40,0,0,0,1,1
41,1,1,1,1,0
42,1,0,1,1,1
43,1,0,0,0,0
44,1,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,1,0
48,1,1,1,1,0
49,0,1,0,0,0
50,0,0,0,1,0
51,0,0,1,1,0
52,1,0,0,0,1
53,1,1,0,1,1
54,0,1,1,0,0
55,0,0,0,1,0
56,1,1,0,1,0
57,0,0,1,1,0
58,1,1,1,1,0
59,1,0,0,1,1
60,1,0,1,0,0
61,0,0,0,1,0
62,0,1,1,0,0
63,1,0,0,1,0
64,1,0,0,0,0
65,0,1,1,1,1
66,0,1,0,0,0
67,0,0,0,1,0
68,1,0,0,1,0
69,1,0,0,1,1
70,1,0,0,1,0
71,0,0,0,1,1
72,1,0,0,1,0
73,1,0,0,1,0
74,1,0,0,1,0
75,0,0,0,1,0
76,1,1,0,1,0
77,1,0,0,1,1
78,0,0,1,0,0
79,1,0,0,1,1
80,1,0,1,1,0
81,1,0,0,1,1
82,1,0,1,1,0
83,1,0,0,1,0
84,1,0,0,1,0
85,1,0,1,1,0
86,1,0,0,1,0
87,1,0,0,0,0
88,1,0,0,1,0
89,1,0,0,1,0
90,1,0,0,0,0
91,1,0,0,0,0
92,0,0,0,1,0
93,1,0,0,1,0
94,0,0,0,0,0
95,1,1,1,1,0
96,1,0,0,0,0
97,1,0,0,1,0
98,1,0,1,1,0
99,1,0,0,1,0
100,1,0,0,1,0
101,1,1,0,1,0
102,1,0,1,0,0
103,0,1,1,1,0
104,0,0,0,1,0
105,1,0,0,0,0
106,1,0,1,0,0
107,0,0,0,0,0
108,1,0,0,0,0
109,0,1,0,0,0
110,1,0,0,1,0
111,1,0,0,1,0
112,1,1,1,0,0
113,1,1,0,1,0
114,1,0,0,1,0
115,1,1,1,1,0
116,0,0,1,1,0
117,1,0,0,1,0
118,0,0,0,0,0
119,1,1,1,0,0
120,1,1,1,1,0
121,1,0,0,1,0
122,0,0,0,0,0
123,1,1,0,0,0
124,1,0,0,1,0
125,1,0,1,1,0
126,0,0,1,1,0
127,1,1,1,0,0
128,1,1,1,1,0
129,1,0,0,0,0
130,1,0,1,1,0
131,1,1,1,1,0
132,1,1,1,1,0
133,1,0,0,0,0
134,0,1,1,1,0
135,0,0,0,1,1
136,1,1,1,1,0
137,0,0,0,1,1
138,0,0,0,1,0
139,0,0,0,0,1
140,1,1,0,0,0
141,1,0,0,0,0
142,1,0,1,1,0
143,0,0,1,1,0
144,0,0,0,1,0
145,1,0,0,1,0
146,0,0,1,0,0
147,1,1,1,1,0
148,0,0,0,1,0
149,0,0,0,1,0
150,0,0,0,1,0
151,0,1,0,1,0
152,1,1,1,0,0
153,1,0,0,0,0
154,1,0,0,1,0
155,0,1,1,0,0
156,1,1,1,1,0
157,1,0,1,1,0
158,1,0,0,1,0
159,1,1,1,0,0
160,0,0,0,1,0
161,1,1,1,1,1
162,1,1,1,0,0
163,1,0,1,0,0
164,1,0,1,1,0
165,1,0,1,1,0
166,1,0,1,1,0
167,1,1,1,1,0
168,1,0,0,1,0
169,1,0,0,1,0
170,1,0,0,1,0
171,1,0,0,0,0
172,0,1,1,1,0
173,1,0,1,1,0
174,0,1,1,1,1
175,0,0,0,0,0
176,1,0,0,1,0
177,1,1,0,1,0
178,0,1,1,1,0
179,1,0,0,0,0
180,1,0,0,1,0
181,1,1,1,1,1
182,1,1,1,1,0
183,0,0,0,1,0
184,1,0,0,1,0
185,1,1,1,1,0
186,1,1,0,1,0
187,1,0,0,1,0
188,1,1,1,1,1
189,0,1,1,0,0
190,1,1,1,1,1
191,0,0,0,1,1
192,0,0,0,1,1
193,0,0,0,1,0
194,1,0,1,0,0
195,1,0,0,0,0
196,0,0,0,1,0
197,0,1,1,1,1
198,1,1,1,0,0
199,1,0,0,1,0
200,1,0,0,1,0
201,0,0,1,1,0
202,1,1,1,0,0
203,1,0,0,1,0
204,1,0,0,0,1
205,0,0,0,1,1
206,0,0,0,0,0
207,1,0,0,1,0
208,1,1,1,1,0
209,1,0,0,0,0
210,0,0,1,1,0
211,0,0,0,1,1
212,1,0,0,1,0
213,1,0,0,1,0
214,1,0,0,1,0
215,1,0,0,1,0
216,1,0,0,1,0
217,0,0,0,0,0
218,1,0,0,1,1
219,1,1,1,1,0
220,1,0,0,1,0
221,1,0,0,1,0
222,1,1,1,0,0
223,1,1,0,0,0
224,0,0,0,1,0
225,1,1,1,1,0
226,1,0,1,0,0
227,1,0,0,0,0
228,1,0,0,1,0
229,0,1,1,1,0
230,1,1,0,1,0
231,1,1,1,1,0
232,0,0,1,1,0
233,1,0,1,1,0
234,1,0,0,0,0
235,1,1,0,0,0
236,1,1,1,1,1
237,1,0,1,1,1
238,1,0,0,1,0
239,0,1,0,1,0
240,1,0,0,1,0
241,1,0,0,0,0
242,1,0,0,0,0
243,1,0,0,0,0
244,1,0,0,1,1
245,1,1,0,1,0
246,1,0,1,1,0
247,1,0,1,0,0
248,0,0,1,1,0
249,1,0,1,0,0
250,1,1,1,1,0
251,0,0,0,0,0
252,0,0,0,1,0
253,1,0,0,0,0
254,0,0,0,1,0
255,0,0,0,1,0
256,1,0,0,1,0
257,1,0,0,1,0
258,0,0,0,1,0
259,1,1,1,1,0
260,1,0,0,0,0
261,0,0,1,1,0
262,0,0,1,1,0
263,1,0,0,1,0
264,0,0,0,1,0
265,1,1,1,1,0
266,0,0,0,1,0
267,1,1,1,0,0
268,1,0,0,1,0
269,1,0,0,1,0
270,1,1,1,1,1
271,1,0,0,1,0
272,1,1,1,1,0
273,1,0,0,1,0
274,1,0,0,1,1
275,1,0,0,1,1
276,1,1,1,0,0
277,1,1,0,1,1
278,1,1,0,1,0
279,1,0,0,1,1
280,0,0,0,0,0
281,1,0,0,1,0
282,1,0,1,0,0
283,0,0,0,1,0
284,1,0,0,1,0
285,0,1,1,1,0
286,1,1,1,0,0
287,1,0,0,1,0
288,0,1,1,1,0
289,0,0,0,1,0
290,1,0,0,1,0
291,1,0,0,1,0
292,1,0,0,0,0
293,1,0,1,1,0
294,0,0,1,0,0
295,1,0,1,1,0
296,1,0,0,0,0
297,1,0,1,0,0
298,0,1,1,1,0
299,1,1,1,1,1
300,0,1,0,1,0
301,1,0,0,0,0
302,1,0,0,1,0
303,1,0,1,1,0
304,0,0,0,1,1
305,1,1,1,1,0
306,0,0,0,0,0
307,1,1,0,1,1
308,1,0,0,1,0
309,1,1,1,0,0
310,0,0,0,1,0
311,1,0,0,1,1
312,1,0,0,1,0
313,1,1,1,0,0
314,0,0,1,1,0
315,1,0,0,0,1
316,1,0,1,1,0
317,0,0,0,1,0
318,0,1,1,1,0
319,0,1,1,1,0
320,0,0,0,0,0
321,0,1,1,1,0
322,1,0,0,1,0
323,1,0,0,1,1
324,1,0,0,0,0
325,1,0,1,1,0
326,0,0,0,0,0
327,0,0,0,1,1
328,1,1,1,1,0
329,1,1,1,1,0
330,0,0,0,0,1
331,0,0,0,1,0
332,1,0,0,0,0
333,1,1,1,1,0
334,1,1,1,1,0
335,1,0,1,1,0
336,0,0,0,1,1
337,1,0,0,1,0
338,0,0,0,1,0
339,0,0,0,0,0
340,1,0,0,1,1
341,1,1,1,1,0
342,1,0,0,1,0
343,1,0,0,1,0
344,1,1,0,0,0
345,0,0,0,1,0
346,0,1,0,1,0
347,1,0,0,1,0
348,0,0,0,1,0
349,0,0,0,1,0
350,1,0,0,1,0
351,1,1,1,1,0
352,1,1,1,1,0
353,0,1,1,1,0
354,1,0,0,1,0
355,1,0,0,1,1
356,1,1,1,0,0
357,1,1,0,1,0
358,0,0,0,1,0
359,0,0,1,1,1
360,0,1,0,1,0
361,0,1,1,1,0
362,1,0,0,0,0
363,1,1,1,0,0
364,1,1,1,0,0
365,1,0,0,1,1
366,1,0,0,1,0
367,1,0,0,0,0
368,0,0,0,1,0
369,1,0,0,1,1
370,0,0,0,1,0
371,1,1,1,1,0
372,0,0,1,1,0
373,1,0,0,1,1
374,1,1,1,1,0
375,0,1,1,0,0
376,1,0,1,1,0
377,1,1,1,1,0
378,0,0,0,1,0
379,1,0,1,1,0
380,1,0,1,1,0
381,1,0,0,0,1
382,1,0,0,1,0
383,1,0,0,1,0
384,1,0,0,0,0
385,0,0,0,0,1
386,1,0,0,1,1
387,1,0,0,0,0
388,0,0,0,1,0
389,1,0,1,1,0
390,1,1,1,1,0
391,1,0,1,0,0
392,0,0,0,1,0
393,1,0,0,1,0
394,0,0,0,1,0
395,1,1,1,1,0
396,1,0,0,1,0
397,1,1,1,1,1
398,1,0,1,1,0
399,1,0,0,1,1
400,1,0,1,1,0
401,1,0,0,1,0
402,1,0,0,1,0
403,1,0,1,1,1
404,1,1,0,1,1
405,1,0,0,1,0
406,1,0,0,0,0
407,1,0,0,1,0
408,1,1,1,1,0
409,1,0,0,1,1
410,1,0,0,0,0
411,0,1,1,1,0
412,1,0,1,1,0
413,1,0,0,1,0
414,1,0,0,1,0
415,1,0,0,1,0
416,1,0,1,1,0
417,1,0,0,0,1
418,0,1,1,0,0
419,0,0,0,0,0
420,1,1,1,1,0
421,1,0,1,1,0
422,1,0,0,0,0
423,1,1,0,1,0
424,1,0,0,1,0
425,0,0,1,1,0
426,1,0,0,1,0
427,1,0,0,1,1
428,0,0,0,1,0
429,0,0,0,1,0
430,0,0,0,1,0
431,1,0,0,1,0
432,1,0,1,1,0
433,1,1,1,1,1
434,0,0,1,1,0
435,1,0,0,1,0
436,0,0,1,1,0
437,1,0,0,1,0
438,1,0,0,1,0
439,1,0,0,1,0
440,1,0,1,1,0
441,0,0,0,1,0
442,0,0,0,1,1
443,1,0,1,0,0
444,1,1,1,1,0
445,1,1,1,1,0
446,1,0,1,1,0
447,1,0,0,1,0
448,0,0,0,1,0
449,1,0,0,0,0
450,0,1,1,0,0
451,1,1,1,1,1
452,1,1,1,0,0
453,0,0,0,1,0
454,1,0,1,0,1
455,1,1,1,1,1
456,0,0,0,1,0
457,1,0,0,1,0
458,1,0,1,0,0
459,1,0,0,0,0
460,1,0,0,1,0
461,1,1,1,1,0
462,1,0,0,1,0
463,1,0,0,0,0
464,1,1,0,0,0
465,0,0,0,0,0
466,1,0,1,0,0
467,0,0,1,1,0
468,1,1,1,1,0
469,0,0,1,0,0
470,1,0,0,0,0
471,1,1,1,1,1
472,1,0,0,1,0
473,0,0,0,1,0
474,1,0,0,0,0
475,0,0,0,1,0
476,1,0,0,1,0
477,1,0,1,1,0
478,1,0,0,1,0
479,1,0,0,1,1
480,1,1,1,0,0
481,0,0,0,1,0
482,1,1,1,1,0
483,0,0,0,1,0
484,0,0,0,0,0
485,1,0,1,1,0
486,0,1,1,1,0
487,0,0,1,1,0
488,1,0,0,0,0
489,0,0,0,0,0
490,1,0,0,1,0
491,1,0,1,1,0
492,1,1,1,0,0
493,1,0,0,1,0
494,1,0,0,1,1
495,1,0,1,1,0
496,1,0,0,1,1
497,1,0,0,1,0
498,1,0,0,0,1
499,1,0,0,1,0
500,1,1,1,0,0
501,0,0,0,1,0
502,0,0,1,1,0
503,1,1,1,0,0
504,1,1,0,0,0
505,1,0,0,1,0
506,1,0,0,1,0
507,1,0,0,0,0
508,0,1,1,1,0
509,1,1,0,1,0
510,1,0,0,0,0
511,1,1,0,1,0
512,1,1,0,1,0
513,1,1,0,1,0
514,1,0,1,1,0
515,1,1,1,1,1
516,1,0,1,1,0
517,1,1,1,0,0
518,1,1,0,1,0
519,1,0,0,1,0
520,1,1,1,0,0
521,1,0,0,1,0
522,0,0,0,0,1
523,1,0,0,1,0
524,1,1,1,1,0
525,1,0,0,1,0
526,1,0,1,1,0
527,1,0,0,1,0
528,1,0,0,0,0
529,0,0,0,0,1
530,1,0,0,0,1
531,0,1,1,1,0
532,1,0,1,1,0
533,1,0,0,0,0
534,1,0,0,1,0
535,1,1,1,1,0
536,1,1,1,1,0
537,1,0,0,1,0
538,0,0,0,1,0
539,0,0,0,1,0
540,1,1,1,1,1
541,1,0,0,0,1
542,1,1,1,1,0
543,1,0,0,1,1
544,1,1,0,0,0
545,1,0,1,1,0
546,1,0,0,0,0
547,0,0,1,0,0
548,1,0,0,1,0
549,1,0,0,0,0
550,0,0,0,0,0
551,1,0,1,1,1
552,0,0,0,1,0
553,0,1,0,1,0
554,1,0,0,1,1
555,1,0,0,1,0
556,1,0,1,1,0
557,0,0,0,0,0
558,0,1,1,1,1
559,1,1,0,1,0
560,1,0,0,1,0
561,1,1,1,1,0
562,1,1,1,1,0
563,1,0,0,1,1
564,1,0,1,1,0
565,1,0,0,1,0
566,1,0,0,0,0
567,0,0,0,1,0
568,0,1,0,0,0
569,1,0,0,0,0
570,1,0,0,1,0
571,1,0,0,1,0
572,0,0,0,1,0
573,0,1,1,0,0
574,1,0,0,0,0
575,1,0,0,0,0
576,1,0,1,0,0
577,1,0,1,1,0
578,1,0,0,1,1
579,1,0,0,1,0
580,1,1,1,1,0
581,1,1,1,1,0
582,1,1,1,1,0
583,1,1,1,1,1
584,1,1,0,1,0
585,1,0,0,1,0
586,0,1,0,1,0
587,1,0,0,1,0
588,0,0,0,0,0
589,1,0,1,0,0
590,0,0,0,1,0
591,1,0,0,0,0
592,1,0,0,1,1
593,1,1,1,1,0
594,1,0,0,1,0
595,1,0,1,1,0
596,1,0,0,1,0
597,0,0,0,0,0
598,0,0,0,1,0
599,1,1,1,1,1
600,0,1,1,0,0
601,1,0,0,1,0
602,1,1,1,1,0
603,0,1,1,0,0
604,0,0,1,1,0
605,1,0,1,1,0
606,0,0,1,1,0
607,1,1,1,1,0
608,1,0,0,1,0
609,1,0,0,1,0
610,1,0,0,1,1
611,0,1,1,1,0
612,1,0,1,1,0
613,0,0,0,1,0
614,0,0,0,1,0
615,0,0,0,1,0
616,1,1,0,1,0
617,1,0,0,1,0
618,1,0,1,1,0
619,1,0,0,1,0
620,1,0,1,1,0
621,1,0,0,0,0
622,0,0,0,1,0
623,0,0,1,0,0
624,0,0,0,1,0
625,0,1,1,1,0
626,1,0,1,1,0
627,0,0,1,1,1
628,0,0,0,1,1
629,1,1,1,0,1
630,1,0,0,0,0
631,1,1,1,1,1
632,1,0,0,0,0
633,1,0,0,0,0
634,1,0,0,1,0
635,1,0,0,1,1
636,1,0,1,1,0
637,1,1,1,1,1
638,1,0,1,1,0
639,1,1,1,1,1
640,1,0,1,1,0
641,1,0,0,0,0
642,1,1,1,1,0
643,0,0,0,1,0
644,1,1,1,1,1
645,0,1,1,1,1
646,0,0,0,0,0
647,1,0,1,1,0
648,1,0,0,0,0
649,1,1,1,1,0
650,1,1,1,1,0
651,0,1,1,0,0
652,1,0,1,1,0
653,1,0,0,0,0
654,1,0,0,1,0
655,0,0,1,0,0
656,1,1,1,1,0
657,1,0,0,0,0
658,1,0,1,1,0
659,1,0,0,1,0
660,1,1,0,0,0
661,1,0,1,1,0
662,1,1,0,1,0
663,0,1,1,1,0
664,1,0,0,1,1
665,1,0,0,1,0
666,1,0,0,1,1
667,1,1,1,0,0
668,1,0,0,1,0
669,0,0,0,0,0
670,1,0,0,1,1
671,1,0,0,1,0
672,1,1,0,0,0
673,1,1,1,1,0
