,4,3,2,1,0
0,1,0,1,0,0
1,1,1,1,0,0
2,1,1,0,0,0
3,1,1,0,0,0
4,0,1,0,0,0
5,1,1,1,0,0
6,1,0,1,0,0
7,1,0,1,0,0
8,1,1,1,0,0
9,0,1,0,0,0
10,0,0,1,0,0
11,0,1,0,0,0
12,1,0,1,0,0
13,1,1,1,1,1
14,1,0,1,1,1
15,1,0,1,0,0
16,0,0,1,0,0
17,1,0,1,0,0
18,0,0,1,0,0
19,1,1,0,0,0
20,0,0,1,0,0
21,1,0,1,0,0
22,0,0,1,0,0
23,1,1,1,0,0
24,1,0,1,0,0
25,0,1,0,0,0
26,0,1,0,0,0
27,1,1,1,0,0
28,0,0,1,0,0
29,1,1,1,0,0
30,1,1,1,0,0
31,1,0,1,0,0
32,0,1,0,0,1
33,0,0,1,0,0
34,1,1,0,0,0
35,1,1,1,0,0
36,0,1,0,0,0
37,1,1,0,0,0
38,1,1,0,0,0
39,0,0,1,0,0
40,1,1,1,0,0
41,1,1,1,0,0
42,1,0,1,0,0
43,0,0,1,0,0
44,0,1,1,0,0
45,1,0,1,0,0
46,1,0,1,0,0
47,1,1,0,0,0
48,1,0,1,0,0
49,1,1,1,0,0
50,1,1,1,0,0
51,1,0,1,0,0
52,1,1,1,1,1
53,1,0,1,0,0
54,1,1,1,0,0
55,1,1,0,0,0
56,0,1,0,0,0
57,1,0,1,0,0
58,1,0,1,0,0
59,1,1,1,0,0
60,1,0,1,0,0
61,1,0,1,0,0
62,1,1,0,0,0
63,0,0,1,0,0
64,1,0,1,0,0
65,0,0,1,1,1
66,0,0,1,0,0
67,1,0,1,0,0
68,0,0,1,0,0
69,0,1,0,0,0
70,0,0,1,0,0
71,1,0,1,0,0
72,0,1,0,0,0
73,1,1,1,1,1
74,0,1,1,0,0
75,1,1,1,0,0
76,0,0,1,0,0
77,1,0,1,0,0
78,1,0,1,0,0
79,1,1,1,0,0
80,0,1,0,0,0
81,1,1,0,0,0
82,1,1,1,1,1
83,1,1,1,0,0
84,1,0,1,0,0
85,0,0,1,0,0
86,1,0,1,1,1
87,1,1,1,0,0
88,1,1,0,0,0
89,1,1,1,0,0
90,1,0,1,0,0
91,1,1,0,0,0
92,0,1,0,0,0
93,1,1,0,0,0
94,1,1,1,1,1
95,0,1,0,0,0
96,1,0,1,0,0
97,1,0,1,0,0
98,0,1,0,0,0
99,1,0,1,0,0
100,1,1,0,0,0
101,1,1,0,0,0
102,1,1,1,0,0
103,1,1,0,0,0
104,0,1,1,0,0
105,1,1,0,0,0
106,1,0,1,0,0
107,0,0,1,0,0
108,1,1,1,0,0
109,1,1,1,0,0
110,1,1,0,0,0
111,1,0,1,0,0
112,1,1,1,0,0
113,0,1,0,0,0
