,4,3,2,1,0
0,1,0,1,1,1
1,1,0,1,1,1
2,1,1,1,1,1
3,0,0,0,1,1
4,1,1,1,1,0
5,1,0,0,1,1
6,1,1,1,1,1
7,0,0,0,1,1
8,0,0,1,1,1
9,1,0,1,1,0
10,1,0,1,1,0
11,0,0,0,1,0
12,1,0,1,1,0
13,0,0,1,1,1
14,1,0,1,1,0
15,1,1,0,1,1
16,1,0,1,1,0
17,1,0,1,1,1
18,0,0,1,1,0
19,0,0,0,1,0
20,1,0,1,1,0
21,0,0,1,1,1
22,0,0,1,1,1
23,1,0,1,1,0
24,1,1,1,1,1
25,1,1,1,1,1
26,1,0,1,1,1
27,1,1,1,1,1
28,0,0,1,1,1
29,1,0,0,1,0
30,1,0,1,1,1
31,1,1,0,1,1
32,1,0,1,1,1
33,0,0,1,1,0
34,1,0,1,1,1
35,0,0,1,1,1
36,1,0,1,1,1
37,1,0,1,1,1
38,1,0,1,1,1
39,1,0,1,1,1
40,1,0,1,1,1
41,0,0,1,1,0
42,1,1,0,1,0
43,0,1,1,1,0
44,1,1,1,1,1
45,0,0,1,1,1
46,0,0,1,1,1
47,1,0,1,1,0
48,1,1,0,1,1
49,1,1,0,1,0
50,1,0,1,1,1
51,1,0,1,1,1
52,1,0,1,1,1
53,1,0,1,1,0
54,0,0,1,1,1
55,1,1,1,1,1
56,1,0,0,1,1
57,1,0,1,1,1
58,1,0,1,1,1
59,1,0,1,0,0
60,0,0,1,1,0
61,1,1,0,1,1
62,0,0,0,0,0
63,0,0,1,1,0
64,1,0,1,1,1
65,1,0,1,1,0
66,1,1,0,1,1
67,0,1,0,1,1
68,0,0,1,1,0
69,1,0,1,1,0
70,1,0,1,1,1
71,0,0,0,1,1
72,1,0,1,1,0
73,0,0,1,1,0
74,0,0,1,1,1
75,1,1,0,1,1
76,1,1,1,1,1
77,0,0,1,1,0
78,0,0,1,1,1
79,0,0,1,1,1
80,1,0,0,1,1
81,1,1,0,1,0
82,1,0,1,1,1
83,1,0,1,1,0
84,0,0,1,1,1
85,1,0,1,1,1
86,1,1,1,1,0
87,1,1,0,1,0
88,0,0,1,1,0
89,1,0,0,1,1
90,0,0,0,1,0
91,1,1,0,1,1
92,1,0,0,1,1
93,1,1,1,1,0
94,1,1,0,1,0
95,0,0,1,1,1
96,1,1,0,1,1
97,1,1,0,1,0
98,0,0,1,1,1
99,1,0,1,1,0
100,1,0,1,1,1
101,1,0,1,1,0
102,0,0,0,1,1
103,1,0,1,1,1
104,0,0,1,1,0
105,1,0,0,1,1
106,1,0,0,1,1
107,1,0,1,1,1
108,1,1,0,1,1
109,1,0,1,1,1
110,0,0,0,1,1
111,0,0,1,1,1
112,0,0,1,1,0
113,0,0,1,1,1
114,0,0,1,1,1
115,0,0,1,1,0
116,1,1,1,1,1
117,1,0,1,1,1
118,1,0,1,1,1
119,1,0,1,1,1
120,0,0,1,1,1
