,4,3,2,1,0
0,1,1,0,1,0
1,0,1,0,1,0
2,1,1,1,1,0
3,0,1,1,1,1
4,0,1,0,1,0
5,1,1,0,1,1
6,1,1,1,1,0
7,0,1,1,1,0
8,1,1,0,0,0
9,0,1,1,1,0
10,0,1,1,1,0
11,0,1,0,1,0
12,0,1,0,1,0
13,0,1,1,1,0
14,0,0,1,0,1
15,0,0,1,0,1
16,1,1,1,1,0
17,0,1,1,1,1
18,1,1,1,1,0
19,0,1,0,1,0
20,0,1,1,1,0
21,0,1,0,1,0
22,1,1,0,1,0
23,0,1,0,1,0
24,0,1,1,0,1
25,0,1,0,1,0
26,0,1,0,1,0
27,0,0,1,0,1
28,1,1,0,1,0
29,0,1,0,1,0
30,0,0,0,1,1
31,0,0,1,0,1
32,0,1,0,1,1
33,0,1,0,1,0
34,0,1,0,1,0
35,0,1,0,1,0
36,0,1,1,1,0
37,0,1,0,1,0
38,0,1,1,1,1
39,0,1,1,0,1
40,0,0,1,0,1
41,0,1,1,1,0
42,0,1,1,1,0
43,0,1,1,1,0
44,0,0,0,1,1
45,0,0,1,0,1
46,0,1,1,1,0
47,0,1,0,1,1
48,1,1,1,1,0
49,0,1,1,1,0
50,0,1,0,1,0
51,1,1,1,1,0
52,1,1,0,1,0
53,0,1,1,1,0
54,0,1,1,1,0
55,1,1,0,1,0
56,0,0,0,1,1
57,1,1,1,1,0
58,0,1,1,0,1
59,0,1,0,1,0
60,1,1,1,0,1
61,0,1,1,1,0
62,0,1,1,1,0
63,0,1,1,1,0
64,0,0,0,1,1
65,0,1,1,1,0
66,1,1,0,1,1
67,0,1,0,1,0
68,0,1,1,1,0
69,0,1,1,1,0
70,0,1,1,1,0
71,0,1,1,1,0
72,1,1,0,1,0
73,0,1,0,1,1
74,1,1,1,1,0
75,0,1,0,1,0
76,0,1,1,1,0
77,0,1,0,1,0
78,0,1,0,1,0
79,0,1,1,1,0
80,0,1,1,1,0
81,1,1,1,1,0
82,0,1,1,1,0
83,0,1,1,1,0
84,0,1,0,1,0
85,1,0,1,0,1
86,0,1,0,1,0
87,0,0,0,1,1
88,1,1,1,1,0
89,0,1,1,1,0
90,0,1,0,1,1
91,0,1,1,0,1
92,0,1,0,1,0
93,0,1,1,1,0
94,1,0,1,0,1
95,1,1,1,1,0
96,0,1,0,1,0
97,0,1,0,1,0
98,1,1,1,0,1
99,0,1,0,1,1
100,0,1,0,1,0
101,0,1,0,1,0
102,0,1,1,1,0
103,0,1,0,1,1
104,1,1,1,1,0
105,0,0,0,1,1
106,0,1,0,1,0
107,0,1,0,1,0
108,0,1,1,1,0
109,1,1,0,1,1
110,0,1,0,1,1
111,0,1,0,1,0
112,0,1,1,1,0
113,1,1,1,1,0
