,3,2,1,0
0,1,1,1,1
1,1,1,0,1
2,1,0,1,1
3,1,0,0,0
4,1,1,0,0
5,1,0,1,1
6,1,1,0,0
7,1,1,1,1
8,1,0,1,1
9,1,0,0,0
10,1,1,0,0
11,1,1,1,1
12,0,1,0,1
13,1,0,0,0
14,1,0,1,1
15,1,1,0,0
16,1,0,1,0
17,0,0,1,1
18,1,1,0,0
19,1,0,1,1
20,0,1,1,0
21,1,0,0,1
22,1,0,1,0
23,1,0,1,0
24,1,0,1,1
25,1,0,0,0
26,1,1,0,1
27,1,1,1,1
28,1,0,1,1
29,1,1,0,1
30,1,0,0,0
31,1,0,1,1
32,1,0,1,0
33,1,0,0,0
34,1,0,0,0
35,1,0,0,0
36,1,0,0,0
37,1,0,0,0
38,1,1,1,1
39,1,1,0,1
40,1,0,0,0
41,1,1,1,0
42,1,0,1,1
43,1,1,0,0
44,1,1,1,1
45,1,1,1,1
46,1,0,1,1
47,1,1,0,0
48,1,0,1,1
49,1,1,0,0
50,1,0,1,1
51,1,1,1,0
52,1,0,0,1
53,1,0,0,0
54,1,0,0,0
55,1,0,0,0
56,1,1,0,0
57,1,1,0,0
58,1,0,0,0
59,1,0,0,0
60,1,0,0,0
61,1,0,1,1
62,1,0,1,1
63,1,0,0,0
64,1,0,1,1
65,1,0,1,1
66,1,1,1,1
67,1,0,1,1
68,1,1,0,0
69,1,1,1,0
70,1,0,0,0
71,1,1,0,1
72,1,0,1,1
73,1,1,1,1
74,1,1,1,1
75,1,0,1,0
76,1,1,0,1
77,1,1,1,1
78,1,1,1,1
79,1,0,1,1
80,1,1,1,1
81,1,1,1,0
82,1,1,1,1
83,1,0,0,0
84,1,0,0,0
85,1,1,0,0
86,1,0,0,0
87,1,1,1,1
88,1,1,0,0
89,1,0,0,0
90,1,0,0,0
91,1,0,1,0
92,1,0,0,0
93,1,0,0,0
94,1,1,1,0
95,1,1,0,1
96,1,1,0,0
97,1,0,1,1
98,1,0,1,1
99,1,1,1,1
100,1,1,1,1
101,1,1,0,0
102,1,0,0,0
103,1,1,0,1
104,1,0,1,1
105,1,0,1,1
106,1,0,1,1
107,1,0,0,0
108,1,1,0,0
109,0,1,0,1
110,1,0,0,0
111,1,0,1,1
112,1,0,1,1
113,1,0,1,0
114,1,0,1,1
115,1,0,0,0
116,1,0,0,1
117,1,1,1,1
118,1,1,0,1
119,1,0,0,0
120,0,1,1,1
121,1,0,1,1
122,1,0,1,1
123,1,0,1,1
124,1,1,0,0
125,1,0,1,0
126,1,0,0,0
127,1,0,0,1
128,1,0,0,0
129,1,0,0,0
130,1,0,1,1
131,1,0,1,1
132,1,0,0,0
133,1,0,0,0
134,1,0,1,1
135,0,0,1,1
136,1,1,0,0
137,1,1,0,1
138,1,1,0,1
139,1,0,1,1
140,1,1,0,0
141,1,0,0,0
142,1,1,0,1
143,1,1,1,1
144,1,0,1,1
145,1,1,0,0
146,1,1,1,1
147,0,0,1,1
148,1,1,0,1
149,1,0,0,0
150,1,1,1,1
151,1,0,1,1
152,1,0,1,1
153,1,0,0,0
154,1,1,1,1
155,1,1,1,1
156,1,1,0,1
157,1,1,0,1
158,0,1,0,0
159,1,1,0,0
160,1,0,1,1
161,1,0,1,1
162,0,1,0,1
163,1,1,0,0
164,1,1,0,1
165,1,1,1,1
166,1,0,1,0
167,1,1,0,1
168,1,1,1,1
169,1,0,0,0
170,1,0,1,1
171,1,0,0,1
172,1,1,0,0
173,1,1,0,0
174,1,0,0,0
175,1,1,1,1
176,1,0,0,0
177,1,1,1,1
178,1,0,1,1
179,1,1,1,1
180,1,0,0,0
181,1,0,1,1
182,1,0,1,1
183,1,0,0,0
184,1,1,0,0
185,1,0,1,1
186,1,1,1,1
187,1,0,1,1
188,1,1,1,0
189,1,1,1,0
190,1,0,0,0
191,1,1,0,0
192,1,0,1,1
193,1,0,0,0
194,1,0,0,0
195,1,0,1,1
196,1,0,0,0
197,1,0,1,0
198,1,0,1,1
199,1,1,1,1
200,1,0,1,1
201,1,1,0,0
202,1,0,0,1
203,1,1,1,1
204,1,0,1,1
205,1,0,1,1
206,1,0,1,1
207,1,0,1,1
208,1,1,1,1
209,1,0,0,0
210,1,1,0,1
211,1,1,1,1
212,1,0,1,1
213,1,1,0,0
214,1,0,1,1
215,1,0,1,1
216,1,1,0,0
217,1,1,0,0
218,1,1,1,1
219,0,0,1,1
220,1,0,0,0
221,1,0,1,0
222,1,1,0,0
223,1,1,1,1
224,1,1,0,1
225,1,1,0,0
226,1,1,1,1
227,1,1,0,0
228,1,1,1,1
229,1,0,0,0
230,1,1,0,1
231,1,1,1,1
232,1,1,0,0
