,4,3,2,1,0
0,0,1,1,0,1
1,1,0,0,0,1
2,1,0,1,0,1
3,1,0,1,1,1
4,0,0,1,1,1
5,1,0,1,1,1
6,0,1,1,1,1
7,1,1,1,1,1
8,1,1,1,1,0
9,0,0,1,1,0
10,1,1,1,0,0
11,1,0,1,1,1
12,0,1,1,1,1
13,1,0,1,1,0
14,1,0,1,0,1
15,1,1,1,1,1
16,1,1,1,0,1
17,1,1,1,0,1
18,1,0,1,0,1
19,1,0,1,1,0
20,1,1,1,0,0
21,1,1,1,1,1
22,0,1,1,0,1
23,0,0,1,0,1
24,1,0,1,0,0
25,1,1,1,0,1
26,1,1,1,0,1
27,1,0,0,1,1
28,0,0,1,1,1
29,1,0,1,0,1
30,1,1,1,0,1
31,1,1,1,0,1
32,1,0,1,0,1
33,1,1,0,0,1
34,1,0,1,0,1
35,1,1,1,0,0
36,0,0,1,1,1
37,1,1,1,0,1
38,1,1,1,0,1
39,1,0,1,1,0
40,1,0,1,0,1
41,1,0,1,0,1
42,1,1,1,0,1
43,0,0,1,0,0
44,1,0,1,0,1
45,1,0,1,1,1
46,0,1,1,1,0
47,0,0,0,1,0
48,1,0,0,0,1
49,1,0,1,1,1
50,0,1,1,1,0
51,1,1,1,0,1
52,1,0,1,0,1
53,0,0,1,1,1
54,1,1,1,0,0
55,0,0,1,0,1
56,1,1,1,0,1
57,1,1,1,0,1
58,1,0,1,1,1
59,1,1,1,0,0
60,1,1,1,1,1
61,1,1,1,0,1
62,1,0,1,0,0
63,1,1,1,0,1
64,1,1,1,1,1
65,1,0,1,0,1
66,1,1,1,0,1
67,1,0,1,1,0
68,0,0,1,1,1
69,1,0,1,1,0
70,1,0,1,1,0
71,0,1,0,1,1
72,0,1,1,1,1
73,1,1,1,0,0
74,1,0,1,0,0
75,1,1,1,1,1
76,0,1,1,1,1
77,0,0,1,1,1
78,1,0,1,0,0
79,0,0,1,1,1
80,1,1,1,1,1
81,1,0,1,1,1
82,0,0,1,0,1
83,1,0,1,1,0
84,0,0,1,1,1
85,1,1,1,0,0
86,0,0,1,0,0
87,1,0,1,0,1
88,1,0,1,0,1
89,1,1,1,1,1
90,1,0,0,1,1
91,1,1,1,1,1
92,0,1,1,1,1
93,0,1,1,1,0
94,1,0,0,1,0
95,1,0,1,1,0
96,0,0,1,1,1
97,1,0,1,0,1
98,1,0,1,1,1
99,1,1,1,0,0
100,1,1,1,1,1
101,1,0,1,0,0
102,1,1,1,1,1
103,1,1,1,1,1
104,1,1,1,1,1
105,0,1,1,1,1
106,1,0,1,1,1
107,0,1,1,1,1
108,0,1,1,0,1
109,0,0,1,0,1
110,1,1,1,0,1
111,1,1,1,1,0
112,0,0,1,0,1
113,1,0,1,0,1
114,1,1,1,0,1
115,1,0,1,1,1
116,0,0,1,1,1
117,1,0,0,0,0
118,1,0,1,0,1
119,1,0,1,0,1
120,0,1,1,1,0
121,1,1,1,0,1
122,1,1,1,0,1
123,1,0,1,1,1
124,1,0,1,1,1
125,1,0,1,1,1
126,1,1,1,1,1
127,1,1,1,0,1
128,1,1,1,0,0
129,1,0,1,0,1
130,1,1,1,0,0
131,1,1,1,0,1
132,0,1,1,0,1
133,1,0,1,0,1
134,1,1,1,0,1
135,0,0,1,1,0
136,1,0,1,0,1
137,1,1,1,1,1
138,1,1,1,0,1
139,0,1,1,1,0
140,1,1,1,0,0
141,0,0,1,1,1
142,1,0,1,0,0
143,1,1,1,1,1
144,1,0,1,1,0
145,1,0,1,0,1
146,1,1,1,0,1
147,1,1,1,1,1
148,1,0,1,1,1
149,0,1,1,0,1
150,1,0,1,0,1
