,5,4,3,2,1,0
0,0,0,0,0,0,1
1,1,1,0,1,0,1
2,0,0,1,0,1,1
3,0,0,0,0,0,1
4,0,0,1,0,0,1
5,0,1,0,0,0,1
6,0,1,1,0,0,1
7,0,0,0,0,1,1
8,0,1,1,0,0,1
9,1,0,0,0,0,1
10,1,1,0,1,1,0
11,0,0,1,0,0,1
12,1,0,0,0,0,1
13,0,0,0,0,0,1
14,0,1,0,1,0,1
15,0,0,0,0,0,1
16,0,1,0,1,0,1
17,1,1,1,0,0,1
18,0,0,0,0,1,1
19,0,0,0,0,0,1
20,1,0,0,0,1,1
21,0,0,1,0,0,1
22,1,0,0,1,0,1
23,0,0,0,0,1,1
24,0,0,0,0,0,1
25,0,0,0,0,0,1
26,0,1,0,0,0,1
27,0,0,0,1,0,1
28,0,0,1,0,1,1
29,0,0,1,0,0,0
30,0,0,0,0,1,1
31,0,1,0,0,1,1
32,0,1,1,0,1,1
33,0,0,1,0,1,1
34,0,0,0,0,1,1
35,1,1,1,1,0,1
36,1,1,0,1,0,1
37,0,0,0,0,0,1
38,1,0,1,0,0,0
39,0,0,0,0,1,1
40,0,0,0,0,0,1
41,1,1,1,1,1,0
42,0,0,0,0,1,1
43,0,0,0,0,0,1
44,1,0,0,0,1,0
45,0,1,1,0,0,0
46,0,0,0,0,1,1
47,1,0,1,1,1,0
48,0,0,1,0,1,1
49,1,1,0,1,1,1
50,0,1,1,0,0,1
51,0,0,0,0,1,1
52,0,1,0,0,1,1
53,0,1,0,1,0,1
54,0,0,0,0,1,0
55,0,1,0,1,0,1
56,1,1,0,0,0,1
57,1,0,0,0,0,1
58,0,0,0,0,1,1
59,0,0,1,0,1,1
60,0,0,1,0,1,1
61,0,1,0,0,1,1
62,1,1,1,1,1,0
63,0,0,1,0,1,1
64,0,0,0,0,0,1
65,0,0,1,0,1,1
66,1,1,0,1,0,1
67,0,0,1,0,0,1
68,0,0,1,0,0,1
69,0,0,0,0,0,1
70,0,1,0,0,0,1
71,0,0,0,0,1,1
72,0,0,1,0,1,1
73,0,0,0,0,1,1
74,0,0,0,0,0,1
75,1,1,0,0,0,1
76,0,0,1,0,0,1
77,1,1,0,1,0,1
78,0,0,1,0,0,1
79,0,1,0,0,0,1
80,1,1,0,1,0,1
81,1,1,0,1,0,1
82,0,0,1,0,1,1
83,0,0,0,0,0,1
84,0,0,0,0,0,1
85,0,0,1,0,0,1
86,1,1,1,1,0,1
87,0,0,0,0,0,1
88,0,0,0,0,0,1
89,1,0,0,0,1,1
90,0,0,0,0,0,1
91,0,0,1,0,1,1
92,0,0,1,0,0,1
93,1,1,1,1,0,1
94,0,1,0,0,0,1
95,0,0,1,0,1,1
96,0,0,1,0,0,1
97,0,0,0,0,0,1
98,0,0,1,0,0,1
99,1,0,0,0,1,0
100,0,0,0,0,0,1
101,0,1,0,0,0,1
102,1,0,0,0,0,0
103,0,0,1,0,0,1
104,1,1,1,1,0,1
105,0,0,0,0,1,1
106,0,0,1,0,0,1
107,0,0,0,0,1,1
108,0,1,0,0,0,1
109,0,0,0,0,1,1
110,0,1,1,0,1,1
111,1,1,1,1,0,1
112,0,0,0,0,1,1
113,0,1,0,0,1,1
114,1,0,1,0,0,1
115,0,0,0,0,0,1
116,0,0,0,0,0,1
117,0,0,0,0,0,1
118,0,0,0,0,0,1
119,0,1,0,0,1,1
120,0,0,1,0,0,1
121,0,0,0,0,1,1
122,0,0,1,0,0,1
123,0,0,0,0,0,1
124,0,1,0,0,0,1
125,1,0,0,0,0,0
126,1,0,0,0,0,1
127,0,0,1,0,1,1
128,1,1,0,1,0,1
129,1,0,0,1,0,1
130,0,0,0,0,1,1
131,1,0,0,0,0,1
132,1,0,1,1,0,1
133,0,1,0,0,0,1
134,0,0,1,0,1,1
135,0,0,0,0,0,1
136,0,0,0,0,1,1
137,0,0,0,0,0,1
138,0,0,1,0,0,1
139,0,1,0,0,0,1
140,0,1,0,0,0,0
141,0,1,1,1,0,1
142,1,1,1,1,0,1
143,1,0,0,0,0,0
144,0,0,1,0,0,1
145,0,0,0,0,0,1
146,0,0,0,0,0,1
147,0,0,0,0,1,1
148,0,0,0,0,0,0
149,0,0,0,0,0,1
150,0,0,1,0,1,1
151,0,0,1,0,0,1
152,0,0,1,0,1,1
153,0,0,0,0,0,1
154,0,0,0,0,0,1
155,1,1,1,1,0,1
156,0,1,0,1,0,1
157,0,0,0,0,0,1
158,1,1,0,0,0,1
159,0,0,0,0,0,1
160,0,0,0,0,1,1
161,0,0,0,0,0,1
162,0,0,1,0,1,1
163,0,0,0,0,1,1
164,0,0,0,0,0,1
165,0,0,1,0,1,1
166,1,0,0,0,1,1
167,0,1,0,1,0,1
168,0,0,0,0,1,1
169,0,0,0,0,0,1
170,0,0,0,0,0,1
171,0,0,0,0,1,1
172,0,0,0,0,0,0
173,0,0,0,0,0,1
174,0,1,0,1,1,1
175,0,0,0,0,0,1
176,0,0,0,0,1,1
177,1,0,0,1,0,1
178,0,0,0,0,0,1
179,1,1,0,1,0,1
180,1,1,1,1,0,1
181,0,0,0,0,1,1
182,0,0,0,0,0,1
183,0,0,1,0,0,1
184,0,0,0,0,0,1
185,0,0,0,0,0,1
186,1,0,0,1,0,1
187,1,1,1,0,1,1
188,0,0,0,1,1,1
189,0,0,1,0,0,1
190,0,0,0,0,0,1
191,0,0,0,0,1,1
192,0,1,0,0,0,1
193,0,0,1,0,1,1
194,0,0,0,0,0,1
195,0,0,1,0,1,1
196,0,1,1,0,0,1
197,0,0,1,0,0,1
198,0,0,0,0,0,1
199,0,0,1,0,0,1
200,0,0,0,0,0,1
201,1,1,1,0,0,1
202,0,0,1,0,0,1
203,1,0,0,0,0,1
204,1,1,1,1,0,1
205,0,1,0,0,0,1
206,1,1,0,1,0,1
207,0,1,1,0,0,1
208,0,0,0,0,0,0
209,1,0,0,0,0,0
210,0,0,0,0,0,1
211,0,0,0,0,0,1
212,0,1,0,0,0,1
213,0,0,0,0,1,1
214,0,0,0,0,1,1
215,0,1,0,0,1,1
216,0,1,1,0,0,1
217,0,0,0,0,0,0
218,0,0,1,0,1,1
219,0,0,0,0,1,1
220,0,0,1,0,1,1
221,1,1,0,0,0,1
222,0,0,0,0,0,1
223,0,0,0,0,0,1
224,0,0,0,0,1,1
225,0,1,0,0,0,1
226,0,0,0,0,1,1
227,0,0,1,0,0,1
228,0,0,0,0,1,1
229,1,1,1,1,0,1
230,1,0,1,1,0,1
231,1,1,1,1,0,1
232,0,0,0,0,0,1
233,0,0,1,0,1,1
234,0,0,0,0,0,0
235,0,0,1,0,0,1
236,0,0,0,0,1,1
237,0,0,0,0,0,1
238,0,0,1,0,0,1
239,0,0,0,0,0,1
240,0,0,1,0,0,1
241,1,0,1,0,0,0
242,0,0,0,0,0,1
243,0,0,1,0,0,1
244,1,1,1,1,0,1
245,0,0,0,0,0,1
246,0,1,0,1,1,0
247,0,1,0,0,1,1
248,0,0,0,0,1,1
249,0,0,0,0,1,1
250,0,0,1,0,0,1
251,0,0,0,0,0,1
252,1,1,0,0,0,0
253,0,0,0,0,1,1
254,0,1,0,0,0,1
255,0,0,1,0,0,0
256,0,0,0,0,0,1
257,0,0,0,0,0,1
258,0,0,0,0,1,1
259,0,1,1,0,1,1
260,1,1,1,0,0,1
261,0,0,0,0,1,1
262,1,1,1,0,0,1
263,0,1,1,1,0,1
264,0,0,0,0,0,1
265,0,0,1,0,0,1
266,0,1,0,0,1,1
267,0,0,0,0,1,1
268,0,0,0,0,1,1
269,0,1,0,0,0,1
270,0,0,1,0,0,1
271,0,0,0,0,1,1
272,0,0,1,0,0,1
273,0,1,1,0,0,0
274,0,1,0,0,0,1
275,0,0,0,0,0,1
276,0,0,1,0,0,1
277,0,0,0,0,0,1
278,1,1,1,1,0,1
279,0,1,1,1,0,1
280,0,0,0,0,1,1
281,0,0,0,0,0,1
282,0,1,0,0,1,1
283,0,0,0,0,0,1
284,1,1,1,1,0,1
285,0,0,0,0,1,1
286,1,0,1,1,0,1
287,1,1,0,1,0,1
288,0,0,0,0,1,1
289,0,0,0,0,1,1
290,0,0,0,0,0,1
291,0,0,0,0,0,1
292,0,0,1,0,0,1
293,0,0,0,0,0,1
294,0,0,0,0,0,1
295,1,1,1,1,0,1
296,0,1,0,0,1,1
297,1,1,1,1,0,1
298,1,1,1,1,0,1
299,0,0,0,0,0,1
300,1,0,0,0,0,0
301,0,0,0,0,0,1
302,0,0,0,0,1,1
303,0,0,0,0,0,1
304,0,0,0,0,0,0
305,0,0,1,0,0,0
306,0,0,1,0,1,1
307,0,1,0,1,0,1
308,1,1,1,1,1,0
309,1,1,1,1,1,1
310,0,0,0,0,1,1
311,0,0,1,0,0,1
312,0,0,0,0,0,1
313,1,1,0,1,0,1
314,1,1,0,1,0,1
315,1,1,0,1,0,1
316,1,0,1,0,0,0
317,1,1,1,1,0,1
318,1,1,1,0,0,0
319,0,0,0,0,0,1
320,0,0,0,0,0,1
321,0,0,0,0,1,1
322,0,0,0,0,1,1
323,1,1,0,1,0,1
324,0,0,0,0,0,0
325,1,0,1,0,0,1
326,0,0,1,0,1,1
327,0,0,1,0,0,1
328,1,1,0,1,0,1
329,0,0,0,0,0,1
330,0,1,0,0,1,1
331,0,0,1,0,1,1
332,0,0,0,0,1,1
333,0,0,0,0,0,1
334,0,0,1,0,1,1
335,1,1,0,1,0,1
336,1,1,0,1,1,0
337,0,0,1,0,1,1
338,1,0,0,1,1,1
339,0,1,0,0,0,1
340,1,1,0,1,0,1
341,0,0,1,0,0,0
342,1,1,0,1,0,1
343,0,0,1,0,1,1
344,0,1,1,0,0,1
345,0,0,0,0,0,0
346,0,0,0,0,1,1
347,0,0,0,0,0,1
348,0,0,1,0,0,1
349,0,0,1,0,0,1
350,0,1,1,0,0,0
351,0,0,1,0,0,1
352,0,0,1,0,0,1
353,1,1,0,1,0,1
354,0,0,0,0,0,1
355,1,0,0,0,0,0
356,0,0,1,0,0,1
357,0,0,1,0,0,1
358,0,0,1,0,0,1
359,0,0,0,0,1,1
360,1,1,1,1,0,1
361,0,0,0,0,1,1
362,0,0,1,0,0,1
363,0,0,0,0,0,1
364,0,0,0,0,1,1
365,0,0,0,0,0,1
366,0,0,0,0,0,1
367,1,0,1,0,0,0
368,0,0,0,0,0,1
369,0,1,1,0,0,1
370,1,0,0,0,0,1
371,0,1,1,0,0,1
372,0,0,0,0,0,1
373,0,1,0,1,0,1
374,0,0,0,0,1,1
375,0,0,1,0,0,1
376,1,1,0,1,0,1
377,1,1,0,1,0,1
378,0,0,0,0,0,1
379,0,0,0,0,0,1
380,0,0,0,0,0,1
381,0,0,0,0,0,1
382,1,1,0,1,1,0
383,0,0,0,0,0,1
384,0,0,1,0,0,1
385,0,0,0,0,1,1
386,0,0,0,0,0,1
387,0,0,0,0,1,1
388,0,0,0,0,1,1
389,0,0,1,0,0,1
390,1,1,0,1,0,1
391,0,0,0,0,0,1
392,0,0,0,0,1,1
393,0,0,0,0,1,1
394,0,0,0,0,1,1
395,0,0,1,0,0,1
396,1,0,0,0,0,0
397,0,0,1,0,0,1
398,0,0,0,0,1,1
399,0,0,0,0,0,0
400,0,0,0,0,0,1
401,0,1,1,0,0,1
402,1,0,0,0,0,0
403,0,0,0,0,0,1
404,0,0,0,0,1,1
