,3,2,1,0
0,1,1,0,1
1,0,1,0,0
2,1,0,1,0
3,1,1,0,1
4,0,1,0,1
5,1,0,1,0
6,1,0,1,0
7,0,1,0,0
8,0,1,0,1
9,1,0,1,0
10,0,0,0,0
11,1,0,1,0
12,0,0,0,0
13,1,1,0,1
14,1,0,1,1
15,1,0,1,1
16,0,0,0,0
17,0,1,1,1
18,0,1,0,0
19,1,0,1,1
20,1,0,1,0
21,0,1,0,1
22,0,0,0,0
23,1,0,1,0
24,0,1,1,1
25,0,1,0,1
26,0,0,1,1
27,1,1,1,1
28,0,0,0,0
29,0,0,0,0
30,1,1,1,1
31,0,1,0,1
32,0,1,0,1
33,0,0,0,0
34,1,0,1,0
35,0,0,0,0
36,1,0,1,0
37,0,1,0,0
38,0,1,0,1
39,0,1,0,1
40,1,0,1,0
41,0,0,0,0
42,1,0,1,1
43,1,0,1,0
44,1,0,1,0
45,1,0,1,0
46,0,0,0,0
47,1,0,1,1
48,0,1,1,1
49,0,0,0,0
50,1,1,1,1
51,1,0,1,0
52,0,1,0,0
53,1,0,1,0
54,1,0,1,0
55,1,1,1,1
56,0,1,0,1
57,1,0,1,0
58,1,0,1,0
59,0,0,0,0
60,0,1,0,1
61,0,1,0,1
62,0,0,0,0
63,0,0,1,1
64,1,1,0,1
65,1,0,1,0
66,1,0,1,0
67,1,0,1,1
68,1,0,1,0
69,0,1,0,1
70,1,0,1,0
71,0,0,0,0
72,0,0,0,0
73,1,0,1,0
74,1,1,0,1
75,1,0,1,0
76,1,0,1,0
77,1,0,1,0
78,1,0,1,0
79,0,0,0,0
80,0,0,0,0
81,1,0,1,1
82,0,1,0,0
83,1,0,1,0
84,0,0,0,0
85,1,0,1,0
86,1,0,1,0
87,1,0,1,0
88,1,0,1,0
89,0,0,0,0
90,0,0,0,0
91,0,0,1,1
92,0,1,1,1
93,1,1,1,1
94,1,0,1,0
95,1,0,1,0
96,0,0,0,0
97,1,1,1,1
98,0,0,1,1
99,1,0,1,0
100,1,0,1,0
101,1,1,1,1
102,1,1,1,1
103,1,0,1,0
104,0,1,1,1
105,0,0,0,0
106,1,1,0,1
107,1,1,1,1
108,0,1,0,1
109,1,0,1,1
110,1,1,1,1
111,1,1,1,1
112,1,1,1,1
113,1,0,1,0
114,0,0,0,0
115,0,0,0,0
116,1,0,1,1
117,1,1,1,1
118,0,1,1,1
119,0,0,0,0
120,0,0,0,0
121,1,0,1,0
122,1,0,1,0
123,0,1,0,1
124,0,0,0,0
125,1,0,1,0
126,1,0,1,0
127,1,1,1,1
128,0,0,0,0
129,0,1,1,1
130,0,1,0,1
131,1,0,1,0
132,1,0,1,0
133,0,1,1,1
134,1,0,1,0
135,0,1,0,1
136,1,1,1,1
137,1,0,1,0
138,1,1,1,1
139,0,0,1,1
140,1,0,1,1
141,0,0,0,0
142,0,1,0,1
143,0,1,0,1
144,1,0,1,0
145,1,1,1,1
146,0,1,0,1
147,1,1,1,1
148,0,0,0,0
149,1,1,0,1
150,1,0,1,0
151,1,0,1,0
152,1,0,1,0
153,1,1,1,1
154,0,1,0,1
155,1,0,1,0
156,1,1,1,1
157,0,0,0,0
158,0,1,1,1
159,0,1,0,0
160,1,0,1,0
161,0,0,0,0
162,0,0,0,0
163,1,0,1,0
164,0,1,0,0
165,1,1,0,1
166,0,1,0,1
167,1,0,1,1
168,0,1,0,1
169,1,0,1,0
170,0,1,1,1
171,1,0,1,1
172,0,0,0,0
173,1,0,1,0
174,0,1,1,1
175,1,0,1,1
176,1,0,1,0
177,1,0,1,0
178,0,1,1,1
179,1,0,1,0
180,0,1,0,1
181,0,1,0,0
182,0,1,0,1
183,0,0,0,0
184,1,0,1,0
185,0,0,0,0
186,1,1,1,1
187,1,0,1,0
188,1,0,1,0
189,0,1,0,0
190,1,1,0,1
191,0,1,0,1
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,1,1,0,1
197,0,0,0,0
198,0,0,1,1
199,1,0,1,0
200,0,0,0,0
201,0,1,0,0
202,0,1,1,1
203,0,1,0,1
204,0,0,0,0
205,1,0,1,0
206,1,0,1,0
207,1,0,1,0
208,1,0,1,0
209,1,0,1,0
210,1,1,1,1
211,0,0,0,0
212,1,0,1,0
213,1,1,1,1
214,0,1,1,1
215,1,0,1,0
216,0,0,1,1
217,0,1,0,0
218,1,1,1,1
219,0,0,0,0
220,0,0,0,0
221,1,1,1,1
222,1,1,1,1
223,1,0,1,0
224,0,1,0,1
225,1,1,1,1
226,0,0,0,0
227,0,0,0,0
228,0,0,0,0
229,1,0,1,0
230,0,1,0,1
231,0,1,0,1
232,0,0,1,1
233,0,0,0,0
234,1,0,1,0
235,0,1,0,1
236,1,0,1,1
237,0,1,0,1
238,0,1,0,1
239,1,0,1,0
240,1,0,1,0
241,0,1,1,1
242,1,0,1,0
243,0,1,0,1
244,1,0,1,0
245,0,1,0,0
246,1,0,1,0
247,1,0,1,0
248,0,0,0,0
249,1,0,1,0
250,1,0,1,0
251,0,1,0,1
252,1,1,1,1
253,0,1,0,1
254,1,1,1,1
255,0,0,0,0
256,1,0,1,0
257,1,1,1,1
258,1,1,1,1
259,0,0,0,0
260,1,0,1,0
261,0,1,1,1
262,1,0,1,0
263,0,1,0,0
264,0,1,0,0
265,1,0,1,0
266,1,0,1,0
267,1,0,1,0
268,1,0,1,0
269,0,1,0,1
270,1,0,1,0
271,0,0,0,0
272,1,0,1,0
273,1,0,1,0
274,0,0,0,0
275,1,1,1,1
276,1,0,1,0
277,1,0,1,0
278,1,1,0,1
279,1,0,1,0
280,1,1,1,1
281,1,0,1,0
282,1,0,1,0
283,1,1,1,1
284,0,1,1,1
285,1,0,1,0
286,1,0,1,0
287,0,1,0,1
288,1,0,1,0
289,1,0,1,0
290,0,0,0,0
291,0,1,1,1
292,0,0,0,0
293,0,1,0,1
294,1,1,0,1
295,1,0,1,0
296,0,1,0,0
297,0,0,1,1
298,0,0,0,0
299,0,1,1,1
300,1,1,1,1
301,1,0,1,0
302,0,0,0,0
303,0,1,0,0
304,1,0,1,0
305,1,0,1,0
306,1,0,1,0
307,1,0,1,1
308,0,1,0,1
309,1,0,1,0
310,1,0,1,0
311,0,1,1,1
312,1,1,1,1
313,0,1,1,1
314,1,1,1,1
315,1,0,1,0
316,0,0,0,0
317,0,1,0,0
318,0,1,0,1
319,1,0,1,1
320,0,1,0,0
321,0,0,1,1
322,1,0,1,1
323,1,0,1,1
324,1,1,1,1
325,0,1,0,1
326,1,0,1,0
327,0,0,0,0
328,1,0,1,0
329,0,0,0,0
330,1,0,1,0
331,1,0,1,0
332,0,0,0,0
333,1,0,1,1
334,0,1,1,1
335,1,1,1,1
336,1,1,1,1
337,1,0,1,0
338,1,0,1,0
339,0,0,0,0
340,0,1,0,1
341,1,0,1,0
342,0,1,0,1
343,0,1,0,0
344,1,1,1,1
345,0,0,0,0
346,1,0,1,0
347,0,1,0,0
348,0,1,0,0
349,1,0,1,0
350,1,1,1,1
351,0,1,0,0
352,0,0,0,0
353,0,0,0,0
354,0,1,0,1
355,0,0,0,0
356,1,1,1,1
357,1,0,1,0
358,1,0,1,0
359,0,1,0,0
360,0,1,1,1
361,1,0,1,0
362,1,1,1,1
363,1,1,0,1
364,0,1,1,1
365,0,0,0,0
366,1,0,1,0
367,1,0,1,0
368,0,1,1,1
369,1,1,1,1
370,1,0,1,1
371,1,1,1,1
372,1,0,1,1
373,1,0,1,0
374,1,0,1,0
375,0,1,0,1
376,1,0,1,0
377,1,0,1,1
378,1,0,1,1
379,1,0,1,0
380,1,0,1,1
381,0,0,0,0
382,0,1,0,1
383,0,1,0,1
384,1,0,1,1
385,1,1,1,1
386,0,0,0,0
387,1,0,1,0
388,0,1,0,1
389,1,0,1,0
390,0,1,1,1
391,1,0,1,0
392,0,0,0,0
393,0,1,0,1
394,1,0,1,0
395,1,0,1,0
396,1,0,1,0
397,1,0,1,0
398,0,1,0,1
399,0,1,1,1
400,1,0,1,1
401,0,1,0,0
402,1,0,1,0
403,1,0,1,0
404,0,0,0,0
405,1,1,1,1
406,0,1,0,1
407,0,1,0,0
408,1,0,1,0
409,1,0,1,0
410,1,0,1,0
411,0,0,0,0
412,1,1,0,1
413,1,1,0,1
414,1,1,1,1
415,1,0,1,0
416,0,1,0,1
417,1,0,1,0
418,1,1,0,1
419,0,0,0,0
420,1,0,1,0
421,1,1,1,1
422,1,1,1,1
423,1,0,1,0
424,0,0,0,0
425,1,0,1,0
426,1,0,1,0
427,0,0,0,0
428,0,0,0,0
429,0,1,0,1
430,1,1,0,1
431,0,0,0,0
432,1,0,1,0
433,0,0,0,0
434,1,1,0,1
435,0,1,1,1
436,0,0,0,0
437,0,0,0,0
438,0,1,0,1
439,1,0,1,0
