name,treewidth,endo_treewidth
rand13_mk1_maxDist2_nEndo6_k10_1.uai,3,2
rand13_mk0_nEndo5_k10_4.uai,4,3
rand13_mk1_maxDist2_nEndo5_k05_5.uai,4,3
rand13_mk1_maxDist2_nEndo5_k05_4.uai,4,3
rand13_mk0_nEndo5_k10_5.uai,4,3
rand13_mk0_nEndo6_k05_1.uai,4,3
rand13_mk0_nEndo4_k075_4.uai,3,2
rand13_mk1_maxDist2_nEndo6_k075_2.uai,3,2
rand13_mk0_nEndo6_k05_3.uai,4,3
rand13_mk1_maxDist2_nEndo6_k10_2.uai,3,2
rand13_mk1_maxDist2_nEndo6_k10_3.uai,4,3
rand13_mk0_nEndo6_k05_2.uai,4,3
rand13_mk0_nEndo4_k075_5.uai,3,2
rand13_mk0_nEndo4_k075_1.uai,3,2
rand13_mk0_nEndo5_k10_2.uai,4,3
rand13_mk1_maxDist2_nEndo5_k05_3.uai,,3
rand13_mk1_maxDist2_nEndo5_k05_2.uai,4,3
rand13_mk0_nEndo5_k10_3.uai,4,3
rand13_mk0_nEndo4_k075_0.uai,4,3
rand13_mk1_maxDist2_nEndo6_k075_4.uai,3,2
rand13_mk0_nEndo4_k075_2.uai,4,3
rand13_mk0_nEndo6_k05_5.uai,4,3
rand13_mk1_maxDist2_nEndo6_k10_4.uai,3,2
rand13_mk0_nEndo5_k10_1.uai,3,2
rand13_mk1_maxDist2_nEndo5_k05_0.uai,3,2
rand13_mk1_maxDist2_nEndo5_k05_1.uai,3,2
rand13_mk0_nEndo5_k10_0.uai,4,3
rand13_mk1_maxDist2_nEndo6_k10_5.uai,4,3
rand13_mk0_nEndo6_k05_4.uai,4,3
rand13_mk0_nEndo4_k075_3.uai,3,2
rand13_mk1_maxDist2_nEndo6_k075_5.uai,3,2
rand13_mk0_nEndo4_k10_4.uai,3,2
rand13_mk1_maxDist2_nEndo4_k05_5.uai,3,2
rand13_mk1_maxDist2_nEndo4_k075_0.uai,3,2
rand13_mk1_maxDist2_nEndo4_k075_1.uai,3,2
rand13_mk1_maxDist2_nEndo4_k05_4.uai,3,2
rand13_mk0_nEndo4_k10_5.uai,3,2
rand13_mk0_nEndo6_k075_5.uai,4,3
