,4,3,2,1,0
0,1,1,1,1,1
1,1,1,1,1,1
2,1,1,1,1,0
3,0,1,1,1,1
4,1,1,1,1,1
5,1,1,1,1,1
6,1,1,1,1,1
7,0,1,1,1,1
8,0,1,1,1,1
9,0,1,1,1,1
10,1,1,1,1,0
11,1,1,1,1,1
12,0,1,1,1,1
13,0,1,1,1,1
14,1,0,0,0,1
15,0,1,1,1,1
16,1,1,1,1,1
17,0,1,0,1,1
18,1,1,1,1,0
19,0,1,1,1,1
20,0,1,1,1,1
21,1,1,1,1,1
22,1,1,1,1,1
23,1,1,1,1,1
24,1,1,1,1,1
25,1,1,1,1,1
26,1,1,1,1,1
27,0,1,1,1,1
28,1,0,0,1,1
29,1,1,1,1,1
30,1,1,1,0,1
31,0,1,1,1,1
32,1,1,1,1,1
33,1,1,0,1,1
34,1,1,1,0,1
35,1,1,1,1,1
36,1,1,1,1,1
37,1,1,1,1,1
38,0,1,1,1,1
39,0,1,1,1,1
40,1,1,1,1,0
41,1,1,1,0,1
42,1,1,1,1,0
43,1,0,0,1,1
44,0,0,0,1,0
45,0,1,1,1,1
46,1,1,1,1,1
47,0,1,0,0,1
48,0,1,1,1,1
49,1,1,1,1,1
50,1,1,1,0,1
51,1,1,1,1,0
52,1,1,1,1,1
53,1,1,1,1,0
54,1,1,1,1,1
55,1,1,1,0,1
56,1,1,1,1,1
57,0,1,1,1,1
58,0,1,1,1,1
59,1,1,1,1,1
60,1,1,0,0,1
61,1,1,0,1,0
62,1,1,1,1,1
63,1,1,1,1,1
64,1,1,1,1,1
65,0,1,0,0,1
66,1,1,1,1,1
67,1,1,1,1,1
68,1,1,1,1,1
69,1,0,1,1,1
70,0,1,0,1,1
71,1,1,1,1,1
72,0,1,1,1,1
73,1,1,1,0,1
74,0,1,1,1,1
75,0,1,1,1,1
76,0,1,1,1,1
77,1,0,1,1,1
78,1,1,1,0,1
79,1,1,1,1,1
80,1,1,1,1,1
81,1,1,1,1,1
82,1,1,1,1,1
83,1,1,1,1,1
84,1,1,1,1,1
85,1,1,1,1,0
86,1,1,1,1,1
87,1,1,1,1,1
88,1,1,1,1,1
89,1,1,1,1,1
90,0,1,1,1,1
