,treewidth,n,value
0,2.0,20,0.16837117628581785
1,2.0,20,0.061246933095818155
2,2.0,20,0.13702699560361506
3,2.0,20,0.1925793933389344
4,2.0,20,0.010941101099199645
5,2.0,20,0.0431898091656737
6,2.0,20,0.008832671390734416
7,2.0,20,0.0027540782970752013
8,2.0,20,0.0027540782970752013
9,2.0,20,0.0005544834838380053
10,2.0,20,0.04309894814355219
11,2.0,20,7.04593069714135e-05
12,2.0,20,0.0
13,2.0,20,0.01687063425768374
14,2.0,20,0.14789097193212833
15,2.0,20,0.0
16,2.0,20,0.0
17,2.0,20,0.00032982205132999956
18,3.0,20,0.10760098572288469
19,3.0,20,0.15193353943291615
20,3.0,20,0.22726160506848653
21,3.0,20,0.0
22,3.0,20,0.005211105092893723
23,3.0,20,0.0
24,3.0,20,0.048408909528922246
25,3.0,20,0.07020008963598408
26,3.0,20,0.06510350089928954
27,3.0,20,0.0008801391432896557
28,3.0,20,0.002678134328551215
29,3.0,20,0.07506212689795784
30,3.0,20,0.13628282476148154
31,3.0,20,0.16445648474226077
32,3.0,20,0.2190478542781546
33,3.0,20,0.05906945286149455
34,3.0,20,0.0001548327534048508
35,3.0,20,0.0001548327534048508
36,3.0,20,0.00011444155227547581
37,3.0,20,0.003638771881810729
38,3.0,20,0.04740034052733804
39,3.0,20,0.10831626765028694
40,3.0,20,0.04375301038545539
41,3.0,20,0.12075063194242418
42,3.0,20,0.11877149344925492
43,3.0,20,0.0723647753524176
44,3.0,20,0.06350670804562256
45,2.0,20,0.001913365044326933
46,2.0,20,0.004908437090560844
47,2.0,20,0.006710434112056786
48,2.0,20,0.003081202534179124
49,2.0,20,0.017663733741224586
50,2.0,20,0.051150367174460566
51,2.0,20,0.051150367174460566
52,2.0,20,0.08216735527554656
53,2.0,20,0.12929521226693164
54,2.0,20,0.002346344986861704
55,2.0,20,0.028723273484809297
56,2.0,20,0.06109811717809865
57,2.0,20,0.010108262474802957
58,2.0,20,0.03930677912012418
59,2.0,20,0.08029466391364856
60,2.0,20,0.0770662390283743
61,2.0,20,0.036501991080990406
62,2.0,20,0.036501991080990406
63,3.0,20,0.35435996763168753
64,3.0,20,0.2494444375933463
65,3.0,20,0.41614747712345934
66,3.0,20,0.26513194130333734
67,3.0,20,0.06663478622530206
68,3.0,20,0.26512329335102847
69,3.0,20,0.14252097640844344
70,3.0,20,0.15018355695010968
71,3.0,20,0.16075714624409634
72,2.0,20,0.19981607839710186
73,2.0,20,0.25770386426014175
74,2.0,20,0.1344354709087213
75,2.0,20,0.13288775145816845
76,2.0,20,0.0021722652844240737
77,2.0,20,0.0021722652844240737
78,2.0,20,0.004228966358038118
79,2.0,20,0.0005430361090335288
80,2.0,20,0.0005430361090335288
81,2.0,20,0.34479117163882433
82,2.0,20,0.31108924913095504
83,2.0,20,0.3703682491203934
84,2.0,20,3.176843308193592e-09
85,2.0,20,0.12903557210591357
86,2.0,20,0.0770789480770232
87,2.0,20,0.03696746774304322
88,2.0,20,0.010339703799255084
89,2.0,20,0.013340089799456762
90,3.0,20,0.05852191136076787
91,3.0,20,0.0005646332939410208
92,3.0,20,0.4176629680728574
93,3.0,20,0.12578392803645846
94,3.0,20,0.10904428997083875
95,3.0,20,0.0
96,3.0,20,0.0
97,3.0,20,0.07551471421105767
98,3.0,20,0.07551471421105686
99,3.0,20,0.10327465959720185
100,3.0,20,0.047889957877006784
101,3.0,20,0.11501150859955987
102,3.0,20,0.04892241925383604
103,3.0,20,0.011434857477720111
104,3.0,20,0.038967774116958794
105,3.0,20,0.0036855196403722703
106,3.0,20,0.13912926660425617
107,3.0,20,0.13912926660425617
108,3.0,20,0.11307807620736292
109,3.0,20,0.030267059981688237
110,3.0,20,0.33969291811088126
111,3.0,20,0.059062618965381494
112,3.0,20,0.20319329664270394
113,3.0,20,0.08770511144503815
114,3.0,20,0.0
115,3.0,20,0.061042627424532495
116,3.0,20,0.012015467109051778
117,2.0,20,0.31477017705900334
118,2.0,20,0.17907041732802773
119,2.0,20,0.19813435910918603
120,2.0,20,0.21572606800566643
121,2.0,20,0.2084793894521938
122,2.0,20,0.03305501203951818
123,2.0,20,0.02936072408563091
124,2.0,20,0.029360724085631167
125,2.0,20,0.029360724085631503
126,2.0,20,0.0400891098205253
127,2.0,20,0.0001742820291438688
128,2.0,20,0.02634254542133144
129,2.0,20,0.0014975748379212348
130,2.0,20,0.05939310062530437
131,2.0,20,0.05939310062530437
132,2.0,20,0.05939310062530437
133,2.0,20,0.06619491649267127
134,2.0,20,0.06619491649267127
135,3.0,20,0.0
136,3.0,20,0.298165832048656
137,3.0,20,0.07560536738325657
138,3.0,20,0.019937574904268084
139,3.0,20,0.006976307990601459
140,3.0,20,0.1773620355584017
141,3.0,20,0.18278481871397412
142,3.0,20,0.2435192427462762
