,n,range,value
0,10,"(0.333, 0.665]",0.43269409119235724
1,10,"(-0.000964, 0.333]",0.6218803719962306
2,10,"(0.333, 0.665]",4.9592118339486053e-05
3,10,"(0.665, 0.998]",0.0006325953253557125
4,10,"(0.665, 0.998]",0.16083694998438738
5,10,"(0.665, 0.998]",0.1492802519873245
6,10,"(0.665, 0.998]",0.0008801391432896557
7,10,"(0.665, 0.998]",0.29502618440880046
8,10,"(0.665, 0.998]",0.001913365044326933
9,10,"(0.665, 0.998]",0.002346344986861704
10,10,"(0.665, 0.998]",0.5240436350479366
11,10,"(0.665, 0.998]",0.35435996763168753
12,10,"(0.333, 0.665]",0.4591453185674631
13,10,"(0.333, 0.665]",0.5140196575494265
14,10,"(0.333, 0.665]",0.3943037849253574
15,10,"(0.665, 0.998]",0.19988431222954692
16,10,"(0.665, 0.998]",0.6010089929207209
17,10,"(0.665, 0.998]",0.07832802032827309
18,10,"(0.665, 0.998]",0.16494269579060666
19,10,"(0.665, 0.998]",0.10341546008983894
20,10,"(0.665, 0.998]",0.11307807620736292
21,10,"(0.665, 0.998]",0.3589519834222732
22,10,"(0.665, 0.998]",0.05792719037990415
23,10,"(0.665, 0.998]",0.027169831173791126
24,10,"(0.333, 0.665]",0.3030152842510133
25,10,"(0.665, 0.998]",0.055302843436741536
26,10,"(0.665, 0.998]",0.03835731664089893
27,10,"(0.665, 0.998]",0.0
28,10,"(0.665, 0.998]",0.11992415840759126
29,10,"(0.333, 0.665]",0.1426875827094964
30,10,"(0.665, 0.998]",0.00019729014379613958
31,10,"(0.665, 0.998]",0.030959630915884297
32,10,"(0.665, 0.998]",0.2557054006627526
33,10,"(0.665, 0.998]",0.0003631647370995953
34,10,"(0.333, 0.665]",0.43270665376057327
35,10,"(0.665, 0.998]",0.32266589527374673
36,10,"(0.665, 0.998]",0.20542061605800502
37,10,"(0.665, 0.998]",0.2411987318180786
38,10,"(0.665, 0.998]",0.25645062816103514
39,10,"(0.665, 0.998]",0.4256091677939932
40,10,"(0.665, 0.998]",0.43832056557915233
41,10,"(0.665, 0.998]",0.5473551125079039
42,10,"(0.333, 0.665]",0.5250177191672134
43,10,"(0.333, 0.665]",0.5883118581638427
44,10,"(-0.000964, 0.333]",0.0
45,10,"(0.665, 0.998]",0.17901636548676067
