,n,range,value
0,10,"(0.333, 0.665]",4.9592118339486053e-05
1,10,"(0.665, 0.998]",0.0006325953253557125
2,10,"(0.665, 0.998]",0.16083694998438738
3,10,"(0.665, 0.998]",0.29502618440880046
4,10,"(0.665, 0.998]",0.001913365044326933
5,10,"(0.665, 0.998]",0.002346344986861704
6,10,"(0.665, 0.998]",0.19988431222954692
7,10,"(0.665, 0.998]",0.6010089929207209
8,10,"(0.665, 0.998]",0.16494269579060666
9,10,"(0.665, 0.998]",0.05792719037990415
10,10,"(0.665, 0.998]",0.055302843436741536
11,10,"(0.665, 0.998]",0.03835731664089893
12,10,"(0.665, 0.998]",0.0
13,10,"(0.665, 0.998]",0.11992415840759126
14,10,"(0.665, 0.998]",0.030959630915884297
15,10,"(0.665, 0.998]",0.0003631647370995953
16,10,"(0.665, 0.998]",0.32266589527374673
17,10,"(0.665, 0.998]",0.2411987318180786
18,10,"(0.665, 0.998]",0.4256091677939932
19,10,"(0.333, 0.665]",0.5250177191672134
20,10,"(-0.000964, 0.333]",0.0
21,10,"(0.665, 0.998]",0.17901636548676067
22,10,"(0.665, 0.998]",0.021400255415679494
23,10,"(0.665, 0.998]",0.10656352930505891
24,10,"(0.665, 0.998]",0.011511324272406103
25,10,"(0.665, 0.998]",0.19803958689030723
26,10,"(0.665, 0.998]",0.011296194877622696
27,10,"(0.665, 0.998]",0.00016520199145083324
28,10,"(0.333, 0.665]",0.2714187010391173
29,10,"(0.665, 0.998]",0.05053702970693213
30,10,"(0.665, 0.998]",0.016986101997364698
31,10,"(0.333, 0.665]",0.09921489489029406
32,10,"(0.665, 0.998]",0.27228081807783305
33,10,"(0.665, 0.998]",0.22208468878632923
34,10,"(0.665, 0.998]",0.0015322104469234516
35,10,"(0.665, 0.998]",0.5424815124631907
36,10,"(0.333, 0.665]",0.21742244700635108
37,10,"(0.665, 0.998]",0.3133955910891657
38,10,"(0.665, 0.998]",0.5344327773834364
39,10,"(0.665, 0.998]",0.033632271609354794
