,treewidth,variable,value,n
0,3.0,error_r_10,4.9592118339486053e-05,10
1,2.0,error_r_10,0.0006325953253557125,10
2,2.0,error_r_10,0.16083694998438738,10
3,3.0,error_r_10,0.29502618440880046,10
4,2.0,error_r_10,0.001913365044326933,10
5,2.0,error_r_10,0.002346344986861704,10
6,2.0,error_r_10,0.19988431222954692,10
7,2.0,error_r_10,0.6010089929207209,10
8,3.0,error_r_10,0.16494269579060666,10
9,2.0,error_r_10,0.05792719037990415,10
10,2.0,error_r_10,0.055302843436741536,10
11,2.0,error_r_10,0.03835731664089893,10
12,3.0,error_r_10,0.0,10
13,2.0,error_r_10,0.11992415840759126,10
14,2.0,error_r_10,0.030959630915884297,10
15,2.0,error_r_10,0.0003631647370995953,10
16,2.0,error_r_10,0.32266589527374673,10
17,2.0,error_r_10,0.2411987318180786,10
18,,error_r_10,0.4256091677939932,10
19,2.0,error_r_10,0.5250177191672134,10
20,2.0,error_r_10,0.0,10
21,3.0,error_r_10,0.17901636548676067,10
22,3.0,error_r_10,0.021400255415679494,10
23,3.0,error_r_10,0.10656352930505891,10
24,2.0,error_r_10,0.011511324272406103,10
25,,error_r_10,0.19803958689030723,10
26,2.0,error_r_10,0.011296194877622696,10
27,2.0,error_r_10,0.00016520199145083324,10
28,2.0,error_r_10,0.2714187010391173,10
29,3.0,error_r_10,0.05053702970693213,10
30,2.0,error_r_10,0.016986101997364698,10
31,2.0,error_r_10,0.09921489489029406,10
32,2.0,error_r_10,0.27228081807783305,10
33,3.0,error_r_10,0.22208468878632923,10
34,3.0,error_r_10,0.0015322104469234516,10
35,2.0,error_r_10,0.5424815124631907,10
36,3.0,error_r_10,0.21742244700635108,10
37,2.0,error_r_10,0.3133955910891657,10
38,2.0,error_r_10,0.5344327773834364,10
39,3.0,error_r_10,0.033632271609354794,10
40,2.0,error_r_10,0.22996138667470678,10
41,2.0,error_r_10,0.04310827468501211,10
42,2.0,error_r_10,7.04593069714135e-05,10
43,2.0,error_r_10,0.0,10
44,2.0,error_r_10,0.01687063425768374,10
45,2.0,error_r_10,0.14789097193212833,10
46,2.0,error_r_10,0.0,10
47,2.0,error_r_10,0.0,10
48,2.0,error_r_10,0.00032982205132999956,10
49,3.0,error_r_10,0.11439123784841093,10
50,3.0,error_r_10,0.04807718708551401,10
51,3.0,error_r_10,0.11159548917862959,10
52,3.0,error_r_10,0.157108976556296,10
53,3.0,error_r_10,0.12075063194242418,10
54,3.0,error_r_10,0.15853582644635508,10
55,3.0,error_r_10,0.12348468481283043,10
56,3.0,error_r_10,0.12282092764832082,10
57,2.0,error_r_10,0.18581702422924656,10
58,2.0,error_r_10,0.16768016464619018,10
59,2.0,error_r_10,0.03918100413966878,10
60,2.0,error_r_10,0.07407494411114099,10
61,2.0,error_r_10,0.051150367174460566,10
62,2.0,error_r_10,0.051150367174460566,10
63,2.0,error_r_10,0.08216735527554656,10
64,2.0,error_r_10,0.12929521226693164,10
65,2.0,error_r_10,0.028723273484809297,10
66,2.0,error_r_10,0.14425913409942473,10
67,2.0,error_r_10,0.012075630747319047,10
68,2.0,error_r_10,0.03930677912012418,10
69,2.0,error_r_10,0.08029466391364856,10
70,2.0,error_r_10,0.0770662390283743,10
71,2.0,error_r_10,0.036501991080990406,10
72,2.0,error_r_10,0.036501991080990406,10
73,2.0,error_r_10,0.2580078167809479,10
74,2.0,error_r_10,0.22372203236633031,10
75,2.0,error_r_10,0.13355219831985313,10
76,2.0,error_r_10,0.11020346123743946,10
77,2.0,error_r_10,0.11020346123743946,10
78,2.0,error_r_10,0.004228966358038118,10
79,2.0,error_r_10,0.0005430361090335288,10
80,2.0,error_r_10,0.0005430361090335288,10
81,2.0,error_r_10,0.38592405204732294,10
82,2.0,error_r_10,0.3703682491203934,10
83,2.0,error_r_10,0.4592467033109055,10
84,2.0,error_r_10,0.18397833189433097,10
85,2.0,error_r_10,0.1546389737263171,10
86,2.0,error_r_10,0.05047946351997232,10
87,2.0,error_r_10,0.013378476520428428,10
88,2.0,error_r_10,0.014938233348667352,10
89,2.0,error_r_10,0.07153227760928134,10
90,2.0,error_r_10,0.12460516735618157,10
91,2.0,error_r_10,0.0014975748379212348,10
92,2.0,error_r_10,0.05939310062530437,10
93,2.0,error_r_10,0.05939310062530437,10
94,2.0,error_r_10,0.05939310062530437,10
95,2.0,error_r_10,0.07569406670890483,10
96,2.0,error_r_10,0.07569406670890483,10
97,2.0,error_r_10,0.10490442254284135,10
98,2.0,error_r_10,0.01802751019353492,10
99,2.0,error_r_10,0.015820885535568614,10
100,2.0,error_r_10,0.09655083421000674,10
101,2.0,error_r_10,0.03587049186924672,10
102,2.0,error_r_10,0.00040901248448149685,10
103,2.0,error_r_10,0.0004090124844814969,10
104,2.0,error_r_10,0.00040901248448149685,10
105,2.0,error_r_10,0.1451307330805033,10
106,2.0,error_r_10,0.04632831066299045,10
107,2.0,error_r_10,0.019548204213668215,10
108,2.0,error_r_10,0.04269083825419741,10
109,2.0,error_r_10,0.01713675679509242,10
110,2.0,error_r_10,0.02412581488114927,10
111,2.0,error_r_10,0.023878681062985366,10
112,2.0,error_r_10,0.023254482996341398,10
113,2.0,error_r_10,0.00036587863478045084,10
114,2.0,error_r_10,0.0003615024785828724,10
115,2.0,error_r_10,3.7457573564919725e-05,10
116,2.0,error_r_10,6.912606978943268e-05,10
117,2.0,error_r_10,0.006984332089574737,10
118,2.0,error_r_10,0.0051760507642650885,10
119,2.0,error_r_10,0.0014274369620323783,10
120,2.0,error_r_10,0.0013208227507588435,10
121,2.0,error_r_10,0.2559158613871452,10
122,2.0,error_r_10,0.0058683246041344945,10
123,2.0,error_r_10,0.0002590350767320925,10
124,2.0,error_r_10,0.05452325189138094,10
125,2.0,error_r_10,0.18073341896448045,10
126,2.0,error_r_10,0.027868859532796546,10
127,2.0,error_r_10,0.058403694759445554,10
128,2.0,error_r_10,0.058231442812744484,10
129,2.0,error_r_10,0.45633367548569514,10
130,2.0,error_r_10,0.41688255592884244,10
131,2.0,error_r_10,0.23034586244289076,10
132,2.0,error_r_10,0.020501270663007214,10
133,2.0,error_r_10,0.14997204884390525,10
134,2.0,error_r_10,0.1522956650777452,10
135,2.0,error_r_10,0.15938554051403983,10
136,2.0,error_r_10,0.15093286987493348,10
137,2.0,error_r_10,0.5112074241828638,10
138,2.0,error_r_10,0.35601922581264833,10
139,2.0,error_r_10,0.10483280404344718,10
140,2.0,error_r_10,0.1837017768387843,10
141,2.0,error_r_10,0.01891527284593262,10
142,2.0,error_r_10,0.01987207275810874,10
143,2.0,error_r_10,0.019683886459275993,10
144,2.0,error_r_10,0.019690418593288336,10
145,3.0,error_r_10,0.3755274009316078,10
146,3.0,error_r_10,0.41141428623925647,10
147,3.0,error_r_10,0.09395192337972509,10
148,3.0,error_r_10,0.06988177091951463,10
149,3.0,error_r_10,0.07403179608991514,10
150,3.0,error_r_10,0.03638641040587034,10
151,3.0,error_r_10,0.05124935482699815,10
152,3.0,error_r_10,0.05414212627319794,10
153,2.0,error_r_10,0.003088053663147206,10
154,2.0,error_r_10,0.003088053663147206,10
155,2.0,error_r_10,0.009723761365819483,10
156,2.0,error_r_10,0.015186408021071953,10
157,2.0,error_r_10,0.008901266983776768,10
158,2.0,error_r_10,0.020163566117647008,10
159,2.0,error_r_10,0.021303414194613682,10
