,ps1_disc,error_diff
2,"(0.0, 0.0]",0.6972890269495491
13,"(0.0, 0.0]",0.6807442726545722
24,"(0.0, 0.0]",0.6814080712644298
35,"(0.0, 0.0]",0.48969181098503944
46,"(0.0, 0.0]",0.5240792037789987
57,"(0.0, 0.0]",0.40841253490450896
68,"(0.0, 0.0]",0.6490548978034683
79,"(0.0, 0.0]",0.6451808796596464
90,"(0.0, 0.0]",0.4729424099654725
101,"(0.0, 0.0]",0.5557346547820813
112,"(0.0, 0.0]",0.6402907288088723
123,"(0.0, 0.0]",0.675568905567939
134,"(0.0, 0.0]",0.500333874078619
156,"(0.0, 0.0]",0.6708170708501343
167,"(0.0, 0.0]",0.635349112882947
178,"(0.0, 0.0]",0.6591739237729786
189,"(0.0, 0.0]",0.7055492466257676
211,"(0.0, 0.0]",0.3390760419155399
222,"(0.0, 0.0]",0.5018198099630243
233,"(0.0, 0.0]",0.6483285255426796
244,"(0.0, 0.0]",0.5583016611369723
266,"(0.0, 0.0]",0.5142550688790855
277,"(0.0, 0.0]",0.5145243180054443
288,"(0.0, 0.0]",0.5798240963013177
299,"(0.0, 0.0]",0.6649324461034826
310,"(0.0, 0.0]",0.5993334767459942
321,"(0.0, 0.0]",0.702441969796185
332,"(0.0, 0.0]",0.6684282409436862
343,"(0.0, 0.0]",0.616138861243745
354,"(0.0, 0.0]",0.5487412051691213
365,"(0.0, 0.0]",0.45253853697061963
376,"(0.0, 0.0]",0.4723581938657143
387,"(0.0, 0.0]",0.49340086457499194
398,"(0.0, 0.0]",0.704821337937153
420,"(0.0, 0.0]",0.8596486808395837
431,"(0.0, 0.0]",0.33029222801115893
442,"(0.0, 0.0]",0.5616859931779388
453,"(0.0, 0.0]",0.5769423201129658
464,"(0.0, 0.0]",0.6611808620720576
475,"(0.0, 0.0]",0.6274023378859834
486,"(0.0, 0.0]",0.5878328554823464
497,"(0.0, 0.0]",0.4675552975818127
508,"(0.0, 0.0]",0.41687507149958525
519,"(0.0, 0.0]",0.701052448906633
530,"(0.0, 0.0]",0.7064629831574814
541,"(0.0, 0.0]",0.5000797027529835
552,"(0.0, 0.0]",0.22179865662699502
563,"(0.0, 0.0]",0.6823443807645788
574,"(0.0, 0.0]",0.685043488104186
585,"(0.0, 0.0]",0.5830025913594742
596,"(0.0, 0.0]",0.6402907288088723
618,"(0.0, 0.0]",0.500333874078619
629,"(0.0, 0.0]",0.5546786884518393
651,"(0.0, 0.0]",0.5984364327163261
673,"(0.0, 0.0]",0.701052448906633
684,"(0.0, 0.0]",0.38363403473703406
706,"(0.0, 0.0]",0.21545135206224902
717,"(0.0, 0.0]",0.593729925519305
728,"(0.0, 0.0]",0.6751445345441512
739,"(0.0, 0.0]",0.4335640478856324
750,"(0.0, 0.0]",0.7027683714672874
761,"(0.0, 0.0]",0.37304064950569593
772,"(0.0, 0.0]",0.6858806231305871
783,"(0.0, 0.0]",0.4041627542430134
794,"(0.0, 0.0]",0.553814642583851
805,"(0.0, 0.0]",0.3051482577680919
816,"(0.0, 0.0]",0.591352468141382
827,"(0.0, 0.0]",0.8041467310527763
849,"(0.0, 0.0]",0.6381878767004188
860,"(0.0, 0.0]",0.62803037787534
871,"(0.0, 0.0]",0.3958298698518902
882,"(0.0, 0.0]",0.4328392526359255
893,"(0.0, 0.0]",0.515828913271784
904,"(0.0, 0.0]",0.6857529778909448
915,"(0.0, 0.0]",0.4778753452775108
926,"(0.0, 0.0]",0.6087198834159835
937,"(0.0, 0.0]",0.5949050017026501
948,"(0.0, 0.0]",0.5194816720260448
959,"(0.0, 0.0]",0.6798092050234713
970,"(0.0, 0.0]",0.7031257554742271
981,"(0.0, 0.0]",0.5087146420727059
992,"(0.0, 0.0]",0.6401675102209363
1003,"(0.0, 0.0]",0.6575166000449696
1014,"(0.0, 0.0]",0.5020423687262682
1025,"(0.0, 0.0]",0.6902020599319936
1036,"(0.0, 0.0]",0.47611748655268266
3,"(0.6, 0.8]",0.6760479514171939
4,"(0.6, 0.8]",0.677257898527302
5,"(0.8, 1.0]",0.44089004554948097
6,"(0.8, 1.0]",0.4779522755432619
7,"(0.8, 1.0]",0.27579016363835995
8,"(0.8, 1.0]",0.15402749715757671
9,"(0.8, 1.0]",0.06762008362524245
36,"(1e-06, 0.201]",0.488651728117528
37,"(1e-06, 0.201]",0.5034788783273754
38,"(0.6, 0.8]",0.4677770388324606
39,"(0.6, 0.8]",0.500026348657138
40,"(0.8, 1.0]",0.4246067497653069
41,"(0.8, 1.0]",0.00010674543761452128
42,"(0.8, 1.0]",0.00010682739185163404
58,"(1e-06, 0.201]",0.41021135417343185
59,"(1e-06, 0.201]",0.39913477108883166
60,"(0.201, 0.401]",0.2930864417991698
61,"(0.201, 0.401]",0.3303994232128577
62,"(0.401, 0.6]",0.2383163414183906
63,"(0.6, 0.8]",0.22229536295882052
64,"(0.6, 0.8]",0.15693902519784275
69,"(0.201, 0.401]",0.6269944194336748
70,"(0.401, 0.6]",0.6259774466595704
71,"(0.401, 0.6]",0.6268471673944377
72,"(0.8, 1.0]",0.5125822054466005
73,"(0.8, 1.0]",0.6848046072628423
74,"(0.8, 1.0]",0.6830140410172996
75,"(0.8, 1.0]",0.007559839557140285
80,"(0.201, 0.401]",0.6172582669186347
81,"(0.201, 0.401]",0.5923547859723369
82,"(0.201, 0.401]",0.5885825712743404
83,"(0.401, 0.6]",0.538327826539995
84,"(0.6, 0.8]",0.4311868427225746
85,"(0.8, 1.0]",0.049521321940985914
86,"(0.8, 1.0]",0.007821547194053662
91,"(1e-06, 0.201]",0.48500554374619814
92,"(0.201, 0.401]",0.47259878709086195
93,"(0.401, 0.6]",0.4945676309013619
94,"(0.401, 0.6]",0.4905496261026163
95,"(0.6, 0.8]",0.4223319114844392
96,"(0.6, 0.8]",0.4223319114844392
97,"(0.6, 0.8]",0.048561785642283486
102,"(1e-06, 0.201]",0.5379268116875725
103,"(1e-06, 0.201]",0.5282410965806801
104,"(0.201, 0.401]",0.7259798601380342
105,"(0.6, 0.8]",0.6842459977281578
106,"(0.6, 0.8]",0.46331417488532206
107,"(0.6, 0.8]",0.169237042471317
108,"(0.8, 1.0]",0.0380018161696123
124,"(1e-06, 0.201]",0.6462248525602683
125,"(1e-06, 0.201]",0.6558813572941954
126,"(0.201, 0.401]",0.4749601068517685
127,"(0.201, 0.401]",0.4815797970338056
128,"(0.201, 0.401]",0.45705492792214375
129,"(0.6, 0.8]",0.39574901853674144
130,"(0.8, 1.0]",0.1643323651189146
157,"(1e-06, 0.201]",0.6509447966406405
158,"(1e-06, 0.201]",0.6361765142280661
159,"(0.201, 0.401]",0.02529405165458773
160,"(0.201, 0.401]",0.050817837020339506
161,"(0.401, 0.6]",0.023558941554450673
162,"(0.6, 0.8]",0.017859604312556614
163,"(0.8, 1.0]",0.06958396610901332
179,"(1e-06, 0.201]",0.666279248153369
180,"(1e-06, 0.201]",0.6655455676031244
181,"(1e-06, 0.201]",0.6531540904013932
182,"(1e-06, 0.201]",0.6576092493758929
183,"(1e-06, 0.201]",0.6576092493758929
184,"(0.8, 1.0]",0.6292437817226512
185,"(0.8, 1.0]",0.0677778206632756
190,"(1e-06, 0.201]",0.7054891869040937
191,"(1e-06, 0.201]",0.7042714020610701
192,"(0.201, 0.401]",0.6583794500904087
193,"(0.201, 0.401]",0.6404425832885572
194,"(0.201, 0.401]",0.2584127615135598
195,"(0.201, 0.401]",0.1936440801755142
196,"(0.8, 1.0]",0.014347960369443075
212,"(1e-06, 0.201]",0.33509889612423865
213,"(1e-06, 0.201]",0.29292420713012174
214,"(0.401, 0.6]",0.2886877156830849
215,"(0.401, 0.6]",0.28442248401255865
216,"(0.6, 0.8]",0.22350464448714003
217,"(0.6, 0.8]",0.1128300731528498
218,"(0.8, 1.0]",0.1078666157702955
