method,ace_l,pns_u,selector,ace_u,pns_l,model_path,ps1,time_pns,time_ace,time_learn,n_convergence
exact,-0.0024627200000000293,0.004925440000000001,false,-0.0024627200000000293,0.004925440000000001,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k05_3.uai,1.0,,,,
exact_data_based,-2.622710999999889E-4,0.007999591762500001,false,-2.622710999999889E-4,0.007999591762500001,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k05_3.uai,1.0,,,,
EMCC,-2.622690957002627E-4,0.007999394020846142,false,-2.6226909570015167E-4,0.007999394020846127,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k05_3.uai,1.0,90.0,51.0,39972.0,4
EMCC,-0.06910264204646399,0.25535198480059995,true,0.22387963423143992,2.0684698319999994E-5,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k05_3.uai,0.0,26.0,7.0,723.0,2
EMCC,-0.009876172335825273,0.09644419966643478,true,0.07345151618759205,1.0938185725309756E-5,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k05_3.uai,0.146,37.0,11.0,28771.0,4
EMCC,-0.006262764476812954,0.014746837088851895,true,0.007723597011841887,1.1262630591340912E-4,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k05_3.uai,0.307,11.0,5.0,60377.0,6
EMCC,-0.00555477347779243,0.00557573274236986,true,-8.763064457339986E-5,6.885053441820711E-5,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k05_3.uai,0.353,20.0,3.0,68987.0,5
EMCC,-0.00531406085121644,0.003016870390481411,true,-0.004233237189602446,0.0024032709242072696,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k05_3.uai,0.609,9.0,3.0,97451.0,3
EMCC,-0.0018196459347141758,0.00632309625213967,true,-0.0018196459346285776,0.006323096252049889,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k05_3.uai,0.695,6.0,4.0,131257.0,3
EMCC,-7.182357296666719E-4,0.007720368365938002,true,-7.182357296665609E-4,0.0077203683659379995,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k05_3.uai,0.794,3.0,1.0,155801.0,2
EMCC,-7.466609715160999E-4,0.007727537279558937,true,-7.466609715158778E-4,0.007727537279558924,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k05_3.uai,0.962,14.0,3.0,181155.0,5
EMCC,-2.622690957002627E-4,0.007999394020846142,true,-2.6226909570015167E-4,0.007999394020846127,papers/pgm22/models/synthetic/1000/set3/chain_mk1_maxDist3_nEndo5_k05_3.uai,1.0,13.0,2.0,87478.0,4
