,3,2,1,0
0,0,1,1,1
1,1,1,0,0
2,0,1,1,1
3,0,1,1,1
4,0,0,1,1
5,0,1,1,1
6,0,1,0,0
7,1,1,0,0
8,1,1,0,0
9,1,1,0,0
10,1,0,1,1
11,1,1,0,0
12,0,1,1,1
13,1,1,0,0
14,0,1,0,0
15,1,1,0,0
16,0,1,1,1
17,0,1,0,0
18,1,1,0,0
19,0,1,1,1
20,1,1,0,0
21,0,1,0,0
22,1,1,0,0
23,0,1,0,0
24,1,1,0,0
25,1,1,1,1
26,0,1,1,1
27,0,1,0,0
28,1,1,0,0
29,1,1,0,0
30,1,1,1,1
31,1,1,0,0
32,1,1,0,0
33,1,1,0,0
34,1,1,1,1
35,0,1,1,1
36,0,1,0,0
37,1,1,0,0
38,0,0,1,1
39,1,1,0,0
40,0,1,1,1
41,1,1,0,0
42,1,1,1,0
43,0,1,1,1
44,0,1,1,1
45,0,1,1,1
46,0,1,0,0
47,1,1,0,0
48,0,1,0,0
49,1,1,0,0
50,0,1,0,0
51,0,1,1,1
52,0,0,1,1
53,1,1,1,1
54,0,1,1,1
55,0,0,1,1
56,0,1,1,1
57,0,1,0,0
58,1,1,0,0
59,0,1,1,1
60,1,1,0,0
61,1,0,1,1
62,0,1,0,0
63,0,1,0,0
64,1,1,0,0
65,0,1,0,0
66,1,1,1,0
67,0,1,1,0
68,0,1,0,0
69,0,1,1,1
70,1,1,1,1
71,0,1,1,1
72,0,1,1,0
73,0,1,1,1
74,1,1,0,0
75,0,1,1,1
76,1,1,0,0
77,0,1,0,0
78,1,1,1,1
79,1,1,0,0
80,0,1,0,0
81,1,1,0,0
82,0,1,0,0
83,1,1,0,0
84,1,1,1,1
85,0,1,1,1
86,1,1,0,0
87,1,1,0,0
88,0,1,1,1
89,0,1,1,1
90,0,1,1,1
91,0,1,0,0
92,0,1,1,1
93,0,1,1,1
94,1,1,0,0
95,0,1,0,0
96,1,1,0,0
97,1,1,0,0
98,1,0,1,1
99,0,1,1,1
100,0,1,1,1
101,0,1,1,1
102,0,1,1,1
103,1,1,0,0
104,0,1,1,1
105,0,1,1,0
106,0,1,0,0
107,0,0,1,1
108,1,1,0,0
109,0,0,1,1
110,1,1,0,0
111,0,1,1,1
112,0,1,1,1
113,0,1,0,0
114,0,1,1,1
115,1,1,1,1
116,1,1,0,0
117,0,1,1,1
118,0,0,1,1
119,0,1,0,0
120,0,0,1,1
121,1,1,1,1
122,1,1,0,0
123,0,1,1,1
124,0,1,1,1
125,1,1,0,0
126,0,1,1,1
127,1,1,1,1
128,0,1,0,0
129,0,1,1,1
130,1,1,0,0
131,0,0,1,1
132,1,1,0,0
133,1,1,1,1
134,0,1,1,1
135,0,1,1,1
136,1,1,1,1
137,1,1,0,0
138,0,0,1,1
139,0,1,0,0
140,0,1,0,0
141,0,1,0,0
142,0,1,1,1
143,1,1,0,0
144,1,1,1,1
145,1,1,1,1
146,1,1,0,0
147,1,1,1,1
148,0,1,1,1
149,0,1,1,1
150,0,1,0,0
151,1,1,1,1
152,0,1,1,1
153,0,0,1,1
154,0,1,1,1
155,1,1,1,1
156,1,1,0,0
157,0,0,1,1
158,1,1,0,0
159,0,1,1,1
160,0,1,0,0
161,1,1,0,0
162,1,0,1,1
163,1,1,1,1
164,0,1,1,1
165,1,0,1,1
166,0,1,1,1
167,1,1,0,0
168,0,1,1,1
169,0,1,1,1
170,0,1,1,1
171,1,1,1,1
172,0,0,1,1
173,0,1,1,1
174,0,1,1,1
175,1,1,0,0
176,0,0,1,1
177,0,1,1,1
178,0,1,1,1
179,0,1,0,0
180,0,1,1,1
181,0,1,1,1
182,1,1,0,0
183,0,1,1,1
184,1,1,0,0
185,1,1,1,1
186,1,1,1,1
187,0,0,1,1
188,1,1,1,1
189,1,1,0,0
190,1,1,1,1
191,0,1,1,1
192,1,0,0,0
193,0,1,0,0
194,0,1,0,0
195,0,1,1,1
196,1,1,0,0
197,0,0,1,1
198,1,1,1,1
199,0,0,1,1
200,0,1,1,1
201,1,1,1,1
202,0,1,1,1
203,0,0,1,1
204,0,1,0,0
205,0,1,0,0
206,1,1,0,0
207,1,1,0,0
208,1,1,1,1
209,0,1,0,0
210,0,1,0,0
211,0,1,1,1
212,0,1,1,1
213,1,1,1,1
214,0,1,0,0
215,0,1,0,0
216,0,1,1,0
217,1,1,1,1
218,1,1,1,1
219,1,1,0,0
220,1,1,1,1
221,0,1,1,1
222,0,1,1,1
223,0,1,1,1
224,0,0,1,1
225,1,1,0,0
226,1,1,1,1
227,1,1,0,0
228,0,1,1,1
229,0,1,1,1
230,0,1,0,0
231,1,1,0,0
232,1,1,0,0
233,1,1,0,0
234,0,1,1,1
235,1,1,1,1
236,1,0,0,0
237,0,1,1,1
238,0,1,1,1
239,1,1,1,0
240,0,1,0,0
241,1,1,0,0
242,0,1,1,1
243,1,1,1,1
244,1,1,0,0
245,1,1,1,1
246,0,1,1,1
247,0,1,0,0
248,0,1,1,1
249,0,1,1,0
250,1,1,0,0
251,1,1,0,0
252,0,0,1,1
253,1,1,1,0
254,1,1,0,0
255,1,1,0,0
256,0,1,0,0
257,1,1,0,0
258,1,1,0,0
259,1,1,0,0
260,1,1,1,0
261,1,1,0,0
262,1,1,1,1
263,1,1,0,0
264,0,1,1,1
265,1,1,0,0
266,0,1,1,1
267,0,1,1,1
268,0,1,0,0
269,0,0,1,1
270,0,1,1,1
271,0,1,1,1
272,0,1,1,1
273,0,1,0,0
274,0,1,0,0
275,0,1,0,0
276,0,0,1,1
277,0,1,0,0
278,1,1,0,0
279,0,1,1,1
280,0,1,0,0
281,1,1,0,0
282,1,1,0,0
283,1,1,0,0
284,0,1,1,1
285,1,1,0,0
286,1,1,0,0
287,0,1,1,1
288,0,1,1,1
289,0,1,1,1
290,0,1,0,0
291,1,1,0,0
292,0,1,1,1
293,1,1,0,0
294,0,1,1,1
295,0,1,1,1
296,1,1,1,1
297,0,0,1,1
298,0,1,0,0
299,1,1,1,1
300,0,1,1,1
301,1,1,0,0
302,0,1,0,0
303,0,1,0,0
304,0,1,1,1
305,0,1,1,1
306,1,1,0,0
307,0,1,0,0
308,0,1,0,0
309,1,1,0,0
310,1,1,0,0
311,0,1,1,1
312,0,1,1,1
313,0,1,1,0
314,0,0,1,1
315,1,1,0,0
316,0,1,0,0
317,0,1,0,0
318,1,1,0,0
319,0,1,0,0
320,0,1,0,1
321,0,0,1,1
322,1,1,0,0
323,0,1,1,1
324,0,0,1,1
325,0,1,1,1
326,0,1,1,0
327,1,1,0,0
328,1,1,0,0
329,1,1,0,0
330,1,1,0,0
331,0,1,1,1
332,0,1,1,1
333,1,1,1,1
334,1,1,0,0
335,1,1,0,0
336,1,1,0,0
337,0,1,0,0
338,1,1,0,0
339,0,1,1,1
340,0,1,1,1
341,0,1,1,1
342,0,1,1,1
343,0,0,1,1
344,1,1,1,1
345,0,1,1,1
346,0,0,0,0
347,0,0,1,1
348,1,1,0,0
349,0,1,1,1
350,0,1,1,1
351,0,1,0,0
352,0,1,1,1
353,0,1,1,1
354,1,1,0,0
355,1,0,0,0
356,1,1,0,0
357,0,0,1,1
358,0,1,1,1
359,0,1,1,1
360,1,1,1,1
361,0,0,1,1
362,0,1,0,0
363,0,0,1,1
364,1,0,1,1
365,0,1,1,1
366,1,1,0,0
367,1,1,0,0
368,0,0,1,1
369,0,1,0,0
370,1,1,1,1
371,0,0,1,1
372,0,1,1,1
373,0,1,0,0
374,1,1,1,0
375,1,1,0,0
376,1,0,1,1
377,0,1,1,1
378,0,1,0,1
379,1,1,0,0
380,0,1,0,0
381,0,1,1,1
382,1,1,0,0
383,1,1,0,0
384,1,1,0,0
385,0,1,1,1
386,0,1,1,1
387,1,1,0,0
388,0,1,0,0
389,0,1,0,0
390,0,1,1,1
391,0,1,1,1
392,0,1,0,0
393,1,1,0,0
394,0,1,1,1
395,1,1,0,0
396,0,1,1,1
397,0,1,1,1
398,0,1,0,0
399,0,1,1,1
400,0,1,1,1
401,0,1,1,1
402,0,1,0,0
403,0,1,1,1
404,0,1,1,1
405,1,1,1,1
406,0,0,1,1
407,1,1,0,0
408,0,1,1,1
409,0,1,1,1
410,0,1,1,1
411,0,1,1,1
412,0,1,1,1
413,1,1,1,1
414,0,1,1,1
415,1,1,1,0
416,1,1,0,0
417,0,1,1,1
418,1,1,0,0
419,0,1,1,1
420,0,1,0,0
421,1,1,1,1
422,1,1,0,0
423,0,1,1,1
424,1,1,0,0
425,0,1,1,1
426,1,0,1,1
427,1,1,0,0
428,0,1,1,1
429,0,1,0,0
430,1,1,0,0
431,1,1,0,0
432,0,1,1,1
433,0,1,0,0
434,0,1,0,0
435,0,1,0,0
436,0,1,1,1
437,0,1,1,1
438,0,0,1,1
439,1,1,0,0
440,0,1,0,0
441,0,1,1,1
442,0,1,1,1
443,1,1,1,1
444,1,1,0,0
445,1,0,1,1
446,0,1,0,0
447,0,0,1,1
448,0,1,1,1
449,0,1,1,1
450,0,1,0,0
451,0,1,0,0
452,0,1,1,1
453,0,1,1,1
454,1,1,1,1
455,0,1,1,1
456,0,1,1,1
457,1,1,1,1
458,0,1,0,0
459,0,1,1,1
460,0,1,1,1
461,1,1,0,0
462,0,1,0,0
463,0,1,1,1
464,0,1,1,1
465,0,0,1,1
466,0,1,1,1
467,0,1,1,1
468,1,1,1,0
469,0,1,1,1
470,0,1,0,0
471,0,1,0,0
472,0,1,1,1
473,1,1,1,1
474,0,0,1,1
475,1,1,1,1
476,0,1,0,0
477,0,1,1,1
478,1,1,0,0
479,1,1,0,0
480,1,1,1,0
481,0,1,0,0
482,0,1,1,1
483,0,1,0,0
484,0,1,1,0
485,0,1,1,1
486,0,1,0,0
487,0,1,1,0
488,1,1,1,1
489,0,1,1,1
490,1,1,0,0
491,0,1,0,0
492,1,1,0,0
493,0,1,1,1
494,1,0,1,1
495,1,1,0,0
496,0,1,1,1
497,0,1,1,1
498,0,1,1,1
499,1,1,0,0
500,1,1,0,0
501,0,1,1,1
502,0,1,1,1
503,0,1,1,0
504,1,1,0,0
505,1,1,1,1
506,0,1,1,1
507,1,1,0,0
508,0,1,0,0
509,1,1,0,0
510,1,1,0,0
511,1,1,0,0
512,0,1,1,1
513,0,1,1,1
514,1,0,1,1
515,1,1,0,0
516,1,1,0,0
517,0,0,1,1
518,0,1,0,0
519,1,1,1,0
520,0,1,0,0
521,1,1,1,0
522,1,1,0,0
523,1,1,0,0
524,0,1,1,1
525,0,0,1,1
526,0,1,1,1
527,0,0,1,1
528,1,1,0,0
529,1,1,0,0
530,1,0,1,1
531,1,1,1,1
532,0,1,1,1
533,0,1,1,1
534,0,1,1,1
535,0,1,1,1
536,1,1,0,0
537,1,1,0,0
538,1,1,0,0
539,0,0,1,1
540,0,1,1,0
541,0,0,1,1
542,1,1,0,0
543,0,1,0,0
544,0,1,1,1
545,0,0,1,1
546,1,1,0,0
547,1,1,0,0
548,0,1,1,1
549,0,1,1,1
550,0,1,1,1
551,0,0,1,1
552,0,1,0,0
553,1,1,0,0
554,0,0,1,1
555,0,1,0,0
556,0,1,1,1
557,1,1,0,0
558,0,1,1,1
559,1,1,1,1
560,1,1,0,0
561,1,1,1,0
562,1,1,0,0
563,1,1,0,0
564,0,0,1,1
565,0,1,0,0
566,0,1,0,1
567,1,1,1,1
568,0,1,1,1
569,1,1,0,0
570,0,1,0,0
571,1,1,0,0
572,1,1,0,0
573,1,1,1,1
574,0,1,1,1
575,0,0,1,1
576,0,0,1,1
577,1,1,0,0
578,0,1,0,0
579,1,1,0,0
580,1,1,1,1
581,1,1,0,0
582,1,1,0,0
583,1,1,0,0
584,0,1,1,1
585,1,0,1,1
586,0,1,1,1
587,0,1,1,0
588,0,1,1,1
589,1,1,0,0
590,0,1,1,1
591,1,1,0,0
592,0,1,1,1
593,0,1,1,1
594,0,1,1,1
595,0,1,1,1
596,0,1,1,1
597,0,1,1,1
598,1,1,0,0
599,0,1,1,1
600,0,1,0,0
601,0,0,1,1
602,0,1,0,0
603,1,0,1,1
604,1,1,0,0
605,0,1,1,1
606,0,0,1,1
607,0,1,1,0
608,0,1,1,1
609,0,1,1,1
610,0,1,0,0
611,0,1,1,1
612,1,1,1,1
613,1,1,0,0
614,0,0,1,1
615,0,1,1,1
616,0,0,1,1
617,1,1,0,0
618,1,1,0,0
619,0,1,1,1
620,1,1,1,1
621,1,1,0,0
622,0,1,0,0
623,0,1,0,0
624,1,1,0,0
625,0,1,0,0
626,0,1,1,1
627,0,1,1,1
628,0,1,1,1
629,0,1,1,1
630,0,1,1,1
631,0,1,1,0
632,1,1,0,0
633,1,1,0,0
634,0,1,0,0
635,0,0,1,1
636,0,1,1,1
637,0,1,1,0
638,1,1,0,0
639,0,1,1,1
640,0,1,1,1
641,0,1,0,0
642,0,1,0,0
643,0,1,1,0
644,0,1,1,1
645,1,1,1,1
646,1,1,0,0
647,0,1,1,1
648,0,1,1,1
649,0,0,1,1
650,1,1,0,0
651,0,1,1,1
652,0,1,1,1
653,1,1,0,0
654,0,1,1,0
655,0,1,0,0
656,0,1,1,1
657,0,1,1,1
658,1,1,0,0
659,1,1,0,0
660,0,1,1,1
661,1,1,1,1
662,1,1,0,0
663,0,1,1,1
664,1,1,1,1
665,1,1,1,1
666,0,1,0,0
667,1,1,0,0
668,0,1,0,0
669,0,1,1,1
670,1,1,1,1
671,1,1,0,0
672,0,0,1,1
673,1,1,0,0
674,0,1,0,0
675,1,1,0,0
676,0,1,0,0
677,1,1,1,1
678,0,1,0,0
679,0,1,1,1
680,0,0,1,0
681,0,1,1,1
682,0,1,1,1
683,1,1,1,1
684,1,1,0,0
685,1,1,1,1
686,0,1,0,0
687,1,1,0,0
688,1,0,1,1
689,0,1,1,1
690,1,1,1,1
691,1,1,0,0
692,1,1,0,0
693,0,1,1,1
694,1,1,0,0
695,0,1,1,1
696,0,1,1,1
697,0,1,0,0
698,0,1,1,1
699,1,1,0,0
700,1,1,0,0
701,1,1,0,0
702,1,1,1,0
703,0,1,1,1
704,1,1,1,1
705,1,1,0,0
706,1,1,0,0
707,0,0,1,1
708,0,1,0,0
709,0,1,1,1
710,1,1,0,0
711,0,1,1,1
712,0,1,0,0
713,0,1,1,1
714,1,1,0,0
715,0,1,1,1
716,0,0,1,1
717,1,1,1,1
718,0,0,1,1
719,0,0,1,1
720,0,1,1,1
721,0,1,1,1
722,1,1,0,0
723,0,1,1,1
724,0,1,1,1
725,0,1,0,0
726,0,1,1,1
727,1,1,0,0
728,0,1,1,1
729,0,1,1,1
730,1,1,1,1
731,1,0,0,0
732,1,1,0,0
733,0,1,0,0
734,0,1,1,1
735,1,1,1,0
736,1,0,1,0
737,0,1,1,1
738,0,1,1,0
739,0,1,1,1
740,1,1,0,0
741,0,0,1,1
742,1,1,1,1
743,1,1,0,0
744,1,1,0,0
745,0,1,0,0
746,0,1,1,1
747,0,1,0,0
748,1,0,0,0
749,0,1,0,0
750,0,1,1,1
751,1,0,0,0
752,1,1,1,1
753,0,1,0,0
754,0,0,0,0
755,1,0,1,1
756,1,1,1,0
757,1,1,0,0
758,0,1,1,1
759,1,0,1,1
760,1,1,0,0
761,1,1,0,0
762,0,1,1,1
763,1,1,0,0
764,0,1,0,0
765,1,1,0,0
766,0,0,1,1
767,1,1,0,0
768,1,1,0,0
