,4,3,2,1,0
0,0,0,1,1,0
1,1,0,1,1,0
2,1,1,1,0,0
3,0,1,1,1,0
4,1,0,1,1,0
5,1,1,1,0,1
6,1,0,1,1,0
7,0,0,1,1,1
8,1,0,1,1,0
9,1,0,1,0,0
10,1,1,1,0,0
11,0,1,1,1,0
12,1,0,1,1,1
13,0,0,1,1,0
14,1,1,1,1,0
15,1,0,1,0,0
16,1,0,1,0,0
17,0,0,1,0,0
18,1,0,1,0,0
19,0,1,1,1,0
20,1,1,1,1,1
21,1,0,1,1,0
22,1,1,1,1,0
23,1,0,1,1,0
24,1,0,1,1,0
25,0,1,1,1,0
26,0,0,1,1,0
27,0,0,1,1,1
28,0,0,1,1,1
29,0,1,1,0,0
30,1,1,1,0,0
31,0,0,1,1,0
32,1,1,1,1,0
33,0,0,1,0,0
34,0,0,1,0,0
35,1,1,1,1,0
36,0,1,1,1,0
37,1,1,1,0,0
38,0,1,1,0,0
39,1,1,1,0,0
40,0,0,1,1,1
41,1,1,1,1,1
42,1,1,1,0,0
43,0,0,1,1,0
44,1,1,1,1,0
45,0,1,1,0,0
46,1,1,1,0,1
47,1,0,1,1,1
48,1,1,1,1,0
49,1,1,1,1,1
50,1,1,1,0,0
51,1,1,1,0,0
52,1,0,1,0,0
53,0,0,1,1,0
54,0,0,1,0,0
55,1,1,1,0,0
56,0,0,1,0,0
57,0,1,1,0,0
58,1,1,1,1,1
59,1,0,1,1,0
60,1,0,1,0,0
61,0,1,1,1,0
62,1,1,1,0,0
63,1,0,1,1,1
64,0,1,1,1,0
65,1,1,1,0,1
66,0,0,1,1,0
67,0,1,1,0,0
68,0,1,0,1,1
69,0,1,1,0,0
70,1,0,1,0,0
71,1,1,1,0,0
72,0,1,1,1,0
73,1,0,1,1,0
74,1,0,1,1,1
75,1,0,1,0,0
76,1,1,1,0,1
77,0,1,1,0,0
78,1,0,1,1,0
79,0,0,1,0,1
80,0,0,1,1,1
81,1,0,1,1,0
82,1,1,1,0,0
83,0,1,1,0,1
84,1,1,1,0,0
85,1,0,1,1,0
86,0,0,1,1,0
87,0,0,1,0,0
88,1,0,1,1,0
89,1,0,1,0,0
90,1,1,1,0,0
91,0,0,1,1,0
92,0,1,1,1,0
93,1,1,1,0,1
94,1,1,0,0,1
95,0,0,1,1,0
96,1,0,1,1,0
97,0,0,0,1,0
98,1,1,1,0,1
99,1,1,1,1,0
100,1,1,1,0,0
101,1,0,1,0,0
102,0,0,1,0,0
103,0,1,1,0,0
104,1,1,1,1,1
105,1,0,1,0,0
106,1,1,1,0,0
107,1,0,1,1,0
108,1,1,1,1,0
109,1,0,1,1,0
110,0,1,1,1,0
111,1,0,1,1,0
112,1,0,1,0,0
113,1,0,1,1,0
114,1,1,1,0,1
115,1,0,1,0,1
116,0,0,1,1,1
117,1,1,1,0,0
118,1,1,1,0,0
119,1,1,1,1,0
120,1,0,1,1,1
121,0,1,1,1,1
122,1,1,1,0,0
123,0,0,1,0,0
124,0,0,1,1,0
125,1,0,1,0,0
126,1,0,1,1,0
127,0,0,1,1,0
128,1,0,1,1,0
129,0,0,1,1,0
130,1,1,1,0,1
131,1,1,1,1,0
132,0,0,1,1,1
133,1,1,1,1,0
134,1,1,1,1,0
135,0,1,1,1,0
136,1,1,1,0,0
137,1,0,1,1,0
138,1,0,1,1,0
139,0,0,1,1,0
140,1,1,1,0,0
141,1,1,1,1,1
142,1,0,1,1,0
143,1,0,1,1,0
144,0,1,1,1,0
145,0,0,1,1,0
146,1,1,1,0,0
147,0,1,1,0,0
148,1,0,1,1,0
149,1,0,1,1,1
150,1,0,1,0,1
151,1,1,1,0,0
152,0,1,1,0,0
153,1,1,1,0,0
154,1,1,1,1,0
155,0,1,1,0,0
156,0,0,1,1,0
157,0,1,1,0,0
158,1,1,1,0,0
159,1,1,1,0,0
160,1,1,1,1,1
161,1,0,1,1,1
162,0,0,1,1,0
163,1,0,1,1,0
164,1,0,0,1,1
165,1,1,1,0,0
166,0,0,1,1,0
167,1,0,1,0,0
168,0,0,1,0,0
169,1,0,1,1,0
170,0,1,1,0,0
171,1,1,1,0,0
172,0,1,1,0,0
173,0,1,1,0,0
174,1,1,1,0,0
175,1,1,0,0,0
176,0,0,1,0,1
177,1,1,1,0,0
178,1,1,1,0,0
179,0,1,1,0,0
180,0,0,1,0,0
181,0,1,1,0,0
182,1,1,1,1,0
183,1,0,1,1,0
184,1,1,1,0,0
185,1,0,1,0,0
186,1,1,1,1,0
187,0,1,1,0,0
188,1,1,1,1,0
189,1,0,1,1,0
190,1,0,1,0,0
191,0,1,1,0,0
192,0,0,1,1,0
193,1,1,1,1,0
194,0,0,1,1,1
195,1,0,1,1,0
196,1,1,1,0,0
197,0,0,1,0,0
198,0,0,1,1,1
199,1,1,1,0,0
200,0,0,1,1,0
201,0,1,1,0,0
202,0,0,1,1,0
203,1,1,1,0,1
204,1,1,1,0,0
205,1,0,1,1,1
206,1,1,1,0,0
207,1,0,1,1,0
208,0,1,1,0,0
209,0,1,1,1,0
210,1,0,1,1,1
211,1,0,1,0,0
212,0,0,1,1,0
213,1,0,1,1,0
214,0,0,1,0,1
215,0,0,1,1,0
216,0,0,1,1,0
217,1,1,1,0,0
218,1,1,1,1,1
219,1,0,1,1,0
220,0,0,1,1,1
221,0,0,1,1,0
222,1,0,1,0,1
223,1,0,1,0,0
224,0,0,1,0,0
225,1,1,1,0,0
226,1,0,1,0,0
227,0,0,1,0,0
228,1,1,1,1,1
229,1,0,1,0,0
230,1,0,1,1,0
231,1,0,1,1,1
232,0,0,1,0,0
233,0,0,1,1,1
234,0,1,1,1,0
235,0,0,1,1,0
236,0,0,1,1,0
237,1,0,1,1,0
238,1,1,1,1,0
239,1,0,1,1,1
240,0,1,1,1,0
241,0,1,1,1,0
242,1,0,1,1,0
243,1,1,1,1,0
244,0,0,1,1,0
245,1,0,1,0,0
246,1,0,1,1,1
247,0,0,1,0,0
248,0,0,1,1,1
249,1,1,1,0,0
250,1,1,1,0,0
251,1,0,1,1,0
252,1,1,1,0,1
253,0,1,1,0,0
254,0,0,1,0,1
255,1,0,1,1,1
256,1,0,1,0,0
257,0,1,1,0,0
258,0,0,1,0,0
259,1,0,1,1,0
260,1,0,1,0,0
261,1,0,1,1,0
262,1,1,1,0,0
263,1,0,1,0,0
264,1,1,1,1,0
265,1,1,1,0,0
266,1,1,1,1,0
267,1,1,1,1,1
268,1,0,1,1,0
269,1,0,1,0,0
270,1,0,0,1,1
271,0,0,1,1,0
272,1,0,1,0,0
273,0,1,1,1,0
274,0,1,1,0,0
275,1,1,1,0,0
276,1,0,1,1,0
277,1,0,1,1,1
278,1,1,1,0,0
279,0,1,1,0,0
280,0,0,1,1,0
281,1,0,1,1,0
282,0,1,1,0,1
283,1,0,1,0,0
284,1,1,1,0,0
285,0,0,1,0,1
286,1,1,1,0,0
287,0,0,1,1,0
288,0,1,1,0,0
289,1,1,1,1,0
290,1,0,1,0,0
291,0,0,1,1,1
292,0,0,1,0,0
293,1,1,1,1,0
294,0,0,1,0,0
295,1,0,1,1,1
296,1,1,1,0,1
297,0,0,1,1,1
298,1,1,1,0,0
299,1,1,1,1,0
300,1,1,1,0,0
301,0,0,1,0,0
302,1,1,1,0,0
303,1,1,1,1,1
304,1,1,1,0,0
305,1,1,1,0,1
306,1,1,1,0,1
307,0,1,1,0,0
308,1,1,1,0,0
309,0,0,1,1,0
310,1,0,1,0,0
311,1,1,1,1,1
312,1,0,1,1,0
313,1,1,0,0,0
314,1,0,1,1,0
315,1,0,1,1,1
316,0,0,1,1,1
317,1,1,1,0,0
318,0,0,1,1,1
319,0,0,1,0,1
320,1,1,1,0,0
321,1,0,1,1,0
322,1,0,1,0,0
323,0,1,1,0,0
324,1,1,1,1,0
325,1,1,1,1,1
326,1,1,1,0,0
327,1,0,1,0,1
328,1,1,1,0,1
329,1,0,1,1,1
330,1,0,1,1,0
331,1,1,1,1,0
332,1,0,1,1,1
333,1,1,1,1,0
334,1,1,1,0,0
335,1,0,1,1,0
336,1,0,1,0,0
337,1,1,1,1,0
338,1,1,1,0,1
339,1,1,1,1,0
340,0,0,1,1,0
341,1,1,1,1,0
342,1,1,1,1,0
343,1,1,1,1,0
344,1,1,1,0,1
345,1,0,1,1,0
346,0,1,1,0,0
347,1,1,0,0,0
348,0,1,1,1,0
349,0,0,1,1,0
350,0,1,1,1,1
351,1,1,1,1,1
352,1,0,1,1,0
353,0,0,1,1,0
354,1,1,1,0,0
355,1,0,1,0,0
356,0,0,1,1,0
357,0,1,1,0,0
358,0,0,1,1,0
359,1,0,1,0,1
360,1,0,1,0,0
361,1,1,1,0,0
362,1,1,1,1,0
363,0,0,1,1,1
364,0,0,1,1,1
365,0,0,1,1,0
366,0,0,1,1,0
367,0,1,1,0,0
368,0,0,1,1,0
369,1,1,1,0,0
370,1,0,1,0,0
371,1,1,1,0,0
372,1,1,1,0,0
373,0,0,1,1,1
374,1,1,1,1,0
375,1,0,1,0,0
376,1,0,0,1,0
377,1,1,1,1,1
378,1,0,1,1,0
379,1,1,1,0,0
380,1,1,1,0,0
381,0,0,1,1,0
382,0,0,1,1,1
383,1,1,1,1,0
384,1,1,1,0,1
385,0,0,1,1,0
386,1,0,1,0,0
387,0,0,1,1,1
388,1,1,1,1,0
389,1,1,1,0,1
390,0,0,1,1,0
391,1,1,1,0,0
392,1,0,1,1,0
393,1,1,1,0,0
394,0,0,1,1,0
395,1,1,1,0,0
396,1,0,1,1,0
397,0,1,1,0,0
398,0,0,1,1,0
399,1,0,1,1,1
400,1,0,1,1,0
401,1,1,1,0,1
402,1,1,1,0,1
403,1,1,1,0,0
404,0,0,1,1,0
405,1,0,1,1,0
406,1,0,1,1,1
407,1,1,1,1,0
408,0,1,1,0,0
409,1,1,1,1,0
410,1,1,1,1,1
411,0,1,1,1,0
412,1,0,1,1,0
413,1,0,1,1,0
