,5,4,3,2,1,0
0,0,0,0,0,1,1
1,1,0,0,0,1,0
2,1,0,0,0,1,0
3,1,0,0,0,1,1
4,1,1,0,0,0,1
5,0,0,0,0,1,0
6,0,0,0,0,1,0
7,1,0,1,0,1,0
8,1,1,0,0,1,1
9,1,0,0,0,1,1
10,0,0,0,0,1,1
11,0,1,0,0,1,0
12,0,0,0,0,1,0
13,1,1,0,0,0,0
14,1,0,0,0,1,0
15,1,0,0,0,1,0
16,1,0,0,0,1,0
17,1,0,0,0,1,1
18,1,0,0,0,1,0
19,1,0,0,0,1,0
20,1,0,0,0,1,0
21,1,0,0,0,1,1
22,1,0,0,0,1,1
23,1,0,0,0,1,1
24,0,0,0,0,1,1
25,1,0,1,0,1,1
26,1,0,0,0,0,0
27,0,0,0,0,1,1
28,1,0,0,0,1,0
29,0,0,0,0,1,1
30,1,0,0,0,1,1
31,0,1,0,0,1,0
32,1,0,0,0,1,1
33,1,0,0,0,1,0
34,1,0,1,0,1,0
35,0,0,0,0,1,1
36,1,0,0,0,1,0
37,1,0,0,0,1,1
38,0,0,0,0,1,0
39,1,1,0,0,0,1
40,1,0,0,0,1,1
41,1,0,0,0,1,1
42,1,0,0,0,1,1
43,1,0,0,0,1,1
44,1,0,0,0,1,1
45,1,0,0,0,1,1
46,1,0,1,0,1,1
47,1,0,0,0,1,0
48,1,0,0,0,1,0
49,1,0,0,0,0,1
50,1,1,0,0,0,1
51,1,0,0,0,1,1
52,0,0,1,0,1,1
53,0,0,0,0,0,1
54,1,0,0,0,1,1
55,1,1,0,0,0,1
56,1,1,0,0,0,1
57,1,0,0,0,1,1
58,1,0,0,0,1,1
59,1,0,0,0,0,1
60,1,0,0,0,1,0
61,1,1,0,0,1,1
62,1,0,0,0,1,0
63,1,1,0,0,0,1
64,1,0,0,0,0,1
65,0,0,0,0,1,1
66,0,1,0,0,1,1
67,1,0,0,0,1,1
68,1,0,0,0,1,1
69,1,0,1,0,0,1
70,1,0,0,0,1,0
71,0,0,0,0,1,0
72,0,0,1,0,1,1
73,1,0,0,0,1,1
74,0,0,0,0,1,1
75,1,1,0,0,0,1
76,0,1,0,0,0,1
77,0,0,0,0,0,1
78,1,1,0,0,1,0
79,0,0,0,0,1,1
80,0,0,0,0,1,0
81,1,1,0,0,1,0
82,1,0,0,0,1,0
83,1,0,0,0,0,1
84,1,0,0,0,0,1
85,1,0,0,0,0,1
86,1,0,0,0,1,1
87,1,0,0,0,1,1
88,1,0,0,0,1,0
89,1,0,0,0,1,1
90,1,0,0,0,1,1
91,1,1,0,0,1,0
92,1,0,0,0,0,1
93,1,0,0,0,0,0
94,1,0,0,0,0,1
95,1,1,0,0,0,1
96,1,0,0,0,0,1
97,0,0,0,0,0,1
98,1,0,0,0,0,1
99,1,0,0,0,1,0
100,1,0,1,0,1,1
101,1,0,0,0,1,1
102,0,1,0,0,0,1
103,1,0,0,0,1,1
104,1,0,0,0,1,0
105,0,0,0,0,1,1
106,0,1,0,0,1,0
107,1,1,0,0,0,1
108,1,0,0,0,1,0
109,1,1,0,0,1,1
110,1,1,0,0,0,1
111,1,0,0,0,1,1
112,1,1,1,0,0,1
113,0,1,0,0,1,1
114,0,0,0,0,1,1
115,1,0,0,0,1,0
116,1,0,0,0,1,0
117,1,1,0,0,1,1
118,1,1,0,0,0,1
119,1,0,0,0,0,1
120,1,1,1,0,1,0
121,1,0,0,0,1,1
122,0,0,1,0,1,1
123,1,0,0,0,1,1
124,1,0,0,0,1,0
125,1,0,0,0,1,1
126,0,1,0,1,0,1
127,1,0,0,0,1,0
128,1,0,0,0,1,0
129,0,0,0,0,1,1
130,1,0,0,0,1,1
131,1,0,0,0,1,0
132,1,1,0,0,0,1
133,1,1,1,0,0,1
134,1,0,0,0,1,1
135,1,0,0,0,1,1
136,1,1,1,0,0,1
137,1,0,0,0,1,1
138,0,1,1,0,1,1
139,0,0,1,0,0,1
140,1,1,0,0,0,1
141,1,0,0,0,0,0
142,1,0,0,0,1,1
143,1,1,1,0,0,1
144,0,1,0,0,0,1
145,0,0,1,0,1,0
146,1,0,0,0,1,0
147,0,1,0,1,1,1
148,0,0,0,0,1,1
149,1,0,0,0,1,0
150,1,0,0,0,1,1
151,0,0,0,0,1,1
152,1,1,0,0,0,1
153,1,0,0,0,1,0
154,1,0,0,0,1,1
155,1,0,0,0,1,1
156,1,0,1,0,1,1
157,1,0,0,0,1,1
158,1,0,0,0,1,1
159,1,1,0,0,1,1
160,1,1,0,0,0,1
161,1,0,0,0,1,0
162,1,0,0,0,1,1
163,1,1,0,0,0,1
164,1,0,0,0,1,1
165,0,0,0,0,1,0
166,0,0,0,0,1,1
167,1,0,0,0,0,0
168,1,1,1,0,0,1
169,1,0,0,0,1,0
170,0,0,0,0,1,0
171,0,0,0,0,0,1
172,0,1,1,0,1,1
173,1,0,0,0,1,1
174,1,0,0,0,0,1
175,1,0,0,0,1,0
176,1,0,0,0,1,1
177,1,0,0,0,1,1
178,1,0,0,0,0,1
179,0,1,0,1,1,1
180,1,0,0,0,1,1
181,1,0,0,0,1,1
182,1,0,0,0,1,1
183,1,0,0,0,0,1
184,0,1,1,0,0,1
185,1,0,0,0,0,1
186,1,1,0,0,0,1
187,1,0,0,0,0,1
188,1,0,0,0,1,1
189,0,1,0,0,0,1
190,1,0,0,0,1,0
191,1,0,0,0,1,1
192,0,0,0,0,1,1
193,1,0,0,0,1,1
194,1,0,0,0,1,1
195,1,1,0,0,1,1
196,1,1,0,0,0,1
197,0,0,0,0,1,1
198,0,0,0,0,1,0
199,0,0,0,0,1,1
200,1,0,1,0,1,1
201,1,0,0,0,1,1
202,0,0,0,0,1,1
203,1,1,0,0,0,1
204,1,0,0,0,1,1
205,1,0,1,0,1,1
206,1,1,0,0,0,0
207,1,0,0,0,1,1
208,1,0,1,0,1,1
209,1,0,1,0,1,1
210,0,0,0,0,1,0
211,1,1,0,0,0,1
212,0,0,1,0,1,0
213,1,0,0,0,1,0
214,0,0,0,0,1,1
215,1,0,0,0,1,0
216,0,0,0,0,1,1
217,1,0,0,0,1,1
218,1,1,0,0,1,0
219,0,0,1,0,0,1
220,1,0,0,0,1,1
221,1,0,0,0,1,0
222,1,0,0,0,1,0
223,1,0,0,0,1,1
224,1,0,0,0,1,1
225,1,0,0,0,1,0
226,1,0,0,0,1,1
227,1,0,0,0,1,1
228,1,0,0,0,1,1
229,1,0,0,0,1,0
230,1,0,0,0,1,1
231,0,0,0,0,1,1
232,1,0,1,0,1,1
233,1,0,0,0,1,1
234,1,0,0,0,1,1
235,1,0,0,0,1,0
236,1,0,0,0,1,1
237,1,0,0,0,1,0
238,1,0,1,0,1,1
239,1,0,0,0,1,1
240,1,0,0,0,1,1
241,1,0,0,0,1,1
242,0,0,0,0,0,1
243,1,0,0,0,1,1
244,1,0,0,0,1,0
245,1,0,0,0,1,0
246,1,0,0,0,1,1
247,1,0,0,0,1,1
248,1,0,0,0,1,1
249,1,1,0,0,1,1
250,0,0,0,0,1,0
251,0,0,0,0,1,0
252,1,0,1,0,1,1
253,1,0,0,0,1,0
254,1,0,0,0,1,1
255,1,0,0,0,0,1
256,1,0,0,0,0,1
257,1,1,0,0,0,1
258,1,0,0,0,1,0
259,1,0,0,0,1,0
260,1,0,0,0,1,0
261,0,1,0,0,1,1
262,1,0,0,0,1,1
263,1,0,0,0,1,0
264,1,0,0,0,1,1
265,1,0,0,0,1,1
266,1,0,0,0,1,1
267,1,0,0,0,1,1
268,1,0,0,0,0,1
269,1,0,0,0,1,0
270,1,0,0,0,0,1
271,0,0,0,0,1,1
272,0,0,0,0,1,1
273,1,0,0,0,1,1
274,1,0,0,0,1,1
275,1,0,0,0,1,0
276,1,0,1,0,1,1
277,1,0,0,0,1,0
278,1,1,0,0,1,0
279,0,0,0,0,1,1
280,1,1,0,0,1,1
281,0,1,0,0,0,1
282,1,0,1,0,1,1
283,0,1,0,0,1,1
284,0,0,0,0,1,0
285,1,1,0,0,0,1
286,1,0,0,0,1,0
287,0,0,0,0,1,1
288,1,1,0,0,0,1
289,1,0,0,0,0,1
290,1,1,0,0,1,0
291,1,0,0,0,1,1
292,0,0,0,0,1,0
293,0,0,1,0,1,1
294,1,1,0,0,0,0
295,0,0,0,0,1,0
296,1,0,0,0,0,1
297,0,0,0,0,1,1
298,1,1,1,0,1,1
299,1,1,0,0,0,0
300,1,0,0,0,1,1
301,0,0,0,0,0,1
302,1,1,0,1,1,0
303,1,0,0,0,1,1
304,1,0,0,0,1,0
305,1,1,0,0,0,1
306,1,0,0,0,1,1
307,1,1,0,0,1,0
308,1,0,0,0,1,1
309,1,1,0,0,0,1
310,1,0,0,0,1,1
311,1,0,0,0,1,0
312,1,0,0,0,1,0
313,1,0,0,0,1,1
314,1,0,0,0,1,1
315,1,0,0,0,1,1
316,1,0,0,0,0,1
317,0,0,0,0,1,1
318,1,0,0,0,1,1
319,1,1,0,0,0,1
320,1,0,0,0,1,0
321,0,0,0,0,1,1
322,1,0,0,0,1,0
323,1,0,0,0,1,0
324,1,0,1,0,0,1
325,1,0,0,0,1,0
326,1,0,0,0,1,0
327,1,1,0,0,0,1
328,1,0,0,0,1,1
329,1,0,0,0,1,1
330,0,0,0,0,1,0
331,1,0,0,0,1,0
332,1,0,0,0,1,0
333,1,0,0,0,1,1
334,1,1,0,0,0,0
335,1,0,0,0,1,0
336,1,0,0,0,1,1
337,1,0,0,0,1,0
338,1,0,1,0,1,1
339,0,0,0,0,1,1
340,0,0,0,0,1,1
341,0,0,0,0,1,0
342,1,0,0,0,1,0
343,1,0,0,0,1,1
344,0,0,0,0,1,1
345,1,0,0,0,1,1
346,1,0,0,0,1,0
347,0,1,1,0,0,1
348,1,0,0,0,1,1
349,0,1,0,1,1,1
350,0,1,0,0,0,1
351,0,0,1,0,1,1
352,0,0,0,0,1,1
353,1,1,0,0,0,1
354,1,0,0,0,1,0
355,1,0,0,0,1,1
356,1,0,0,0,1,0
357,1,0,1,0,1,0
358,1,0,0,0,1,0
359,1,0,0,0,0,1
360,1,0,0,0,1,0
361,1,0,0,0,1,0
362,1,0,0,0,1,0
363,1,0,0,0,1,1
364,0,0,0,0,1,1
365,1,0,1,0,1,0
366,1,1,0,0,0,1
367,1,0,0,0,1,1
368,0,0,1,0,1,1
369,1,0,0,0,1,1
370,1,0,0,0,1,0
371,1,0,0,0,1,1
372,0,0,0,0,0,1
373,1,0,0,0,1,1
374,0,0,0,0,1,1
375,1,1,0,0,0,1
376,1,0,0,0,1,1
377,1,0,1,0,0,1
378,1,1,0,0,1,0
379,1,0,0,0,0,1
380,1,1,0,0,1,1
