,3,2,1,0
0,0,0,1,0
1,1,1,0,1
2,0,0,1,0
3,0,0,1,0
4,0,0,1,0
5,1,0,0,1
6,1,1,0,0
7,0,0,1,0
8,0,1,1,0
9,0,0,1,0
10,1,0,0,1
11,0,1,1,0
12,0,0,1,0
13,0,0,1,0
14,0,0,1,0
15,0,0,1,0
16,1,1,1,0
17,0,0,1,0
18,0,0,1,0
19,1,0,1,1
20,0,0,1,0
21,1,0,1,0
22,1,1,0,0
23,0,0,1,0
24,0,0,1,1
25,0,1,1,1
26,1,0,0,1
27,0,0,1,0
28,1,1,0,0
29,1,0,1,0
30,1,0,1,0
31,0,1,1,0
32,0,1,1,1
33,1,0,1,0
34,0,0,1,0
35,0,0,1,1
36,1,1,0,1
37,0,0,1,0
38,1,1,0,0
39,0,0,1,1
40,0,0,1,0
41,0,0,0,1
42,1,0,1,0
43,0,0,1,0
44,0,1,1,0
45,0,0,1,0
46,0,0,1,0
47,0,0,1,0
48,0,0,1,0
49,0,1,1,0
50,0,0,1,1
51,1,0,0,1
52,1,1,0,0
53,0,0,1,0
54,0,1,1,0
55,0,0,1,0
56,0,0,1,0
57,0,0,1,0
58,1,0,0,1
59,0,0,1,0
60,0,0,1,1
61,0,1,1,0
62,0,0,1,0
63,1,0,1,0
64,1,0,0,1
65,0,0,1,0
66,1,0,0,1
67,0,1,1,0
68,0,0,1,0
69,0,0,1,1
70,0,1,0,0
71,1,0,1,0
72,0,0,1,0
73,0,0,1,0
74,1,0,0,1
75,1,0,1,0
76,1,1,0,0
77,1,0,0,1
78,0,0,1,0
79,0,0,1,0
80,1,0,1,0
81,0,0,1,1
82,1,0,1,0
83,0,0,1,0
84,0,1,1,0
85,1,0,1,0
86,0,0,1,0
87,0,0,1,0
88,1,0,1,0
89,0,0,1,0
90,1,0,1,0
91,0,0,1,0
92,0,0,1,0
93,0,0,1,1
94,1,0,1,0
95,0,0,1,0
96,1,0,0,1
97,0,0,1,0
98,1,0,1,0
99,0,0,1,0
100,1,0,0,1
101,1,0,0,1
102,0,0,1,0
103,0,0,1,0
104,1,0,1,0
105,1,0,0,1
106,1,0,0,1
107,0,0,1,0
108,0,0,1,0
109,0,0,1,0
110,1,0,0,1
111,1,1,0,1
112,1,1,0,0
113,1,1,0,0
114,1,0,1,0
115,1,0,1,0
116,1,0,1,0
117,0,0,1,0
118,0,0,1,0
119,0,0,1,0
120,0,0,1,0
121,1,0,1,0
122,1,0,1,0
123,0,0,1,0
124,0,0,1,0
125,0,0,1,0
126,1,1,1,0
127,0,0,1,0
128,0,0,1,0
129,1,1,0,0
130,1,0,0,1
131,0,0,1,0
132,0,1,1,0
133,0,0,1,0
134,1,0,1,0
135,0,0,1,0
136,1,1,0,0
137,1,1,0,0
138,1,0,0,1
139,0,0,1,0
140,0,0,1,0
141,1,0,0,1
142,0,0,1,0
143,1,1,0,1
144,0,0,1,0
145,0,1,1,0
146,1,0,1,0
147,1,0,1,0
148,1,1,1,0
149,1,0,1,0
150,1,0,1,0
151,0,0,1,0
152,1,0,1,0
153,1,1,0,0
154,0,0,1,0
155,0,0,1,0
156,0,0,1,0
157,1,0,1,0
158,1,0,0,1
159,0,0,1,0
160,0,0,1,0
161,1,1,0,1
162,0,0,1,0
163,1,1,1,0
164,0,0,1,0
165,1,0,1,1
166,1,0,0,1
167,1,0,0,1
168,0,0,1,0
169,0,0,1,0
170,1,0,0,1
171,0,1,1,0
172,0,0,1,0
173,1,0,1,0
174,0,0,1,0
175,0,0,1,0
176,0,0,1,0
177,1,0,1,0
178,1,0,0,1
179,1,0,0,1
180,0,0,1,0
181,1,0,0,1
182,1,0,1,0
183,1,0,1,0
184,0,0,1,0
185,0,0,1,0
186,1,1,0,0
187,1,0,1,0
188,0,0,1,0
189,0,0,1,0
190,0,0,1,0
191,1,0,1,1
192,1,1,1,0
193,1,0,0,1
194,0,0,1,0
195,0,0,1,0
196,0,0,1,0
197,1,0,0,1
198,0,1,1,0
199,1,1,0,1
200,1,0,1,0
201,1,0,1,0
202,0,0,1,0
203,0,0,1,0
204,1,0,0,1
205,1,0,0,1
206,0,1,1,0
207,0,0,1,0
208,1,1,0,1
209,0,0,1,0
210,0,0,1,1
211,0,0,1,0
212,0,0,1,0
213,1,0,1,0
