,4,3,2,1,0
0,0,1,0,1,0
1,1,1,1,1,0
2,0,1,0,1,0
3,0,1,0,1,0
4,0,1,0,1,0
5,1,1,0,1,0
6,1,1,1,1,0
7,1,1,1,1,0
8,1,1,1,0,1
9,1,1,0,1,0
10,1,1,0,1,0
11,0,1,0,1,0
12,1,0,0,0,0
13,1,1,1,1,0
14,1,1,1,0,1
15,1,1,1,0,1
16,1,1,1,1,0
17,1,1,1,0,1
18,0,1,0,1,0
19,1,1,1,1,0
20,1,1,1,1,0
21,1,1,0,1,0
22,1,1,1,1,0
23,1,1,1,0,1
24,1,1,1,0,1
25,1,1,1,1,0
26,1,1,1,1,0
27,1,1,1,0,0
28,1,1,0,1,0
29,1,1,0,1,0
30,1,1,1,1,0
31,1,1,1,1,0
32,0,1,0,1,0
33,1,1,1,1,0
34,1,1,1,1,0
35,1,1,1,1,0
36,0,1,0,1,0
37,0,1,0,1,0
38,1,1,1,1,0
39,1,1,1,1,0
40,1,1,1,0,1
41,1,1,0,1,0
42,1,1,0,1,0
43,1,1,1,0,1
44,1,1,1,0,1
45,1,1,0,1,0
46,0,1,1,1,0
47,1,1,1,1,0
48,1,1,0,1,0
49,0,1,0,1,0
50,0,1,0,1,0
51,0,1,0,1,0
52,1,1,1,0,0
53,1,1,1,0,1
54,0,1,0,1,0
55,0,1,0,1,0
56,0,1,0,1,0
57,1,1,1,1,1
58,1,1,1,1,0
59,1,1,1,1,0
60,0,1,0,1,0
61,1,1,1,1,1
62,1,1,0,1,0
63,1,1,1,1,0
64,0,1,0,1,0
65,1,1,1,0,1
66,1,1,0,1,0
67,1,1,1,1,0
68,1,1,1,1,0
69,0,1,1,1,0
70,1,1,1,0,1
71,1,1,0,1,0
72,1,1,1,0,0
73,1,1,1,1,0
74,1,0,1,0,1
75,0,1,0,1,0
76,1,1,1,0,1
77,0,1,0,1,0
78,0,1,0,1,0
79,1,1,1,0,1
80,1,1,0,1,0
81,0,1,0,1,0
82,1,1,0,1,0
83,1,1,0,1,0
84,0,1,0,1,0
85,1,1,1,1,0
86,1,1,1,0,1
87,1,1,0,1,0
88,1,1,1,1,0
89,1,1,1,1,0
90,1,0,1,0,1
91,1,1,1,0,1
92,1,1,1,1,0
93,1,1,1,0,1
94,1,1,0,1,0
95,1,1,1,1,0
96,1,1,1,1,0
97,1,1,1,0,1
98,1,1,1,1,0
99,1,1,0,1,0
100,1,1,1,1,0
101,1,1,1,0,1
102,0,1,0,1,0
103,1,1,1,1,0
104,1,1,1,1,0
105,1,1,1,1,0
106,1,1,1,1,0
107,0,1,0,1,0
108,1,1,1,1,0
109,1,1,0,1,0
110,1,1,0,1,0
111,1,1,1,0,0
112,0,1,0,1,0
113,1,1,1,1,0
114,1,1,0,1,0
115,1,1,1,1,0
116,0,1,0,0,0
117,1,1,0,1,0
118,1,1,1,1,0
119,1,1,1,1,0
120,1,1,1,1,0
121,1,1,1,1,0
122,1,1,1,0,1
123,1,1,0,1,0
124,1,0,0,0,0
125,1,1,1,1,0
126,0,1,0,1,0
127,1,1,1,1,0
128,0,1,0,1,0
129,0,1,0,1,0
130,1,1,1,1,0
131,0,1,0,0,1
132,1,1,1,1,0
133,1,0,1,0,0
134,1,1,1,1,0
135,1,1,0,1,0
136,1,1,0,1,0
137,1,0,1,0,0
138,1,1,0,1,0
139,1,1,1,1,0
140,0,1,0,1,0
141,1,1,1,0,1
142,1,1,1,1,0
143,1,1,1,1,0
144,1,1,1,1,0
145,0,1,0,1,0
146,1,1,1,1,0
147,1,1,0,1,0
148,1,1,1,0,1
149,1,1,0,1,0
150,0,1,0,1,0
151,1,1,0,1,0
152,1,1,1,1,0
153,1,1,0,0,0
154,1,1,0,1,0
155,0,1,1,1,0
156,1,1,1,1,0
157,1,1,1,0,0
158,1,1,1,0,1
159,1,1,1,0,1
160,0,1,0,1,0
161,1,1,1,0,1
162,1,1,1,1,0
