,5,4,3,2,1,0
0,0,0,1,0,0,0
1,0,1,1,0,1,0
2,0,1,1,0,0,1
3,0,1,1,0,0,0
4,1,1,1,0,0,0
5,0,1,1,0,0,0
6,0,1,1,0,0,0
7,0,1,1,1,0,0
8,1,1,1,1,1,1
9,0,1,1,0,0,0
10,0,1,0,1,1,0
11,0,1,1,0,0,0
12,1,1,1,1,1,0
13,0,1,1,0,0,0
14,0,1,1,0,0,0
15,1,1,0,0,0,0
16,1,1,1,0,1,1
17,1,1,1,0,0,1
18,0,1,1,0,0,0
19,1,0,1,0,0,0
20,1,1,1,0,0,0
21,1,1,1,0,1,1
22,0,1,0,1,1,0
23,1,1,1,0,0,0
24,1,1,1,0,1,0
25,1,1,1,0,1,1
26,1,1,0,1,1,1
27,0,1,1,0,1,0
28,0,1,1,0,1,0
29,0,1,1,1,1,0
30,1,1,1,0,0,1
31,0,1,1,0,1,1
32,0,1,1,1,1,0
33,0,1,1,0,0,0
34,1,1,1,0,0,0
35,0,1,1,0,1,0
36,1,1,1,0,0,1
37,1,1,1,0,0,0
38,0,1,0,1,0,1
39,1,1,1,0,1,1
40,1,1,1,0,0,0
41,1,1,1,0,0,0
42,0,1,1,0,1,0
43,0,1,1,0,0,0
44,1,1,1,0,1,1
45,0,1,1,1,0,0
46,1,1,1,0,1,0
47,0,1,1,0,1,0
48,0,1,1,0,1,0
49,1,1,1,0,1,0
50,0,1,1,1,0,0
51,1,1,1,0,1,0
52,1,1,0,1,1,0
53,0,1,1,0,1,0
54,0,1,1,1,1,0
55,0,1,1,0,0,0
56,1,1,1,0,1,0
57,1,1,1,1,0,0
58,0,1,1,0,0,0
59,0,1,1,0,0,0
60,1,1,1,0,0,1
61,0,1,1,0,1,0
62,0,0,1,1,1,1
63,1,1,1,0,1,0
64,0,1,1,0,0,0
65,1,1,1,0,1,0
66,0,1,1,0,0,1
67,1,1,1,0,1,0
68,1,1,1,0,0,1
69,0,1,1,0,0,0
70,0,1,1,0,1,0
71,1,1,1,0,1,0
72,0,1,1,0,0,0
73,0,1,1,0,0,0
74,0,1,0,1,0,0
75,0,1,0,1,0,0
76,1,1,1,0,1,1
77,1,1,0,1,1,0
78,0,1,1,0,1,0
79,1,1,1,0,1,0
80,0,1,1,0,1,0
81,0,1,1,1,1,0
82,1,1,1,0,1,1
83,0,1,1,0,0,0
84,1,1,1,1,0,1
85,1,1,1,0,1,0
86,0,1,1,0,0,0
87,0,1,1,0,0,0
88,0,1,1,0,0,0
89,0,1,1,0,0,0
90,1,1,0,1,0,0
91,1,0,1,0,0,0
92,1,1,1,0,0,0
93,1,1,1,0,1,1
94,1,1,1,0,0,0
95,1,1,1,0,0,0
96,1,1,1,0,0,1
97,0,1,1,0,0,0
98,1,1,0,1,1,1
99,1,1,1,0,1,0
100,0,1,1,0,0,0
101,0,0,1,1,0,1
102,0,1,0,1,0,0
103,0,1,1,0,0,0
104,1,0,1,1,0,1
105,0,1,1,0,0,0
106,0,1,1,0,0,0
107,1,1,1,0,0,1
108,1,1,0,1,1,0
109,0,1,1,0,1,0
110,1,1,1,0,1,0
111,0,1,1,1,1,0
112,1,1,1,0,1,1
113,0,1,1,1,0,1
114,0,1,1,1,0,1
115,1,1,1,0,1,1
116,1,1,1,0,1,0
117,1,1,1,0,0,1
118,0,1,1,0,0,0
119,0,1,0,1,1,0
120,1,1,1,1,0,0
121,0,1,1,0,0,0
122,1,1,1,0,1,1
123,1,1,1,0,0,0
124,0,1,1,0,1,0
125,0,1,0,1,1,0
126,1,0,1,1,0,1
127,0,0,1,1,1,1
128,0,1,1,1,0,0
129,1,1,1,0,1,0
130,1,1,1,0,1,0
131,0,1,1,0,0,0
