method,ace_l,pns_u,selector,ace_u,pns_l,model_path,ps1,time_pns,time_ace,time_learn,n_convergence
exact,-3.868452000000029E-4,2.9348001E-4,false,-3.868452000000029E-4,1.6916445000000007E-4,papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k075_3.uai,1.0,,,,
EMCC,-0.006116385689732266,0.0010302322207708988,false,0.005812776962502143,3.4627594489159265E-4,papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k075_3.uai,1.0,103.0,321.0,10575.0,10
EMCC,-0.7326243589501015,0.008936502966734945,true,0.740100078950776,1.1982222034008194E-6,papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k075_3.uai,0.0,43.0,11.0,149.0,9
EMCC,-0.5102425415469362,0.01373099250379669,true,0.509123797334422,2.759049414485E-4,papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k075_3.uai,0.417,27.0,18.0,5949.0,9
EMCC,-0.4624969890777436,0.07729466610530611,true,0.4636279091700557,4.2453494943195296E-5,papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k075_3.uai,0.42,13.0,16.0,6380.0,3
EMCC,-0.5755544876577677,0.008558167212397313,true,0.5756267173629693,2.0052576802691686E-7,papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k075_3.uai,0.42,29.0,10.0,6433.0,8
EMCC,-0.5712848054781674,0.01042330217022552,true,0.571806783655764,3.5040905611425023E-6,papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k075_3.uai,0.422,29.0,10.0,7243.0,9
EMCC,-0.006641027782262544,0.0012492702869365952,true,0.006604353948731073,6.379652064518634E-6,papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k075_3.uai,0.976,29.0,13.0,10655.0,10
EMCC,-0.008199690753581033,0.001470043676956309,true,0.008112680831807405,1.9188611914901926E-4,papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k075_3.uai,0.988,33.0,13.0,12300.0,10
EMCC,-0.008124340953455544,0.0013185338854760135,true,0.008053660473667814,2.4867086288608896E-4,papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k075_3.uai,0.99,33.0,6.0,13147.0,6
EMCC,-0.005437544020944408,0.0013721265287038435,true,0.005145026715015041,3.4544471939127765E-4,papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k075_3.uai,1.0,18.0,10.0,15233.0,9
