method,ace_l,pns_u,selector,ace_u,pns_l,model_path,ps1,time_pns,time_ace,time_learn,n_convergence
exact,4.898803000003005E-5,1.22470075E-4,false,4.898803000003005E-5,1.22470075E-4,/Users/rcabanas/GoogleDrive/IDSIA/causality/dev/credici/papers/pgm22/models/synthetic/1000/chain_mk0_nEndo5_k05_8.uai,1.0,,,,
EMCC,-2.5143530157256677E-5,0.0016310099616453544,false,1.6026787427347866E-5,0.0015659951208721145,/Users/rcabanas/GoogleDrive/IDSIA/causality/dev/credici/papers/pgm22/models/synthetic/1000/chain_mk0_nEndo5_k05_8.uai,1.0,7.0,22.0,922.0,2
EMCC,-0.38035564458304827,0.01181240146070962,true,0.3661451888698578,6.5146538976653E-4,/Users/rcabanas/GoogleDrive/IDSIA/causality/dev/credici/papers/pgm22/models/synthetic/1000/chain_mk0_nEndo5_k05_8.uai,0.0,2.0,1.0,20.0,3
EMCC,-0.4051578608696159,0.006927480319991367,true,0.4093051668873435,0.0015612183717651164,/Users/rcabanas/GoogleDrive/IDSIA/causality/dev/credici/papers/pgm22/models/synthetic/1000/chain_mk0_nEndo5_k05_8.uai,0.037,1.0,0.0,214.0,2
EMCC,-0.15547571385582043,0.007485110647312788,true,0.15651309917146153,5.918418403210424E-4,/Users/rcabanas/GoogleDrive/IDSIA/causality/dev/credici/papers/pgm22/models/synthetic/1000/chain_mk0_nEndo5_k05_8.uai,0.127,1.0,1.0,343.0,3
EMCC,-0.015174997628571163,0.020766513497173466,true,0.019040706782808725,0.0065894780322511655,/Users/rcabanas/GoogleDrive/IDSIA/causality/dev/credici/papers/pgm22/models/synthetic/1000/chain_mk0_nEndo5_k05_8.uai,0.402,1.0,0.0,480.0,2
EMCC,-0.057023217784402,0.00424771582802848,true,0.05730257852066589,9.284321631202936E-4,/Users/rcabanas/GoogleDrive/IDSIA/causality/dev/credici/papers/pgm22/models/synthetic/1000/chain_mk0_nEndo5_k05_8.uai,0.514,1.0,0.0,599.0,3
EMCC,-0.03283396131240596,0.006381839497124279,true,0.03285557105884107,1.6335754489470806E-4,/Users/rcabanas/GoogleDrive/IDSIA/causality/dev/credici/papers/pgm22/models/synthetic/1000/chain_mk0_nEndo5_k05_8.uai,0.591,0.0,1.0,749.0,3
EMCC,-3.467640113713477E-5,0.0013689919113035304,true,9.382419798531494E-5,0.0010977497146988844,/Users/rcabanas/GoogleDrive/IDSIA/causality/dev/credici/papers/pgm22/models/synthetic/1000/chain_mk0_nEndo5_k05_8.uai,0.843,0.0,0.0,903.0,3
EMCC,-7.645895656333002E-5,0.0015808307915109853,true,9.27620019230968E-5,0.0014378319641874537,/Users/rcabanas/GoogleDrive/IDSIA/causality/dev/credici/papers/pgm22/models/synthetic/1000/chain_mk0_nEndo5_k05_8.uai,0.963,0.0,0.0,1056.0,3
EMCC,-1.8089576961466403E-4,0.0015923089438333276,true,1.6427802959878557E-4,6.805178524437313E-4,/Users/rcabanas/GoogleDrive/IDSIA/causality/dev/credici/papers/pgm22/models/synthetic/1000/chain_mk0_nEndo5_k05_8.uai,1.0,0.0,0.0,1176.0,3
