method,ace_l,pns_u,selector,ace_u,pns_l,model_path,ps1,time_pns,time_ace,time_learn,n_convergence
exact,-6.87068561894405E-5,2.602525791312E-5,false,-6.87068561894405E-5,2.602525791312E-5,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k05_9.uai,1.0,,,,
EMCC,-3.2154377977211546E-5,8.63076519824386E-4,false,-3.020021143940177E-5,8.60717275839676E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k05_9.uai,1.0,61.0,74.0,772385.0,11
EMCC,-0.8207361633381072,0.06313714209331775,true,0.8230712490964538,2.754084167562643E-6,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k05_9.uai,0.0,32.0,16.0,1114.0,28
EMCC,-0.6099366564118989,0.04767135319793678,true,0.6097516843235917,2.707855596728055E-6,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k05_9.uai,0.018,30.0,15.0,147695.0,17
EMCC,-0.3460892412798259,0.004553805355298686,true,0.34588517091785953,0.0010595333599973595,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k05_9.uai,0.161,29.0,12.0,417507.0,29
EMCC,-5.452742552722323E-4,0.0015050251877440956,true,3.875873557921683E-4,3.440003718098315E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k05_9.uai,0.162,29.0,12.0,434630.0,10
EMCC,-0.003602774341324416,9.035246644239026E-4,true,0.003595913615039914,8.772143999398092E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k05_9.uai,0.233,34.0,11.0,684857.0,8
EMCC,-0.018768472613383935,8.887407220396287E-4,true,0.018712730356003293,8.640542448262715E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k05_9.uai,0.961,39.0,15.0,1000264.0,16
EMCC,-3.1990531681735934E-5,8.709800029576404E-4,true,-3.181293997550627E-5,8.653197676908706E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k05_9.uai,0.969,41.0,11.0,1116710.0,21
EMCC,-3.118095897530759E-5,8.63066894602477E-4,true,-3.118095897530759E-5,8.599299583738188E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k05_9.uai,1.0,32.0,13.0,1341949.0,21
EMCC,-3.1180462980257007E-5,8.630743828579575E-4,true,-3.1180462980257007E-5,8.618012716351381E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk0_nEndo7_k05_9.uai,1.0,36.0,10.0,1341127.0,18
