method,ace_l,pns_u,selector,ace_u,pns_l,model_path,ps1,time_pns,time_ace,time_learn,n_convergence
exact,0.010152824863999987,0.06756394075199998,false,0.010152824863999987,0.010152824863999998,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k10_9.uai,1.0,,,,
EMCC,-0.0015849182519090954,0.0526955358435193,false,0.011469299679802092,0.0037485091900126707,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k10_9.uai,1.0,67.0,74.0,147334.0,6
EMCC,-0.8297812658800008,0.21424882950131166,true,0.8286304973982695,3.219998501213998E-7,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k10_9.uai,0.0,46.0,17.0,307.0,11
EMCC,-0.996590530651812,0.5117227681053981,true,0.9965892930835152,3.374615618952764E-10,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k10_9.uai,0.003,31.0,16.0,28683.0,7
EMCC,-0.8540887638133234,0.08310979082870076,true,0.8546544686745875,5.215803960213246E-5,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k10_9.uai,0.003,29.0,10.0,28435.0,11
EMCC,-0.7770244180475867,0.09298149430830752,true,0.7538613524257254,3.2330400826843705E-7,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k10_9.uai,0.176,30.0,11.0,60995.0,30
EMCC,-0.701689704049284,0.05446350076348363,true,0.6125568760671742,2.1029194727763802E-5,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k10_9.uai,0.193,41.0,11.0,104404.0,4
EMCC,-0.052727390355055304,0.04793991747742052,true,-0.0023189496882396743,2.022815751692345E-5,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k10_9.uai,0.242,35.0,12.0,162050.0,29
EMCC,-0.006457638224152129,0.04549327923682753,true,0.013796742283708086,0.0031305544053635893,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k10_9.uai,0.319,34.0,9.0,215530.0,4
EMCC,-0.007482575852738704,0.0406965644461195,true,0.011801877159526353,0.006031416880060272,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k10_9.uai,0.32,33.0,9.0,224703.0,6
EMCC,-8.443467336333998E-4,0.05658393531181713,true,0.008107628369226683,6.706783401720433E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set1/chain_mk1_maxDist3_nEndo7_k10_9.uai,1.0,35.0,10.0,291923.0,16
