method,ace_l,pns_u,selector,ace_u,pns_l,model_path,ps1,time_pns,time_ace,time_learn,n_convergence
exact,-0.006519657532416012,0.0054334305457920005,false,-0.006519657532416012,0.0010071015700479997,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo7_k10_5.uai,1.0,,,,
EMCC,-0.007697916831796409,0.0048781284961005485,false,-0.0070352020152433525,4.054556192205349E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo7_k10_5.uai,1.0,55.0,74.0,505611.0,15
EMCC,-0.9196624725744011,0.2810889213800819,true,0.9203539096400237,2.323257395288207E-5,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo7_k10_5.uai,0.0,38.0,15.0,677.0,19
EMCC,-0.8790817461395835,0.09354420781898429,true,0.8873723271246193,1.172897715698085E-5,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo7_k10_5.uai,0.001,33.0,14.0,29539.0,21
EMCC,-0.9410270010350087,0.048036886366103274,true,0.9414949431817203,3.801007214082437E-5,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo7_k10_5.uai,0.015,31.0,12.0,140723.0,2
EMCC,-0.750021053863035,0.022326004065354798,true,0.7510593431329319,4.2369145376545024E-5,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo7_k10_5.uai,0.067,33.0,12.0,286413.0,5
EMCC,-0.8227980066202899,0.012977688590563845,true,0.8158855835765946,3.5359027617640886E-5,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo7_k10_5.uai,0.068,34.0,11.0,304452.0,30
EMCC,-0.45393194549172355,0.009078330977506373,true,0.44751692181259056,3.127802992138579E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo7_k10_5.uai,0.083,40.0,15.0,416761.0,15
EMCC,-0.03584748053157294,0.012481964662285733,true,0.025372779780226118,5.0628609625330947E-5,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo7_k10_5.uai,0.088,32.0,9.0,487713.0,29
EMCC,-0.008525891641814914,0.007248872271558733,true,-0.0065497465929859056,2.923510210544266E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo7_k10_5.uai,0.187,33.0,13.0,652739.0,15
EMCC,-0.007699955633189315,0.004965106471549154,true,-0.00737106816090885,4.099826166248629E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk0_nEndo7_k10_5.uai,1.0,46.0,13.0,882267.0,17
