method,ace_l,pns_u,selector,ace_u,pns_l,model_path,ps1,time_pns,time_ace,time_learn,n_convergence
exact,1.7481599999991104E-4,1.8885600000000002E-4,false,1.7481599999991104E-4,1.8885600000000002E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk1_maxDist3_nEndo7_k05_3.uai,1.0,,,,
EMCC,0.0011698428708925013,0.0019252564764070958,false,0.0019830320757259212,0.0017121354982098833,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk1_maxDist3_nEndo7_k05_3.uai,1.0,56.0,67.0,119424.0,6
EMCC,-0.9800579571029926,0.6225413541866575,true,0.9799268124036096,1.3374808385003075E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk1_maxDist3_nEndo7_k05_3.uai,0.0,35.0,15.0,462.0,23
EMCC,-0.7183683705879986,0.24243307649082932,true,0.7798252574381482,3.962712284921821E-6,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk1_maxDist3_nEndo7_k05_3.uai,0.004,27.0,12.0,15699.0,4
EMCC,-0.8198668859054496,0.28897732435919526,true,0.8571373978089789,2.2315986361667876E-6,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk1_maxDist3_nEndo7_k05_3.uai,0.007,27.0,9.0,45175.0,17
EMCC,-0.06508750741266334,0.007163657102316829,true,0.07216432600628442,8.581160377396722E-5,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk1_maxDist3_nEndo7_k05_3.uai,0.832,28.0,11.0,123521.0,17
EMCC,-0.059864089459016445,0.001347379635844985,true,0.060707632045224225,4.2309249251401546E-5,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk1_maxDist3_nEndo7_k05_3.uai,0.844,31.0,9.0,152945.0,15
EMCC,8.877212012713409E-4,0.001310359529003193,true,0.0012307540072541423,9.825023474414752E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk1_maxDist3_nEndo7_k05_3.uai,0.905,30.0,10.0,192860.0,15
EMCC,9.10800325411576E-4,0.00130420360108656,true,0.0012222422362268004,0.0010027434066157451,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk1_maxDist3_nEndo7_k05_3.uai,0.905,33.0,10.0,194646.0,13
EMCC,0.0017809026536200756,0.002082869376365548,true,0.001991811775383434,0.001871956078809097,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk1_maxDist3_nEndo7_k05_3.uai,0.906,31.0,9.0,205399.0,16
EMCC,0.001198869044099271,0.0019106587339607873,true,0.0019773398174364187,0.0017165226287905115,/root/dev/credici/papers/pgm22/models/synthetic/1000/set2/poly_mk1_maxDist3_nEndo7_k05_3.uai,1.0,32.0,9.0,249939.0,6
