method,ace_l,pns_u,selector,ace_u,pns_l,model_path,ps1,pns_11,pns_12,pns_10,pns_15,pns_16,pns_13,pns_14,pns_19,pns_17,pns_18,time_learn,trajectory_size_19,trajectory_size_18,time_ace,trajectory_size_17,trajectory_size_16,trajectory_size_15,trajectory_size_14,trajectory_size_13,trajectory_size_12,trajectory_size_11,trajectory_size_10,trajectory_size_29,trajectory_size_28,trajectory_size_27,trajectory_size_26,trajectory_size_25,trajectory_size_24,trajectory_size_23,trajectory_size_22,trajectory_size_21,trajectory_size_20,trajectory_size_7,pns_22,trajectory_size_6,pns_23,trajectory_size_9,pns_20,trajectory_size_8,pns_21,pns_26,pns_27,pns_24,pns_25,time_pns,pns_8,pns_9,trajectory_size_1,pns_6,pns_28,trajectory_size_0,pns_7,pns_29,trajectory_size_3,pns_4,trajectory_size_2,pns_5,trajectory_size_5,pns_2,trajectory_size_4,pns_3,pns_0,pns_1
exact_data_based,4.2361844707006213E-4,0.005421965263958001,false,4.2361844707006213E-4,0.005421965263958001,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo5_k075_1.uai,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMCC,4.236894620632814E-4,0.005422032021692358,false,4.236944659460895E-4,0.0054220200166870324,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo5_k075_1.uai,1.0,0.0054220229111126145,0.005422032021692358,0.005422020045324824,0.0054220202492273675,0.005422027020327321,0.005422025188255877,0.005422020486723354,0.005422022614378058,0.00542202012253405,0.005422030031434017,133038.0,300,300,18.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.005422020708539725,300,0.005422020209294649,300,0.0054220200414119984,300,0.0054220251314047235,0.005422024574406574,0.0054220237082676145,0.005422020540481151,0.005422020166074264,39.0,0.0054220265572753334,0.005422020364129966,300,0.0054220200166870324,0.0054220224156554106,300,0.005422023576870793,0.005422021850268259,300,0.005422026258021123,300,0.005422029931437311,300,0.005422020434918617,300,0.005422021075480635,0.005422020700864532,0.0054220200810616865
EMCC,-0.15547450948346275,0.369882570081218,true,0.15837571174717002,5.267708140908751E-7,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo5_k075_1.uai,0.0,0.18957048988107245,0.13206101335616777,0.05164243872931132,0.01895418790731725,0.049575369724217035,0.10560983726224304,0.1853504894637988,0.0018104222001316468,0.369882570081218,0.006178565420847664,279.0,16,12,7.0,10,9,16,7,2,16,6,12,6,17,1,9,9,2,2,2,4,13,3,0.10520883963612905,3,0.007560442259113263,3,0.011256657104820003,8,5.267708140908751E-7,0.08105784921709297,0.021666991706621574,0.0016308403514458162,0.040752535596368586,16.0,0.059933386394311776,0.002881759408697855,5,1.7006101874534585E-4,0.17475601860913736,9,0.04397602839385251,0.14092550230136755,18,0.1059158212786794,12,0.006395486820119796,43,0.010755721202295983,5,0.008355846801464235,0.031871964458456345,0.01988512524403706
EMCC,-0.14633601839152666,0.23158476192583421,true,0.013497839767435349,8.51159799479117E-6,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo5_k075_1.uai,0.129,0.15052795002073702,0.03485266152245115,0.035503901931409315,0.004906139862527257,0.07632498722848033,0.03217473718606366,0.09246689100607455,0.008596839797868292,0.23158476192583421,0.0018316177841078921,39630.0,300,300,5.0,300,300,300,300,300,300,300,300,300,300,300,300,300,200,300,300,295,300,300,0.06383374064865457,300,0.006335062551463557,300,0.020847907017579666,300,8.51159799479117E-6,0.09391870005245526,0.02294321275647116,0.0029374782400470455,0.027124784695306124,14.0,0.044862411623689674,7.886030475809931E-4,300,1.2247833952619617E-4,0.11508198452384501,300,0.1105591355729258,0.0651137333052548,300,0.08794047709263993,300,0.016700459347044047,299,6.659168807259933E-4,300,0.0038887295265745557,0.012669164252596385,0.039154865382895636
EMCC,1.4917550098525467E-6,0.0011676251605413613,true,2.8079361118926727E-4,6.387209944048535E-6,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo5_k075_1.uai,0.365,8.706236924258572E-4,8.49538210581979E-4,0.0010699302454255579,0.0010101177700093233,9.222461241587388E-4,8.003550581557559E-4,8.137824148336815E-4,8.084393806890861E-4,8.42792538746558E-4,7.523235336954613E-4,74113.0,300,300,4.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.001110321204663376,300,9.229347805293815E-4,300,0.001090092599383561,300,6.387209944048535E-6,0.0010065021747149737,9.694309277974004E-4,0.001042003690490911,7.850722347468587E-4,12.0,8.160420269476809E-4,8.557740008419768E-4,300,4.324763625589284E-4,9.722010403344248E-4,300,0.0011676251605413613,0.0011285922472136407,300,0.0010839539155164091,300,4.3283742834087697E-4,300,6.144688871165643E-4,300,8.250537517139236E-4,0.0010506015530825238,7.736301405144766E-4
EMCC,3.971580133543817E-6,0.0017774645245839,true,3.393115135871261E-4,1.94103354397509E-5,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo5_k075_1.uai,0.404,0.0011692821073296337,0.0011721155686246168,0.0016934227927240318,0.00146796938690718,0.0011785688660543667,0.0011459405618429416,0.001178284880524049,0.0010839986164132719,0.0012234633961208583,0.0010423183239069503,107689.0,300,300,5.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.0017414481488328922,300,0.0011811802179876245,300,0.0015898126720924177,300,1.94103354397509E-5,0.0015738644340369955,0.0012043328638143354,0.0014775809196962938,0.0011042017790127,13.0,0.0011810879961345346,0.0010794769786566197,300,9.106656066537981E-4,0.0012106096801439911,300,0.001566160128312235,0.0017774645245839,300,0.0015342058074396244,300,0.0015274865834706028,300,8.867503537364394E-4,300,0.001205301988696717,0.0013236446287390288,0.001126552512996024
EMCC,2.611635344572649E-4,0.003415686418354184,true,4.559422698127147E-4,0.0018932968303553449,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo5_k075_1.uai,0.506,0.003393405889724121,0.0033933423171760213,0.0034036676491672898,0.003415686418354184,0.003393603921633308,0.0033924264939085443,0.003392521778102473,0.003391423603231026,0.0033937713007866125,0.0033868182291745476,141198.0,300,300,4.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.0033997289377812813,300,0.0033947685961539876,300,0.003411017068274501,300,0.0018932968303553449,0.003403533396622943,0.0033961402341859386,0.003402721584693904,0.003390399378761493,13.0,0.003393096526112988,0.0033891406260852944,300,0.003322173317676194,0.0033947938361610828,300,0.003404643139679682,0.0033985316262001575,300,0.0034028726391895263,300,0.0033915009578091458,300,0.003374377240903374,300,0.003408428411392095,0.0033965943868040213,0.0033919177041480926
EMCC,4.0156801123075736E-4,0.003475779155615055,true,4.617092602358097E-4,0.002988009950466793,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo5_k075_1.uai,0.593,0.003475445884089561,0.0034752758348624525,0.0034751866128006218,0.003475147844585861,0.0034751644427610997,0.0034754007529421644,0.003475361109745026,0.003474876727614864,0.0034755381320505426,0.0034737132555242405,174832.0,300,300,4.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.003475531947966956,300,0.0034750192013130255,300,0.0034754587128653343,300,0.002988009950466793,0.003475761445599246,0.0034750305237767967,0.003475341793654127,0.0034748956812752346,12.0,0.0034753438808235336,0.0034737259469715914,300,0.003460968962113293,0.003475427019714322,300,0.003475779155615055,0.003475491164842947,300,0.0034753294619548902,300,0.0034751515490246284,300,0.0034681320960076025,300,0.00347369319285714,0.003475104752568928,0.0034751620624837026
EMCC,5.821474024164663E-4,0.005923832125906837,true,5.821628423963165E-4,0.0059237551121605675,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo5_k075_1.uai,0.86,0.005923809111826189,0.005923809655568751,0.005923810401159269,0.0059238135091261865,0.005923810142163722,0.005923809027021696,0.0059238114711234946,0.005923808975397214,0.005923810782690916,0.005923809024590902,211364.0,300,300,5.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.005923810922392393,300,0.005923808851462431,300,0.005923812341407573,300,0.0059237551121605675,0.005923811019205664,0.005923809481522259,0.005923811854709811,0.005923809018028858,12.0,0.005923809558763862,0.005923808873744437,300,0.0059238094228194725,0.005923810082438745,300,0.005923812041986068,0.005923810902576881,300,0.005923812990447378,300,0.005923808935735858,300,0.0059238087555140515,300,0.005923832125906837,0.0059238098633746464,0.005923809402650045
EMCC,5.132226028784492E-4,0.00512503229715807,true,5.132324344737094E-4,0.005124908570309021,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo5_k075_1.uai,0.904,0.005125018367125039,0.005125018727277336,0.005125019083698152,0.005125020781546989,0.00512501896455499,0.0051250183425050645,0.0051250196080557826,0.005125018246557934,0.005125018992368178,0.0051250181853971545,244722.0,300,300,4.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.005125019399581534,300,0.005125018228890462,300,0.005125020250564866,300,0.005124908570309021,0.005125019410116906,0.005125018550065221,0.005125019992399913,0.005125018252792061,12.0,0.005125018635522251,0.005125018110616827,300,0.005125017165563724,0.005125018940494579,300,0.005125020204986187,0.005125019477870541,300,0.005125020242695075,300,0.005125018267888786,300,0.00512501787061637,300,0.00512503229715807,0.005125018839730707,0.005125018542026058
