method,ace_l,pns_u,selector,ace_u,pns_l,model_path,ps1,pns_11,pns_12,pns_10,pns_15,pns_16,pns_13,pns_14,pns_19,pns_17,pns_18,time_learn,trajectory_size_19,trajectory_size_18,time_ace,trajectory_size_17,trajectory_size_16,trajectory_size_15,trajectory_size_14,trajectory_size_13,trajectory_size_12,trajectory_size_11,trajectory_size_10,trajectory_size_29,trajectory_size_28,trajectory_size_27,trajectory_size_26,trajectory_size_25,trajectory_size_24,trajectory_size_23,trajectory_size_22,trajectory_size_21,trajectory_size_20,trajectory_size_7,pns_22,trajectory_size_6,pns_23,trajectory_size_9,pns_20,trajectory_size_8,pns_21,pns_26,pns_27,pns_24,pns_25,time_pns,pns_8,pns_9,trajectory_size_1,pns_6,pns_28,trajectory_size_0,pns_7,pns_29,trajectory_size_3,pns_4,trajectory_size_2,pns_5,trajectory_size_5,pns_2,trajectory_size_4,pns_3,pns_0,pns_1
exact_data_based,0.7013144471,0.7913148268,false,0.7013144471,0.6536273791,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk1_maxDist2_nEndo6_k10_5.uai,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMCC,0.6534111085911638,0.7677030125596176,false,0.6586974038485793,0.6538127552463545,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk1_maxDist2_nEndo6_k10_5.uai,1.0,0.6823210780954883,0.6617270778588576,0.6564224061751587,0.6606475689195314,0.7649986910503442,0.6865685630672305,0.7677030125596176,0.7581520037668187,0.6924620076925894,0.6929089644013138,92903.0,300,300,24.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.6747708716405604,300,0.6543739491497924,300,0.6691329270705524,300,0.6725243121988527,0.7157812020786939,0.6558338507710582,0.6544832515720881,0.7291371557446682,45.0,0.6544737183892413,0.6539406285591263,300,0.6743165555614741,0.6568145391540609,300,0.6578378593050326,0.6920742203737372,300,0.7637302326088012,300,0.6538127552463545,300,0.7604040609906857,300,0.677299615801477,0.7233733233666615,0.7065358675229343
EMCC,-0.9250712811660556,0.836542170268718,true,0.8162815298111352,6.014099834546424E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk1_maxDist2_nEndo6_k10_5.uai,0.0,0.004829441063789982,0.06639271458527948,0.4715949173644999,0.04387789629661973,0.01436225906757896,0.24441352511519643,0.6653690782524692,0.18426714648619105,0.17870296147922074,0.08323152434689954,646.0,6,13,9.0,7,13,26,5,2,24,7,30,9,4,9,23,12,2,4,8,16,4,17,0.2900396842982158,8,0.5647211245970511,32,6.014099834546424E-4,12,0.836542170268718,0.14698856213662115,0.09520327273602018,0.5647718174286307,0.8175697987505423,23.0,0.3413300293411355,0.016285814149596376,9,0.7770659945156195,0.025854426559844462,6,0.2081600419162106,0.21982097577057083,7,0.03845656332302795,5,0.1248938243480645,300,0.3643924018626037,3,0.4169515854987453,0.6574364365655037,0.006096649700402639
EMCC,-0.8080693725671048,0.8017505658412543,true,0.7420911001750659,0.012110285577622639,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk1_maxDist2_nEndo6_k10_5.uai,0.116,0.012110285577622639,0.07918975770075774,0.47475037976782075,0.04335899262686996,0.01738380275785654,0.3177844272534288,0.5147242594628344,0.3678102804171441,0.21316059882005153,0.13369276526930662,35337.0,300,300,7.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.05844422876945189,300,0.520714484869146,300,0.24286871185365916,300,0.6016174827124384,0.1679234109850767,0.134423059310155,0.8017505658412543,0.548598294586137,20.0,0.26392901639874095,0.02200623057910507,300,0.5814322694994006,0.022047873845549255,300,0.1811033893102583,0.4539099173444529,300,0.03829299402571717,300,0.054576155922168336,300,0.35886582197780437,300,0.33792252917556076,0.6993263184547015,0.2840547555263199
EMCC,-0.7980243265957948,0.8204260174039283,true,0.7167782696756588,0.012378629639829265,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk1_maxDist2_nEndo6_k10_5.uai,0.151,0.012378629639829265,0.07772111429974803,0.4909095231480235,0.04126703504799038,0.01638536892487147,0.307934600038545,0.4823948703941079,0.36958010503947863,0.21117289094259387,0.14223742871572215,54073.0,300,300,7.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.05543823244710152,300,0.5024600193316283,300,0.24159594712903648,300,0.5627521536901255,0.22023029114019113,0.13424256595735673,0.7641597312031918,0.5806215600417632,20.0,0.2457919331622488,0.02176405391555461,300,0.5449999870689699,0.03476678102372602,300,0.27461588835398465,0.8204260174039283,300,0.036580918578441424,300,0.054110567469952485,300,0.35107765099479377,300,0.31911283904712917,0.7581672314162098,0.28113658097402444
EMCC,-0.6524763698592602,0.7866579809082205,true,0.6729364693560081,0.02519527631102082,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk1_maxDist2_nEndo6_k10_5.uai,0.26,0.11720458568349429,0.02519527631102082,0.21843386906214007,0.1103908537313945,0.16900414287612658,0.2906246858179633,0.3506491517801576,0.29220806154649887,0.35096866458669035,0.16544528407619252,73052.0,300,300,7.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.06459443193746539,300,0.5404998972631878,300,0.32243729227583307,300,0.5642533792455521,0.06589016220964526,0.19284825393160795,0.26069384303411514,0.5681813181563288,21.0,0.15466659665455443,0.026733355509333413,300,0.27567802470116815,0.08703737147547434,300,0.3034621658588169,0.7866579809082205,300,0.12147432633438901,300,0.23543045501656856,300,0.3768241771092033,300,0.47273938628408707,0.7154382748777687,0.27648124741651264
EMCC,0.19953844055764502,0.7913331667582221,true,0.7211676637297246,0.2536650041537421,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk1_maxDist2_nEndo6_k10_5.uai,0.709,0.2863600700887614,0.3080875933334267,0.5090961118543795,0.3410288487186884,0.7298061472840315,0.37947527171285106,0.6560792497378265,0.38264698374646716,0.259007307522083,0.34278611234836914,111209.0,300,300,7.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.280306602208626,300,0.3024443350560822,300,0.33288242552020175,300,0.7399100689592635,0.27991768516476073,0.36795183838694284,0.3218748652660933,0.7356409607433234,20.0,0.27759909915435516,0.2536650041537421,300,0.6126286174101516,0.30327178191206994,300,0.5607390867456123,0.7913331667582221,300,0.35310236942214956,300,0.5509055905817017,300,0.693234596944077,300,0.5798307322950077,0.7581644452712301,0.40079420095141377
EMCC,0.6350831948520715,0.7916792380535661,true,0.7216068389858054,0.635083726785247,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk1_maxDist2_nEndo6_k10_5.uai,0.724,0.7063861034989497,0.7209476515571717,0.6798885117042464,0.6747325732037959,0.7892365304243429,0.7022526184493008,0.7916792380535661,0.7796365940461388,0.6880895510337199,0.7224110353036937,130467.0,300,300,9.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.6843597797686497,300,0.6565715685931894,300,0.6931431998299362,300,0.6987092671596142,0.7210101298870766,0.649275938227862,0.7253719543114505,0.7328760283673192,23.0,0.635083726785247,0.6417144680098524,300,0.714881285033821,0.7054512898995258,300,0.7886679371360349,0.7015954255863789,300,0.6753755713123559,300,0.7095352214411639,300,0.7539335839937293,300,0.7354799977083207,0.7454178161886065,0.7891067724504658
EMCC,0.653748477415127,0.8010443637691346,true,0.6681959578969898,0.6537486471902072,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk1_maxDist2_nEndo6_k10_5.uai,0.743,0.6879168184698451,0.6728319472016748,0.6695048094609555,0.6757023245848591,0.8010443637691346,0.6873566985445716,0.795746627040959,0.7792190358677978,0.6980804730104534,0.7135162503543216,147984.0,300,300,7.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.6933916094685082,300,0.6631522997269574,300,0.6735509079302263,300,0.684848153313391,0.7310564792889329,0.6638238869593264,0.6676991902495372,0.7295458780048947,19.0,0.6537486471902072,0.6629055657052492,300,0.7297279071942726,0.6665126889821498,300,0.7833044580106399,0.708639286930729,300,0.6731264659170942,300,0.719032753307139,300,0.7620329864601627,300,0.744426916581058,0.7550831187807299,0.7765955912515403
EMCC,0.6536246902834111,0.7676197847207084,true,0.658736473975106,0.6536247931333933,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk1_maxDist2_nEndo6_k10_5.uai,0.824,0.682741587449042,0.6619255604335461,0.6564188090802886,0.6604635069080728,0.7646460744435462,0.6867903934200404,0.7676197847207084,0.7580999612025676,0.6920973971515946,0.6929736587647966,176350.0,300,300,7.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.6749041504581885,300,0.6543836297862038,300,0.6691718721098386,300,0.6725117885068992,0.7162221520250474,0.6558624154743775,0.6544652149303558,0.7284413166430626,21.0,0.6536247931333933,0.653937484568909,300,0.7350669547359483,0.6572352482947629,300,0.7633575997246277,0.6918699529921006,300,0.6659628335485231,300,0.7172704866944997,300,0.7519486539724588,300,0.7422363949587517,0.7565735248554235,0.7673634434044492
