,method,ace_l,pns_u,selector,ace_u,pns_l,model_path,ps1,pns_11,pns_12,pns_10,pns_15,pns_16,pns_13,pns_14,pns_19,pns_17,pns_18,time_learn,trajectory_size_19,trajectory_size_18,time_ace,trajectory_size_17,trajectory_size_16,trajectory_size_15,trajectory_size_14,trajectory_size_13,trajectory_size_12,trajectory_size_11,trajectory_size_10,trajectory_size_29,trajectory_size_28,trajectory_size_27,trajectory_size_26,trajectory_size_25,trajectory_size_24,trajectory_size_23,trajectory_size_22,trajectory_size_21,trajectory_size_20,trajectory_size_7,pns_22,trajectory_size_6,pns_23,trajectory_size_9,pns_20,trajectory_size_8,pns_21,pns_26,pns_27,pns_24,pns_25,time_pns,pns_8,pns_9,trajectory_size_1,pns_6,pns_28,trajectory_size_0,pns_7,pns_29,trajectory_size_3,pns_4,trajectory_size_2,pns_5,trajectory_size_5,pns_2,trajectory_size_4,pns_3,pns_0,pns_1,time_learn_runs,method,selector,ps1,treewidth,bias_endo_treewidth,endo_treewidth,bias_treewidth,time_learn,pns_41,pns_42,pns_40,pns_45,pns_46,pns_43,pns_44,pns_49,pns_47,pns_48,pns_70,pns_71,pns_74,pns_75,pns_72,pns_73,pns_78,pns_79,pns_76,pns_77,pns_60,pns_63,pns_64,pns_61,pns_62,pns_67,pns_68,pns_65,pns_66,pns_69,pns_52,pns_53,pns_50,pns_51,pns_56,pns_57,pns_54,pns_55,pns_38,pns_39,pns_36,pns_58,pns_37,pns_59,pns_34,pns_35,pns_32,pns_33,pns_30,pns_31,trajectory_size_79,trajectory_size_78,trajectory_size_77,trajectory_size_76,trajectory_size_75,trajectory_size_74,trajectory_size_73,trajectory_size_72,trajectory_size_71,trajectory_size_70,trajectory_size_59,trajectory_size_58,trajectory_size_57,trajectory_size_56,trajectory_size_55,trajectory_size_54,trajectory_size_53,trajectory_size_52,trajectory_size_51,trajectory_size_50,trajectory_size_69,trajectory_size_68,trajectory_size_67,trajectory_size_66,trajectory_size_65,trajectory_size_37,trajectory_size_64,trajectory_size_36,trajectory_size_63,trajectory_size_39,trajectory_size_62,trajectory_size_38,trajectory_size_61,trajectory_size_60,trajectory_size_31,trajectory_size_30,trajectory_size_33,trajectory_size_32,trajectory_size_35,trajectory_size_34,trajectory_size_49,trajectory_size_48,trajectory_size_47,trajectory_size_46,trajectory_size_45,trajectory_size_44,trajectory_size_43,trajectory_size_42,trajectory_size_41,trajectory_size_40
0,exact_data_based,0.0794831817,0.2103242199,False,0.0794831817,0.0794831817,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo4_k10_1.uai,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,exact_data_based,False,1.0,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EMCC,0.0794835232446865,0.2061987930541227,False,0.0794835232476106,0.0815012236307446,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo4_k10_1.uai,1.0,0.0815012236307446,0.1417852379827124,0.1393046840951992,0.1124576313910002,0.1661615453776011,0.0847408355237279,0.149631317581101,0.1190080623050641,0.1660558530880973,0.10679494591004,32199.0,300.0,300.0,24.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0864824831693046,300.0,0.1783087147716916,300.0,0.0960270711250578,300.0,0.1893962225629751,0.2030776709743832,0.1627624986092291,0.1395904739937509,0.1663192682511411,33.0,0.1052922814653437,0.1902056868570071,300.0,0.1315523281183635,0.0854136075016212,300.0,0.1644518559103261,0.1753163143741594,300.0,0.1110107661129815,300.0,0.1819064524618237,300.0,0.1486215286997959,300.0,0.1550344513229603,0.0859404077167374,0.1455831358039662,30,EMCC,False,1.0,2,,2,,50407.0,0.0815012236307446,0.1417852379827124,0.1393046840951992,0.1124576313910002,0.1661615453776011,0.0847408355237279,0.149631317581101,0.1190080623050641,0.1660558530880973,0.10679494591004,0.1662176908021858,0.1574510541959588,0.1362502939830297,0.1345925399631438,0.1698603402779441,0.1487714872328843,0.1003263413979459,0.0950783796809193,0.1471623726050185,0.1499381405637388,0.1810498181648412,0.1696947175622241,0.1912760432239426,0.1693483211926684,0.095575062126763,0.1741609477527707,0.1776542688691546,0.1763454784554469,0.2061987930541227,0.1921315047793952,0.0864824831693046,0.1783087147716916,0.0960270711250578,0.1893962225629751,0.2030776709743832,0.1627624986092291,0.1395904739937509,0.1663192682511411,0.1052922814653437,0.1902056868570071,0.1315523281183635,0.0854136075016212,0.1644518559103261,0.1753163143741594,0.1110107661129815,0.1819064524618237,0.1486215286997959,0.1550344513229603,0.0859404077167374,0.1455831358039662,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
2,EMCC,-0.5864152715069504,0.6198561347570791,True,0.3941327289693013,0.0004036412772617036,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo4_k10_1.uai,0.0,0.0237141108121608,0.0004036412772617036,0.2445684891981592,0.0416407743448153,0.1016619429880822,0.1372497584401491,0.0068564103017231,0.056121304427794,0.0182090703780894,0.1577548485237125,328.0,3.0,3.0,6.0,300.0,1.0,2.0,18.0,2.0,3.0,5.0,23.0,2.0,8.0,10.0,1.0,2.0,3.0,4.0,5.0,2.0,3.0,3.0,0.3300115506757839,10.0,0.0079926143397787,2.0,0.0341428788976158,5.0,0.1673909626101299,0.2752592492739585,0.5947510849783435,0.4523727504846693,0.0434076319302992,12.0,0.0255957996520374,0.004730656836162,5.0,0.0256325861598941,0.1273318286660871,2.0,0.0015472161731867,0.0483649236570184,6.0,0.1588687437065936,4.0,0.058867242054349,2.0,0.1490889801592573,4.0,0.4967419565126589,0.00433513396938,0.0186166098896349,30,EMCC,True,0.0,2,4.0,2,4.0,230.0,0.2571051209589201,0.0840805823975138,0.466335689942343,0.0757599820583042,0.0267241900635472,0.6198561347570791,0.1505471655668686,0.1354333183682989,0.0127638562674457,0.0431065872398986,0.1589727060328855,0.0166916376211706,0.0086476140700514,0.1743207868652746,0.5326457769588622,0.1146723407820083,0.1612618225289616,0.0193928361129587,0.2069800269703611,0.0277952984458568,0.0863724418718141,0.0361660969791384,0.3563186738684548,0.0582202566475583,0.0532019998613658,0.032515403224745,0.2318650007629193,0.0020195022823175,0.1698482474084001,0.093348201439172,0.0083218258576078,0.52235188324413,0.0024464877896581,0.3304417044326859,0.0193093492360537,0.0128944669441566,0.0435696750007289,0.0545316245917293,0.0221009316047858,0.1796599165823262,0.1353333088677053,0.0142238864009499,0.067035614051568,0.2637433078082082,0.0551769946596177,0.1793834662497289,0.0035763864660841,0.0073547441680531,0.0101216866430401,0.1414596450983862,2.0,3.0,2.0,12.0,2.0,3.0,3.0,5.0,2.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0,6.0,8.0,2.0,2.0,3.0,6.0,3.0,1.0,8.0,3.0,5.0,7.0,8.0,3.0,5.0,2.0,17.0,21.0,4.0,3.0,2.0,1.0,7.0,3.0,14.0,11.0,2.0,2.0,1.0,6.0,6.0,3.0
3,EMCC,-0.4324508399164775,0.6395526576674653,True,0.3737182371491435,0.00028968850510815227,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo4_k10_1.uai,0.003,0.0326217887475928,0.00028968850510815227,0.1761486673553934,0.1050737421591746,0.0920488086005827,0.0693498819764347,0.0034357113946403,0.0539581821032512,0.0153754154799701,0.1568011024996009,9225.0,300.0,300.0,4.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.1905955193107292,300.0,0.0069174091781072,300.0,0.0362623203523197,300.0,0.1344575695440533,0.1137889635935961,0.290399930429603,0.4801607663314538,0.0129448916235873,10.0,0.1183451800811133,0.0057585661606652,300.0,0.0245676987694895,0.1066923030549827,300.0,0.0815611640768698,0.0372530021346138,300.0,0.1368109883620367,300.0,0.0198517415252129,300.0,0.408642736894122,300.0,0.526560642136612,0.0080307468731123,0.0114671631246002,30,EMCC,True,0.003,2,4.0,2,4.0,14446.0,0.011030800716857,0.0836998106684898,0.2320340757596488,0.0469338335807151,0.033517644628135,0.6395526576674653,0.4911065463687165,0.0768266550829177,0.0360341274368481,0.0810119270982797,0.1372682787827515,0.0082390271153945,0.009243886815797,0.1304093110714332,0.5753077556310539,0.0485442979275542,0.1603161142992454,0.0175272961036208,0.2390237423963747,0.0149447729973978,0.0986506910536623,0.0151077865835929,0.3664470625137462,0.0710947592998803,0.0407382977882355,0.1569680999985574,0.6137440896476569,0.0017860242309232,0.0811098113829442,0.1196454371495026,0.0028733021844627,0.2435399524420302,0.0011334825064251,0.0565275876594378,0.0048853814628669,0.0148916100599022,0.0189942074365388,0.025385328105866,0.0094864623762001,0.1658770741768234,0.0904526822865888,0.0155104750565153,0.0964508496163549,0.1145652916292263,0.03026354092475,0.1089691517864096,0.0035388130292006,0.0052996582924656,0.0041343664155878,0.1105966686794287,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
4,EMCC,-0.3659480333929515,0.6886154569688485,True,0.2934860512612844,0.0017399415823667,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo4_k10_1.uai,0.064,0.0323774712369158,0.0029409869420617,0.1567281099045196,0.1276412783728196,0.0704012829023172,0.0861471805611207,0.0317774618763989,0.0908357178908041,0.0432068623296693,0.1400327706519997,18873.0,300.0,300.0,4.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.1363200662447833,300.0,0.0075068068826562,300.0,0.0336019404995833,300.0,0.1218851081816495,0.0710495671408801,0.2105560505223825,0.2170795298734963,0.0265101757728609,9.0,0.154753884749823,0.0054505108785515,300.0,0.0237084704941843,0.062881103029139,300.0,0.1305875807871919,0.0562532584375874,300.0,0.1897608552318699,300.0,0.0840512229286147,300.0,0.4422123694008293,300.0,0.4960069851843145,0.0080819158221456,0.0121232499546067,30,EMCC,True,0.064,2,4.0,2,4.0,31404.0,0.0456407167001939,0.0469163153610517,0.1142242029226281,0.0542703613293404,0.035630549690911,0.5281386236440818,0.5719335209297454,0.067867511026015,0.0219498689120552,0.0851658072180589,0.0540455815346114,0.0143946642266837,0.007957956975667,0.1754150121372882,0.5029910443306241,0.0374887896599675,0.1713382137594351,0.0446660948279628,0.244202125369232,0.0644097905181815,0.0938669893740148,0.0066464411221424,0.3156631060352151,0.0791536655583824,0.0388682671000136,0.1846052927019974,0.6886154569688485,0.0099303771439726,0.0538410071678525,0.1587505844563519,0.0085169550901308,0.1086977048035016,0.0017399415823667,0.1111755313999974,0.0281145647810999,0.0380650249668545,0.0377281007432912,0.0491784334424964,0.0190967083372607,0.1684018037231165,0.0765351377607916,0.0244081474901274,0.0324894289547992,0.077767852544912,0.0291546341380187,0.1319453000787863,0.0022923096843794,0.0089697293426089,0.0071613731052422,0.079318148167745,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
5,EMCC,-0.3972841575950402,0.7701778380923145,True,0.4148005070408221,0.0020938446464921,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo4_k10_1.uai,0.067,0.037551963394917,0.0113725627511562,0.1654072845558248,0.1582688040857112,0.119360392381412,0.0792573090729876,0.0227985933325984,0.1029255458275032,0.066955966682855,0.1615580214932896,24415.0,300.0,300.0,4.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.1268080432168973,300.0,0.0071502732770139,300.0,0.0315534516936062,300.0,0.1814839891795671,0.0640049239938872,0.1821237061551679,0.2205901260398206,0.0714875365237618,9.0,0.2844599863976113,0.0078267622482664,300.0,0.2646642300777296,0.0592883959451328,300.0,0.147033260722549,0.053047922203354,300.0,0.1963505055141246,300.0,0.0815150362996391,300.0,0.5318590969050601,300.0,0.5653507870011641,0.0084838733289846,0.0053040041481067,30,EMCC,True,0.067,2,4.0,2,4.0,40555.0,0.0476965413394468,0.0410068421949787,0.1060924649686318,0.039971758842479,0.0357975910048824,0.7523844719129333,0.5671546588290662,0.0611546749032539,0.0182774119230192,0.0432006751030104,0.0556580323959934,0.0140251658540575,0.0090653730812493,0.1838366939262231,0.6742745754712048,0.0353300365774381,0.1296715254909552,0.0065379654438231,0.2883721372576093,0.0622256723965791,0.1219538354269843,0.00703746266729,0.3670616008441899,0.080320860120467,0.2181076859701869,0.192069127995189,0.7701778380923145,0.0113358847947244,0.0519301208514492,0.1958686891693047,0.01351377694027,0.0596083365065925,0.0020938446464921,0.0730187289538288,0.0327807972033223,0.0327779918029465,0.0354800539685322,0.0405556701245294,0.0098743538582038,0.2356283287555752,0.0697285797150916,0.0200342955582865,0.028515648269821,0.074906324493156,0.0286921741838276,0.1384996684974541,0.0024550046599172,0.0101626209884556,0.007036400113978,0.0610154098390688,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
6,EMCC,-0.2734934688532454,0.5809238591844988,True,0.3467659352727135,0.0016057876316039,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo4_k10_1.uai,0.068,0.0289137188763974,0.042534419034902,0.0908527663340019,0.1283247201296259,0.1883692461105097,0.1525508545264261,0.0183598169394513,0.2009711917954463,0.2059243787215549,0.1363197089940558,29475.0,300.0,300.0,4.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.1569798396581037,300.0,0.0091068646675779,300.0,0.0198776892639334,300.0,0.1458073804827225,0.3200260131182251,0.1776080186406928,0.2646400858475424,0.2063343269976537,10.0,0.4492517095933611,0.0063189505643899,300.0,0.2112013153747081,0.0714843692030185,300.0,0.1461201075526938,0.0618303518475909,300.0,0.3043488831142111,300.0,0.3783889456659472,300.0,0.4077491911495887,300.0,0.5082172732762783,0.0056089842667535,0.0066008583158992,30,EMCC,True,0.068,2,4.0,2,4.0,47381.0,0.2141730394311252,0.0889128956106957,0.0656872281042497,0.0715750998059121,0.0319728541951308,0.5585789598947765,0.3975876296131094,0.0359854987928411,0.0140434918468173,0.1617396338036414,0.1468471001926423,0.0565768691134707,0.0084686703331194,0.1637098867978468,0.5245008381956368,0.0384062466904655,0.5658575842686218,0.0094286822340871,0.2570029120635534,0.057348109336753,0.2514894447569081,0.0066625337607753,0.2538144183225821,0.1357561199733857,0.2277599577913006,0.1416142455382693,0.5809238591844988,0.0350421546754922,0.0630495012426224,0.4455794080026314,0.044586305441403,0.0459045840808825,0.003020980271238,0.4896736056109338,0.1942377927609142,0.0259502331405014,0.0882137575738687,0.0377969119010013,0.0110746019295071,0.1581725343550964,0.0700547763415011,0.0086607295180468,0.0517824584179275,0.095725783979845,0.0726965861288925,0.1376192566858987,0.0016057876316039,0.0085456730195468,0.0070209352013323,0.0911446918924394,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
7,EMCC,0.002082298921339,0.3534910572012593,True,0.1628375963933691,0.0116632307429288,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo4_k10_1.uai,0.117,0.2123434892238483,0.1127130387053753,0.2700024415556821,0.2079652578317214,0.1609526857572402,0.2279350915799211,0.0235427318798088,0.1534609217814621,0.1641355971603805,0.2774304199532764,39786.0,300.0,300.0,4.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.2755224342205832,300.0,0.0931888104318585,300.0,0.2028692568796836,300.0,0.1656340547056423,0.0858933686310567,0.0378493799835771,0.2590620111769919,0.1634797796486427,10.0,0.2388177354995005,0.1360407735426784,300.0,0.1882465075331058,0.0692423424643176,300.0,0.141658412416116,0.0274257559357709,300.0,0.2421126936982954,300.0,0.0969013819280489,300.0,0.3202374649426823,300.0,0.3201864378208463,0.1341191184803228,0.1352164366192484,30,EMCC,True,0.117,2,4.0,2,4.0,62206.0,0.0708063265060943,0.0160517375506371,0.2450610225364705,0.0715316356033592,0.1515261215852567,0.3121801429101757,0.2963970635084805,0.1901572943782905,0.0183056670533229,0.1942688065944631,0.0359165676366788,0.0289945134133392,0.1256864615907185,0.2728373545124343,0.3010758393190654,0.0299307081225397,0.2752110018221079,0.1341244621192036,0.2845119456252224,0.1961465553217387,0.2352479831849243,0.0116632307429288,0.2760989287664708,0.1555532724862049,0.2516611361681229,0.1513642313195623,0.3534910572012593,0.0648738198073992,0.0413438203158771,0.0303179163076251,0.1111329202517001,0.0841423609801041,0.0123710076006024,0.2649986643589261,0.1760905914432204,0.070310258237273,0.1829662636888292,0.1037554142541083,0.0141254668995598,0.2279214394918838,0.03998857671032,0.1926798010374681,0.1008181638158941,0.0275825378834394,0.1380795138945232,0.2643519376731122,0.1359731000950866,0.1169652590083975,0.1548758380264475,0.1509300640256804,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
8,EMCC,0.0789048704678309,0.2184634344524348,True,0.0793797834705682,0.079535556558665,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo4_k10_1.uai,0.154,0.142445143658916,0.0797004204932282,0.1995186158520893,0.1357675596757063,0.1219911745083359,0.13694801580907,0.0843989059203149,0.1003677309446432,0.1899729332773508,0.1852959441733142,50067.0,300.0,300.0,4.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.2082339726044676,300.0,0.0874525102090107,300.0,0.1162049942563195,300.0,0.092941855153078,0.1913925968970225,0.2169614250737276,0.1835483578236676,0.1549542186106511,9.0,0.1899601763019078,0.079535556558665,300.0,0.1212061673048054,0.1771663581301691,300.0,0.0877078984574276,0.0858064555151792,300.0,0.1833654763369972,300.0,0.1976985576431176,300.0,0.2184634344524348,300.0,0.213138191270457,0.0795503685639954,0.0848110070457131,30,EMCC,True,0.154,2,4.0,2,4.0,78456.0,0.1728203922948467,0.0968381239540362,0.1829510295954942,0.1378051826577047,0.1049765603144158,0.2067882015028989,0.1983270430132929,0.175085622238602,0.0912922719678107,0.1259422418598852,0.2041562077588302,0.0911203303756203,0.080082105494537,0.1754682160020787,0.2003954018306799,0.0834474193615519,0.1927840899787752,0.1733464308579827,0.1920653708213143,0.1051639116161974,0.1897618423020149,0.087364822465881,0.1827506823914085,0.1605768705902202,0.1770577757252837,0.0926671015880276,0.2171771519316093,0.0831961648398271,0.1472266325603381,0.1922780382329312,0.0918595326986117,0.1864000221159046,0.0802344756089349,0.205873139243838,0.1490037144318821,0.0824429178175923,0.1916515058292259,0.1169109534248216,0.1297355829076174,0.1407988382871651,0.181462583407833,0.127361945922085,0.1145688824362588,0.156484349127702,0.1519762618559887,0.1820396400514849,0.1551780841582992,0.1089298747269942,0.0849026228565534,0.1782439256303946,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
9,EMCC,0.0624205584114322,0.211296229806176,True,0.0624695184218155,0.063030212152981,/root/dev/credici/papers/pgm22/models/synthetic/1000/set4/rand13_mk0_nEndo4_k10_1.uai,0.919,0.1294105669648817,0.0638544570772079,0.1931889215377289,0.1321450657150654,0.1046167920877524,0.130471787036068,0.0683986182772256,0.0889766483514549,0.1661461928170049,0.1650891118728892,57688.0,300.0,300.0,3.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,0.1916736250807375,300.0,0.0716954769673561,300.0,0.1072042741144028,300.0,0.0797130155054158,0.1661715621344864,0.2051007012437962,0.1760492065554602,0.134789794891967,8.0,0.1663050926604999,0.063030212152981,300.0,0.1240732840528258,0.1585890480248048,300.0,0.0786171202936317,0.0703032798219904,300.0,0.1688274965754914,300.0,0.1794435279542726,300.0,0.211296229806176,300.0,0.2019135283010702,0.063623930968071,0.0695031148609752,30,EMCC,True,0.919,2,4.0,2,4.0,94802.0,0.1538772217645,0.0818389625087326,0.1580509970159026,0.1218358836051788,0.0913699379242118,0.1993529098198781,0.1904899714848068,0.1535365418178621,0.080854254476882,0.1227216913730216,0.1901640480420197,0.0783604511265667,0.0637253093801035,0.1687939311893886,0.1905704900643794,0.0685901798129294,0.1784919847594619,0.1612060566534379,0.1816961097342076,0.0952134676245933,0.1686917410707904,0.0713828132676043,0.1736568551910299,0.1438771563374802,0.1694555858897544,0.0820106930569242,0.2110442416651079,0.0701421133079927,0.1321918082963156,0.1697236381418323,0.0765432005367273,0.1572747455001925,0.0642062874297865,0.1973831920498634,0.1301744623884818,0.0687984758027407,0.1623291047381619,0.1000609290083784,0.1122704337118295,0.1331397806072283,0.165649425148793,0.1122610288789014,0.1018850981381353,0.1439485541925621,0.1353780196255801,0.170735227557769,0.1345833968467023,0.0926552598524498,0.0719128158817033,0.1616418442200803,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
