treewdith,bias_endo_treewdith,method,ace_l,pns_u,endo_treewdith,bias_treewdith,selector,ace_u,pns_l,model_path,ps1,trajectory_size_49,trajectory_size_48,trajectory_size_47,trajectory_size_46,trajectory_size_45,pns_11,trajectory_size_44,pns_12,trajectory_size_43,trajectory_size_42,pns_10,trajectory_size_41,pns_15,trajectory_size_40,pns_16,pns_13,pns_14,pns_19,pns_17,pns_18,time_learn,time_ace,trajectory_size_59,trajectory_size_58,trajectory_size_57,trajectory_size_56,trajectory_size_55,trajectory_size_54,trajectory_size_53,trajectory_size_52,trajectory_size_51,trajectory_size_50,pns_70,trajectory_size_29,trajectory_size_28,trajectory_size_27,pns_73,trajectory_size_26,pns_74,trajectory_size_25,pns_71,trajectory_size_24,pns_72,trajectory_size_23,pns_77,trajectory_size_22,pns_78,trajectory_size_21,pns_75,trajectory_size_20,pns_76,pns_79,trajectory_size_39,trajectory_size_38,pns_62,trajectory_size_37,pns_63,trajectory_size_36,pns_60,trajectory_size_35,pns_61,trajectory_size_7,trajectory_size_34,pns_66,trajectory_size_6,trajectory_size_33,pns_67,trajectory_size_9,trajectory_size_32,pns_64,trajectory_size_8,trajectory_size_31,pns_65,trajectory_size_30,pns_68,pns_69,trajectory_size_1,trajectory_size_0,trajectory_size_3,trajectory_size_2,trajectory_size_5,trajectory_size_4,pns_51,pns_52,pns_50,pns_55,pns_56,pns_53,pns_54,pns_59,pns_57,pns_58,trajectory_size_19,trajectory_size_18,trajectory_size_17,trajectory_size_16,pns_40,trajectory_size_15,pns_41,trajectory_size_14,trajectory_size_13,trajectory_size_12,pns_44,trajectory_size_11,pns_45,trajectory_size_10,pns_42,pns_43,pns_48,pns_49,pns_46,pns_47,pns_30,trajectory_size_69,trajectory_size_68,trajectory_size_67,pns_33,trajectory_size_66,pns_34,trajectory_size_65,pns_31,trajectory_size_64,pns_32,trajectory_size_63,pns_37,trajectory_size_62,pns_38,trajectory_size_61,pns_35,trajectory_size_60,pns_36,trajectory_size_70,pns_39,trajectory_size_79,trajectory_size_78,pns_22,trajectory_size_77,pns_23,trajectory_size_76,pns_20,trajectory_size_75,pns_21,trajectory_size_74,pns_26,trajectory_size_73,pns_27,trajectory_size_72,pns_24,trajectory_size_71,pns_25,time_pns,pns_8,pns_9,pns_6,pns_28,pns_7,pns_29,pns_4,pns_5,pns_2,pns_3,pns_0,pns_1,sparents
3,,exact_data_based,0.061457615999999965,0.1514814859,3,,false,0.061457615999999965,0.06435443519999999,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo7_k10_0.uai,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,EMCC,0.0614574526250323,0.14942005526430416,3,,false,0.06146973217560292,0.06685124585689604,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo7_k10_0.uai,1.0,300,300,300,300,300,0.11963342898093407,300,0.09756775830072843,300,300,0.12383207931210992,300,0.06695902115735702,300,0.09403493455648579,0.08767282163772694,0.139698624506659,0.07789105073288684,0.10561872213855533,0.12845601666444909,1395761.0,32.0,300,300,300,300,300,300,300,300,300,300,0.11283506206058684,300,300,300,0.14942005526430416,300,0.12871563769093405,300,0.07786243519046095,300,0.1055512039328906,300,0.0672942727132409,300,0.08873954638838458,300,0.09035586437413864,300,0.08295098020710685,0.07930942980418083,300,300,0.14764003259782815,300,0.1152528968680284,300,0.09824422364621319,300,0.09103267976903567,300,300,0.11276554859167523,300,300,0.09237611482597644,300,300,0.08591553878535489,300,300,0.07743874308770206,300,0.13729770585755932,0.12726475246657992,300,300,300,300,300,300,0.14930675594852222,0.14466377467685315,0.14017740208855056,0.08077899552926346,0.13597963215868533,0.1428107583136502,0.10444971888716906,0.08642164623621587,0.13187097021800998,0.10554170691956773,300,300,300,300,0.08394710011726442,300,0.08201099484873761,300,300,300,0.1350889091190079,300,0.12926223972928624,300,0.13406267191972857,0.1451884893317574,0.08669742717768804,0.11573528758508234,0.08448565955029032,0.06685124585689604,0.07060012000833195,300,300,300,0.08308652106403741,300,0.11797420879568904,300,0.11583758866622049,300,0.12184975149772262,300,0.08078563771671014,300,0.1125551529529901,300,0.14608136703423358,300,0.14804370420458926,300,0.12945007863493702,300,300,0.08280469217120728,300,0.06780879352741079,300,0.1280006582724388,300,0.12190559095586698,300,0.08125250238039082,300,0.13759501254147966,300,0.11674388719049182,300,0.10424576442025733,83.0,0.1136301898401952,0.06969016224251187,0.06686890970331487,0.11108356747525451,0.06737767135582912,0.11012315556910848,0.09767343153861513,0.09823606325687541,0.1443558208065949,0.07809678505823668,0.1445414384967032,0.09441834004921623,
3,4,EMCC,-0.7791073676976713,0.7669735003095727,3,4,true,0.6965196267530263,2.0228447285161412E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo7_k10_0.uai,0.0,14,15,25,27,8,0.034862704702583916,4,0.20964138458968473,16,10,0.21151396126507216,13,0.12045339249293126,12,0.06938574458146218,0.03091748962001857,0.010789546621726896,0.38707540364816223,4.0427515850387946E-4,0.20708069432878784,2052.0,14.0,7,8,10,20,16,4,6,7,2,28,0.0036119383810426574,12,11,23,0.23690956529286472,8,0.28604215645143,38,0.0014855836281698748,5,0.10658424577021966,10,0.004261222185782961,8,5.873793324256768E-4,3,0.1483649375355218,4,0.010437931250255838,0.017644894526049282,5,6,0.7669735003095727,13,0.26178059012951715,11,0.004621464327003901,8,0.03216966635641265,31,27,0.005842590189382266,42,5,0.004516463423298808,8,27,0.015009649921889141,17,6,0.00983762838588049,8,0.1275515608302615,0.23734393202866363,7,3,5,4,17,10,0.3619273155394393,0.5725457054333524,0.14555319619443222,0.05063831364868521,0.4217998406054326,0.033617111731502475,0.04973629723138326,0.006812602314196325,0.292771500874163,0.06389718300882871,6,8,5,11,0.002866801616775533,5,0.0228111108784001,9,10,18,0.0012581790107145062,17,0.02264545064940496,6,0.2059047093804688,0.250775159193858,0.014561826866767713,0.04463095489912134,0.07153596311478334,2.981796009709766E-4,0.001734563791204059,9,5,10,0.021893667992211367,5,0.10451697683647702,20,0.6312586576777874,9,0.07349352117712303,16,0.006789804594689074,300,0.0253195730856376,5,0.6523646894098958,7,0.5436260615299002,9,0.012655609922081057,5,11,0.09594178882796825,5,2.0228447285161412E-4,13,0.22142738628719646,3,0.1584594431311453,24,0.013613773408927946,2,0.7652312676766942,4,0.014411243871539345,4,0.11841390215172296,42.0,0.006570744890116301,0.010897673862518876,0.1245247390734214,0.06847299103262353,0.055057815552302505,0.04267233980107993,6.164183122105947E-4,0.13002005755734664,0.0065444274321445825,0.006959267400088215,0.1469791725200523,0.02930677094263446,
3,4,EMCC,-0.6796571110636579,0.5388228174250791,3,4,true,0.358510681160687,6.990691016420377E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo7_k10_0.uai,0.054,300,300,300,300,300,0.028602034684158385,300,0.1512234293895533,300,300,0.39316332171358703,300,0.24460517201934795,300,0.011141142752760125,0.0731732524236889,0.051327549738805385,0.04594862993613495,0.003971037739431101,0.11360848253877702,308915.0,15.0,300,300,300,300,300,300,300,300,300,300,0.04743700488793952,300,300,300,0.3022722703137446,300,0.19535176201957838,300,0.08361623242408234,300,0.05725500158760609,300,0.005527800029031682,300,0.0022760884358819333,300,0.2140730913263035,300,0.012270417435151303,0.09527863071444563,300,300,0.5388228174250791,300,0.07228371472527681,300,0.03564431047557956,300,0.03496744456529561,300,300,0.05361765398010083,300,300,0.028861218719136206,300,300,0.02673169869023572,300,300,0.009981955740532207,300,0.09252161653849018,0.21130544684081073,300,300,300,300,300,300,0.4155408083004164,0.2799300120534171,0.16983655309867712,0.06435263711058502,0.18934337653490707,0.024014444642820782,0.3810651938803821,0.03921548636014458,0.14034007158463663,0.08937707786586725,300,300,300,300,0.09829937856565657,300,0.022960725631874283,300,300,300,0.057147974517825884,300,0.04927040129294294,300,0.3595475675709915,0.36421412654521385,0.07433023633270212,0.04970892652358679,0.06992166092292368,6.990691016420377E-4,0.00775329041986155,300,300,300,0.014949944241928265,300,0.08938387486172125,300,0.2085874887165478,300,0.09136165657412418,300,0.004506783974755415,300,0.02184968884291169,300,0.12626557465707944,300,0.45737742504541784,300,0.1401072631961398,300,300,0.0688086636513588,300,0.006281196295065667,300,0.19763440537306998,300,0.11739183411784929,300,0.012415272213566628,300,0.34926990610871034,300,0.020587839233834625,300,0.11675379230865597,40.0,0.046400000740284816,0.008033062263408615,0.11492568677350158,0.047067035843813394,0.12529194142758185,0.018641001474051233,0.0023253191993886225,0.36303171940044315,0.07048505188549228,0.015211158741984383,0.033572883774996294,0.027427715429479135,
3,4,EMCC,-0.5347309146025574,0.5536482758587975,3,4,true,0.3540399779282528,6.195771041954109E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo7_k10_0.uai,0.151,300,300,300,300,300,0.04081162116795368,300,0.14328747055109683,300,300,0.30257874307168336,300,0.19387712753772884,300,0.01358157224657722,0.050034311781586564,0.03367747840933127,0.06273466455298443,0.011038911119977483,0.09439574610510894,589038.0,15.0,300,300,300,300,300,300,300,300,300,300,0.04222376502307043,300,300,300,0.26115296935750204,300,0.22626781361625342,300,0.05486213971707909,300,0.06593118268849871,300,0.00402708906136247,300,0.0011426450682699271,300,0.12678219554999898,300,0.01080848541276009,0.07974614226066726,300,300,0.5536482758587975,300,0.09547659232877742,300,0.03359804068767872,300,0.028384586372792606,300,300,0.0569486920936771,300,300,0.020291994358242266,300,300,0.03357736620232884,300,300,0.006414297490559164,300,0.09313542136629639,0.15838066630494332,300,300,300,300,300,300,0.33720540440147656,0.22244850633238472,0.15458613014920242,0.11626793487147599,0.15819441614244675,0.036957669788697536,0.3042421263042594,0.030490982377093193,0.07790364856476781,0.04434137445151018,300,300,300,300,0.07466211046922926,300,0.029455016282760357,300,300,300,0.05104823873048492,300,0.053603289991298916,300,0.31225122436099717,0.3179833958690151,0.05939291802888281,0.035671298154762894,0.04999215396190878,7.438307213362427E-4,0.0062974574253170275,300,300,300,0.013095644356638892,300,0.0903331961614402,300,0.14423585448818954,300,0.08208690718045722,300,0.00827101823334463,300,0.020760732905192418,300,0.1867582002968162,300,0.4546775796412027,300,0.12844194577208545,300,300,0.035294887671551416,300,0.011902908900261053,300,0.1401733087887475,300,0.12630206724827425,300,0.02923814599845141,300,0.45175185760562653,300,6.195771041954109E-4,300,0.10474707963204735,40.0,0.024212691478424194,0.011883118909679689,0.09805876763336051,0.056975275386817875,0.10936056508534533,0.021658307353536355,0.002023059178511446,0.3229098653886991,0.03453860856679444,0.011539317777253765,0.14765751418303555,0.013537489171376572,
3,4,EMCC,0.01993022658105925,0.17591015599846227,3,4,true,0.0726873793109315,0.05532939576273082,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo7_k10_0.uai,0.452,300,300,300,300,300,0.0795221022536827,300,0.1411390245436912,300,300,0.17188804073188144,300,0.1293968799196786,300,0.07870818829119361,0.08687857972451285,0.13895302021727046,0.08719975844830247,0.09143779682413974,0.14033734238370557,980628.0,15.0,300,300,300,300,300,300,300,300,300,300,0.12064097215587333,300,300,300,0.17176644813530267,300,0.14389483999697536,300,0.0863126123056426,300,0.11637595210512053,300,0.06068506699276303,300,0.08215425870913777,300,0.10003441438425675,300,0.09151070072995024,0.07979329025321201,300,300,0.1675314497462038,300,0.12419340045322966,300,0.1043201725329003,300,0.09380436167824188,300,300,0.12110434187199111,300,300,0.08451059064104431,300,300,0.09223155491647066,300,300,0.08511638898253064,300,0.15142358429366146,0.14222957890838778,300,300,300,300,300,300,0.17591015599846227,0.1650555030983186,0.1418078035695129,0.0935326996769246,0.1500376767332631,0.15834831365683658,0.10899650952866512,0.08692276415375674,0.14213496293421246,0.11383001542149102,300,300,300,300,0.09055960692010027,300,0.09190966023684043,300,300,300,0.14854749113970628,300,0.12641577524437964,300,0.15272535776845014,0.16336462185113865,0.09229660747458297,0.08865964929091166,0.09055637132434828,0.05532939576273082,0.06935517418911583,300,300,300,0.09260951287022393,300,0.13025776083917892,300,0.12817653109154545,300,0.1309496691780775,300,0.08919866488762117,300,0.11050253482188618,300,0.16651269263533702,300,0.16739668717750697,300,0.14854267588214112,300,300,0.09376132787743877,300,0.07258909732690219,300,0.1261417274670729,300,0.12355782631979449,300,0.08048231808036732,300,0.15797947138873306,300,0.10414145005304777,300,0.11618567056660084,40.0,0.11396969453402284,0.1013416103982017,0.09549126345890874,0.11470382623578895,0.1638019180186049,0.11665151568831426,0.08860456546284726,0.11066162386981022,0.09063806787831244,0.07376486348034045,0.11359777185760431,0.11020896698236765,
3,4,EMCC,0.0703092469913894,0.16933643268144344,3,4,true,0.0704902088776787,0.07803326989620427,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo7_k10_0.uai,0.476,300,300,300,300,300,0.08152831359544352,300,0.14000277515603193,300,300,0.16806712701434456,300,0.13812175243364536,300,0.08529244409517735,0.09141523103860506,0.13892733845211533,0.09037822102413014,0.11181287665036543,0.1397509275042384,1191172.0,19.0,300,300,300,300,300,300,300,300,300,300,0.12071883909631753,300,300,300,0.16783167608409114,300,0.14885942873913782,300,0.09329351015144821,300,0.1186185360081742,300,0.07816466838931609,300,0.09797390850385909,300,0.10369070600802519,300,0.09253501347779634,0.08999367162837885,300,300,0.16590417721194456,300,0.13230082492822387,300,0.10536048799370262,300,0.0979112718322669,300,300,0.12183938026100809,300,300,0.09590689308027248,300,300,0.09547557350139729,300,300,0.08739285632266289,300,0.14855207894921313,0.14202613636373723,300,300,300,300,300,300,0.16933643268144344,0.15644991592190136,0.15849383138401593,0.09426260973333185,0.1495703199347881,0.1566019322206398,0.11280031766903278,0.09392072652117774,0.14191517622461142,0.11451467506598116,300,300,300,300,0.09260617709870447,300,0.09341912634282303,300,300,300,0.1451867745621409,300,0.1387789514212402,300,0.1519633054907275,0.16265379788798712,0.09606016774430902,0.12955689836183068,0.09434745486628109,0.08042243561231435,0.08379117472570839,300,300,300,0.09378561678145098,300,0.1302902169639132,300,0.12876232165656654,300,0.13100568503263893,300,0.09095843958589256,300,0.11743063854391037,300,0.16438882857656545,300,0.16588266729538845,300,0.144782376091679,300,300,0.09549098056028066,300,0.07803326989620427,300,0.1462051309833479,300,0.1412570812872782,300,0.09076062934934959,300,0.15917531727807158,300,0.13194402286749146,300,0.11705667527348076,41.0,0.11926573707749,0.10465381157504118,0.09745837235408733,0.1180106408166307,0.15969696955865978,0.11957109578151186,0.08991001729080283,0.12485201010543706,0.13846959807897474,0.08538104152997678,0.11018442341900603,0.11102430289394187,
3,4,EMCC,0.05462646004718341,0.13902862519606782,3,4,true,0.0548429256593147,0.06110671524644918,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo7_k10_0.uai,0.806,300,300,300,300,300,0.0632215716874736,300,0.11900486022685104,300,300,0.13860062829578754,300,0.11520125813072965,300,0.06804890396467753,0.07368323868364349,0.11933185226608434,0.07160347678786731,0.09149048302492288,0.11897089692342973,1617565.0,14.0,300,300,300,300,300,300,300,300,300,300,0.10315278565560974,300,300,300,0.13814423674977874,300,0.11948635657774707,300,0.0717966867096934,300,0.09721085189650888,300,0.06116523635320649,300,0.08174388749136498,300,0.0829534156278012,300,0.07510096379550957,0.07179248233752497,300,300,0.13737360253260733,300,0.1068255230607059,300,0.08925258472676151,300,0.08205661031147468,300,300,0.10333690866893737,300,300,0.08339869538515858,300,300,0.07828079294650103,300,300,0.07050639270239997,300,0.12726712428199566,0.1178675221618124,300,300,300,300,300,300,0.13902862519606782,0.13349186352590214,0.12906767295441507,0.07330848484499687,0.12693731330314842,0.13164862790712514,0.09355076490260451,0.07818253575725952,0.12178198896564787,0.09658382431371525,300,300,300,300,0.0754522254951073,300,0.07420182556428784,300,300,300,0.12459211857687554,300,0.11677269290159452,300,0.12465139920549752,0.13416199988699168,0.0789808549459024,0.10774732015993531,0.07693026954355904,0.06110671524644918,0.06396261824913653,300,300,300,0.07578399337229777,300,0.10903113712279384,300,0.10894778057216493,300,0.11208515052708805,300,0.0734153227721256,300,0.10235677807313931,300,0.13536296682740612,300,0.13674550754135856,300,0.12287945157898993,300,300,0.07551140895514986,300,0.061558411214303485,300,0.11801142406572337,300,0.11278341609654512,300,0.0737066576387202,300,0.1291454424420594,300,0.10890746668915616,300,0.09556320492299045,41.0,0.1004535518481109,0.08528742069883755,0.07650955998697404,0.1002697314531089,0.13464012872075976,0.10154631896589099,0.07142797738420628,0.10281412455720176,0.11216840873926509,0.06595707897335358,0.08769141570745012,0.08884752261301117,
3,4,EMCC,0.05643494930939827,0.1413454505783199,3,4,true,0.05665109599200452,0.06272577586917916,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo7_k10_0.uai,0.889,300,300,300,300,300,0.06483121410903259,300,0.12135392293947223,300,300,0.14101858781761992,300,0.11792338932196883,300,0.06963854586232511,0.07559997365229636,0.12195041872745875,0.07328945052747649,0.09358215248884975,0.12167461498972983,1952087.0,14.0,300,300,300,300,300,300,300,300,300,300,0.10567675488488841,300,300,300,0.14057803503852676,300,0.121674414513498,300,0.07324820002760236,300,0.09910603516564423,300,0.06295963838542869,300,0.08399891685802964,300,0.08445154322288834,300,0.07711061540965831,0.07353690435595958,300,300,0.13968768320918523,300,0.10889391888786004,300,0.09148255160576411,300,0.08439402368884688,300,300,0.10532044854321142,300,300,0.08602878895321668,300,300,0.08031292511093197,300,300,0.0724617855854442,300,0.12996327575401698,0.1198230861148775,300,300,300,300,300,300,0.1413454505783199,0.13653717353789394,0.1316315177667301,0.075073496789123,0.12957588615478652,0.13407475059650473,0.0956647706017896,0.08035340213778662,0.12444788295032806,0.0992022477413335,300,300,300,300,0.07750620107718739,300,0.07602908819874885,300,300,300,0.12734994713531547,300,0.12063377493715868,300,0.12667749908660306,0.13657348678009182,0.08097573026714855,0.11013752986600203,0.07892408304338341,0.06272577586917916,0.06563473488051476,300,300,300,0.07768336255058836,300,0.11105653037174075,300,0.11089589486041783,300,0.11458645048787099,300,0.07539794736391493,300,0.10500495538502362,300,0.13765878182631247,300,0.1391383356352332,300,0.12429580415802019,300,300,0.07731047376549947,300,0.06343796476274138,300,0.12033267793426515,300,0.11509676310265772,300,0.0756813408020737,300,0.13121673045953336,300,0.11130812557158823,300,0.09742360824360156,43.0,0.10281534942312201,0.08703106017376953,0.07821015269658049,0.10251021653966326,0.1373570915596014,0.10396632061962881,0.07331230346143802,0.10489557768449476,0.11504048565203692,0.06762650855179221,0.08945541610202408,0.09070345982580674,
3,4,EMCC,0.057669425381951106,0.14277395572828314,3,4,true,0.05768259169567308,0.06270445553905796,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo7_k10_0.uai,0.911,300,300,300,300,300,0.06523924763206697,300,0.12299285291436222,300,300,0.14277395572828314,300,0.11794777085037526,300,0.06880465080855035,0.07712411880418736,0.12354000246340074,0.072969488806318,0.0920898512408854,0.1221811846123117,2211172.0,14.0,300,300,300,300,300,300,300,300,300,300,0.10750830280322214,300,300,300,0.14209117160367782,300,0.12132076743898759,300,0.0737270949090037,300,0.10015866013748626,300,0.06327877687033842,300,0.08345162300606275,300,0.08483274522643139,300,0.07874216306989992,0.07412429559609296,300,300,0.1402578258106881,300,0.10856984353643027,300,0.09348388086111102,300,0.08569804980850614,300,300,0.10701873206657861,300,300,0.08630956500235813,300,300,0.08169799705817302,300,300,0.0734857529414387,300,0.13115127626906636,0.12073631607910673,300,300,300,300,300,300,0.14193924751689072,0.13812977833734638,0.1328559517948008,0.07667811386056526,0.1286505551200838,0.13581951822435206,0.09875958139132299,0.08197842032496164,0.12587933295389866,0.0999138679573676,300,300,300,300,0.07946060546462005,300,0.07733710126209571,300,300,300,0.1289884197716291,300,0.1227176561739581,300,0.1273958687585724,0.13789282395438834,0.08250059164164295,0.10837473493687205,0.08047416104354375,0.06270445553905796,0.06648229067813924,300,300,300,0.07916653105803487,300,0.11239451875866532,300,0.11028268031927536,300,0.11627403573361068,300,0.07692345296791821,300,0.10629195903326114,300,0.1392234176503684,300,0.14082677140176147,300,0.12332689487066556,300,300,0.07899589620216457,300,0.06400449913907157,300,0.12074237981541128,300,0.11452294796348124,300,0.07663078938357462,300,0.13020823516386026,300,0.10926399564156745,300,0.09903880873198123,46.0,0.10249808009364288,0.08749906283685199,0.07941340968500352,0.1052951590297974,0.13902179941567605,0.10461991398305245,0.07493638115391876,0.10610244483766536,0.1161975954916761,0.06765863283345307,0.08795638672646192,0.09056988794994231,
