method,ace_l,pns_u,selector,ace_u,pns_l,model_path,ps1,pns_11,pns_12,pns_10,pns_15,pns_16,pns_13,pns_14,pns_19,pns_17,pns_18,time_learn,trajectory_size_19,trajectory_size_18,time_ace,trajectory_size_17,trajectory_size_16,trajectory_size_15,trajectory_size_14,trajectory_size_13,trajectory_size_12,trajectory_size_11,trajectory_size_10,trajectory_size_29,trajectory_size_28,trajectory_size_27,trajectory_size_26,trajectory_size_25,trajectory_size_24,trajectory_size_23,trajectory_size_22,trajectory_size_21,trajectory_size_20,trajectory_size_7,pns_22,trajectory_size_6,pns_23,trajectory_size_9,pns_20,trajectory_size_8,pns_21,pns_26,pns_27,pns_24,pns_25,time_pns,pns_8,pns_9,trajectory_size_1,pns_6,pns_28,trajectory_size_0,pns_7,pns_29,trajectory_size_3,pns_4,trajectory_size_2,pns_5,trajectory_size_5,pns_2,trajectory_size_4,pns_3,pns_0,pns_1
exact_data_based,-0.009647769192216007,0.005830067042544002,false,-0.009647769192216007,0.00564695426364,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo8_k075_3.uai,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMCC,-0.009843915167442041,0.005900270079125169,false,-0.009499799035311784,0.005627552962752484,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo8_k075_3.uai,1.0,0.0058302846750422676,0.0057133174537590875,0.005647852532257529,0.0056419225117903616,0.005627552962752484,0.0057109440095900205,0.005644885675999905,0.0058270184326714705,0.005900270079125169,0.00581310712750506,784697.0,300,300,21.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.005650559217696856,300,0.005645303849687805,300,0.005661899650505944,300,0.005795971207643555,0.00582815800085889,0.005864059999176783,0.005697227369525592,0.005878020276862279,48.0,0.005639673573909314,0.005727670719516276,300,0.005828480906833493,0.005693069206298236,300,0.00563649394335093,0.005665004986927879,300,0.005844031997785469,300,0.005670463167761353,300,0.005829044434479452,300,0.005646739035376369,0.005764433274250919,0.00584535970113379
EMCC,-0.08898549000271239,0.2961251792066156,true,0.2918232032549473,3.4448273289841516E-6,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo8_k075_3.uai,0.0,0.007226040463271861,0.024849113875431792,0.002674950902686418,3.4448273289841516E-6,0.009083627895910018,0.09698711434692456,0.007017982740992664,8.89377973249548E-4,0.01936751312989949,0.2961251792066156,712.0,13,3,10.0,2,7,1,5,37,13,21,9,17,9,7,5,5,4,4,24,16,15,11,0.02621359350803335,11,0.0016477964944933694,11,5.935160633645286E-4,20,0.026196160041417216,2.694555891167661E-4,0.16967302791153152,0.002400012304180634,0.14296521871217788,22.0,0.064335425701171,0.10450293672037725,4,0.036495905640332046,1.311036976931512E-4,3,0.018882609882635366,0.0026708533290158635,7,0.0015260132406852492,22,5.8216135048617444E-5,4,3.871712821572908E-4,4,0.022529226372342632,5.971157492386367E-4,0.0013679306168298722
EMCC,-0.03010284041637709,0.030616017705703515,true,0.028230634888206485,6.356445169540929E-4,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo8_k075_3.uai,0.091,0.008914920559436748,0.02489114266799225,0.001190704096760767,0.0023179331756363283,0.026369264083546614,0.010461934273657485,0.004275197841248975,0.0071899555413800316,0.030616017705703515,0.026057270047220575,254559.0,300,300,8.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.016815695035816352,300,0.00576059076624338,300,0.001641905136359748,300,0.0077061569111194295,0.009131555087301435,0.020073331562959904,0.001399150346831521,0.027339311153129837,21.0,0.010651961614799404,0.019959176781222183,300,0.011186609622533657,0.007835225380181216,300,0.00951096151261415,0.001748533884210043,300,0.005293131907725878,300,6.356445169540929E-4,300,0.00843250915604782,300,0.005319826375274044,0.006585498073555157,0.0038860770688113715
EMCC,-0.028358203351376413,0.03571402949346593,true,0.033789626544781834,0.0016422312050993427,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo8_k075_3.uai,0.095,0.004982234673439039,0.028667150491954466,0.0026590273786280378,0.0016422312050993427,0.021678809080355545,0.02264417715216383,0.005121345357971797,0.007543542358092011,0.030981800929441073,0.024562735263466976,295184.0,300,300,7.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.009262650586417794,300,0.008082643625978738,300,0.004469668612952411,300,0.008603382389196692,0.012159332767511173,0.020747676995005928,0.001730975524168333,0.03571402949346593,26.0,0.017727945920933696,0.02110578487019177,300,0.00736426346624422,0.004220712506067484,300,0.008174230641296973,0.007241558318055618,300,0.009394372027199586,300,0.004617574155399626,300,0.01022635621246291,300,0.006391313629147738,0.009414982107547997,0.01485367492506035
EMCC,-0.014186349670924817,0.007863161215153656,true,0.004260555806178873,0.006089512307126268,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo8_k075_3.uai,0.721,0.006272841542007626,0.007622148053000558,0.006604689823934542,0.00647264408062713,0.006722889603125372,0.007863161215153656,0.006940317494125777,0.007377307845457595,0.006566343583108855,0.00667137850826469,721579.0,300,300,8.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.0064179891946947185,300,0.006940684836315906,300,0.006514539298038565,300,0.00727828141271986,0.006619621004796758,0.006089512307126268,0.006981724420759489,0.006435979973006304,20.0,0.00659646361892017,0.00676586360272427,300,0.0069480144574104105,0.006578331386594069,300,0.006583149445975382,0.006317638687329538,300,0.006282894077080983,300,0.006246900618319446,300,0.006589185741301556,300,0.006616317517604818,0.006709788600516498,0.006440138995333122
EMCC,-0.011327487328299246,0.006075558227457312,true,-0.00789324386707757,0.004938786046525739,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo8_k075_3.uai,0.864,0.004977860326383418,0.005706875164267226,0.005269599885153411,0.0056707605242372035,0.005443040635943734,0.006075558227457312,0.005307053711075738,0.005512707209348494,0.00527546837343362,0.005302692906870417,836181.0,300,300,7.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.005125313168859677,300,0.005127685604847235,300,0.005239862297019146,300,0.0053345416073671895,0.005300829589330934,0.004938786046525739,0.005485897263816481,0.006045388594600632,20.0,0.005326064948076366,0.005370974337416052,300,0.005258631800150695,0.005283346804994928,300,0.005156840876158665,0.004961615972975202,300,0.005123650895062837,300,0.004981920868613483,300,0.005248241778692313,300,0.005288753368856143,0.005283557153958842,0.005233419615729629
EMCC,-0.01114481377302834,0.005353939616390714,true,-0.009078543433505906,0.004460396522924706,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo8_k075_3.uai,0.921,0.004574151111662839,0.00516347911116144,0.0050216890852375195,0.005008335007690286,0.0050830801387239,0.00530731109658918,0.004821022223665492,0.0051464270643208,0.005093479178379859,0.0048406157012920855,970007.0,300,300,7.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.004583138314048956,300,0.0044762332510454,300,0.005022171439447091,300,0.0049977645078987274,0.005086262244391199,0.0052233105037562295,0.004939410890791226,0.005353939616390714,24.0,0.004829586544445776,0.005106663742314216,300,0.004744690993661756,0.004945714908490381,300,0.004690618404633485,0.004544828090866346,300,0.004574038289391025,300,0.004460396522924706,300,0.004848854241906676,300,0.004664781985755325,0.00505701034577589,0.004672156944781349
EMCC,-0.009410312803158405,0.005298573479499492,true,-0.009149937374767603,0.005040482701295613,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo8_k075_3.uai,0.941,0.00521453890850474,0.005224584271563149,0.005204673068089742,0.005230659674579887,0.0052204007671203066,0.005256874078326104,0.005215128982121654,0.005202212234144533,0.005298573479499492,0.005146610201670281,1064136.0,300,300,8.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.00519438500531291,300,0.0051916842929995025,300,0.005219966354759499,300,0.0052074908545525905,0.0051902054016023874,0.005287191339336865,0.005201906159302259,0.005258296883629101,19.0,0.005213204446310682,0.005060489367056529,300,0.005195048843125964,0.005216196865647328,300,0.005040482701295613,0.005219467100040951,300,0.005250178466725616,300,0.005181747267426535,300,0.0051794836697622,300,0.00506674794600833,0.0051510524806602,0.0052115252138854274
EMCC,-0.009511261489873427,0.005270020707239276,true,-0.00932554855141389,0.004946585873283641,/root/dev/credici/papers/pgm22/models/synthetic/1000/set5/rand13_mk1_maxDist2_nEndo8_k075_3.uai,0.943,0.005064329890214626,0.005216966545049638,0.005119727939667955,0.005163786366070734,0.005176356182974962,0.005235838055093932,0.005145938603595141,0.005212500142411785,0.005270020707239276,0.0050938729275642036,1113538.0,300,300,7.0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,0.005039199153804645,300,0.005036297924233329,300,0.005071757640093232,300,0.005177624393070427,0.005194565619705465,0.005251098018337603,0.005112238425454119,0.005253882678127265,19.0,0.005039316396527177,0.005170342443551832,300,0.005097005023341344,0.005102805153259347,300,0.004985203302107222,0.005080590645322441,300,0.005242759466798424,300,0.005037277611509015,300,0.005083457720081784,300,0.004946585873283641,0.005179892348404805,0.005199626667547515
