,2,1,0
0,1,0,1
1,1,1,0
2,1,1,0
3,1,0,0
4,0,1,1
5,1,1,1
6,1,0,1
7,1,1,0
8,1,1,0
9,1,1,0
10,1,1,1
11,1,1,0
12,1,1,0
13,1,1,1
14,1,0,1
15,1,1,0
16,0,0,1
17,1,1,0
18,1,0,1
19,1,0,1
20,1,1,0
21,1,1,1
22,1,1,1
23,0,1,1
24,1,0,1
25,1,1,0
26,1,0,1
27,1,1,0
28,1,0,1
29,0,1,0
30,1,1,0
31,1,1,0
32,1,1,0
33,0,1,1
34,1,0,0
35,1,1,0
36,0,0,1
37,0,1,1
38,0,1,1
39,1,1,0
40,0,1,0
41,1,1,1
42,0,1,0
43,0,1,1
44,0,1,1
45,1,1,1
46,1,1,0
47,1,1,0
48,1,1,1
49,0,1,1
50,1,0,1
51,1,1,1
52,1,0,1
53,1,1,1
54,1,1,0
55,1,0,1
56,1,1,0
57,1,1,0
58,1,1,0
59,1,1,0
60,1,1,0
61,1,1,0
62,1,0,1
63,0,1,1
64,1,0,1
65,1,1,0
66,1,1,0
67,0,1,1
68,1,1,0
69,1,0,1
70,1,1,0
71,1,1,0
72,1,1,1
73,1,0,1
74,1,0,1
75,1,0,1
76,1,0,1
77,1,1,1
78,1,1,0
79,1,1,0
80,1,0,1
81,0,1,0
82,1,0,1
83,1,1,0
84,1,1,0
85,0,0,1
86,1,0,1
87,0,1,1
88,1,0,1
89,0,1,1
90,1,1,0
91,1,0,1
92,1,0,1
93,1,1,0
94,1,1,1
95,1,1,0
96,1,1,1
97,1,1,1
98,0,1,1
99,1,1,1
100,1,0,1
101,1,0,1
102,1,0,1
103,1,0,1
104,1,1,0
105,0,1,1
106,1,0,1
107,1,0,1
108,1,1,1
109,0,1,1
110,0,1,1
111,1,1,1
112,1,1,0
113,1,1,1
114,1,1,0
115,1,0,1
116,0,1,1
117,1,0,1
118,1,1,0
119,1,1,1
120,1,0,1
121,1,1,1
122,1,0,1
123,1,0,1
124,0,1,1
125,0,0,1
126,1,0,1
127,1,1,0
128,1,0,0
129,0,1,1
130,1,1,0
131,0,1,1
132,1,1,0
133,1,0,1
134,0,1,1
135,1,0,1
136,1,1,0
137,1,0,1
138,1,1,0
139,1,0,1
140,1,0,1
141,1,0,1
142,1,1,0
143,0,1,1
144,0,0,1
145,1,0,1
146,1,1,1
147,0,0,1
148,0,1,1
149,1,1,0
150,0,0,1
151,1,1,1
152,1,1,0
153,0,0,1
154,1,1,1
155,1,0,1
156,0,1,1
157,1,1,0
158,0,1,1
159,1,0,1
160,1,1,0
161,1,0,1
162,1,1,1
163,0,0,1
164,0,0,1
165,1,0,1
166,1,1,0
167,1,1,0
168,1,1,0
169,1,0,1
170,1,0,1
171,1,0,0
172,0,1,1
173,1,1,1
174,1,1,0
175,1,1,1
176,1,1,1
177,1,1,0
178,1,0,1
179,1,1,0
180,1,0,1
181,1,1,1
182,0,1,1
183,1,0,1
184,1,0,1
185,0,1,1
186,1,1,0
187,1,1,0
188,1,0,1
189,1,1,1
190,1,1,1
191,0,1,1
192,1,0,1
193,0,0,0
194,1,0,1
195,1,1,1
196,1,1,0
197,1,1,0
198,1,1,0
199,0,1,1
200,1,1,1
201,0,0,1
202,1,1,1
203,1,1,0
204,1,1,0
205,1,0,1
206,1,0,0
207,1,0,1
208,1,0,1
209,0,1,1
210,0,1,1
211,0,1,1
212,0,1,0
213,0,1,1
214,1,1,0
215,1,1,0
216,1,0,1
217,1,1,0
218,0,1,1
219,0,1,1
220,1,1,0
221,1,1,0
222,1,1,0
223,1,0,1
224,1,1,0
225,0,1,1
226,1,1,0
227,1,1,0
228,0,1,1
229,1,1,0
230,1,1,0
231,1,1,1
232,1,0,1
233,1,1,1
234,1,1,1
235,1,1,0
236,1,0,1
237,1,0,1
238,1,0,1
239,1,1,0
240,1,1,0
241,1,1,1
242,1,1,0
243,1,1,1
244,0,1,1
245,1,0,1
246,1,0,1
247,1,0,1
248,1,1,0
249,1,1,1
250,1,1,0
251,1,1,1
252,1,1,1
253,1,1,1
254,0,0,1
255,1,1,1
256,1,1,0
257,1,1,0
258,1,0,1
259,1,1,0
260,0,1,1
261,1,1,0
262,1,1,0
263,0,1,1
264,1,1,0
265,0,0,1
266,1,0,1
267,1,1,0
268,1,1,0
269,0,0,1
270,1,0,1
271,1,1,0
272,1,1,1
273,0,0,1
274,1,0,1
275,1,1,0
276,1,1,0
277,0,1,1
278,0,1,1
279,1,0,1
280,1,1,0
281,1,0,1
282,1,1,0
283,1,1,1
284,0,1,1
285,0,1,1
286,1,0,1
287,1,1,1
288,1,1,0
289,1,1,1
290,1,1,0
291,1,0,1
292,1,1,0
293,1,0,1
294,1,1,0
295,1,1,0
296,1,1,0
297,0,1,1
298,1,1,0
299,1,0,1
300,1,0,1
301,1,1,0
302,1,1,0
303,0,0,1
304,1,1,0
305,1,1,0
306,1,1,0
307,1,0,1
308,1,0,1
309,0,0,1
310,1,1,0
311,1,1,0
312,1,0,1
313,1,0,1
314,1,0,1
315,1,1,1
316,1,1,0
317,1,0,1
318,0,0,1
319,0,1,0
320,1,1,0
321,1,1,0
322,1,1,0
323,1,0,1
324,1,1,1
325,0,1,1
326,1,0,1
327,1,1,1
328,1,1,0
329,1,0,1
330,1,0,1
331,1,1,0
332,1,1,1
333,1,0,1
334,1,1,0
335,1,0,1
336,0,0,1
337,1,1,0
338,1,1,0
339,1,1,0
340,1,1,0
341,1,1,0
342,1,1,0
343,0,0,1
344,1,0,1
345,0,1,1
346,1,1,0
347,1,1,0
348,1,0,1
349,1,1,0
350,1,0,1
351,1,0,1
352,1,0,1
353,1,1,0
354,1,0,1
355,1,1,1
356,1,1,0
357,0,1,0
358,0,1,0
359,1,0,1
360,1,0,1
361,1,0,1
362,0,1,1
363,1,1,0
364,1,1,1
365,1,0,1
366,0,1,1
367,0,1,1
368,0,0,1
369,0,1,0
370,1,1,0
371,0,1,1
372,1,1,0
373,1,0,1
374,0,0,1
375,1,0,1
376,0,1,1
377,1,0,1
378,1,0,1
379,1,1,0
380,1,1,0
381,0,1,0
382,0,1,1
383,1,1,1
384,0,1,0
385,1,1,0
386,1,0,1
387,1,1,1
388,1,1,0
389,1,0,1
390,1,1,1
391,1,1,1
392,0,0,1
393,0,0,1
394,1,1,0
395,1,0,1
396,0,1,1
397,1,0,1
398,0,1,1
399,1,0,1
400,1,1,1
401,1,1,1
402,0,1,0
403,1,1,0
404,1,1,0
405,1,1,0
406,0,0,1
407,1,1,1
408,1,0,1
409,1,1,0
410,0,1,1
411,1,1,0
412,1,1,0
413,0,1,0
414,1,1,1
415,0,0,1
416,1,1,1
417,1,0,1
418,0,0,1
419,1,0,1
420,1,1,1
421,1,1,0
422,1,0,1
423,1,1,1
424,1,1,0
425,0,1,1
426,1,0,1
427,0,1,0
428,1,1,0
429,1,1,0
430,1,1,0
431,1,1,0
432,1,1,0
433,1,1,0
434,1,1,0
435,1,0,1
436,1,1,1
437,0,0,1
438,1,1,1
439,0,1,1
440,1,1,1
441,1,1,0
442,0,0,1
443,1,1,0
444,1,1,0
445,1,1,1
446,1,1,0
447,1,1,0
448,1,1,0
449,1,1,0
450,0,1,1
451,1,1,0
452,1,1,0
453,1,1,1
454,0,1,1
455,1,1,0
456,1,0,1
457,0,1,0
458,1,0,1
459,1,1,0
460,1,1,1
461,1,1,0
462,1,1,1
463,1,1,0
464,0,0,1
465,1,1,0
466,1,1,0
467,1,1,0
468,1,1,0
469,1,1,0
470,1,1,1
471,1,1,0
472,1,1,0
473,1,0,1
474,1,0,1
475,1,1,0
476,0,1,1
477,1,0,1
478,1,0,1
479,1,1,0
480,1,0,1
481,1,1,1
482,1,1,1
483,1,1,0
484,1,1,0
485,1,0,1
486,1,0,1
487,0,1,1
488,0,1,0
489,1,1,1
490,0,1,0
491,1,1,1
492,1,1,0
493,1,0,1
494,1,1,0
495,1,1,1
496,1,1,1
497,1,1,1
498,0,1,1
499,0,1,0
500,1,1,1
501,1,1,1
502,1,1,1
503,1,1,0
504,0,1,1
505,1,0,1
506,1,1,0
507,1,0,1
508,1,0,1
509,0,1,0
510,1,0,1
511,1,1,1
512,1,0,1
513,1,1,1
514,0,0,1
515,1,1,0
516,1,1,0
517,1,1,0
518,1,1,0
519,1,1,0
520,1,1,0
521,1,1,0
522,1,1,0
523,1,0,1
524,1,1,0
525,0,1,1
526,1,1,0
527,1,1,0
528,1,1,0
529,0,0,1
530,1,1,0
531,1,1,0
532,1,0,1
533,1,1,1
534,1,1,1
535,1,1,1
536,1,1,1
537,1,1,0
538,1,1,0
539,1,1,0
540,1,0,1
541,1,1,0
542,1,1,1
543,1,1,0
544,1,1,1
545,1,0,1
546,1,0,1
547,1,1,0
548,1,0,1
549,1,1,0
550,1,1,1
551,1,0,1
552,1,1,1
553,1,1,0
554,1,1,0
555,1,1,1
556,1,1,0
557,1,1,1
558,0,1,1
559,1,1,0
560,1,1,1
561,1,1,0
562,1,1,1
563,1,1,0
564,1,1,1
565,1,0,1
566,1,0,1
567,1,1,0
568,0,1,1
569,1,1,0
570,1,0,1
571,0,0,1
572,1,1,0
573,1,1,0
574,1,0,1
575,1,0,1
576,1,1,0
577,1,1,0
578,1,1,1
579,0,1,1
580,1,1,0
581,1,1,0
582,1,1,0
583,1,1,0
584,0,1,0
585,1,1,0
586,1,0,0
587,1,0,1
588,1,0,1
589,1,1,0
590,1,1,1
591,1,1,0
592,1,1,1
593,1,0,1
594,1,0,1
595,1,0,1
596,1,1,0
597,1,1,0
598,1,1,1
599,1,0,1
600,1,1,0
601,0,0,1
602,1,1,0
603,1,1,0
604,1,1,0
605,0,1,1
606,1,1,1
607,1,0,1
608,0,1,1
609,1,0,1
610,0,1,1
611,1,1,0
612,1,1,0
613,1,0,1
614,0,1,1
615,0,1,1
616,0,1,1
617,1,1,0
618,1,1,1
619,1,1,1
620,1,0,1
621,0,0,1
622,0,1,1
623,1,0,1
624,1,1,1
625,1,0,1
626,0,0,1
627,1,1,0
628,0,0,1
629,1,1,0
630,0,1,0
631,0,1,0
632,1,1,0
633,1,1,0
634,1,0,1
635,0,1,1
636,1,1,0
637,1,0,1
638,1,1,0
639,1,1,0
640,1,0,1
641,1,1,0
642,1,1,0
643,1,0,1
644,1,0,1
645,0,1,1
646,1,1,0
647,1,1,1
648,0,1,1
649,1,1,0
650,1,0,1
651,1,1,0
652,1,1,1
653,1,0,1
654,1,0,1
655,1,1,0
656,1,0,1
657,0,1,1
658,1,1,1
659,1,0,1
660,0,1,1
661,0,1,0
662,1,1,1
663,1,1,0
664,1,1,1
665,0,1,1
666,1,1,0
667,1,0,1
668,1,0,1
669,0,0,1
670,0,1,1
671,1,1,0
672,1,1,0
673,1,0,1
674,1,1,0
675,1,1,0
676,1,0,1
677,1,1,0
678,1,0,1
679,1,1,0
680,1,1,0
681,1,0,1
682,1,0,0
683,0,1,1
684,1,0,1
685,1,1,0
686,1,0,1
687,1,1,0
688,0,1,1
689,1,1,1
690,0,1,0
691,0,1,1
692,1,1,1
693,1,0,1
694,0,1,0
695,1,0,1
696,1,0,1
697,1,1,1
698,1,1,1
699,1,1,0
700,1,1,1
701,0,1,1
702,1,1,1
703,1,0,0
704,1,1,0
705,1,0,1
706,1,1,0
707,1,1,1
708,0,1,1
709,1,1,1
710,1,0,1
711,1,1,1
712,0,1,1
713,1,0,1
714,1,1,1
715,1,1,1
716,1,0,1
717,0,0,1
718,1,0,1
719,1,0,0
720,1,1,1
721,1,0,1
722,1,1,1
723,1,1,1
724,1,0,1
725,1,1,0
726,1,0,1
727,1,0,1
728,1,0,1
729,1,1,0
730,0,1,1
731,1,1,0
732,1,0,1
733,0,0,1
734,0,0,1
735,1,1,0
736,1,0,1
737,1,1,0
738,1,1,0
739,1,0,1
740,0,0,0
741,1,1,1
742,1,1,0
743,0,0,1
744,1,1,0
745,0,0,1
746,1,1,0
747,0,1,1
748,1,1,0
749,1,1,0
750,1,0,1
751,1,1,0
752,0,1,0
753,1,1,0
754,1,1,1
755,1,0,1
756,1,1,0
757,1,0,1
758,1,1,1
759,1,0,1
760,1,1,0
761,1,1,0
762,1,1,0
763,0,0,1
764,0,1,1
765,1,0,1
766,1,1,1
767,0,0,1
768,1,1,0
769,1,0,1
770,1,1,0
771,1,1,0
772,1,1,1
773,1,1,0
774,1,1,1
775,0,1,1
776,0,1,1
777,1,0,1
778,0,0,1
779,1,0,1
780,1,0,1
781,1,0,0
782,0,1,1
783,1,1,1
784,1,1,1
785,1,1,1
786,1,1,0
787,1,1,0
788,0,1,0
789,1,1,0
790,0,1,1
791,1,0,1
792,0,1,1
793,1,1,0
794,1,1,0
795,1,0,1
796,1,1,1
797,1,0,1
798,0,0,1
799,1,0,1
800,1,1,0
801,1,1,1
802,1,1,1
803,1,0,1
804,1,0,1
805,0,0,1
806,1,0,1
807,1,0,1
808,0,1,1
809,0,1,1
810,1,0,1
811,1,1,1
812,1,1,1
813,0,1,1
814,1,1,1
815,1,1,0
816,1,0,1
817,1,0,1
818,1,0,1
819,1,1,0
820,1,0,1
821,0,1,1
822,0,1,1
823,1,0,1
824,1,1,1
825,1,1,0
826,0,1,1
827,1,1,1
828,1,0,1
829,1,0,1
830,1,0,1
831,1,0,1
832,0,1,1
833,0,1,1
834,1,0,1
835,1,1,0
836,1,1,0
837,1,1,0
838,1,1,0
839,1,0,1
840,1,0,1
841,0,1,1
842,0,1,1
843,1,1,0
844,0,0,1
845,1,0,1
846,1,1,1
847,0,1,1
848,1,1,0
849,1,1,0
850,1,1,0
851,0,1,1
852,1,0,1
853,1,1,0
854,0,1,0
855,0,0,1
856,1,1,0
857,1,0,1
858,0,1,1
859,1,1,0
860,0,1,1
861,0,0,1
862,1,1,1
863,1,1,1
864,1,0,1
865,1,1,0
866,1,1,0
867,1,1,0
868,1,0,1
869,1,1,0
870,1,1,0
