,3,2,1,0
0,1,1,0,1
1,0,1,1,1
2,1,1,0,1
3,1,0,0,1
4,0,1,0,1
5,1,1,0,1
6,1,1,1,0
7,1,1,1,0
8,1,1,1,0
9,1,1,1,0
10,1,1,1,0
11,0,1,1,1
12,0,1,1,1
13,1,1,0,1
14,1,1,1,0
15,1,1,1,0
16,1,1,0,1
17,1,0,1,1
18,1,1,0,1
19,1,1,0,1
20,1,1,1,0
21,1,1,1,0
22,1,0,0,1
23,1,1,0,1
24,0,1,1,1
25,1,0,0,1
26,1,1,0,1
27,0,0,0,1
28,0,1,0,1
29,1,1,0,1
30,1,1,0,1
31,0,1,1,1
32,0,1,0,1
33,1,1,0,1
34,1,1,0,1
35,1,1,0,1
36,1,1,1,0
37,1,1,1,0
38,1,1,0,1
39,0,1,0,1
40,1,0,1,1
41,1,0,0,1
42,1,0,0,1
43,1,1,0,1
44,1,1,1,0
45,1,1,0,1
46,1,0,0,1
47,0,1,0,1
48,1,0,0,1
49,1,0,0,1
50,1,1,0,0
51,1,1,0,1
52,1,1,1,0
53,1,1,0,1
54,1,0,0,1
55,1,1,1,0
56,1,1,0,1
57,1,1,1,0
58,1,1,1,0
59,1,1,0,1
60,1,1,1,0
61,1,1,0,1
62,1,1,0,1
63,1,1,1,0
64,1,1,0,1
65,0,1,0,1
66,1,1,0,1
67,1,1,0,1
68,1,1,1,1
69,1,0,1,1
70,1,1,0,1
71,1,1,0,1
72,1,1,0,1
73,1,1,1,0
74,0,1,1,1
75,1,1,0,1
76,1,1,0,1
77,1,1,0,1
78,1,1,1,0
79,1,1,1,0
80,1,0,0,1
81,0,1,0,1
82,0,1,1,1
83,1,1,1,0
84,1,1,1,0
85,1,1,0,1
86,1,0,1,1
87,1,1,0,1
88,1,1,0,1
89,1,1,1,0
90,1,0,0,1
91,1,1,1,0
92,0,1,0,0
93,1,1,0,1
94,1,0,0,1
95,1,1,1,0
96,1,1,0,1
97,1,1,0,1
98,1,1,0,1
99,1,0,0,1
100,1,1,1,0
101,0,1,0,1
102,1,1,1,0
103,1,1,1,1
104,1,1,1,0
105,1,1,1,0
106,1,1,1,0
107,1,1,1,0
108,1,0,1,1
109,0,1,1,1
110,0,1,1,1
111,1,1,1,0
112,0,1,0,1
113,1,1,0,1
114,1,1,0,0
115,1,0,0,1
116,1,1,0,1
117,1,1,0,1
118,1,1,0,1
119,1,1,0,1
120,0,0,0,1
121,1,1,1,0
122,1,1,1,0
123,1,0,1,1
124,1,1,0,1
125,1,1,1,0
126,1,1,1,0
127,1,1,0,1
128,1,1,1,0
129,1,1,0,1
130,1,0,1,1
131,1,1,0,1
132,1,1,0,1
133,0,0,1,1
134,1,1,0,1
135,1,1,0,1
136,1,1,0,1
137,1,1,0,1
138,0,0,0,1
139,0,1,1,1
140,1,1,1,0
141,1,1,1,0
142,1,0,0,1
143,1,1,0,1
144,1,1,0,1
145,1,1,0,1
146,0,0,1,1
147,1,0,1,1
148,1,1,0,1
149,1,1,1,0
150,1,1,0,1
151,1,0,1,1
152,1,1,0,1
153,1,1,0,1
154,0,1,0,1
155,1,1,0,1
156,1,1,0,1
157,1,1,0,1
158,1,1,0,1
159,1,1,0,1
160,1,1,1,0
161,0,1,0,1
162,1,0,0,1
163,0,1,1,1
164,1,0,1,1
165,1,1,1,0
166,1,1,0,1
167,1,1,0,1
168,1,1,1,0
169,1,1,0,1
170,1,1,0,1
171,0,1,0,1
172,1,0,0,1
173,1,0,0,1
174,0,1,0,1
175,0,1,1,1
176,1,1,1,0
177,1,0,0,1
178,0,1,1,1
179,1,1,0,1
180,1,1,1,0
181,1,0,1,1
182,1,1,1,0
183,0,1,0,1
184,1,1,0,1
185,1,1,1,0
186,1,1,0,0
187,1,1,0,1
188,1,1,0,1
189,0,0,0,1
190,0,1,0,1
191,0,1,1,1
192,0,1,0,1
193,1,1,1,0
194,1,1,0,1
195,0,1,0,1
196,1,0,1,1
197,1,1,1,1
198,1,0,1,1
199,1,1,1,0
200,1,0,0,1
201,1,1,1,0
202,1,1,0,1
203,1,1,1,0
204,1,1,0,1
205,1,1,0,1
206,1,1,0,1
207,1,1,1,0
208,0,1,0,1
209,1,0,0,1
210,1,1,0,1
211,1,1,0,1
212,1,0,0,1
213,1,0,0,1
214,1,1,0,1
215,1,1,0,1
216,1,1,1,0
217,1,1,0,1
218,0,1,0,1
219,1,0,0,1
220,1,1,0,1
221,1,1,0,1
222,1,0,0,1
223,0,1,0,1
224,0,1,0,1
225,1,0,0,1
226,1,1,0,1
227,1,1,0,1
228,1,1,1,0
229,1,1,1,0
230,1,1,0,1
231,0,1,0,1
232,1,1,0,1
233,1,1,0,1
234,1,1,0,1
235,1,1,1,0
236,0,1,0,1
237,1,1,0,1
238,1,0,0,1
239,1,1,0,1
240,1,1,1,0
241,1,1,0,1
242,1,1,0,1
243,1,1,0,1
244,1,0,1,1
245,1,1,1,0
246,1,1,1,0
247,1,0,0,1
248,1,1,1,0
249,1,0,1,1
250,0,1,0,1
251,1,1,0,0
252,1,1,1,0
253,1,1,1,0
254,1,1,1,0
255,0,1,1,1
256,0,1,0,1
257,1,1,0,1
258,1,1,1,0
259,1,1,0,1
260,1,1,1,0
261,1,1,0,1
262,1,1,0,1
263,1,1,0,1
264,0,0,1,1
265,1,1,1,0
266,1,1,0,1
267,1,0,1,1
268,1,1,1,0
269,1,0,0,1
270,1,1,0,1
271,0,1,0,1
272,1,1,0,1
273,1,1,1,0
274,1,0,1,1
275,1,1,0,1
276,0,1,0,1
277,1,1,0,1
278,1,1,0,1
279,1,1,1,0
280,1,1,1,0
281,1,1,1,0
282,1,1,0,1
283,1,1,0,1
284,1,1,0,1
285,1,1,1,0
286,1,1,1,0
287,1,1,0,1
288,1,1,0,1
289,1,1,1,0
290,1,1,0,1
291,0,0,1,1
292,1,1,1,0
293,1,0,1,1
294,1,1,0,1
295,1,0,0,1
296,1,1,0,1
297,1,1,1,0
298,1,0,0,1
299,1,0,1,1
300,0,1,0,1
301,0,1,0,1
302,1,0,0,1
303,1,0,1,1
304,1,1,1,0
305,1,1,1,0
306,1,0,0,1
307,1,1,0,1
308,1,1,0,1
309,0,1,1,1
310,1,1,0,1
