cause,effect,low,query,tinfer,tlearn,upp
V1,V0,0.0,PS,0,26,0.0
V1,V0,0.0,PS,0,31,0.0
V1,V0,0.0,PS,0,34,0.0
V1,V0,0.0,PS,0,47,0.0
V1,V0,0.0,PS,0,34,0.0
V1,V0,0.0,PS,0,38,0.0
V1,V0,0.0,PS,0,29,0.0
V1,V0,0.0,PS,0,41,0.0
V1,V0,0.0,PS,0,44,0.0
V1,V0,0.0,PS,0,62,0.0
V1,V0,0.0,PS,1,81,0.0
V1,V0,0.0,PS,0,73,0.0
V1,V0,0.0,PS,1,67,0.0
V1,V0,0.0,PS,0,27,0.0
V1,V0,0.0,PS,0,73,0.0
V1,V0,0.0,PS,0,45,0.0
V1,V0,0.0,PS,1,83,0.0
V1,V0,0.0,PS,0,49,0.0
V1,V0,0.0,PS,0,65,0.0
V1,V0,0.0,PS,0,35,0.0
V1,V0,0.0,PS,0,67,0.0
V1,V0,0.0,PS,0,29,0.0
V1,V0,0.0,PS,1,68,0.0
V1,V0,0.0,PS,0,80,0.0
V1,V0,0.0,PS,0,78,0.0
V1,V0,0.0,PS,1,64,0.0
V1,V0,0.0,PS,45,740,0.0
V1,V0,0.0,PS,4,129,0.0
V1,V0,0.0,PS,1,130,0.0
V1,V0,0.0,PS,1,113,0.0
V1,V0,0.0,PS,1,91,0.0
V1,V0,0.0,PS,2,80,0.0
V1,V0,0.0,PS,1,81,0.0
V1,V0,0.0,PS,1,97,0.0
V1,V0,0.0,PS,1,75,0.0
V1,V0,0.0,PS,1,84,0.0
V1,V0,0.0,PS,0,38,0.0
V1,V0,0.0,PN,0,38,0.0
V1,V0,0.0,PS,0,81,0.0
V1,V0,0.0,PS,0,70,0.0
V1,V0,0.0,PS,0,60,0.0
V1,V0,0.0,PS,0,57,0.0
V1,V0,0.0,PS,0,75,0.0
V1,V0,0.0,PS,0,62,0.0
V1,V0,0.0,PS,0,76,0.0
V1,V0,0.0,PS,0,79,0.0
V1,V0,0.0,PS,0,56,0.0
V1,V0,0.0,PS,0,53,0.0
V1,V0,0.0,PS,0,60,0.0
V1,V0,0.0,PS,0,55,0.0
V1,V0,0.0,PS,0,33,0.0
V1,V0,0.0,PS,0,38,0.0
V1,V0,0.0,PS,0,51,0.0
V1,V0,0.0,PS,0,39,0.0
V1,V0,0.0,PS,0,54,0.0
V1,V0,0.0,PS,0,41,0.0
V1,V0,0.0,PS,0,35,0.0
V1,V0,0.0,PS,0,36,0.0
V1,V0,0.0,PS,0,31,0.0
V1,V0,0.0,PS,0,33,0.0
V1,V0,0.0,PS,0,34,0.0
V1,V0,0.0,PS,0,28,0.0
