,2,1,0
0,1,0,1
1,1,0,1
2,1,0,1
3,1,0,1
4,0,0,0
5,0,0,0
6,1,0,1
7,1,0,1
8,1,0,1
9,0,0,0
10,1,0,2
11,0,0,0
12,1,0,1
13,1,0,1
14,1,1,2
15,1,0,0
16,1,0,1
17,1,0,1
18,1,0,1
19,0,0,0
20,1,0,1
21,1,0,1
22,1,0,2
23,0,0,0
24,1,0,1
25,1,0,1
26,1,0,2
27,1,0,1
28,1,1,2
29,1,0,1
30,1,0,2
31,1,0,1
32,1,0,1
33,0,0,2
34,1,0,0
35,1,1,2
36,1,0,2
37,1,1,2
38,1,0,1
39,1,0,1
40,1,0,1
41,0,0,0
42,1,0,1
43,1,0,1
44,0,0,0
45,1,1,1
46,1,0,1
47,1,0,1
48,1,0,1
49,1,0,1
50,1,1,0
51,1,0,1
52,0,0,0
53,1,0,1
54,1,0,1
55,1,0,0
56,1,0,1
57,1,0,1
58,1,0,1
59,1,0,1
60,1,0,1
61,0,0,0
62,1,0,2
63,1,0,1
64,1,0,1
65,1,0,1
66,1,0,1
67,1,0,2
68,1,0,1
69,1,0,1
70,1,0,1
71,0,0,0
72,0,0,0
73,1,0,1
74,1,0,2
75,1,0,1
76,1,0,1
77,1,0,1
78,1,1,2
79,1,0,1
80,1,0,1
81,1,0,1
82,1,0,1
83,1,0,1
84,1,0,2
85,1,0,1
86,1,0,1
87,1,0,1
88,1,0,1
89,1,0,1
90,0,0,0
91,0,0,0
92,0,0,0
93,1,0,1
94,1,0,1
95,0,1,0
96,0,0,0
97,1,0,1
98,1,0,1
99,1,0,1
100,1,0,1
101,1,0,1
102,1,0,1
103,1,0,1
104,1,0,1
105,1,0,1
106,0,0,0
107,1,0,1
108,1,0,1
109,1,0,1
110,1,0,2
111,1,1,2
112,1,0,1
113,0,0,0
114,1,0,1
115,1,0,1
116,1,0,0
117,1,0,1
118,1,0,1
119,0,0,0
120,0,1,0
121,1,0,0
122,0,0,0
123,1,1,2
124,1,1,1
125,1,0,2
126,1,0,1
127,1,0,1
128,1,0,1
129,1,0,1
130,1,0,1
131,1,0,0
132,0,1,0
133,1,0,1
134,1,0,1
135,1,0,1
136,1,0,1
137,1,0,1
138,1,0,1
139,1,0,1
140,1,0,1
141,1,0,1
142,1,0,1
143,0,0,0
144,1,0,1
145,1,0,1
146,1,0,1
147,1,1,2
148,1,0,1
149,0,0,0
150,0,0,2
151,1,1,1
152,0,0,0
153,1,0,1
154,1,0,1
155,0,0,0
156,1,0,1
157,1,0,1
158,1,0,1
159,0,0,0
160,1,0,1
161,1,0,1
162,1,1,2
163,1,0,2
164,1,0,1
165,1,0,1
166,1,0,1
167,1,0,1
168,1,0,1
169,1,0,1
170,0,0,0
171,1,0,1
172,1,0,1
173,1,0,1
174,1,0,1
175,1,0,1
176,1,0,1
177,1,0,1
178,0,0,0
179,1,0,1
180,1,0,1
181,1,0,1
182,0,0,0
183,1,0,1
184,1,0,2
185,1,1,2
186,1,0,1
187,1,0,1
188,1,0,1
