,1,0
0,0,0
1,0,0
2,0,0
3,2,2
4,2,1
5,2,2
6,2,1
7,2,1
8,0,0
9,2,1
10,2,1
11,1,1
12,2,1
13,0,0
14,0,1
15,0,0
16,3,2
17,0,0
18,2,2
19,0,1
20,0,0
21,3,2
22,2,1
23,1,0
24,3,0
25,2,0
26,2,0
27,2,1
28,2,1
29,3,0
30,5,0
31,2,1
32,0,0
33,1,0
34,1,2
35,2,1
36,2,1
37,1,0
38,2,2
39,0,1
40,2,1
41,2,0
42,2,2
43,2,0
44,3,1
45,0,1
46,0,1
47,3,2
48,2,0
49,1,1
50,1,1
51,1,2
52,1,0
53,1,0
54,2,0
55,2,2
56,0,0
57,2,0
58,2,2
59,2,0
60,0,1
61,0,0
62,0,1
63,0,0
64,2,0
65,1,0
66,5,2
67,1,1
68,3,0
69,2,2
70,1,0
71,3,1
72,2,2
73,2,0
74,2,2
75,1,0
76,2,1
77,2,2
78,2,0
79,2,2
80,0,0
81,1,2
82,2,2
83,0,1
84,1,0
85,0,0
86,1,0
87,2,2
88,2,0
89,1,2
90,2,2
91,1,0
92,0,1
93,0,0
94,0,0
95,0,0
96,2,0
97,2,1
98,0,0
99,1,0
100,1,0
101,3,1
102,2,1
103,2,0
104,2,2
105,2,0
106,0,0
107,2,0
108,3,0
109,2,0
110,2,2
111,0,1
112,1,2
113,2,2
114,0,0
115,2,2
116,2,2
117,2,1
118,3,2
119,2,0
120,0,1
121,1,1
122,2,0
123,0,1
124,2,0
125,1,1
126,0,0
127,2,1
128,2,1
129,2,2
130,1,0
131,0,0
132,0,1
133,2,2
134,3,1
135,1,2
136,2,1
137,0,1
138,2,2
139,1,1
140,5,2
141,2,1
142,2,0
143,2,2
144,0,0
145,2,2
146,2,2
147,2,1
148,2,2
149,1,0
150,0,0
151,0,0
152,1,2
153,2,2
154,2,2
155,3,2
156,1,1
157,2,2
158,0,1
159,1,1
160,2,1
161,1,1
162,3,1
163,0,0
164,2,0
165,0,1
166,2,1
167,2,0
168,0,0
169,1,0
170,0,0
171,2,0
172,1,0
173,2,0
174,3,1
175,2,0
176,3,0
177,2,0
178,2,0
179,5,2
180,3,0
181,2,0
182,6,0
183,0,0
184,2,0
185,2,2
186,2,1
187,2,2
188,0,0
189,1,2
190,0,0
191,0,0
192,1,1
193,2,0
194,2,0
195,5,0
196,0,0
197,2,2
198,2,2
199,2,2
200,2,1
201,3,1
202,2,2
203,2,2
204,2,2
205,2,1
206,1,2
207,0,0
208,3,0
209,2,0
210,2,1
211,2,0
212,0,1
213,2,2
214,2,0
215,2,2
216,0,0
217,2,0
218,1,1
219,3,1
220,2,1
221,2,0
222,2,0
223,2,1
224,2,2
225,2,0
226,1,1
227,1,1
228,1,1
229,2,0
230,2,1
231,2,2
232,0,0
233,3,0
234,2,2
235,1,2
236,2,2
237,0,1
238,2,1
239,0,1
240,0,0
241,0,0
242,3,0
243,2,0
244,1,1
245,0,0
246,2,1
247,2,2
248,2,1
249,1,0
250,1,0
251,1,2
252,2,2
253,2,1
254,2,0
255,2,0
256,2,1
257,0,1
258,3,2
259,3,1
260,0,1
261,2,1
262,2,0
263,2,0
264,2,1
265,0,0
266,1,1
267,0,0
268,0,0
269,3,0
270,0,1
271,2,2
272,0,0
273,1,0
274,2,2
275,2,0
276,2,0
277,0,1
278,0,0
279,3,2
280,3,0
281,2,0
282,2,0
283,0,0
284,2,0
285,1,0
286,2,1
287,2,0
288,2,1
289,2,2
290,2,1
291,2,0
292,0,1
293,2,2
294,2,1
295,2,0
296,1,2
297,1,0
298,2,1
299,5,1
300,1,0
301,0,0
302,2,0
303,2,0
304,2,0
305,2,1
306,2,0
307,5,2
308,1,2
309,0,0
310,0,0
311,3,0
312,1,0
313,1,2
314,0,0
315,2,2
316,2,1
317,1,0
318,2,2
319,2,2
320,2,2
321,2,1
322,2,1
323,3,0
324,2,0
325,0,0
326,2,0
327,2,0
328,0,0
329,5,0
330,2,2
331,0,0
332,2,1
333,2,0
334,1,0
335,0,0
336,2,1
337,2,1
338,2,1
339,2,0
340,0,0
341,2,1
342,2,2
343,2,1
344,2,1
345,1,0
346,1,1
347,0,1
348,2,1
349,2,0
350,1,0
351,0,0
352,2,0
353,3,0
354,1,2
355,0,0
356,0,0
357,2,1
358,0,0
359,2,0
360,2,1
361,0,1
362,1,2
363,0,0
364,0,0
365,0,1
366,0,0
367,0,0
368,3,2
369,0,0
370,2,0
371,2,0
372,2,0
373,0,1
374,0,0
375,1,0
376,3,2
377,2,1
378,0,1
379,2,0
380,2,2
381,1,0
382,2,0
383,1,0
384,0,0
385,2,2
386,0,0
387,1,2
388,2,2
389,0,0
390,1,0
391,5,1
392,2,1
393,3,0
394,2,0
395,1,0
396,3,2
397,2,0
398,0,0
399,0,1
400,2,0
401,3,0
402,2,2
403,2,0
404,0,1
405,2,1
406,1,2
407,0,1
408,2,0
409,1,0
410,2,1
411,2,0
412,2,0
413,2,1
414,1,2
415,2,1
416,0,0
417,2,2
418,0,0
419,2,1
420,2,1
421,3,0
422,2,2
423,0,0
424,2,1
425,2,1
426,3,0
427,0,0
428,2,1
429,1,1
430,0,0
431,2,2
432,0,0
433,0,0
434,1,1
435,2,0
436,2,0
437,0,0
438,2,0
439,2,0
440,2,0
441,2,1
442,0,1
443,2,2
444,2,0
445,0,1
446,0,1
447,0,0
448,2,0
449,1,1
450,0,1
451,1,0
452,0,0
453,2,2
454,0,0
455,2,0
456,0,0
457,1,2
458,2,1
459,0,0
460,1,0
461,0,0
462,2,0
463,2,0
464,2,1
465,2,1
466,2,2
467,1,0
468,2,2
469,3,1
470,0,0
471,2,1
472,0,1
473,3,0
474,1,1
475,3,0
476,2,0
477,2,1
478,0,0
479,3,1
480,2,0
481,2,0
482,1,2
483,2,1
484,2,0
485,0,0
486,2,1
487,0,0
488,2,1
489,3,1
490,2,0
491,2,2
492,0,0
493,1,2
494,2,2
495,2,0
496,2,2
497,0,0
498,2,2
499,0,0
500,3,1
501,0,0
502,2,2
503,2,0
504,2,2
505,0,0
506,1,1
507,1,0
508,2,1
509,1,0
510,2,2
511,0,0
512,2,1
513,2,1
514,0,0
515,2,2
516,0,0
517,2,1
518,2,1
519,2,0
520,2,0
521,0,0
522,0,0
523,3,1
524,2,0
525,2,0
526,0,0
527,2,0
528,2,0
529,2,0
530,0,0
531,6,1
532,0,0
533,3,0
534,2,1
535,1,1
536,2,0
537,0,0
538,3,1
539,2,0
540,1,0
541,2,2
542,2,0
543,3,1
544,0,1
545,3,2
546,2,0
547,0,0
548,3,0
549,1,0
550,2,0
551,0,0
552,0,0
553,2,2
554,1,1
555,2,1
556,1,0
557,0,1
558,0,0
559,2,1
560,0,0
561,0,0
562,2,0
563,2,2
564,1,2
565,0,0
566,2,2
567,0,0
568,2,0
569,0,0
570,0,1
571,1,0
