,2,1,0
0,1,0,0
1,1,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,1,1
6,0,1,1
7,0,1,1
8,0,0,0
9,0,1,1
10,0,1,0
11,0,0,0
12,1,1,0
13,0,1,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,1,0
18,0,0,0
19,0,0,0
20,0,1,1
21,0,0,0
22,0,0,1
23,0,0,0
24,0,1,1
25,0,0,0
26,0,1,1
27,0,1,0
28,0,0,0
29,0,0,1
30,0,0,1
31,0,0,0
32,1,0,1
33,0,1,1
34,1,0,1
35,0,0,0
36,0,1,1
37,0,1,0
38,0,0,0
39,0,1,1
40,0,1,1
41,0,1,1
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,1,0
47,1,0,0
48,0,0,0
49,1,0,1
50,1,1,1
51,1,0,0
52,0,0,1
53,0,0,0
54,0,1,1
55,0,0,0
56,0,0,0
57,0,0,0
58,0,1,0
59,0,1,1
60,1,1,1
61,0,1,1
62,0,0,0
63,0,1,1
64,0,0,0
65,0,0,0
66,0,0,1
67,0,1,0
68,0,0,0
69,0,1,0
70,0,1,0
71,0,0,0
72,0,1,0
73,0,1,0
74,0,0,0
75,0,0,1
76,1,0,0
77,0,0,0
78,0,1,0
79,0,1,0
80,0,0,1
81,0,0,0
82,0,0,0
83,1,1,1
84,0,0,1
85,1,1,1
86,0,0,1
87,0,0,0
88,0,1,1
89,0,0,1
90,0,0,1
91,0,0,0
92,0,1,1
93,1,0,1
94,0,1,0
95,1,1,1
96,0,0,1
97,0,0,0
98,0,1,1
99,0,1,1
100,0,0,1
101,0,0,0
102,0,0,0
103,0,1,0
104,0,1,0
105,0,1,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,1,0
110,0,0,1
111,0,0,1
112,0,1,1
113,0,1,1
114,0,1,0
115,0,1,1
116,0,0,0
117,0,0,0
118,0,0,0
119,1,1,0
120,0,1,0
121,0,0,0
122,1,1,1
123,0,0,0
124,0,1,0
125,1,0,1
126,0,1,1
127,0,0,0
128,0,1,1
129,0,0,1
130,0,0,1
131,0,0,1
132,0,1,1
133,0,0,0
134,1,0,1
135,0,1,1
136,0,0,0
137,0,0,0
138,0,1,0
139,0,0,0
140,0,1,1
141,0,1,0
142,0,0,0
143,0,0,1
144,0,1,1
145,0,0,1
146,0,1,0
147,1,0,1
148,0,0,0
149,0,1,0
150,0,1,0
151,0,1,1
152,0,1,1
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,1,1
159,0,0,0
160,1,0,1
161,0,0,0
162,0,0,0
163,0,0,0
164,1,0,0
165,0,1,1
166,0,0,0
167,0,1,1
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,1,1
173,0,0,0
174,0,0,0
175,0,0,0
176,0,1,0
177,0,0,1
178,0,1,0
179,0,0,0
180,1,0,1
181,0,1,0
182,0,0,0
183,0,1,1
184,0,0,0
185,0,0,1
186,0,1,1
187,0,1,0
188,0,1,0
189,0,1,0
190,0,0,0
191,0,1,0
192,1,1,0
193,0,1,1
194,1,0,0
195,0,1,1
196,0,1,0
197,0,1,1
198,0,0,0
199,1,0,1
200,1,0,0
201,0,0,1
202,0,0,1
203,0,0,0
204,0,0,1
205,0,0,0
206,0,0,0
207,0,1,1
208,0,1,0
209,0,0,0
210,1,0,0
211,0,0,0
212,0,0,0
213,0,1,0
214,0,0,0
215,1,0,0
216,0,1,1
217,0,0,0
218,0,0,0
219,0,0,1
220,0,0,0
221,0,1,0
222,0,0,0
223,0,1,0
224,0,0,0
225,0,1,0
226,0,0,0
227,0,1,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,1
232,0,1,1
233,0,1,1
234,0,0,0
235,0,1,1
236,0,0,1
237,0,1,0
238,0,0,0
239,0,0,0
240,1,0,0
241,0,1,0
242,0,0,0
243,0,0,0
244,0,1,0
245,1,0,1
246,0,0,0
247,0,0,0
248,0,1,1
249,0,0,0
250,0,0,1
251,0,0,1
252,0,0,1
253,0,0,0
254,0,0,0
255,0,0,1
256,0,1,1
257,0,0,0
258,0,0,0
259,0,1,0
260,0,1,0
261,0,0,1
262,0,1,0
263,0,1,1
264,0,1,0
265,0,1,0
266,0,0,0
267,0,1,0
268,0,1,0
269,0,0,0
270,0,1,1
271,0,0,1
272,0,0,1
273,0,0,0
274,0,0,0
275,0,0,0
276,0,1,0
277,0,0,0
278,1,0,1
279,0,0,1
280,0,0,0
281,0,0,0
282,0,0,0
283,0,1,1
284,0,0,0
285,1,1,0
286,0,1,1
287,0,1,0
288,0,0,1
289,0,1,1
290,1,1,1
291,0,1,1
292,0,1,0
293,0,0,0
294,0,0,1
295,0,1,1
296,0,0,0
297,0,0,0
298,0,0,0
299,0,1,1
300,0,0,0
301,1,0,0
302,0,0,1
303,0,0,0
304,0,0,0
305,0,1,0
306,0,0,0
307,0,0,1
308,0,1,1
309,0,1,1
310,0,0,0
311,0,1,0
312,0,0,0
313,0,1,0
314,0,1,0
315,0,0,0
316,0,1,0
317,0,0,0
318,0,0,0
319,0,1,0
320,1,1,1
321,0,1,1
322,0,0,1
323,0,0,1
324,0,1,0
325,0,0,1
326,0,0,0
327,0,0,0
328,0,1,1
329,0,1,1
330,0,0,1
331,0,0,0
332,0,1,1
333,0,0,0
334,0,0,0
335,0,0,0
336,0,1,1
337,1,0,1
338,1,0,1
339,0,0,1
340,0,0,0
341,0,0,0
342,0,1,0
343,0,0,1
344,1,1,1
345,0,0,1
346,0,1,0
347,1,1,1
348,0,0,0
349,0,0,1
350,0,0,0
351,0,0,0
352,0,0,1
353,0,0,0
354,0,0,0
355,0,0,0
356,0,0,1
357,0,1,1
358,0,0,0
359,1,1,0
360,1,0,0
361,0,1,1
362,0,1,0
363,0,0,0
364,1,1,1
365,1,1,1
366,0,1,0
367,0,0,0
368,0,0,1
369,0,0,0
370,0,0,1
371,0,0,0
372,0,0,0
373,1,0,1
374,0,1,0
375,0,0,0
376,0,0,1
377,0,0,0
378,0,0,1
379,0,1,0
380,0,0,0
381,0,0,0
382,0,1,0
383,1,0,1
384,0,0,0
385,1,1,1
386,1,0,1
387,0,0,0
388,0,0,1
389,0,1,0
390,1,0,0
391,0,0,0
392,0,1,0
393,0,1,1
394,0,1,0
395,0,0,0
396,0,0,0
397,0,0,1
398,0,1,0
399,0,0,1
400,0,0,0
401,0,0,0
402,0,0,0
403,0,0,0
404,1,1,1
405,0,0,0
406,0,0,1
407,0,0,0
408,1,0,1
409,0,0,0
410,0,1,0
411,0,0,0
412,0,0,0
413,1,1,0
414,0,0,0
415,0,0,0
