,4,3,2,1,0
0,1,1,0,0,0
1,0,0,0,1,0
2,0,0,0,1,0
3,0,0,0,1,0
4,1,1,0,1,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,1,0
8,1,1,0,1,0
9,0,0,0,0,0
10,1,1,0,1,0
11,1,0,0,0,0
12,1,1,0,1,0
13,0,0,0,1,0
14,0,0,0,0,0
15,0,0,0,1,0
16,0,0,0,1,0
17,1,1,0,1,1
18,1,1,0,1,0
19,0,1,0,1,0
20,0,0,0,0,0
21,0,1,0,1,0
22,0,0,0,0,0
23,0,0,0,1,0
24,0,1,0,1,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,1,0
28,0,0,0,0,0
29,1,1,0,1,0
30,1,1,1,1,0
31,1,1,0,1,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,1,0
35,1,0,0,1,0
36,1,0,0,0,0
37,0,1,0,1,0
38,1,1,0,1,1
39,1,1,0,0,0
40,0,0,0,1,1
41,1,1,0,1,0
42,0,0,0,0,0
43,1,1,0,1,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,1,1,0,1,0
48,0,0,0,0,0
49,1,1,1,0,0
50,1,1,0,1,1
51,0,1,0,1,1
52,0,1,0,1,0
53,0,1,0,1,0
54,1,1,0,0,0
55,0,0,0,1,0
56,1,1,0,1,0
57,1,0,0,1,1
58,0,0,0,1,0
59,1,1,0,1,0
60,0,1,0,1,0
61,1,1,1,1,0
62,0,0,0,0,0
63,1,1,0,1,1
64,0,1,0,1,0
65,0,0,0,0,0
66,0,0,0,0,0
67,1,1,0,1,1
68,0,0,0,1,0
69,0,0,0,1,1
70,1,1,0,1,0
71,0,0,0,0,0
72,1,0,0,1,0
73,0,0,0,0,0
74,0,1,0,1,0
75,1,1,0,1,1
76,0,0,0,1,0
77,1,1,0,1,1
78,0,0,0,1,0
79,1,1,0,1,1
80,0,0,0,1,0
81,0,0,0,0,0
82,1,1,0,1,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,1,0
87,1,1,0,1,0
88,1,1,0,1,0
89,0,0,0,0,0
90,1,1,0,1,0
91,0,0,0,1,0
92,1,1,0,1,0
93,1,1,0,1,0
94,1,1,0,1,0
95,0,1,0,1,0
96,0,0,0,0,0
97,1,0,0,0,0
98,1,1,0,1,0
99,1,1,0,1,0
100,0,0,0,1,0
101,1,1,0,1,0
102,1,1,0,1,0
